 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1814,255,0,255,255,703.745,134.324,159.924,681,110,46,49,49.325,46.825,79.911,0.891,50.606,462570,255,,,100,462570,1,692,157,60.396,46.0,1.053,0.949,0.972
2,3133,255,0,255,255,1036.587,195.256,220.735,1005,164,64,63,63.677,62.645,0.357,0.808,65.734,798915,255,,,100,798915,1,1005,204,13.191,63.0,1.016,0.984,0.971
3,1609,255,0,255,255,755.017,194.196,156.066,732,171,45,47,46.451,44.103,78.863,0.83,48.052,410295,255,,,100,410295,1,751,218,77.989,45.0,1.053,0.949,0.96
4,2153,255,0,255,255,388.156,232.787,184.693,362,206,52,56,53.243,51.486,134.917,0.793,56.859,549015,255,,,100,549015,1,366,217,145.751,51.619,1.034,0.967,0.955
5,1853,255,0,255,255,661.484,234.29,172.551,637,209,49,49,49.164,47.989,135.718,0.782,51.884,472515,255,,,100,472515,1,637,224,152.447,48.333,1.024,0.976,0.953
6,2326,255,0,255,255,106.807,239.347,185.38,79,212,56,54,57.874,51.173,148.834,0.851,59.169,593130,255,,,100,593130,1,81,225,149.534,51.877,1.131,0.884,0.967
7,7139,255,0,255,255,562.893,276.776,320.434,515,229,95,95,95.616,95.064,121.048,0.874,97.453,1820445,255,,,100,1820445,1,534,238,128.752,95.0,1.006,0.994,0.982
8,6523,255,0,255,255,734.647,281.429,312.576,692,233,86,97,96.622,85.957,95.038,0.839,97.514,1663365,255,,,100,1663365,1,728,233,95.886,86.0,1.124,0.89,0.98
9,4306,255,0,255,255,962.643,275.907,257.706,925,239,75,74,74.792,73.304,41.627,0.815,76.844,1098030,255,,,100,1098030,1,941,308,55.069,73.997,1.02,0.98,0.973
10,1747,255,0,255,255,410.825,274.942,167.966,386,249,48,50,48.047,46.295,140.362,0.778,52.479,445485,255,,,100,445485,1,387,262,149.036,47.118,1.038,0.964,0.946
11,2336,255,0,255,255,1164.793,283.292,183.48,1137,257,56,53,57.094,52.094,21.225,0.872,58.249,595680,255,,,100,595680,1,1141,300,34.509,52.771,1.096,0.912,0.97
12,2090,255,0,255,255,289.117,326.966,258.534,262,301,54,52,53.398,49.835,141.755,0.393,54.672,532950,255,,,100,532950,1,270,307,129.806,51.903,1.071,0.933,0.937
13,6419,255,0,255,255,69.174,365.602,316.96,24,321,91,90,91.033,89.779,155.578,0.803,92.418,1636845,255,,,100,1636845,1,24,356,166.866,90.0,1.014,0.986,0.977
14,2510,255,0,255,255,401.487,400.034,261.948,372,372,58,57,56.719,56.344,162.272,0.46,58.694,640050,255,,,100,640050,1,375,387,156.93,57.0,1.007,0.993,0.951
15,3033,255,0,255,255,592.643,413.467,256.777,562,382,63,63,63.929,60.407,55.887,0.578,66.31,773415,255,,,100,773415,1,562,427,23.085,61.518,1.058,0.945,0.957
16,3481,255,0,255,255,859.932,427.67,231.321,826,394,67,67,67.971,65.207,133.6,0.817,70.328,887655,255,,,100,887655,1,843,398,119.846,65.761,1.042,0.959,0.969
17,3666,255,0,255,255,994.791,437.932,238.635,960,404,70,68,69.531,67.131,11.052,0.809,71.197,934830,255,,,100,934830,1,963,454,29.445,67.989,1.036,0.965,0.971
18,2786,255,0,255,255,130.718,450.606,205.765,100,422,62,58,61.518,57.662,176.109,0.827,62.394,710430,255,,,100,710430,1,100,446,173.558,58.0,1.067,0.937,0.968
19,3538,255,0,255,255,532.829,463.271,234.836,501,428,63,73,72.467,62.163,82.362,0.806,75.961,902190,255,,,100,902190,1,521,501,69.179,63.0,1.166,0.858,0.963
20,2733,255,0,255,255,905.759,486.369,226.007,877,457,59,59,60.858,57.178,139.994,0.672,63.82,696915,255,,,100,696915,1,879,467,144.567,58.502,1.064,0.94,0.961
21,7365,255,0,255,255,533.918,554.19,337.345,486,502,97,101,98.765,94.946,93.897,0.813,103.078,1878075,255,,,100,1878075,1,521,502,104.036,96.167,1.04,0.961,0.973
22,5243,255,0,255,255,412.726,617.316,293.99,371,576,83,82,82.212,81.2,30.167,0.762,84.054,1336965,255,,,100,1336965,1,378,641,34.824,81.903,1.012,0.988,0.974
23,759,255,0,255,255,829.103,598.945,108.368,813,583,32,32,31.215,30.959,143.862,0.812,32.757,193545,255,,,100,193545,1,819,612,58.736,31.752,1.008,0.992,0.942
24,3993,255,0,255,255,295.535,651.384,286.576,258,616,75,71,75.329,67.491,21.886,0.611,77.026,1018215,255,,,100,1018215,1,262,671,29.56,70.613,1.116,0.896,0.949
25,3367,255,0,255,255,698.563,657.762,223.179,665,624,67,66,66.703,64.27,36.223,0.849,68.71,858585,255,,,100,858585,1,666,671,21.337,65.293,1.038,0.964,0.97
