 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1060,255,0,255,255,25.643,23.3,129.882,10,2,33,43,43.414,31.088,80.603,0.79,44.147,270300,255,,,100,270300,1,23,45,76.908,31.575,1.397,0.716,0.933
2,2911,255,0,255,255,781.715,55.127,205.966,753,22,58,65,65.518,56.571,71.003,0.862,66.94,742305,255,,,100,742305,1,772,87,76.171,57.174,1.158,0.863,0.969
3,8756,255,0,255,255,607.852,77.389,375.103,550,24,115,109,117.975,94.499,149.059,0.782,119.004,2232780,255,,,100,2232780,1,568,32,138.406,96.565,1.248,0.801,0.954
4,3152,255,0,255,255,66.666,71.888,218.409,37,41,61,63,64.495,62.226,78.039,0.83,71.694,803760,255,,,100,803760,1,42,41,120.141,61.0,1.036,0.965,0.959
5,4966,255,0,255,255,1080.568,89.597,279.321,1039,54,88,76,86.586,73.025,22.417,0.8,93.941,1266330,255,,,100,1266330,1,1043,108,27.929,76.0,1.186,0.843,0.956
6,4653,255,0,255,255,257.243,117.741,261.321,219,76,77,81,78.13,75.827,108.219,0.856,83.815,1186515,255,,,100,1186515,1,242,76,109.516,77.0,1.03,0.971,0.965
7,4305,255,0,255,255,790.379,135.454,244.693,754,98,73,75,75.964,72.157,58.679,0.904,77.389,1097775,255,,,100,1097775,1,768,167,57.131,73.0,1.053,0.95,0.976
8,2224,255,0,255,255,1174.814,130.918,182.409,1148,104,56,54,54.136,52.307,175.33,0.84,57.489,567120,255,,,100,567120,1,1156,151,40.061,52.18,1.035,0.966,0.957
9,3053,255,0,255,255,887.958,144.226,205.723,857,113,62,62,62.836,61.863,7.84,0.907,64.413,778515,255,,,100,778515,1,860,128,152.241,62.0,1.016,0.985,0.976
10,3671,255,0,255,255,330.342,162.93,234.593,296,128,73,69,70.288,66.499,138.416,0.838,73.437,936105,255,,,100,936105,1,296,165,6.254,67.175,1.057,0.946,0.954
11,1969,255,0,255,255,68.644,158.01,165.095,44,132,49,51,50.849,49.303,98.525,0.908,52.173,502095,255,,,100,502095,1,63,183,77.829,49.0,1.031,0.97,0.972
12,1665,255,0,255,255,1125.403,163.523,160.995,1102,140,46,46,46.428,45.661,56.778,0.807,48.877,424575,255,,,100,424575,1,1114,143,120.763,45.538,1.017,0.983,0.955
13,3535,255,0,255,255,677.833,178.675,226.35,644,144,67,71,68.41,65.793,60.856,0.867,72.422,901425,255,,,100,901425,1,668,215,72.316,66.841,1.04,0.962,0.968
14,3398,255,0,255,255,1040.364,182.42,216.309,1008,150,65,65,66.261,65.295,46.801,0.913,68.505,866490,255,,,100,866490,1,1022,211,56.31,65.0,1.015,0.985,0.977
15,3235,255,0,255,255,476.329,213.745,213.865,444,182,65,64,64.638,63.723,165.42,0.889,67.231,824925,255,,,100,824925,1,463,184,112.751,63.754,1.014,0.986,0.974
16,6552,255,0,255,255,1152.366,233.543,305.706,1106,188,93,91,92.403,90.281,120.226,0.881,95.079,1670760,255,,,100,1670760,1,1132,190,112.249,91.0,1.023,0.977,0.973
17,1517,255,0,255,255,542.173,212.641,148.267,520,190,44,45,44.351,43.55,68.955,0.867,45.804,386835,255,,,100,386835,1,528,194,126.119,44.0,1.018,0.982,0.959
18,2951,255,0,255,255,218.508,234.291,204.309,188,202,61,63,61.765,60.832,85.708,0.888,65.192,752505,255,,,100,752505,1,205,263,69.341,61.0,1.015,0.985,0.968
19,1556,255,0,255,255,321.181,237.442,153.095,297,215,46,44,44.968,44.057,22.653,0.834,48.415,396780,255,,,100,396780,1,305,257,51.71,44.0,1.021,0.98,0.954
20,903,255,0,255,255,508.758,248.162,112.953,489,230,36,35,35.774,32.139,48.956,0.889,36.674,230265,255,,,100,230265,1,489,247,168.996,31.82,1.113,0.898,0.957
21,2079,255,0,255,255,855.461,257.34,172.267,830,232,51,51,51.733,51.167,22.576,0.88,55.218,530145,255,,,100,530145,1,834,242,144.583,51.0,1.011,0.989,0.965
22,1435,255,0,255,255,281.462,255.837,142.368,260,235,44,42,43.174,42.319,164.908,0.89,44.721,365925,255,,,100,365925,1,260,250,169.695,42.0,1.02,0.98,0.961
23,1604,255,0,255,255,1082.197,276.355,152.61,1060,254,45,45,46.834,43.607,43.47,0.865,50.606,409020,255,,,100,409020,1,1068,299,52.224,44.548,1.074,0.931,0.961
24,1973,255,0,255,255,312.456,328.981,179.581,279,304,59,49,53.875,46.628,10.823,0.769,61.984,503115,255,,,100,503115,1,279,335,17.85,48.699,1.155,0.865,0.923
25,1672,255,0,255,255,728.892,369.85,154.51,706,346,46,47,46.584,45.699,68.711,0.88,48.01,426360,255,,,100,426360,1,714,389,54.324,46.0,1.019,0.981,0.965
26,2672,255,0,255,255,842.147,383.443,196.995,814,354,57,60,62.445,54.482,120.83,0.865,66.708,681360,255,,,100,681360,1,820,356,130.135,55.861,1.146,0.872,0.966
27,6758,255,0,255,255,972.728,417.59,312.434,926,371,93,94,93.983,91.554,54.901,0.87,96.385,1723290,255,,,100,1723290,1,953,461,67.426,92.045,1.027,0.974,0.977
28,1500,255,0,255,255,1067.083,401.675,147.681,1044,380,46,42,45.745,41.75,176.571,0.864,47.802,382500,255,,,100,382500,1,1044,409,15.781,41.436,1.096,0.913,0.958
29,2464,255,0,255,255,1147.181,440.353,189.966,1119,412,56,57,57.375,54.68,44.465,0.858,58.6,628320,255,,,100,628320,1,1124,458,36.674,55.454,1.049,0.953,0.969
30,2568,255,0,255,255,721.412,446.687,211.179,691,416,66,59,65.954,49.575,28.854,0.724,68.942,654840,255,,,100,654840,1,693,462,23.962,51.093,1.33,0.752,0.925
31,6828,255,0,255,255,1062.533,468.746,336.818,1015,421,104,95,95.407,91.122,3.033,0.756,106.254,1741140,255,,,100,1741140,1,1018,453,161.906,91.418,1.047,0.955,0.927
32,8151,255,0,255,255,806.002,474.964,355.889,756,424,104,102,102.195,101.553,58.968,0.809,108.6,2078505,255,,,100,2078505,1,761,503,36.764,102.0,1.006,0.994,0.966
33,2940,255,0,255,255,260.695,471.196,213.137,230,440,61,61,63.273,59.161,52.341,0.813,69.893,749700,255,,,100,749700,1,236,500,56.083,60.722,1.07,0.935,0.953
34,2272,255,0,255,255,178.344,469.452,178.995,151,442,55,54,54.225,53.348,2.14,0.891,55.785,579360,255,,,100,579360,1,152,461,165.466,54.0,1.016,0.984,0.966
35,4382,255,0,255,255,940.979,513.028,254.007,904,476,75,75,75.155,74.238,152.435,0.853,77.782,1117410,255,,,100,1117410,1,912,486,135.0,75.0,1.012,0.988,0.97
36,6265,255,0,255,255,1160.712,524.551,309.262,1120,476,83,97,97.556,81.767,85.231,0.823,98.311,1597575,255,,,100,1597575,1,1152,573,80.633,82.934,1.193,0.838,0.964
37,2541,255,0,255,255,447.106,525.968,191.723,419,497,57,58,57.564,56.203,48.29,0.869,59.641,647955,255,,,100,647955,1,430,551,55.244,57.0,1.024,0.976,0.966
38,3643,255,0,255,255,744.975,533.226,234.007,711,498,71,69,69.337,66.896,140.023,0.836,74.733,928965,255,,,100,928965,1,714,516,155.493,67.175,1.036,0.965,0.959
39,2547,255,0,255,255,205.478,533.08,200.451,177,504,64,57,58.112,55.805,5.97,0.797,64.498,649485,255,,,100,649485,1,177,529,172.875,56.569,1.041,0.96,0.946
40,2030,255,0,255,255,1033.418,534.135,170.995,1008,508,52,51,51.822,49.876,165.064,0.872,52.924,517650,255,,,100,517650,1,1010,522,157.797,50.535,1.039,0.962,0.964
41,1473,255,0,255,255,58.317,530.707,145.924,35,510,46,41,46.052,40.725,4.528,0.869,47.539,375615,255,,,100,375615,1,35,524,165.379,41.0,1.131,0.884,0.965
42,1460,255,0,255,255,144.305,559.034,142.853,122,537,44,44,44.057,42.194,39.42,0.899,46.615,372300,255,,,100,372300,1,133,580,67.286,42.426,1.044,0.958,0.961
43,2528,255,0,255,255,407.31,570.186,190.894,379,537,56,62,57.98,55.515,77.593,0.872,63.151,644640,255,,,100,644640,1,401,599,79.046,56.0,1.044,0.957,0.958
44,1744,255,0,255,255,1200.765,574.431,159.48,1176,545,47,54,51.66,42.984,63.736,0.862,54.745,444720,255,,,100,444720,1,1194,599,80.538,43.15,1.202,0.832,0.959
45,1680,255,0,255,255,749.852,602.315,166.995,721,579,53,45,50.328,42.502,23.292,0.757,56.939,428400,255,,,100,428400,1,722,618,30.619,45.0,1.184,0.844,0.924
46,2774,255,0,255,255,135.227,611.927,196.894,106,581,59,61,61.486,57.444,63.164,0.899,63.695,707370,255,,,100,707370,1,122,640,67.865,58.244,1.07,0.934,0.972
47,1584,255,0,255,255,521.982,607.617,152.167,500,584,45,46,45.538,44.288,69.869,0.86,47.508,403920,255,,,100,403920,1,508,627,59.657,45.0,1.028,0.973,0.962
48,1079,255,0,255,255,1014.842,614.856,123.154,996,596,37,36,38.173,35.989,162.238,0.894,41.4,275145,255,,,100,275145,1,1005,598,127.147,35.761,1.061,0.943,0.956
49,3225,255,0,255,255,1128.524,634.916,226.108,1090,603,72,64,65.682,62.516,8.964,0.793,72.691,822375,255,,,100,822375,1,1090,644,7.907,63.64,1.051,0.952,0.944
50,1984,255,0,255,255,1194.112,636.038,169.238,1169,611,51,50,50.992,49.539,176.144,0.87,52.479,505920,255,,,100,505920,1,1172,622,149.036,50.0,1.029,0.971,0.967
51,1566,255,0,255,255,829.639,643.628,151.338,807,621,45,45,44.855,44.452,156.891,0.859,46.4,399330,255,,,100,399330,1,815,626,127.117,45.0,1.009,0.991,0.961
52,1145,255,0,255,255,436.137,643.674,128.024,417,624,38,39,38.756,37.616,55.093,0.878,39.962,291975,255,,,100,291975,1,425,660,58.299,38.0,1.03,0.971,0.962
