 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1903,255,0,255,255,1066.038,43.257,175.723,1041,16,48,53,54.011,44.860,60.206,0.774,56.223,485265,255,NaN,NaN,100,485265,1,1047,62,51.499,46.713,1.204,0.831,0.955
2,2258,255,0,255,255,816.079,44.932,196.936,783,18,61,53,56.135,51.216,161.887,0.732,61.847,575790,255,NaN,NaN,100,575790,1,783,54,14.036,52.271,1.096,0.912,0.930
3,28,255,0,255,255,839.286,71.250,20.971,836,68,7,7,8.829,4.038,130.837,0.800,9.220,7140,255,NaN,NaN,100,7140,1,836,68,130.601,4.950,2.186,0.457,0.836
4,2388,255,0,255,255,117.093,99.088,210.735,88,72,64,57,60.709,50.083,10.579,0.676,67.424,608940,255,NaN,NaN,100,608940,1,95,124,35.340,53.499,1.212,0.825,0.909
5,298,255,0,255,255,533.164,106.487,69.154,523,96,20,21,20.805,18.237,121.938,0.783,22.204,75990,255,NaN,NaN,100,75990,1,527,97,125.838,19.092,1.141,0.877,0.913
6,1640,255,0,255,255,150.774,127.019,166.066,128,100,50,54,56.495,36.961,48.106,0.747,58.523,418200,255,NaN,NaN,100,418200,1,134,153,56.853,38.184,1.528,0.654,0.910
7,2210,255,0,255,255,662.372,134.383,179.966,636,104,53,57,54.176,51.940,119.865,0.857,58.249,563550,255,NaN,NaN,100,563550,1,655,104,101.889,52.326,1.043,0.959,0.962
8,426,255,0,255,255,95.296,137.012,81.154,83,125,25,23,24.167,22.444,174.833,0.813,25.554,108630,255,NaN,NaN,100,108630,1,84,143,30.579,23.000,1.077,0.929,0.928
9,1478,255,0,255,255,553.238,177.836,154.208,531,156,44,44,43.552,43.209,152.130,0.781,45.354,376890,255,NaN,NaN,100,376890,1,531,182,14.036,43.134,1.008,0.992,0.958
10,2436,255,0,255,255,978.568,223.538,191.865,951,195,58,57,56.704,54.698,127.615,0.832,59.439,621180,255,NaN,NaN,100,621180,1,951,217,167.367,55.861,1.037,0.965,0.961
11,241,255,0,255,255,886.496,241.541,60.184,877,233,18,18,17.808,17.231,56.579,0.836,19.416,61455,255,NaN,NaN,100,61455,1,879,248,34.509,18.000,1.033,0.968,0.920
12,322,255,0,255,255,1090.000,247.832,73.740,1079,238,22,19,22.096,18.555,0.669,0.744,23.087,82110,255,NaN,NaN,100,82110,1,1079,252,17.650,18.692,1.191,0.840,0.912
13,388,255,0,255,255,383.665,252.802,74.083,373,241,22,23,22.933,21.541,115.695,0.888,23.854,98940,255,NaN,NaN,100,98940,1,377,243,123.024,22.000,1.065,0.939,0.938
14,1662,255,0,255,255,144.125,276.132,158.894,121,253,46,47,47.223,44.811,66.648,0.827,48.877,423810,255,NaN,NaN,100,423810,1,133,298,59.237,45.853,1.054,0.949,0.964
15,1961,255,0,255,255,1099.617,280.597,174.309,1074,255,51,51,51.459,48.520,128.188,0.811,54.918,500055,255,NaN,NaN,100,500055,1,1084,257,123.111,49.617,1.061,0.943,0.955
16,483,255,0,255,255,732.030,289.258,82.569,720,275,25,27,25.714,23.916,97.089,0.890,28.160,123165,255,NaN,NaN,100,123165,1,728,275,106.504,24.749,1.075,0.930,0.937
17,212,255,0,255,255,779.774,301.344,55.598,770,293,19,16,17.189,15.704,14.090,0.862,19.416,54060,255,NaN,NaN,100,54060,1,770,305,11.889,16.000,1.095,0.914,0.920
18,505,255,0,255,255,920.716,323.847,94.468,909,310,24,29,28.927,22.228,71.164,0.711,31.906,128775,255,NaN,NaN,100,128775,1,915,338,57.804,23.194,1.301,0.768,0.910
19,1645,255,0,255,255,697.524,344.175,154.510,675,321,45,47,46.539,45.005,114.530,0.866,48.600,419475,255,NaN,NaN,100,419475,1,683,324,126.634,45.000,1.034,0.967,0.964
20,224,255,0,255,255,301.719,357.121,57.841,293,348,17,18,17.518,16.281,132.254,0.841,19.235,57120,255,NaN,NaN,100,57120,1,297,349,117.897,16.971,1.076,0.929,0.912
21,29,255,0,255,255,849.534,364.466,20.971,846,361,7,7,6.336,5.827,45.000,0.829,7.280,7395,255,NaN,NaN,100,7395,1,846,365,15.945,6.641,1.087,0.920,0.784
22,997,255,0,255,255,939.375,389.217,123.196,922,371,36,37,36.057,35.206,90.479,0.825,37.643,254235,255,NaN,NaN,100,254235,1,927,404,50.389,36.000,1.024,0.976,0.945
23,1472,255,0,255,255,728.567,423.150,145.924,707,401,43,44,43.662,42.925,103.248,0.869,45.177,375360,255,NaN,NaN,100,375360,1,709,434,27.699,43.000,1.017,0.983,0.963
24,183,255,0,255,255,356.265,411.243,52.184,349,402,15,17,16.662,13.984,71.093,0.844,18.028,46665,255,NaN,NaN,100,46665,1,352,419,70.560,14.758,1.191,0.839,0.906
25,2236,255,0,255,255,469.233,439.937,180.309,443,413,53,54,54.158,52.568,76.035,0.864,55.317,570180,255,NaN,NaN,100,570180,1,463,467,77.471,53.000,1.030,0.971,0.969
26,3123,255,0,255,255,341.328,452.637,218.836,309,421,63,68,65.099,61.081,105.830,0.819,70.520,796365,255,NaN,NaN,100,796365,1,329,422,108.178,62.550,1.066,0.938,0.953
27,2169,255,0,255,255,639.392,447.978,187.137,613,422,56,52,54.181,50.970,32.211,0.778,60.465,553095,255,NaN,NaN,100,553095,1,618,465,34.216,52.000,1.063,0.941,0.941
28,2397,255,0,255,255,940.701,478.368,185.480,913,451,55,55,56.661,53.864,44.582,0.876,58.600,611235,255,NaN,NaN,100,611235,1,915,492,25.253,54.447,1.052,0.951,0.971
29,1602,255,0,255,255,121.273,482.023,155.581,99,459,45,46,46.244,44.108,90.479,0.832,47.802,408510,255,NaN,NaN,100,408510,1,114,459,105.781,45.000,1.048,0.954,0.959
30,376,255,0,255,255,368.428,483.040,73.983,355,470,24,24,23.601,20.285,45.892,0.863,25.080,95880,255,NaN,NaN,100,95880,1,355,486,23.499,20.506,1.163,0.859,0.931
31,1372,255,0,255,255,82.775,501.202,142.510,61,480,43,43,43.223,40.416,103.656,0.849,44.385,349860,255,NaN,NaN,100,349860,1,77,480,104.349,41.325,1.069,0.935,0.957
32,594,255,0,255,255,785.547,518.598,94.811,771,505,29,29,28.760,26.297,22.465,0.830,30.083,151470,255,NaN,NaN,100,151470,1,781,534,68.552,27.211,1.094,0.914,0.922
33,147,255,0,255,255,892.704,513.609,45.456,885,507,15,13,14.023,13.347,13.987,0.894,15.264,37485,255,NaN,NaN,100,37485,1,889,520,58.392,13.000,1.051,0.952,0.916
34,2903,255,0,255,255,807.706,555.409,207.037,778,525,62,61,61.044,60.550,69.245,0.851,63.789,740265,255,NaN,NaN,100,740265,1,778,563,13.601,61.000,1.008,0.992,0.963
35,407,255,0,255,255,1088.711,537.969,78.569,1077,526,23,24,22.860,22.669,94.055,0.829,24.187,103785,255,NaN,NaN,100,103785,1,1087,526,97.125,23.000,1.008,0.992,0.927
36,2310,255,0,255,255,457.482,574.334,184.309,430,547,55,55,54.716,53.754,124.676,0.855,57.201,589050,255,NaN,NaN,100,589050,1,434,558,143.531,54.447,1.018,0.982,0.965
37,209,255,0,255,255,1070.682,555.782,57.255,1062,547,17,17,16.697,15.938,131.726,0.801,18.028,53295,255,NaN,NaN,100,53295,1,1063,551,146.310,16.760,1.048,0.955,0.899
38,2052,255,0,255,255,674.225,607.187,172.066,648,581,52,52,51.287,50.942,124.019,0.871,52.498,523260,255,NaN,NaN,100,523260,1,649,600,162.255,51.619,1.007,0.993,0.965
39,2468,255,0,255,255,224.379,639.487,193.622,195,612,63,55,59.376,52.923,1.940,0.827,63.789,629340,255,NaN,NaN,100,629340,1,196,647,13.601,54.324,1.122,0.891,0.954
40,692,255,0,255,255,181.092,638.851,103.397,167,624,28,32,30.594,28.799,72.840,0.813,34.886,176460,255,NaN,NaN,100,176460,1,173,656,62.700,28.000,1.062,0.941,0.930
41,575,255,0,255,255,864.992,644.204,95.782,851,630,28,28,27.131,26.984,106.623,0.788,28.443,146625,255,NaN,NaN,100,146625,1,863,630,100.125,27.577,1.005,0.995,0.936
42,1983,255,0,255,255,515.741,673.367,170.894,491,648,50,51,50.535,49.962,128.908,0.853,52.697,505665,255,NaN,NaN,100,505665,1,493,659,146.611,50.000,1.011,0.989,0.968
