 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1566,255,0,255,255,73.183,41.778,147.539,50,21,46,42,46.450,42.925,158.838,0.904,48.415,399330,255,NaN,NaN,100,399330,1,53,28,141.710,42.000,1.082,0.924,0.970
2,3900,255,0,255,255,493.531,135.456,242.350,456,99,75,72,83.654,59.359,139.477,0.834,85.000,994500,255,NaN,NaN,100,994500,1,461,112,143.130,62.610,1.409,0.710,0.965
3,1366,255,0,255,255,595.512,130.539,137.539,575,109,41,43,42.466,40.956,106.817,0.907,43.658,348330,255,NaN,NaN,100,348330,1,588,110,110.095,41.000,1.037,0.964,0.962
4,2078,255,0,255,255,809.932,166.957,168.267,784,142,52,50,52.175,50.710,168.634,0.922,53.759,529890,255,NaN,NaN,100,529890,1,784,160,161.565,50.000,1.029,0.972,0.974
5,2221,255,0,255,255,1090.425,171.175,179.924,1063,145,56,52,55.246,51.187,27.037,0.862,57.009,566355,255,NaN,NaN,100,566355,1,1063,179,15.255,52.000,1.079,0.927,0.953
6,3859,255,0,255,255,320.415,216.993,233.865,285,182,71,71,70.342,69.850,109.200,0.887,72.007,984045,255,NaN,NaN,100,984045,1,313,182,99.593,70.512,1.007,0.993,0.972
7,1956,255,0,255,255,1103.042,222.087,164.752,1078,196,51,51,51.204,48.638,32.451,0.906,52.887,498780,255,NaN,NaN,100,498780,1,1096,247,74.650,48.498,1.053,0.950,0.967
8,2695,255,0,255,255,524.447,235.063,202.894,493,207,62,57,60.670,56.558,152.100,0.823,66.888,687225,255,NaN,NaN,100,687225,1,494,215,148.449,57.000,1.073,0.932,0.950
9,2979,255,0,255,255,1017.150,285.399,205.966,986,255,62,61,62.889,60.312,33.720,0.882,64.351,759645,255,NaN,NaN,100,759645,1,991,304,32.949,61.000,1.043,0.959,0.973
10,4623,255,0,255,255,644.643,298.005,266.936,608,259,74,81,83.464,70.524,55.180,0.815,91.679,1178865,255,NaN,NaN,100,1178865,1,610,327,39.245,73.220,1.183,0.845,0.953
11,1128,255,0,255,255,842.829,289.639,132.853,822,272,42,37,42.703,33.633,15.561,0.803,42.953,287640,255,NaN,NaN,100,287640,1,822,288,167.905,33.520,1.270,0.788,0.940
12,2557,255,0,255,255,772.253,312.832,190.652,743,284,58,58,58.328,55.817,162.674,0.884,59.615,652035,255,NaN,NaN,100,652035,1,744,302,157.306,56.297,1.045,0.957,0.963
13,1730,255,0,255,255,951.751,307.376,155.681,928,284,48,47,47.910,45.976,2.697,0.897,49.244,441150,255,NaN,NaN,100,441150,1,928,313,12.907,46.957,1.042,0.960,0.966
14,3736,255,0,255,255,374.650,322.015,228.451,339,287,70,70,70.673,67.307,39.630,0.900,72.069,952680,255,NaN,NaN,100,952680,1,356,353,60.945,67.951,1.050,0.952,0.974
15,10753,255,0,255,255,875.855,358.006,396.475,816,298,119,119,121.822,112.387,143.059,0.860,126.905,2742015,255,NaN,NaN,100,2742015,1,828,314,139.154,112.698,1.084,0.923,0.976
16,1526,255,0,255,255,753.752,356.523,147.539,732,333,44,45,45.185,43.000,137.016,0.881,47.011,389130,255,NaN,NaN,100,389130,1,745,334,113.839,43.656,1.051,0.952,0.957
17,2316,255,0,255,255,694.086,360.507,178.167,666,334,56,53,54.877,53.735,179.644,0.917,56.089,590580,255,NaN,NaN,100,590580,1,666,364,11.310,53.000,1.021,0.979,0.973
18,2865,255,0,255,255,107.592,388.553,199.723,77,358,61,61,60.648,60.148,171.235,0.903,62.298,730575,255,NaN,NaN,100,730575,1,78,378,161.274,60.811,1.008,0.992,0.973
19,3045,255,0,255,255,35.652,448.305,205.137,4,416,63,63,63.627,60.933,137.500,0.909,65.734,776475,255,NaN,NaN,100,776475,1,10,429,146.793,60.811,1.044,0.958,0.973
20,1597,255,0,255,255,1000.623,464.659,147.782,978,442,45,45,45.409,44.779,35.877,0.919,46.648,407235,255,NaN,NaN,100,407235,1,981,477,30.964,45.000,1.014,0.986,0.970
21,2000,255,0,255,255,1109.701,513.630,172.551,1082,487,55,53,51.802,49.158,35.853,0.844,55.227,510000,255,NaN,NaN,100,510000,1,1082,518,5.194,50.118,1.054,0.949,0.949
22,2544,255,0,255,255,242.024,547.042,189.823,213,518,58,57,58.282,55.577,22.614,0.887,60.033,648720,255,NaN,NaN,100,648720,1,215,561,29.982,56.796,1.049,0.954,0.968
