 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2246,255,0,255,255,394.602,40.040,180.894,368,12,53,55,54.277,52.687,85.576,0.863,56.089,572730,255,NaN,NaN,100,572730,1,387,67,78.690,52.750,1.030,0.971,0.967
2,2751,255,0,255,255,1178.464,86.501,194.995,1150,56,57,61,60.888,57.527,69.022,0.909,62.201,701505,255,NaN,NaN,100,701505,1,1161,112,53.499,57.000,1.058,0.945,0.974
3,2902,255,0,255,255,624.602,100.494,200.995,595,70,60,61,61.522,60.059,107.063,0.903,63.600,740010,255,NaN,NaN,100,740010,1,600,80,143.310,60.000,1.024,0.976,0.972
4,1631,255,0,255,255,886.474,111.997,155.338,863,90,52,44,49.425,42.017,1.841,0.849,53.367,415905,255,NaN,NaN,100,415905,1,863,119,12.995,44.000,1.176,0.850,0.950
5,2467,255,0,255,255,1062.322,156.011,188.066,1034,128,56,56,56.343,55.749,41.257,0.877,59.169,629085,255,NaN,NaN,100,629085,1,1038,171,30.466,56.000,1.011,0.989,0.970
6,2030,255,0,255,255,1157.252,179.914,167.338,1131,155,52,50,51.715,49.979,25.378,0.911,53.712,517650,255,NaN,NaN,100,517650,1,1133,192,28.951,50.000,1.035,0.966,0.972
7,2135,255,0,255,255,842.781,193.574,174.409,817,167,52,54,53.032,51.259,77.412,0.882,55.362,544425,255,NaN,NaN,100,544425,1,833,220,69.928,51.861,1.035,0.967,0.967
8,3908,255,0,255,255,754.134,216.300,233.865,720,180,69,72,72.460,68.670,90.844,0.898,73.756,996540,255,NaN,NaN,100,996540,1,746,252,77.471,69.000,1.055,0.948,0.976
9,1946,255,0,255,255,937.653,260.944,164.510,913,236,50,50,50.060,49.495,34.452,0.904,51.624,496230,255,NaN,NaN,100,496230,1,917,276,31.535,50.000,1.011,0.989,0.969
10,2507,255,0,255,255,569.867,273.262,187.581,541,246,58,55,57.630,55.388,13.373,0.895,59.237,639285,255,NaN,NaN,100,639285,1,542,283,21.801,54.831,1.040,0.961,0.969
