 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49,255,0,255,255,607.643,51.071,43.941,599,46,17,9,17.496,3.566,152.808,0.319,19.235,12495,255,NaN,NaN,100,12495,1,599,46,152.103,4.919,4.906,0.204,0.690
2,19,255,0,255,255,621.553,55.711,22.142,617,54,9,3,9.305,2.600,173.204,0.487,9.487,4845,255,NaN,NaN,100,4845,1,617,54,161.565,3.000,3.579,0.279,0.792
3,2223,255,0,255,255,608.353,115.056,231.522,582,85,52,58,56.463,50.129,90.115,0.521,58.694,566865,255,NaN,NaN,100,566865,1,604,85,103.799,51.617,1.126,0.888,0.945
4,168,255,0,255,255,148.720,98.821,89.054,138,88,26,29,30.627,6.984,46.166,0.266,38.949,42840,255,NaN,NaN,100,42840,1,138,117,48.122,9.974,4.385,0.228,0.600
5,3477,255,0,255,255,175.321,125.818,235.806,141,91,70,73,69.587,63.619,100.932,0.786,76.243,886635,255,NaN,NaN,100,886635,1,166,91,106.771,65.455,1.094,0.914,0.950
6,6564,255,0,255,255,236.801,172.525,345.061,189,115,93,108,107.058,78.065,124.981,0.693,113.877,1673820,255,NaN,NaN,100,1673820,1,212,123,120.619,85.502,1.371,0.729,0.920
7,70,255,0,255,255,605.029,144.957,65.113,590,140,28,8,22.809,3.908,171.929,0.207,28.636,17850,255,NaN,NaN,100,17850,1,590,140,167.905,6.632,5.837,0.171,0.490
8,15,255,0,255,255,621.300,142.567,18.728,619,140,6,5,6.141,3.110,25.796,0.537,7.810,3825,255,NaN,NaN,100,3825,1,619,145,39.806,4.315,1.975,0.506,0.682
9,2449,255,0,255,255,300.695,170.061,209.966,274,141,57,62,61.008,51.110,116.921,0.698,70.605,624495,255,NaN,NaN,100,624495,1,274,147,127.519,55.056,1.194,0.838,0.928
10,1933,255,0,255,255,343.498,194.906,208.208,318,166,49,55,52.557,46.829,108.340,0.560,58.600,492915,255,NaN,NaN,100,492915,1,333,166,115.253,48.746,1.122,0.891,0.937
