 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2764,255,0,255,255,264.488,52.241,206.836,235,22,59,60,60.662,58.014,124.82,0.812,62.266,704820,255,,,100,704820,1,251,24,119.859,58.69,1.046,0.956,0.969
2,2554,255,0,255,255,697.684,146.339,198.593,669,117,57,58,57.534,56.52,84.744,0.814,59.203,651270,255,,,100,651270,1,690,175,74.32,57.0,1.018,0.982,0.968
3,4042,255,0,255,255,1174.881,202.358,252.534,1139,167,72,72,72.797,70.696,32.634,0.796,75.452,1030710,255,,,100,1030710,1,1143,222,34.743,71.834,1.03,0.971,0.972
4,3943,255,0,255,255,474.88,222.687,240.25,438,187,73,71,72.218,69.517,8.715,0.858,75.286,1005465,255,,,100,1005465,1,438,209,163.009,70.441,1.039,0.963,0.968
5,943,255,0,255,255,421.992,220.35,117.64,405,202,32,36,36.336,33.044,90.526,0.856,37.537,240465,255,,,100,240465,1,409,208,138.24,32.0,1.1,0.909,0.963
6,3108,255,0,255,255,482.744,332.682,221.078,451,300,63,66,64.583,61.273,111.732,0.799,66.611,792540,255,,,100,792540,1,479,300,97.765,62.297,1.054,0.949,0.965
7,1485,255,0,255,255,984.72,411.71,148.167,963,390,44,44,45.397,41.649,46.715,0.85,46.872,378675,255,,,100,378675,1,965,424,33.69,42.426,1.09,0.917,0.961
8,1422,255,0,255,255,119.148,553.446,145.338,97,533,44,41,43.865,41.276,10.779,0.846,45.618,362610,255,,,100,362610,1,99,564,26.003,41.0,1.063,0.941,0.963
9,1912,255,0,255,255,637.61,674.744,167.48,613,651,50,49,50.011,48.678,144.553,0.857,51.624,487560,255,,,100,487560,1,628,651,111.595,48.79,1.027,0.973,0.968
10,4995,255,0,255,255,696.495,794.921,278.777,656,755,82,79,80.964,78.552,149.091,0.808,85.0,1273725,255,,,100,1273725,1,663,771,143.13,79.0,1.031,0.97,0.968
11,1327,255,0,255,255,750.497,824.11,141.338,729,803,42,42,42.201,40.037,78.312,0.835,43.463,338385,255,,,100,338385,1,741,844,66.975,40.482,1.054,0.949,0.954
12,3607,255,0,255,255,56.624,843.407,231.078,23,809,68,69,68.225,67.315,37.034,0.849,69.893,919785,255,,,100,919785,1,28,863,33.917,67.882,1.014,0.987,0.972
1,2545,255,0,255,255,867.522,32.514,213.563,839,3,56,60,59.301,54.643,111.874,0.701,65.803,648975,255,,,100,648975,1,850,9,126.347,56.0,1.085,0.921,0.941
2,3305,255,0,255,255,531.779,43.462,223.421,500,10,64,67,65.637,64.111,82.726,0.832,68.154,842775,255,,,100,842775,1,521,76,75.556,64.0,1.024,0.977,0.969
3,2895,255,0,255,255,132.297,47.301,206.451,101,17,61,61,61.038,60.389,80.768,0.854,62.682,738225,255,,,100,738225,1,107,66,33.944,60.992,1.011,0.989,0.97
4,2091,255,0,255,255,451.806,60.762,179.622,426,34,51,54,52.819,50.405,93.584,0.814,54.452,533205,255,,,100,533205,1,447,34,97.386,51.0,1.048,0.954,0.962
5,1785,255,0,255,255,401.018,96.159,162.409,377,72,47,48,48.594,46.769,86.543,0.85,50.289,455175,255,,,100,455175,1,393,120,72.646,47.0,1.039,0.962,0.968
6,1601,255,0,255,255,461.318,117.619,155.48,439,94,45,47,45.757,44.55,79.588,0.832,47.17,408255,255,,,100,408255,1,459,94,94.865,45.0,1.027,0.974,0.961
