 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2360,255,0,255,255,1161.404,32.307,193.765,1134,5,55,55,56.742,52.956,129.706,0.790,58.258,601800,255,NaN,NaN,100,601800,1,1145,8,129.428,54.447,1.071,0.933,0.965
2,221,255,0,255,255,239.242,19.093,56.426,230,11,18,17,17.758,15.846,154.582,0.872,18.682,56355,255,NaN,NaN,100,56355,1,230,21,15.524,16.263,1.121,0.892,0.921
3,69,255,0,255,255,307.268,19.065,31.213,303,14,9,10,10.481,8.382,118.254,0.890,11.402,17595,255,NaN,NaN,100,17595,1,303,15,127.875,9.000,1.250,0.800,0.890
4,73,255,0,255,255,1013.103,26.541,30.627,1008,22,10,10,10.667,8.713,37.633,0.978,11.662,18615,255,NaN,NaN,100,18615,1,1008,29,30.964,9.192,1.224,0.817,0.907
5,28,255,0,255,255,1061.286,37.071,19.314,1058,34,6,6,6.979,5.108,43.708,0.943,7.810,7140,255,NaN,NaN,100,7140,1,1058,39,39.806,5.814,1.366,0.732,0.889
6,454,255,0,255,255,1184.421,77.890,81.154,1172,66,25,24,24.227,23.860,18.734,0.866,25.554,115770,255,NaN,NaN,100,115770,1,1173,84,30.579,24.000,1.015,0.985,0.939
7,43,255,0,255,255,360.895,72.802,24.142,357,69,7,8,8.645,6.333,110.148,0.927,9.434,10965,255,NaN,NaN,100,10965,1,358,69,122.005,6.957,1.365,0.733,0.896
8,456,255,0,255,255,685.276,88.072,85.154,674,76,24,26,25.866,22.447,65.529,0.790,28.601,116280,255,NaN,NaN,100,116280,1,675,96,36.469,23.076,1.152,0.868,0.922
9,90,255,0,255,255,1208.367,82.433,41.698,1200,76,14,12,11.143,10.284,1.349,0.650,14.560,22950,255,NaN,NaN,100,22950,1,1200,82,164.055,11.625,1.084,0.923,0.776
10,812,255,0,255,255,582.445,96.133,110.225,567,79,31,34,33.430,30.926,82.324,0.840,36.235,207060,255,NaN,NaN,100,207060,1,574,111,62.021,31.000,1.081,0.925,0.945
11,589,255,0,255,255,787.646,93.855,94.225,774,80,27,28,28.434,26.375,61.426,0.834,30.083,150195,255,NaN,NaN,100,150195,1,783,108,68.552,27.000,1.078,0.928,0.948
12,174,255,0,255,255,24.828,99.356,49.355,17,92,16,15,15.152,14.622,150.467,0.898,16.279,44370,255,NaN,NaN,100,44370,1,17,97,169.380,14.849,1.036,0.965,0.918
13,1665,255,0,255,255,319.316,127.923,153.681,296,104,46,47,46.825,45.274,117.641,0.886,48.270,424575,255,NaN,NaN,100,424575,1,303,110,129.958,45.962,1.034,0.967,0.963
14,1600,255,0,255,255,95.410,144.066,165.037,65,122,54,44,48.663,41.863,169.658,0.738,55.543,408000,255,NaN,NaN,100,408000,1,65,137,166.464,44.000,1.162,0.860,0.929
15,228,255,0,255,255,597.259,145.671,57.012,589,137,17,18,17.659,16.439,72.671,0.881,18.788,58140,255,NaN,NaN,100,58140,1,593,154,64.799,16.971,1.074,0.931,0.929
16,375,255,0,255,255,770.420,156.009,72.426,760,145,21,22,22.460,21.259,76.481,0.898,23.854,95625,255,NaN,NaN,100,95625,1,762,165,56.976,21.000,1.056,0.947,0.952
17,186,255,0,255,255,447.301,163.801,52.184,440,156,15,16,16.376,14.461,109.003,0.858,17.205,47430,255,NaN,NaN,100,47430,1,442,157,125.538,15.000,1.132,0.883,0.923
18,998,255,0,255,255,513.205,179.332,122.024,495,161,36,37,35.948,35.348,89.667,0.842,37.216,254490,255,NaN,NaN,100,254490,1,505,196,59.300,36.000,1.017,0.983,0.950
19,560,255,0,255,255,643.771,186.784,89.154,631,173,26,27,27.241,26.174,80.032,0.885,28.653,142800,255,NaN,NaN,100,142800,1,636,199,60.751,26.000,1.041,0.961,0.952
20,275,255,0,255,255,128.464,183.267,64.669,119,174,19,19,20.309,17.240,140.591,0.826,21.401,70125,255,NaN,NaN,100,70125,1,123,174,127.405,17.678,1.178,0.849,0.931
21,1609,255,0,255,255,328.173,198.610,157.723,306,176,45,46,45.674,44.854,116.572,0.813,47.170,410295,255,NaN,NaN,100,410295,1,315,179,122.005,45.000,1.018,0.982,0.962
22,93,255,0,255,255,482.489,207.554,35.456,477,202,11,11,11.008,10.757,68.660,0.930,12.207,23715,255,NaN,NaN,100,23715,1,477,210,34.992,11.000,1.023,0.977,0.907
23,1962,255,0,255,255,393.912,254.166,167.823,367,229,53,50,50.759,49.215,6.809,0.875,53.600,500310,255,NaN,NaN,100,500310,1,368,263,14.036,50.000,1.031,0.970,0.959
24,2030,255,0,255,255,132.093,267.845,175.622,107,242,51,54,51.627,50.065,92.159,0.827,54.745,517650,255,NaN,NaN,100,517650,1,127,296,80.538,50.912,1.031,0.970,0.962
25,1464,255,0,255,255,485.796,268.819,149.823,463,246,46,45,47.476,39.262,142.626,0.820,48.600,373320,255,NaN,NaN,100,373320,1,467,254,143.366,40.216,1.209,0.827,0.950
26,220,255,0,255,255,359.591,256.518,55.698,351,248,16,17,17.402,16.097,104.989,0.891,19.105,56100,255,NaN,NaN,100,56100,1,354,249,132.879,16.000,1.081,0.925,0.934
27,858,255,0,255,255,442.127,282.604,112.468,425,266,34,33,33.179,32.926,88.095,0.852,35.384,218790,255,NaN,NaN,100,218790,1,429,294,42.709,33.000,1.008,0.992,0.950
28,884,255,0,255,255,60.887,291.979,114.368,44,275,34,35,34.492,32.632,149.350,0.849,35.847,225420,255,NaN,NaN,100,225420,1,46,282,149.859,33.234,1.057,0.946,0.949
29,133,255,0,255,255,616.853,294.786,45.941,609,288,14,15,14.728,11.498,141.419,0.792,15.811,33915,255,NaN,NaN,100,33915,1,615,288,108.435,12.481,1.281,0.781,0.869
30,1678,255,0,255,255,601.899,321.647,156.995,579,297,46,48,47.550,44.931,60.208,0.856,50.090,427890,255,NaN,NaN,100,427890,1,590,343,63.947,45.962,1.058,0.945,0.962
31,990,255,0,255,255,724.878,317.660,122.024,707,300,36,36,36.388,34.640,56.018,0.836,37.802,252450,255,NaN,NaN,100,252450,1,710,329,37.476,35.355,1.050,0.952,0.952
32,749,255,0,255,255,360.521,316.768,105.296,345,301,31,31,30.996,30.767,142.342,0.849,32.450,190995,255,NaN,NaN,100,190995,1,351,330,56.310,31.000,1.007,0.993,0.951
33,1686,255,0,255,255,660.451,330.112,160.066,637,306,47,48,46.732,45.936,69.753,0.827,48.260,429930,255,NaN,NaN,100,429930,1,640,343,34.019,46.802,1.017,0.983,0.958
34,2162,255,0,255,255,476.545,335.056,179.966,450,309,53,53,52.888,52.049,122.673,0.839,54.203,551310,255,NaN,NaN,100,551310,1,464,311,119.876,52.810,1.016,0.984,0.966
35,39,255,0,255,255,113.603,318.269,28.627,110,312,8,11,10.953,4.534,117.517,0.598,12.530,9945,255,NaN,NaN,100,9945,1,110,312,118.610,5.824,2.416,0.414,0.743
36,368,255,0,255,255,531.492,346.410,72.083,521,335,21,23,22.879,20.480,84.243,0.890,24.352,93840,255,NaN,NaN,100,93840,1,527,358,70.821,21.000,1.117,0.895,0.940
37,1745,255,0,255,255,944.707,376.994,162.894,921,353,47,48,48.369,45.934,57.697,0.826,49.930,444975,255,NaN,NaN,100,444975,1,931,398,57.265,46.795,1.053,0.950,0.962
38,1597,255,0,255,255,194.456,380.911,153.095,172,358,45,46,45.941,44.260,135.341,0.856,47.634,407235,255,NaN,NaN,100,407235,1,177,365,140.964,44.904,1.038,0.963,0.958
39,1177,255,0,255,255,285.229,381.836,135.581,266,362,39,40,39.515,37.925,138.717,0.805,40.608,300135,255,NaN,NaN,100,300135,1,271,367,127.999,38.887,1.042,0.960,0.952
40,135,255,0,255,255,1087.907,368.478,45.355,1081,362,14,13,13.965,12.309,20.860,0.825,15.264,34425,255,NaN,NaN,100,34425,1,1081,372,31.608,12.965,1.135,0.881,0.894
41,2639,255,0,255,255,720.745,398.291,199.279,691,369,59,59,58.701,57.241,45.146,0.835,60.208,672945,255,NaN,NaN,100,672945,1,697,381,147.894,57.940,1.026,0.975,0.961
42,532,255,0,255,255,1120.068,389.316,88.811,1107,376,27,26,26.961,25.124,22.945,0.848,28.302,135660,255,NaN,NaN,100,135660,1,1109,398,32.005,26.000,1.073,0.932,0.942
43,2054,255,0,255,255,903.782,417.329,172.652,878,392,52,51,52.551,49.765,38.921,0.866,54.083,523770,255,NaN,NaN,100,523770,1,882,433,33.690,50.478,1.056,0.947,0.967
44,778,255,0,255,255,1191.153,414.613,108.368,1175,399,33,34,32.620,30.367,54.700,0.833,35.171,198390,255,NaN,NaN,100,198390,1,1186,433,75.174,31.113,1.074,0.931,0.940
45,104,255,0,255,255,1060.356,422.212,39.698,1054,416,12,12,12.065,10.976,33.390,0.829,13.601,26520,255,NaN,NaN,100,26520,1,1057,428,53.973,11.628,1.099,0.910,0.881
46,2297,255,0,255,255,539.116,449.907,179.823,512,423,54,54,54.349,53.812,51.347,0.893,56.080,585735,255,NaN,NaN,100,585735,1,529,476,68.009,54.000,1.010,0.990,0.971
47,343,255,0,255,255,720.241,436.806,71.012,709,428,23,19,22.371,19.522,12.158,0.855,23.431,87465,255,NaN,NaN,100,87465,1,713,446,39.806,19.000,1.146,0.873,0.941
