 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49,255,0,255,255,36.724,29.724,25.799,33,25,8,9,8.627,7.231,139.929,0.925,9.434,12495,255,,,100,12495,1,33,27,147.995,7.778,1.193,0.838,0.875
2,907,255,0,255,255,695.064,122.539,114.711,679,105,33,35,35.875,32.19,62.598,0.866,37.443,231285,255,,,100,231285,1,684,138,55.886,33.0,1.114,0.897,0.959
3,2324,255,0,255,255,450.557,141.883,187.865,424,114,53,57,56.279,52.577,83.677,0.827,57.559,592620,255,,,100,592620,1,450,171,82.011,53.0,1.07,0.934,0.965
4,368,255,0,255,255,277.28,135.75,73.941,265,126,24,20,25.463,18.401,165.118,0.846,26.627,93840,255,,,100,93840,1,266,131,145.713,18.577,1.384,0.723,0.941
5,402,255,0,255,255,273.704,152.988,82.083,261,142,26,22,25.397,20.153,171.128,0.75,26.476,102510,255,,,100,102510,1,261,152,10.886,20.623,1.26,0.794,0.914
6,189,255,0,255,255,264.183,178.78,51.355,256,171,16,16,16.593,14.502,121.407,0.901,17.493,48195,255,,,100,48195,1,260,171,120.964,14.849,1.144,0.874,0.924
7,1372,255,0,255,255,1206.077,221.987,139.782,1185,201,42,42,42.415,41.186,45.454,0.882,44.418,349860,255,,,100,349860,1,1187,234,31.185,41.88,1.03,0.971,0.96
8,1259,255,0,255,255,761.824,229.71,136.267,742,209,40,41,40.944,39.151,55.646,0.852,42.438,321045,255,,,100,321045,1,751,248,55.561,40.0,1.046,0.956,0.957
9,1229,255,0,255,255,1162.316,231.322,142.167,1139,214,47,35,47.445,32.982,168.105,0.764,48.052,313395,255,,,100,313395,1,1139,225,167.989,33.836,1.439,0.695,0.951
10,1573,255,0,255,255,569.264,243.878,152.995,548,220,43,48,46.892,42.711,96.366,0.844,48.26,401115,255,,,100,401115,1,567,220,95.947,43.0,1.098,0.911,0.959
11,724,255,0,255,255,826.478,238.702,107.539,811,224,30,30,32.353,28.493,53.436,0.787,35.228,184620,255,,,100,184620,1,819,254,55.408,29.698,1.135,0.881,0.951
12,1950,255,0,255,255,904.859,284.296,184.551,878,257,53,52,53.863,46.095,156.17,0.719,58.31,497250,255,,,100,497250,1,880,267,149.036,48.977,1.169,0.856,0.9
13,702,255,0,255,255,255.189,283.838,98.225,240,269,30,30,30.664,29.148,138.018,0.914,31.623,179010,255,,,100,179010,1,246,271,124.695,28.991,1.052,0.951,0.959
14,631,255,0,255,255,1170.988,314.464,95.983,1156,301,30,27,30.361,26.462,22.68,0.861,32.45,160905,255,,,100,160905,1,1157,322,33.69,27.0,1.147,0.872,0.951
15,683,255,0,255,255,130.847,323.305,98.225,116,309,30,29,30.819,28.218,154.066,0.89,32.202,174165,255,,,100,174165,1,117,315,154.231,28.991,1.092,0.916,0.955
16,1001,255,0,255,255,695.771,340.924,129.095,679,319,34,41,39.804,32.02,98.196,0.755,41.773,255255,255,,,100,255255,1,692,319,101.041,34.0,1.243,0.804,0.933
17,508,255,0,255,255,843.063,331.596,84.326,830,319,26,25,25.578,25.288,123.524,0.898,26.926,129540,255,,,100,129540,1,838,319,111.801,25.0,1.011,0.989,0.949
18,583,255,0,255,255,920.119,333.39,92.225,906,320,28,27,27.816,26.686,34.007,0.861,29.155,148665,255,,,100,148665,1,907,340,30.964,27.0,1.042,0.959,0.948
19,1970,255,0,255,255,616.849,363.914,171.48,591,339,51,50,51.396,48.803,152.734,0.842,52.773,502350,255,,,100,502350,1,593,353,152.949,49.648,1.053,0.95,0.963
20,160,255,0,255,255,513.519,351.706,50.426,506,344,15,15,14.411,14.137,51.295,0.791,15.652,40800,255,,,100,40800,1,507,356,26.565,14.849,1.019,0.981,0.896
21,56,255,0,255,255,95.268,364.071,27.799,91,360,9,8,8.689,8.206,166.96,0.911,9.487,14280,255,,,100,14280,1,91,362,161.565,8.0,1.059,0.944,0.896
22,1752,255,0,255,255,1058.826,388.705,162.066,1035,365,48,47,47.803,46.665,21.13,0.838,49.244,446760,255,,,100,446760,1,1037,400,29.168,47.0,1.024,0.976,0.964
23,312,255,0,255,255,1125.779,412.183,71.983,1115,402,22,20,21.292,18.657,19.887,0.757,22.825,79560,255,,,100,79560,1,1116,419,28.811,19.677,1.141,0.876,0.908
24,1256,255,0,255,255,610.236,431.493,137.095,590,411,40,41,40.339,39.644,62.028,0.84,42.012,320280,255,,,100,320280,1,594,445,38.234,40.0,1.018,0.983,0.955
25,1485,255,0,255,255,806.6,434.972,151.823,785,413,44,44,43.858,43.111,27.942,0.81,45.618,378675,255,,,100,378675,1,786,445,26.003,44.0,1.017,0.983,0.955
26,220,255,0,255,255,85.827,429.168,55.598,77,421,18,16,18.205,15.387,162.378,0.894,18.974,56100,255,,,100,56100,1,77,426,161.565,16.0,1.183,0.845,0.93
27,472,255,0,255,255,1072.809,442.597,81.154,1060,430,26,25,25.005,24.034,8.047,0.901,26.173,120360,255,,,100,120360,1,1060,440,173.418,24.749,1.04,0.961,0.939
28,66,255,0,255,255,418.106,444.742,32.284,413,440,10,10,9.301,9.035,137.27,0.796,10.44,16830,255,,,100,16830,1,413,443,163.301,9.192,1.029,0.971,0.863
29,1347,255,0,255,255,954.201,464.061,144.409,933,443,42,42,41.87,40.961,25.776,0.812,43.417,343485,255,,,100,343485,1,939,480,51.546,41.426,1.022,0.978,0.956
30,2143,255,0,255,255,134.962,475.806,177.48,109,449,52,53,53.218,51.272,136.89,0.855,55.803,546465,255,,,100,546465,1,119,454,126.254,51.619,1.038,0.963,0.968
