 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2901,255,0,255,255,875.137,37.901,212.492,845,6,60,64,64.252,57.487,62.224,0.807,66.189,739755,255,,,100,739755,1,860,67,63.048,58.138,1.118,0.895,0.967
2,3029,255,0,255,255,425.955,67.296,214.007,395,36,62,63,63.55,60.687,115.594,0.831,65.513,772395,255,,,100,772395,1,410,39,121.264,61.518,1.047,0.955,0.97
3,3180,255,0,255,255,149.369,75.682,223.563,117,44,64,64,64.086,63.179,62.843,0.8,65.947,810900,255,,,100,810900,1,125,98,40.696,63.562,1.014,0.986,0.968
4,2425,255,0,255,255,299.898,77.44,195.622,274,49,53,57,57.506,53.691,95.771,0.796,59.548,618375,255,,,100,618375,1,279,55,130.914,53.0,1.071,0.934,0.964
5,2662,255,0,255,255,1011.053,78.872,201.522,982,50,59,58,61.101,55.472,38.03,0.824,62.968,678810,255,,,100,678810,1,985,96,32.681,56.729,1.101,0.908,0.968
6,6648,255,0,255,255,821.109,123.236,324.86,775,76,92,94,92.936,91.079,75.728,0.792,94.366,1695240,255,,,100,1695240,1,810,77,102.858,91.752,1.02,0.98,0.975
7,3687,255,0,255,255,548.689,123.254,244.191,515,88,68,70,69.704,67.348,83.403,0.777,71.309,940185,255,,,100,940185,1,535,156,67.751,68.0,1.035,0.966,0.968
8,1935,255,0,255,255,207.035,137.679,172.794,182,112,50,51,49.777,49.495,93.886,0.814,51.894,493425,255,,,100,493425,1,184,149,25.084,50.0,1.006,0.994,0.961
9,4142,255,0,255,255,1030.813,148.563,244.836,995,112,72,73,73.783,71.477,114.246,0.868,75.24,1056210,255,,,100,1056210,1,1018,113,113.499,72.0,1.032,0.969,0.977
10,3031,255,0,255,255,365.617,148.446,216.836,334,117,63,62,62.943,61.312,29.487,0.81,65.307,772905,255,,,100,772905,1,336,163,25.388,62.0,1.027,0.974,0.967
11,5060,255,0,255,255,1086.559,219.326,275.362,1045,179,82,80,80.593,79.94,139.828,0.839,83.934,1290300,255,,,100,1290300,1,1047,203,158.325,79.909,1.008,0.992,0.973
12,1530,255,0,255,255,94.569,210.512,152.066,72,188,45,45,44.407,43.868,90.361,0.831,45.88,390150,255,,,100,390150,1,89,188,106.46,44.518,1.012,0.988,0.96
13,2134,255,0,255,255,503.029,213.494,184.593,475,188,54,52,53.326,50.952,36.405,0.787,55.109,544170,255,,,100,544170,1,475,218,11.514,51.471,1.047,0.955,0.961
14,1197,255,0,255,255,1157.379,214.249,136.752,1137,195,40,39,40.664,37.48,34.724,0.804,42.72,305235,255,,,100,305235,1,1139,224,32.574,38.8,1.085,0.922,0.953
15,2403,255,0,255,255,162.386,225.227,190.208,134,197,56,56,55.704,54.926,116.681,0.835,57.689,612765,255,,,100,612765,1,149,200,123.69,55.34,1.014,0.986,0.965
16,2020,255,0,255,255,935.008,238.073,175.38,910,212,51,52,51.358,50.079,146.931,0.825,52.924,515100,255,,,100,515100,1,911,227,157.797,50.912,1.026,0.975,0.964
17,2454,255,0,255,255,239.058,261.159,201.321,213,227,52,65,62.724,49.814,105.623,0.761,67.446,625770,255,,,100,625770,1,232,227,105.479,52.0,1.259,0.794,0.957
18,4038,255,0,255,255,103.365,277.033,248.877,68,240,71,74,72.547,70.869,80.183,0.819,74.813,1029690,255,,,100,1029690,1,99,314,81.545,71.0,1.024,0.977,0.971
19,1758,255,0,255,255,836.919,266.431,170.007,813,242,48,48,47.727,46.899,23.344,0.764,49.769,448290,255,,,100,448290,1,813,274,22.443,47.376,1.018,0.983,0.962
20,4406,255,0,255,255,1035.868,280.046,258.392,999,242,74,75,76.726,73.116,128.077,0.829,78.892,1123530,255,,,100,1123530,1,1017,245,120.466,73.681,1.049,0.953,0.974
21,599,255,0,255,255,351.331,295.083,93.397,337,281,28,28,27.937,27.3,121.837,0.863,29.53,152745,255,,,100,152745,1,344,282,118.301,28.0,1.023,0.977,0.943
22,16,255,0,255,255,1169.75,283.312,15.314,1167,281,6,4,5.895,3.455,168.583,0.857,6.325,4080,255,,,100,4080,1,1167,282,161.565,4.0,1.706,0.586,0.821
23,1647,255,0,255,255,188.866,319.292,155.238,166,296,45,47,46.469,45.128,80.622,0.859,48.384,419985,255,,,100,419985,1,181,342,71.94,45.0,1.03,0.971,0.965
24,4403,255,0,255,255,424.135,347.003,262.434,387,307,74,78,76.959,72.845,72.634,0.803,78.772,1122765,255,,,100,1122765,1,418,307,98.027,74.0,1.056,0.947,0.971
25,1319,255,0,255,255,355.445,352.912,141.581,335,332,41,42,41.141,40.821,86.003,0.827,42.953,336345,255,,,100,336345,1,351,374,77.905,41.0,1.008,0.992,0.958
26,4856,255,0,255,255,731.647,375.787,269.463,691,337,80,78,79.478,77.793,169.917,0.84,80.777,1238280,255,,,100,1238280,1,694,362,158.199,78.0,1.022,0.979,0.975
27,3283,255,0,255,255,83.899,375.094,223.664,52,342,63,66,65.76,63.565,88.278,0.825,67.268,837165,255,,,100,837165,1,77,408,78.857,63.0,1.035,0.967,0.973
28,4094,255,0,255,255,550.52,422.361,249.463,515,386,71,73,73.18,71.23,90.025,0.827,74.733,1043970,255,,,100,1043970,1,537,388,114.507,71.0,1.027,0.973,0.974
29,2730,255,0,255,255,309.958,424.966,205.421,279,395,60,60,59.166,58.749,87.143,0.813,61.033,696150,255,,,100,696150,1,301,454,71.862,59.397,1.007,0.993,0.964
30,3601,255,0,255,255,946.336,430.903,232.492,913,396,67,69,68.616,66.82,87.429,0.837,70.88,918255,255,,,100,918255,1,935,465,73.61,67.0,1.027,0.974,0.973
31,1892,255,0,255,255,682.692,454.259,165.823,658,430,49,49,49.549,48.618,25.101,0.865,51.624,482460,255,,,100,482460,1,661,468,31.535,49.0,1.019,0.981,0.966
32,3771,255,0,255,255,409.917,475.387,243.948,375,440,70,70,69.678,68.908,61.219,0.796,71.309,961605,255,,,100,961605,1,395,508,67.751,69.615,1.011,0.989,0.971
33,1708,255,0,255,255,915.912,479.419,159.581,893,456,46,48,47.749,45.544,121.058,0.843,49.739,435540,255,,,100,435540,1,901,459,120.174,46.0,1.048,0.954,0.96
34,1945,255,0,255,255,349.141,491.848,167.238,324,467,51,50,50.04,49.489,170.859,0.874,51.624,495975,255,,,100,495975,1,339,468,111.595,50.0,1.011,0.989,0.965
35,1583,255,0,255,255,659.87,516.873,156.652,639,492,43,48,46.551,43.297,99.444,0.811,48.836,403665,255,,,100,403665,1,655,540,79.38,43.0,1.075,0.93,0.956
36,2732,255,0,255,255,934.888,530.644,203.522,906,501,58,60,59.88,58.091,87.077,0.829,61.327,696660,255,,,100,696660,1,921,503,114.057,58.0,1.031,0.97,0.968
