 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3358,255,0,255,255,901.935,72.812,231.463,866,40,69,65,66.74,64.063,18.73,0.788,70.831,856290,255,,,100,856290,1,866,79,13.055,65.0,1.042,0.96,0.962
2,1510,255,0,255,255,1155.135,62.303,150.409,1133,40,43,45,45.69,42.079,63.896,0.839,47.508,385050,255,,,100,385050,1,1144,83,59.657,42.949,1.086,0.921,0.963
3,1948,255,0,255,255,556.565,76.196,168.409,531,52,50,49,50.016,49.589,158.193,0.863,52.355,496740,255,,,100,496740,1,534,89,28.523,49.0,1.009,0.991,0.967
4,2970,255,0,255,255,34.322,88.896,212.593,3,58,62,62,62.913,60.107,120.814,0.826,65.192,757350,255,,,100,757350,1,6,71,147.529,61.518,1.047,0.955,0.964
5,2471,255,0,255,255,654.775,94.6,194.208,627,65,56,59,57.66,54.564,83.386,0.823,59.841,630105,255,,,100,630105,1,651,124,80.38,54.992,1.057,0.946,0.963
6,1297,255,0,255,255,445.516,87.33,144.894,425,67,41,41,40.774,40.501,74.944,0.776,42.202,330735,255,,,100,330735,1,425,92,13.707,41.0,1.007,0.993,0.955
7,2205,255,0,255,255,1101.699,103.337,180.309,1075,77,53,53,53.62,52.359,69.26,0.852,55.946,562275,255,,,100,562275,1,1089,129,61.144,53.0,1.024,0.976,0.968
8,4625,255,0,255,255,112.054,137.362,263.463,74,98,76,78,77.8,75.69,86.64,0.837,79.076,1179375,255,,,100,1179375,1,103,176,76.842,76.0,1.028,0.973,0.974
9,1725,255,0,255,255,488.61,136.557,159.681,465,114,48,46,48.032,45.726,22.504,0.85,49.679,439875,255,,,100,439875,1,469,151,40.101,46.0,1.05,0.952,0.961
10,5432,255,0,255,255,1059.017,158.869,290.09,1017,117,84,83,84.04,82.297,128.03,0.811,85.913,1385160,255,,,100,1385160,1,1031,127,129.806,83.0,1.021,0.979,0.974
11,1498,255,0,255,255,430.232,151.549,148.51,409,129,43,45,45.008,42.377,89.452,0.854,46.141,381990,255,,,100,381990,1,418,171,60.101,43.0,1.062,0.942,0.962
12,1763,255,0,255,255,760.539,155.813,162.894,737,132,48,48,47.962,46.802,87.04,0.835,49.769,449565,255,,,100,449565,1,752,179,67.557,47.334,1.025,0.976,0.964
13,1598,255,0,255,255,827.115,173.982,154.995,805,151,45,46,47.424,42.903,51.331,0.836,48.877,407490,255,,,100,407490,1,813,194,59.237,44.274,1.105,0.905,0.962
14,1633,255,0,255,255,506.336,185.798,154.995,483,163,46,46,46.135,45.068,159.051,0.854,47.508,416415,255,,,100,416415,1,485,175,149.657,45.962,1.024,0.977,0.962
15,2712,255,0,255,255,1123.475,214.167,200.108,1092,185,61,58,60.613,56.969,26.724,0.851,62.936,691560,255,,,100,691560,1,1093,222,17.571,57.983,1.064,0.94,0.971
16,1839,255,0,255,255,965.663,241.008,170.208,941,216,49,50,48.728,48.052,51.984,0.798,50.448,468945,255,,,100,468945,1,947,258,39.369,48.79,1.014,0.986,0.957
17,1488,255,0,255,255,102.128,241.799,153.723,80,220,45,44,44.4,42.671,154.801,0.791,46.098,379440,255,,,100,379440,1,81,233,155.659,43.841,1.041,0.961,0.954
18,2369,255,0,255,255,439.76,254.643,184.894,412,228,55,54,56.043,53.821,147.263,0.871,57.628,604095,255,,,100,604095,1,417,237,141.34,54.0,1.041,0.96,0.972
19,1705,255,0,255,255,851.712,267.618,161.238,829,244,46,47,46.848,46.339,81.157,0.824,48.549,434775,255,,,100,434775,1,840,289,57.619,46.0,1.011,0.989,0.963
20,1512,255,0,255,255,363.466,276.977,145.439,341,255,44,44,44.39,43.369,88.066,0.898,45.486,385560,255,,,100,385560,1,351,296,56.659,43.956,1.024,0.977,0.966
21,1309,255,0,255,255,225.896,275.965,140.51,205,256,42,40,41.216,40.437,159.374,0.833,43.417,333795,255,,,100,333795,1,207,265,151.074,40.0,1.019,0.981,0.959
22,1329,255,0,255,255,670.762,284.371,142.995,650,263,41,43,42.208,40.09,97.636,0.817,43.463,338895,255,,,100,338895,1,663,264,113.025,41.0,1.053,0.95,0.953
23,1658,255,0,255,255,1142.091,290.045,161.38,1119,267,47,46,46.581,45.32,2.367,0.8,48.754,422790,255,,,100,422790,1,1121,302,25.514,46.0,1.028,0.973,0.959
24,1754,255,0,255,255,1032.036,307.868,160.066,1008,284,48,48,47.969,46.556,64.723,0.86,49.729,447270,255,,,100,447270,1,1025,332,74.846,46.957,1.03,0.971,0.966
25,1894,255,0,255,255,135.982,423.53,169.723,111,398,49,50,49.761,48.462,80.513,0.826,51.624,482970,255,,,100,482970,1,122,445,58.465,49.0,1.027,0.974,0.964
26,1851,255,0,255,255,789.871,483.11,161.924,766,459,48,49,49.581,47.533,66.528,0.887,51.078,472005,255,,,100,472005,1,780,507,66.949,48.0,1.043,0.959,0.966
