 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2113,255,0,255,255,467.458,38.005,179.037,441,12,53,53,52.323,51.418,27.376,0.828,54.708,538815,255,NaN,NaN,100,538815,1,442,30,161.896,51.552,1.018,0.983,0.961
2,970,255,0,255,255,287.294,32.298,121.439,270,14,35,36,35.443,34.846,112.115,0.827,36.892,247350,255,NaN,NaN,100,247350,1,271,23,147.171,35.000,1.017,0.983,0.951
3,2473,255,0,255,255,533.304,55.307,196.936,505,27,56,57,56.486,55.744,89.833,0.801,59.093,630615,255,NaN,NaN,100,630615,1,520,28,113.962,55.861,1.013,0.987,0.963
4,1717,255,0,255,255,742.737,61.241,161.480,719,38,48,47,47.291,46.228,147.250,0.827,48.836,437835,255,NaN,NaN,100,437835,1,719,55,169.380,47.000,1.023,0.978,0.962
5,1826,255,0,255,255,981.110,70.700,164.309,956,46,50,49,48.780,47.661,134.428,0.850,50.010,465630,255,NaN,NaN,100,465630,1,956,70,178.854,47.376,1.023,0.977,0.962
6,2616,255,0,255,255,648.984,77.996,197.279,620,48,58,60,58.731,56.713,116.223,0.845,61.717,667080,255,NaN,NaN,100,667080,1,635,52,116.980,57.276,1.036,0.966,0.968
7,1641,255,0,255,255,596.194,81.563,152.267,573,58,46,46,46.889,44.560,160.134,0.889,48.826,418455,255,NaN,NaN,100,418455,1,582,63,124.992,45.255,1.052,0.950,0.963
8,3561,255,0,255,255,104.332,93.606,228.593,71,60,66,68,69.623,65.122,58.226,0.856,71.868,908055,255,NaN,NaN,100,908055,1,84,123,58.079,66.000,1.069,0.935,0.976
9,1220,255,0,255,255,489.370,88.143,136.995,469,68,40,41,40.809,38.064,62.492,0.817,42.202,311100,255,NaN,NaN,100,311100,1,486,109,76.293,38.896,1.072,0.933,0.953
10,2979,255,0,255,255,177.373,105.806,216.007,147,74,61,64,63.302,59.918,85.956,0.802,65.192,759645,255,NaN,NaN,100,759645,1,160,77,122.471,60.104,1.056,0.947,0.964
11,1602,255,0,255,255,761.484,119.167,156.894,739,96,46,46,45.659,44.673,160.066,0.818,46.872,408510,255,NaN,NaN,100,408510,1,739,113,168.930,45.221,1.022,0.978,0.960
12,3641,255,0,255,255,605.531,139.351,237.806,572,104,68,71,69.293,66.902,72.579,0.809,72.180,928455,255,NaN,NaN,100,928455,1,592,104,100.376,67.915,1.036,0.966,0.965
13,3006,255,0,255,255,363.836,137.464,214.836,333,106,62,62,62.846,60.901,42.613,0.818,65.000,766530,255,NaN,NaN,100,766530,1,337,156,36.870,61.518,1.032,0.969,0.970
14,1206,255,0,255,255,451.152,131.275,135.581,431,111,40,41,41.595,36.916,51.638,0.824,42.720,307530,255,NaN,NaN,100,307530,1,441,150,57.426,37.477,1.127,0.888,0.954
15,1783,255,0,255,255,1161.433,148.935,165.037,1137,124,48,50,48.525,46.784,81.219,0.823,50.488,454665,255,NaN,NaN,100,454665,1,1157,124,97.970,47.376,1.037,0.964,0.962
16,1554,255,0,255,255,844.490,185.546,157.723,822,162,45,50,45.674,43.320,114.371,0.785,50.090,396270,255,NaN,NaN,100,396270,1,841,212,86.566,43.841,1.054,0.948,0.944
17,2501,255,0,255,255,675.457,192.416,195.765,647,164,56,57,56.764,56.099,35.722,0.820,58.523,637755,255,NaN,NaN,100,637755,1,650,207,33.147,56.000,1.012,0.988,0.970
18,1977,255,0,255,255,1103.905,187.163,177.723,1075,164,58,46,58.541,42.999,14.721,0.787,60.374,504135,255,NaN,NaN,100,504135,1,1077,202,26.565,45.695,1.361,0.735,0.951
19,3739,255,0,255,255,1171.288,214.700,240.392,1137,180,69,70,69.680,68.321,105.803,0.813,70.838,953445,255,NaN,NaN,100,953445,1,1147,189,131.566,69.000,1.020,0.980,0.970
20,2732,255,0,255,255,588.059,224.310,206.836,558,194,60,60,60.118,57.861,60.173,0.802,62.426,696660,255,NaN,NaN,100,696660,1,572,251,54.782,58.308,1.039,0.962,0.965
21,3011,255,0,255,255,255.717,228.182,213.664,225,196,62,64,62.883,60.966,66.319,0.829,64.630,767805,255,NaN,NaN,100,767805,1,251,196,98.005,61.518,1.031,0.970,0.969
22,1939,255,0,255,255,714.085,234.205,173.622,688,210,51,50,50.080,49.297,177.623,0.808,51.894,494445,255,NaN,NaN,100,494445,1,689,225,154.916,50.000,1.016,0.984,0.960
23,5922,255,0,255,255,823.485,253.030,297.706,780,210,88,86,87.936,85.746,149.250,0.840,92.439,1510110,255,NaN,NaN,100,1510110,1,798,213,121.283,83.800,1.026,0.975,0.977
24,2425,255,0,255,255,321.517,242.808,192.108,293,214,56,56,55.935,55.200,105.165,0.826,57.974,618375,255,NaN,NaN,100,618375,1,317,214,104.995,55.861,1.013,0.987,0.967
25,1612,255,0,255,255,545.277,280.392,158.066,522,258,47,46,45.649,44.962,149.487,0.811,47.676,411060,255,NaN,NaN,100,411060,1,522,285,9.660,45.169,1.015,0.985,0.955
26,1525,255,0,255,255,87.084,307.702,153.480,64,285,45,46,44.509,43.625,93.411,0.814,47.170,388875,255,NaN,NaN,100,388875,1,79,330,68.875,44.173,1.020,0.980,0.955
27,2347,255,0,255,255,1152.822,318.527,189.037,1124,292,58,52,58.710,50.899,157.948,0.825,59.682,598485,255,NaN,NaN,100,598485,1,1126,306,148.707,51.545,1.153,0.867,0.968
28,2188,255,0,255,255,221.140,345.106,188.108,194,319,53,53,53.752,51.828,43.014,0.777,56.223,557940,255,NaN,NaN,100,557940,1,205,368,51.499,52.750,1.037,0.964,0.959
29,1911,255,0,255,255,671.562,379.036,167.480,647,354,50,50,49.672,48.985,58.233,0.856,51.313,487305,255,NaN,NaN,100,487305,1,650,393,33.071,49.497,1.014,0.986,0.963
30,1633,255,0,255,255,875.407,379.672,154.409,853,356,46,47,46.033,45.167,55.728,0.861,47.885,416415,255,NaN,NaN,100,416415,1,863,400,61.294,45.962,1.019,0.981,0.964
31,2046,255,0,255,255,235.925,399.919,179.522,211,374,50,52,51.779,50.311,93.636,0.798,53.600,521730,255,NaN,NaN,100,521730,1,229,374,104.036,50.000,1.029,0.972,0.966
32,3136,255,0,255,255,1020.685,416.730,220.735,989,385,64,63,63.580,62.801,11.994,0.809,65.460,799680,255,NaN,NaN,100,799680,1,993,434,34.418,63.000,1.012,0.988,0.970
33,2192,255,0,255,255,640.732,422.472,185.622,613,396,53,54,53.385,52.279,83.808,0.799,56.045,558960,255,NaN,NaN,100,558960,1,637,450,74.476,53.000,1.021,0.979,0.958
34,2249,255,0,255,255,590.528,444.602,188.108,563,418,55,54,54.832,52.223,28.562,0.799,57.489,573495,255,NaN,NaN,100,573495,1,574,467,49.939,52.326,1.050,0.952,0.961
35,2361,255,0,255,255,689.880,448.253,187.380,663,421,54,55,55.568,54.098,122.698,0.845,57.489,602055,255,NaN,NaN,100,602055,1,666,431,139.939,54.000,1.027,0.974,0.970
36,1584,255,0,255,255,747.035,462.682,154.309,725,440,45,46,45.518,44.308,83.894,0.836,47.297,403920,255,NaN,NaN,100,403920,1,741,440,103.449,44.548,1.027,0.973,0.962
37,1821,255,0,255,255,1012.983,491.100,172.693,989,466,48,50,48.945,47.371,104.463,0.767,50.488,464355,255,NaN,NaN,100,464355,1,1009,516,82.030,48.000,1.033,0.968,0.957
38,1147,255,0,255,255,347.603,486.461,132.953,327,468,41,38,41.872,34.878,170.240,0.815,42.720,292485,255,NaN,NaN,100,292485,1,337,470,122.574,35.646,1.201,0.833,0.933
39,2084,255,0,255,255,657.627,521.409,170.167,632,496,51,51,52.510,50.532,50.216,0.904,53.824,531420,255,NaN,NaN,100,531420,1,635,536,35.166,50.912,1.039,0.962,0.972
40,6637,255,0,255,255,325.938,543.817,319.848,280,497,93,92,92.588,91.269,40.335,0.815,97.185,1692435,255,NaN,NaN,100,1692435,1,293,578,49.591,91.232,1.014,0.986,0.969
41,1724,255,0,255,255,1146.890,542.159,162.551,1123,518,47,48,47.647,46.069,58.290,0.820,49.244,439620,255,NaN,NaN,100,439620,1,1124,553,23.962,46.669,1.034,0.967,0.962
42,3601,255,0,255,255,915.025,552.538,233.078,881,519,69,68,68.895,66.550,37.872,0.833,71.400,918255,255,NaN,NaN,100,918255,1,887,574,37.030,66.999,1.035,0.966,0.970
43,2666,255,0,255,255,483.395,554.519,194.794,455,525,58,59,58.706,57.821,81.677,0.883,60.539,679830,255,NaN,NaN,100,679830,1,467,580,59.199,57.983,1.015,0.985,0.972
44,2019,255,0,255,255,428.223,551.381,180.693,399,526,55,53,52.443,49.019,164.669,0.777,56.089,514845,255,NaN,NaN,100,514845,1,399,549,168.690,49.878,1.070,0.935,0.937
45,1628,255,0,255,255,812.614,549.122,159.723,789,527,46,46,46.642,44.442,40.280,0.802,48.466,415140,255,NaN,NaN,100,415140,1,808,573,68.199,45.038,1.050,0.953,0.959
46,1977,255,0,255,255,675.340,571.059,176.451,650,546,51,51,50.574,49.773,89.333,0.798,52.839,504135,255,NaN,NaN,100,504135,1,663,547,119.476,50.280,1.016,0.984,0.959
47,3217,255,0,255,255,104.517,581.480,223.321,72,549,64,65,64.783,63.227,84.842,0.811,66.851,820335,255,NaN,NaN,100,820335,1,87,610,55.359,64.000,1.025,0.976,0.969
48,4435,255,0,255,255,533.950,602.544,252.735,496,564,76,76,77.586,72.782,41.775,0.873,79.706,1130925,255,NaN,NaN,100,1130925,1,496,617,23.671,73.322,1.066,0.938,0.975
49,1954,255,0,255,255,622.881,593.320,170.894,599,568,48,52,52.708,47.202,112.241,0.841,54.203,498270,255,NaN,NaN,100,498270,1,610,569,119.876,48.000,1.117,0.896,0.965
50,2737,255,0,255,255,270.328,603.312,206.007,239,573,61,61,60.234,57.855,47.895,0.810,62.394,697935,255,NaN,NaN,100,697935,1,239,610,21.631,57.691,1.041,0.960,0.962
51,704,255,0,255,255,160.034,609.749,102.368,145,594,31,32,30.574,29.318,27.190,0.844,32.388,179520,255,NaN,NaN,100,179520,1,157,626,81.119,29.286,1.043,0.959,0.942
