 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2085,255,0,255,255,530.35,33.379,175.48,505,7,51,53,52.666,50.406,93.44,0.851,54.12,531675,255,,,100,531675,1,518,57,62.488,50.913,1.045,0.957,0.967
2,1466,255,0,255,255,1023.602,38.972,151.723,1001,17,47,44,44.619,41.834,30.31,0.8,47.17,373830,255,,,100,373830,1,1001,39,175.135,42.035,1.067,0.938,0.946
3,2651,255,0,255,255,788.916,57.025,200.108,760,28,58,59,58.925,57.282,56.52,0.832,60.539,676005,255,,,100,676005,1,775,84,59.199,57.983,1.029,0.972,0.968
4,2069,255,0,255,255,211.46,60.585,180.108,186,34,51,53,52.417,50.257,99.719,0.802,53.6,527595,255,,,100,527595,1,206,87,75.964,50.913,1.043,0.959,0.963
5,3779,255,0,255,255,344.352,69.098,237.078,310,34,69,70,70.183,68.557,70.221,0.845,72.945,963645,255,,,100,963645,1,328,101,61.327,69.0,1.024,0.977,0.972
6,3679,255,0,255,255,927.912,69.02,238.593,894,35,68,68,69.072,67.817,24.145,0.812,74.202,938145,255,,,100,938145,1,897,45,142.667,68.0,1.019,0.982,0.966
7,1814,255,0,255,255,1064.503,62.386,171.966,1037,40,52,47,50.043,46.153,23.399,0.771,53.6,462570,255,,,100,462570,1,1045,78,36.656,46.747,1.084,0.922,0.948
8,106,255,0,255,255,572.302,56.066,41.355,567,49,12,14,12.548,10.756,88.233,0.779,14.318,27030,255,,,100,27030,1,570,49,102.095,12.0,1.167,0.857,0.858
9,2209,255,0,255,255,78.883,81.049,181.966,52,53,53,55,55.073,51.071,124.17,0.838,56.639,563295,255,,,100,563295,1,60,60,132.138,51.619,1.078,0.927,0.964
10,26,255,0,255,255,582.038,62.769,24.728,580,57,5,10,10.577,3.13,110.125,0.534,11.18,6630,255,,,100,6630,1,580,57,116.565,4.07,3.379,0.296,0.788
11,51,255,0,255,255,574.735,70.833,42.284,572,64,5,16,15.895,4.085,92.147,0.358,16.492,13005,255,,,100,13005,1,572,64,104.036,5.0,3.891,0.257,0.708
