 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1816,255,0,255,255,1166.384,27.698,168.309,1143,2,47,50,49.000,47.188,92.555,0.806,51.662,463080,255,NaN,NaN,100,463080,1,1159,2,104.574,47.000,1.038,0.963,0.955
2,2130,255,0,255,255,882.723,34.502,183.622,856,8,53,52,52.982,51.187,59.058,0.794,55.154,543150,255,NaN,NaN,100,543150,1,856,44,22.380,51.785,1.035,0.966,0.960
3,3305,255,0,255,255,242.866,46.984,224.492,211,14,64,66,65.978,63.780,98.311,0.824,67.535,842775,255,NaN,NaN,100,842775,1,226,77,62.676,64.000,1.034,0.967,0.972
4,2505,255,0,255,255,374.344,47.278,202.978,346,18,56,59,57.997,54.993,116.611,0.764,61.098,638775,255,NaN,NaN,100,638775,1,363,20,111.105,55.893,1.055,0.948,0.960
5,3739,255,0,255,255,76.778,56.901,245.463,44,21,67,70,71.802,66.302,106.626,0.780,74.095,953445,255,NaN,NaN,100,953445,1,58,25,121.759,66.633,1.083,0.923,0.970
6,1940,255,0,255,255,836.643,61.821,166.752,812,37,49,50,50.325,49.083,69.398,0.877,51.865,494700,255,NaN,NaN,100,494700,1,815,76,33.996,49.000,1.025,0.975,0.967
7,2769,255,0,255,255,562.458,74.198,204.108,533,44,60,60,60.265,58.502,50.020,0.835,62.008,706095,255,NaN,NaN,100,706095,1,543,98,52.206,59.135,1.030,0.971,0.967
8,3240,255,0,255,255,149.972,87.112,218.593,118,55,64,64,64.904,63.560,136.550,0.852,66.370,826200,255,NaN,NaN,100,826200,1,134,58,120.816,64.000,1.021,0.979,0.974
9,858,255,0,255,255,400.254,82.613,118.853,384,61,32,39,36.679,29.784,79.710,0.763,40.262,218790,255,NaN,NaN,100,218790,1,395,100,75.619,31.939,1.232,0.812,0.926
10,1723,255,0,255,255,682.620,103.946,159.238,659,80,47,47,47.228,46.451,43.456,0.854,49.649,439365,255,NaN,NaN,100,439365,1,671,126,62.403,46.819,1.017,0.984,0.966
11,3491,255,0,255,255,811.309,116.618,233.563,778,84,66,69,68.320,65.060,86.602,0.804,70.831,890205,255,NaN,NaN,100,890205,1,808,153,76.945,65.740,1.050,0.952,0.968
12,1950,255,0,255,255,947.436,114.217,176.794,924,85,47,56,53.951,46.019,78.752,0.784,57.280,497250,255,NaN,NaN,100,497250,1,939,140,73.780,47.000,1.172,0.853,0.952
13,1579,255,0,255,255,1176.509,113.858,157.966,1153,92,46,45,45.729,43.964,179.075,0.795,47.297,402645,255,NaN,NaN,100,402645,1,1153,109,166.551,44.831,1.040,0.961,0.959
14,2184,255,0,255,255,886.558,121.407,185.037,859,95,54,53,53.245,52.226,172.725,0.802,55.000,556920,255,NaN,NaN,100,556920,1,863,136,36.870,52.810,1.020,0.981,0.961
