 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3115,255,0,255,255,738.261,76.13,218.492,706,44,65,64,63.672,62.29,31.923,0.82,65.62,794325,255,,,100,794325,1,706,74,172.117,62.933,1.022,0.978,0.966
2,1218,255,0,255,255,1001.825,95.757,137.823,982,76,40,39,39.855,38.912,35.478,0.806,41.437,310590,255,,,100,310590,1,995,76,109.747,38.891,1.024,0.976,0.959
3,2744,255,0,255,255,79.202,199.114,200.451,49,170,60,58,60.253,57.985,160.411,0.858,61.587,699720,255,,,100,699720,1,53,183,147.6,58.0,1.039,0.962,0.972
4,3254,255,0,255,255,1100.443,225.887,221.421,1067,193,65,66,65.763,63.001,46.964,0.834,68.942,829770,255,,,100,829770,1,1068,237,23.962,63.738,1.044,0.958,0.968
5,2546,255,0,255,255,876.648,225.956,198.936,847,198,59,56,57.795,56.089,177.528,0.808,59.841,649230,255,,,100,649230,1,847,221,170.38,56.0,1.03,0.97,0.965
6,2555,255,0,255,255,1156.328,261.288,197.865,1128,233,57,57,58.367,55.736,55.397,0.82,60.605,651525,255,,,100,651525,1,1133,280,37.626,56.605,1.047,0.955,0.967
7,2247,255,0,255,255,728.657,274.008,181.48,702,247,53,54,54.257,52.73,66.9,0.857,56.08,572985,255,,,100,572985,1,709,294,50.064,53.0,1.029,0.972,0.967
8,2012,255,0,255,255,657.197,276.832,174.551,632,251,50,52,51.566,49.679,109.541,0.83,53.075,513060,255,,,100,513060,1,637,259,137.291,50.0,1.038,0.963,0.964
9,5025,255,0,255,255,298.633,301.549,274.534,259,261,80,81,80.307,79.669,68.651,0.838,83.193,1281375,255,,,100,1281375,1,281,340,64.359,80.0,1.008,0.992,0.974
10,3121,255,0,255,255,867.925,324.219,213.865,837,293,63,63,64.192,61.905,50.306,0.857,65.947,795855,255,,,100,795855,1,843,346,40.696,62.8,1.037,0.964,0.972
11,5419,255,0,255,255,87.802,355.553,287.505,47,313,82,85,84.005,82.134,94.08,0.824,85.422,1381845,255,,,100,1381845,1,67,318,117.165,82.0,1.023,0.978,0.976
12,1293,255,0,255,255,407.398,353.297,137.439,387,332,40,43,41.825,39.362,84.169,0.86,43.186,329715,255,,,100,329715,1,406,375,84.685,40.0,1.063,0.941,0.955
13,7046,255,0,255,255,934.326,384.735,328.718,887,337,94,95,97.007,92.48,53.11,0.819,99.086,1796730,255,,,100,1796730,1,901,422,47.454,93.338,1.049,0.953,0.978
14,1958,255,0,255,255,318.249,422.797,172.551,293,396,51,52,50.839,49.037,56.62,0.826,53.339,499290,255,,,100,499290,1,297,440,30.411,49.497,1.037,0.965,0.962
15,1743,255,0,255,255,509.304,421.381,161.48,486,397,47,49,47.805,46.423,93.945,0.84,49.366,444465,255,,,100,444465,1,504,397,96.981,46.81,1.03,0.971,0.962
16,2932,255,0,255,255,264.344,446.576,212.836,231,416,65,61,61.82,60.387,177.209,0.813,65.192,747660,255,,,100,747660,1,231,444,4.399,61.0,1.024,0.977,0.961
17,6160,255,0,255,255,460.072,482.534,312.032,416,438,89,94,90.13,87.021,105.182,0.795,95.901,1570800,255,,,100,1570800,1,449,438,101.427,88.388,1.036,0.966,0.97
18,2149,255,0,255,255,1068.565,497.475,179.966,1042,471,53,53,52.744,51.877,132.446,0.834,55.009,547995,255,,,100,547995,1,1043,486,152.969,52.65,1.017,0.984,0.963
19,3626,255,0,255,255,559.572,506.443,230.25,525,473,69,67,68.603,67.297,9.267,0.859,70.264,924630,255,,,100,924630,1,527,520,24.376,67.0,1.019,0.981,0.975
20,1447,255,0,255,255,949.498,515.007,148.409,928,493,43,44,43.316,42.534,52.862,0.826,45.0,368985,255,,,100,368985,1,936,533,53.13,43.0,1.018,0.982,0.957
21,1353,255,0,255,255,863.949,517.731,139.924,843,497,42,42,42.041,40.977,80.312,0.868,43.417,345015,255,,,100,345015,1,845,528,28.926,41.381,1.026,0.975,0.963
