 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1442,255,0,255,255,507.113,23.345,154.652,485,2,46,42,46.950,39.106,178.077,0.758,48.301,367710,255,NaN,NaN,100,367710,1,487,34,27.096,40.204,1.201,0.833,0.937
2,498,255,0,255,255,891.102,18.753,86.569,879,6,25,26,26.247,24.158,60.740,0.835,27.803,126990,255,NaN,NaN,100,126990,1,883,30,52.306,25.000,1.086,0.920,0.936
3,1683,255,0,255,255,666.046,51.064,156.995,643,27,46,47,46.631,45.953,139.391,0.858,48.384,429165,255,NaN,NaN,100,429165,1,659,28,108.060,46.000,1.015,0.985,0.963
4,1839,255,0,255,255,774.529,86.510,169.966,750,62,49,49,48.729,48.051,70.461,0.800,51.039,468945,255,NaN,NaN,100,468945,1,761,108,55.376,48.746,1.014,0.986,0.959
5,25,255,0,255,255,1163.300,76.580,23.799,1159,73,9,7,11.014,2.890,145.459,0.555,11.402,6375,255,NaN,NaN,100,6375,1,1159,73,142.125,3.883,3.811,0.262,0.714
6,1529,255,0,255,255,151.444,106.422,154.066,129,84,45,44,44.632,43.619,144.486,0.809,46.228,389895,255,NaN,NaN,100,389895,1,133,93,141.147,44.000,1.023,0.977,0.959
7,2014,255,0,255,255,733.399,115.193,179.622,708,90,51,51,51.024,50.257,61.210,0.784,53.413,513570,255,NaN,NaN,100,513570,1,717,136,51.843,50.913,1.015,0.985,0.957
8,1753,255,0,255,255,428.640,117.309,168.409,405,93,46,48,50.620,44.093,128.855,0.777,55.606,447015,255,NaN,NaN,100,447015,1,415,96,127.694,46.000,1.148,0.871,0.944
9,34,255,0,255,255,507.853,102.206,25.799,505,97,6,9,8.458,5.119,100.233,0.642,9.849,8670,255,NaN,NaN,100,8670,1,506,97,113.962,6.000,1.652,0.605,0.810
10,2871,255,0,255,255,375.049,129.337,208.007,345,98,61,62,60.649,60.272,115.685,0.834,62.394,732105,255,NaN,NaN,100,732105,1,369,160,83.558,60.104,1.006,0.994,0.969
11,2037,255,0,255,255,921.924,129.166,180.593,897,99,50,57,53.175,48.774,97.494,0.785,57.315,519435,255,NaN,NaN,100,519435,1,918,99,96.009,50.000,1.090,0.917,0.954
12,2001,255,0,255,255,637.707,126.050,175.622,613,100,51,52,51.429,49.539,70.360,0.815,53.151,510255,255,NaN,NaN,100,510255,1,635,100,101.944,49.646,1.038,0.963,0.963
13,1963,255,0,255,255,983.893,125.226,170.309,959,100,50,50,50.282,49.707,94.764,0.850,52.202,500565,255,NaN,NaN,100,500565,1,977,100,106.699,50.000,1.012,0.989,0.969
14,1527,255,0,255,255,245.711,182.437,152.167,223,161,45,43,44.726,43.470,12.217,0.829,46.615,389385,255,NaN,NaN,100,389385,1,231,200,54.605,43.000,1.029,0.972,0.962
15,2532,255,0,255,255,1088.862,240.366,191.966,1061,212,56,57,57.987,55.596,122.780,0.863,59.540,645660,255,NaN,NaN,100,645660,1,1075,214,119.148,56.000,1.043,0.959,0.972
16,8479,255,0,255,255,357.910,285.809,364.517,302,236,115,98,113.118,95.438,169.260,0.802,115.070,2162145,255,NaN,NaN,100,2162145,1,302,284,178.008,95.187,1.185,0.844,0.975
17,3944,255,0,255,255,462.406,288.399,250.534,427,252,70,73,72.506,69.259,66.714,0.790,75.000,1005720,255,NaN,NaN,100,1005720,1,439,318,53.130,70.000,1.047,0.955,0.970
18,2567,255,0,255,255,853.103,312.883,217.220,821,280,63,64,73.231,44.632,132.959,0.684,74.411,654585,255,NaN,NaN,100,654585,1,829,282,131.186,48.790,1.641,0.609,0.922
19,2831,255,0,255,255,700.581,347.690,204.693,670,318,61,60,60.382,59.695,54.541,0.849,62.362,721905,255,NaN,NaN,100,721905,1,671,358,15.819,60.000,1.012,0.989,0.968
20,2007,255,0,255,255,1136.367,348.818,186.108,1105,325,58,49,55.484,46.056,167.656,0.728,59.615,511785,255,NaN,NaN,100,511785,1,1106,337,157.306,48.750,1.205,0.830,0.932
21,1656,255,0,255,255,234.055,362.621,154.752,211,340,46,46,46.606,45.241,158.493,0.869,48.301,422280,255,NaN,NaN,100,422280,1,213,351,152.904,45.769,1.030,0.971,0.963
22,2108,255,0,255,255,274.019,392.680,179.966,247,366,53,53,52.956,50.684,98.982,0.818,55.471,537540,255,NaN,NaN,100,537540,1,262,368,117.951,51.861,1.045,0.957,0.953
23,1906,255,0,255,255,443.345,400.156,168.551,419,375,49,51,49.699,48.830,118.162,0.843,51.196,486030,255,NaN,NaN,100,486030,1,441,426,77.593,48.790,1.018,0.983,0.965
24,439,255,0,255,255,1034.518,392.582,81.983,1022,381,25,23,24.402,22.906,179.549,0.821,25.632,111945,255,NaN,NaN,100,111945,1,1023,387,159.444,23.000,1.065,0.939,0.933
25,2927,255,0,255,255,224.180,415.482,208.451,193,384,62,63,62.203,59.913,85.422,0.846,63.906,746385,255,NaN,NaN,100,746385,1,215,446,69.864,61.032,1.038,0.963,0.960
26,1632,255,0,255,255,1001.114,410.493,155.581,979,388,44,46,46.125,45.050,78.177,0.847,48.010,416160,255,NaN,NaN,100,416160,1,987,430,54.324,44.000,1.024,0.977,0.967
27,2246,255,0,255,255,490.737,428.023,185.279,463,400,55,56,54.026,52.932,154.133,0.822,56.080,572730,255,NaN,NaN,100,572730,1,493,400,93.066,53.033,1.021,0.980,0.962
28,1918,255,0,255,255,680.732,426.542,168.894,656,402,50,50,49.637,49.199,167.998,0.845,51.078,489090,255,NaN,NaN,100,489090,1,657,417,156.949,50.000,1.009,0.991,0.962
29,2382,255,0,255,255,396.819,452.838,193.765,369,424,55,57,55.849,54.305,76.227,0.797,57.628,607410,255,NaN,NaN,100,607410,1,374,471,38.660,55.000,1.028,0.972,0.961
30,1630,255,0,255,255,804.246,452.492,162.693,781,430,46,46,45.651,45.462,108.178,0.774,47.297,415650,255,NaN,NaN,100,415650,1,797,430,103.449,45.962,1.004,0.996,0.960
31,2363,255,0,255,255,322.182,459.726,186.794,294,432,56,55,55.519,54.192,30.572,0.851,57.454,602565,255,NaN,NaN,100,602565,1,308,485,58.523,55.000,1.024,0.976,0.966
32,2023,255,0,255,255,235.062,471.457,173.380,209,446,52,52,51.749,49.775,51.437,0.846,53.339,515865,255,NaN,NaN,100,515865,1,221,494,59.589,50.205,1.040,0.962,0.963
33,3804,255,0,255,255,628.548,499.470,239.078,594,464,69,71,70.683,68.523,63.487,0.836,74.706,970020,255,NaN,NaN,100,970020,1,614,533,62.063,69.000,1.032,0.969,0.968
34,4199,255,0,255,255,312.679,522.833,258.919,273,486,76,74,74.079,72.170,128.941,0.787,76.531,1070745,255,NaN,NaN,100,1070745,1,273,524,6.754,72.832,1.026,0.974,0.966
35,2275,255,0,255,255,563.213,513.788,184.208,537,486,53,56,54.514,53.135,69.238,0.843,56.436,580125,255,NaN,NaN,100,580125,1,561,542,82.875,53.000,1.026,0.975,0.963
36,1390,255,0,255,255,463.504,512.873,147.238,442,492,43,42,42.990,41.168,37.560,0.806,44.688,354450,255,NaN,NaN,100,354450,1,447,528,40.462,41.719,1.044,0.958,0.955
37,2850,255,0,255,255,911.648,536.413,206.350,881,506,60,61,60.482,59.997,112.987,0.841,62.394,726750,255,NaN,NaN,100,726750,1,901,566,68.369,60.000,1.008,0.992,0.970
38,2035,255,0,255,255,722.579,547.225,175.380,698,521,50,53,51.967,49.860,94.531,0.831,53.600,518925,255,NaN,NaN,100,518925,1,717,574,75.964,50.000,1.042,0.959,0.961
39,1600,255,0,255,255,490.103,549.788,159.137,467,527,46,45,45.591,44.684,142.359,0.794,46.872,408000,255,NaN,NaN,100,408000,1,476,531,123.690,45.000,1.020,0.980,0.957
40,5113,255,0,255,255,614.142,574.988,274.049,574,534,79,82,82.176,79.221,99.603,0.856,83.774,1303815,255,NaN,NaN,100,1303815,1,595,612,66.801,79.000,1.037,0.964,0.976
41,3225,255,0,255,255,434.634,568.390,226.635,399,536,68,65,66.237,61.993,44.960,0.789,68.359,822375,255,NaN,NaN,100,822375,1,399,568,5.877,62.225,1.068,0.936,0.961
42,4803,255,0,255,255,361.632,582.590,275.747,322,543,79,79,78.890,77.518,142.264,0.794,80.281,1224765,255,NaN,NaN,100,1224765,1,351,544,103.690,78.489,1.018,0.983,0.970
43,1625,255,0,255,255,108.458,568.311,161.480,85,545,46,47,46.901,44.115,47.240,0.783,50.249,414375,255,NaN,NaN,100,414375,1,95,588,58.841,45.221,1.063,0.941,0.951
44,1738,255,0,255,255,675.244,581.950,166.066,654,557,45,49,48.532,45.597,77.589,0.792,51.856,443190,255,NaN,NaN,100,443190,1,659,604,50.477,45.000,1.064,0.940,0.957
45,2019,255,0,255,255,47.872,614.347,172.652,22,589,52,51,51.168,50.239,154.749,0.851,52.802,514845,255,NaN,NaN,100,514845,1,31,594,127.304,50.913,1.018,0.982,0.965
46,1501,255,0,255,255,462.630,617.860,150.167,440,596,45,44,44.468,42.978,115.632,0.836,45.880,382755,255,NaN,NaN,100,382755,1,455,640,73.540,43.536,1.035,0.967,0.957
47,2800,255,0,255,255,1070.712,626.610,206.007,1041,596,60,61,60.022,59.396,57.616,0.829,62.769,714000,255,NaN,NaN,100,714000,1,1043,640,22.479,59.767,1.011,0.990,0.966
48,4589,255,0,255,255,413.179,650.544,266.191,374,612,77,80,77.418,75.472,93.651,0.814,82.225,1170195,255,NaN,NaN,100,1170195,1,405,612,103.360,76.317,1.026,0.975,0.968
49,135,255,0,255,255,1107.004,620.967,44.627,1102,614,11,14,14.816,11.601,83.696,0.852,16.125,34425,255,NaN,NaN,100,34425,1,1102,628,60.255,11.000,1.277,0.783,0.957
50,2178,255,0,255,255,247.489,659.883,186.108,221,633,53,53,53.255,52.073,17.636,0.790,56.080,555390,255,NaN,NaN,100,555390,1,221,672,21.991,53.000,1.023,0.978,0.961
51,6040,255,0,255,255,66.270,683.810,302.576,22,639,88,89,88.761,86.641,128.254,0.829,90.802,1540200,255,NaN,NaN,100,1540200,1,56,639,101.434,86.974,1.024,0.976,0.976
52,104,255,0,255,255,898.885,675.019,38.870,893,669,12,12,12.018,11.018,109.711,0.865,12.806,26520,255,NaN,NaN,100,26520,1,895,670,128.660,11.700,1.091,0.917,0.889
53,2314,255,0,255,255,447.756,710.216,192.836,421,683,54,55,54.850,53.715,113.187,0.782,56.400,590070,255,NaN,NaN,100,590070,1,426,692,142.927,54.000,1.021,0.979,0.964
54,1799,255,0,255,255,844.047,707.571,167.137,820,684,49,48,48.470,47.257,127.731,0.809,50.478,458745,255,NaN,NaN,100,458745,1,830,686,123.690,47.852,1.026,0.975,0.959
55,2380,255,0,255,255,115.012,737.657,189.380,87,710,56,54,56.333,53.793,19.338,0.834,57.974,606900,255,NaN,NaN,100,606900,1,87,746,14.995,53.749,1.047,0.955,0.965
56,4958,255,0,255,255,817.921,780.357,277.747,778,740,80,80,79.828,79.079,64.376,0.808,81.541,1264290,255,NaN,NaN,100,1264290,1,800,817,66.894,79.877,1.009,0.991,0.975
57,2958,255,0,255,255,432.919,773.558,218.049,401,742,66,64,61.978,60.768,21.994,0.782,66.189,754290,255,NaN,NaN,100,754290,1,401,773,175.668,60.727,1.020,0.980,0.956
58,5581,255,0,255,255,125.329,805.079,298.919,83,762,84,90,85.243,83.361,97.651,0.785,94.340,1423155,255,NaN,NaN,100,1423155,1,108,764,111.125,83.931,1.023,0.978,0.960
59,2561,255,0,255,255,497.828,795.300,201.179,469,766,58,58,57.465,56.743,108.492,0.795,59.548,653055,255,NaN,NaN,100,653055,1,477,775,139.086,57.481,1.013,0.987,0.959
60,2008,255,0,255,255,609.600,793.912,174.309,585,768,50,52,51.434,49.708,82.292,0.830,53.852,512040,255,NaN,NaN,100,512040,1,603,768,105.068,50.000,1.035,0.966,0.960
61,3119,255,0,255,255,1030.179,813.565,215.765,999,781,63,65,64.048,62.004,96.422,0.842,66.761,795345,255,NaN,NaN,100,795345,1,1021,846,73.465,62.610,1.033,0.968,0.967
62,2999,255,0,255,255,924.364,822.265,216.735,894,790,61,64,64.634,59.078,122.445,0.802,65.552,764745,255,NaN,NaN,100,764745,1,914,791,111.477,60.104,1.094,0.914,0.969
63,378,255,0,255,255,1149.407,806.989,76.811,1138,796,23,22,22.911,21.006,151.699,0.805,24.187,96390,255,NaN,NaN,100,96390,1,1139,801,150.255,21.913,1.091,0.917,0.925
64,4391,255,0,255,255,1105.443,842.900,258.635,1068,805,74,76,77.116,72.499,61.829,0.825,78.924,1119705,255,NaN,NaN,100,1119705,1,1090,879,67.659,73.681,1.064,0.940,0.973
65,3921,255,0,255,255,603.843,852.015,247.948,566,818,75,69,74.201,67.282,163.605,0.801,75.928,999855,255,NaN,NaN,100,999855,1,567,841,167.062,68.468,1.103,0.907,0.967
66,2252,255,0,255,255,455.644,846.539,184.208,429,820,54,54,53.684,53.411,76.380,0.834,55.471,574260,255,NaN,NaN,100,574260,1,441,870,56.023,54.000,1.005,0.995,0.965
67,3802,255,0,255,255,348.744,866.119,241.220,314,831,71,70,69.749,69.403,15.665,0.821,71.701,969510,255,NaN,NaN,100,969510,1,314,871,8.017,70.000,1.005,0.995,0.972
68,3563,255,0,255,255,820.459,869.996,228.836,787,836,67,68,68.101,66.615,113.634,0.855,69.635,908565,255,NaN,NaN,100,908565,1,813,904,77.560,67.000,1.022,0.978,0.974
69,4241,255,0,255,255,202.161,876.506,255.463,165,840,75,73,74.763,72.225,158.811,0.817,76.158,1081455,255,NaN,NaN,100,1081455,1,169,858,150.068,73.000,1.035,0.966,0.971
70,2054,255,0,255,255,1009.804,869.239,180.208,984,843,51,51,51.828,50.460,136.934,0.795,53.712,523770,255,NaN,NaN,100,523770,1,1001,844,114.179,50.932,1.027,0.974,0.963
71,86,255,0,255,255,563.721,907.988,36.527,558,902,11,12,11.862,9.231,55.560,0.810,12.530,21930,255,NaN,NaN,100,21930,1,558,911,28.610,9.899,1.285,0.778,0.873
