 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3538,255,0,255,255,43.902,50.224,233.037,10,17,71,65,70.024,64.331,147.500,0.819,75.432,902190,255,NaN,NaN,100,902190,1,20,21,128.541,65.000,1.088,0.919,0.962
2,1875,255,0,255,255,654.919,43.811,185.765,625,17,58,51,53.418,44.691,138.433,0.683,58.856,478125,255,NaN,NaN,100,478125,1,625,44,170.218,46.010,1.195,0.837,0.907
3,2870,255,0,255,255,1131.030,59.209,211.522,1101,29,60,61,63.862,57.220,51.478,0.806,68.600,731850,255,NaN,NaN,100,731850,1,1116,90,59.323,58.680,1.116,0.896,0.963
4,6504,255,0,255,255,573.802,78.254,312.434,527,30,94,95,91.926,90.085,58.272,0.837,97.617,1658520,255,NaN,NaN,100,1658520,1,553,31,119.454,89.584,1.020,0.980,0.961
5,3403,255,0,255,255,709.662,78.144,217.480,677,46,66,65,67.668,64.031,153.620,0.904,69.971,867765,255,NaN,NaN,100,867765,1,679,60,149.036,64.757,1.057,0.946,0.974
6,6364,255,0,255,255,483.525,96.794,311.362,438,52,92,90,90.356,89.678,78.403,0.825,93.776,1622820,255,NaN,NaN,100,1622820,1,439,111,21.915,90.000,1.008,0.992,0.969
7,1302,255,0,255,255,88.636,76.270,149.581,68,53,41,44,44.971,36.863,68.529,0.731,47.011,332010,255,NaN,NaN,100,332010,1,74,96,60.709,36.978,1.220,0.820,0.932
8,3933,255,0,255,255,189.880,89.647,242.492,153,54,73,71,72.020,69.532,121.699,0.840,73.878,1002915,255,NaN,NaN,100,1002915,1,165,62,129.508,69.848,1.036,0.965,0.969
9,3018,255,0,255,255,928.375,88.782,224.007,889,57,70,63,65.099,59.028,35.421,0.756,72.801,769590,255,NaN,NaN,100,769590,1,889,99,15.945,59.397,1.103,0.907,0.935
10,2407,255,0,255,255,780.595,98.126,187.480,753,70,56,56,57.237,53.544,52.808,0.861,59.464,613785,255,NaN,NaN,100,613785,1,760,120,47.726,54.447,1.069,0.935,0.963
11,2229,255,0,255,255,1031.773,100.027,189.622,1005,70,53,57,56.186,50.512,47.289,0.779,59.942,568395,255,NaN,NaN,100,568395,1,1017,124,62.152,51.877,1.112,0.899,0.954
12,2931,255,0,255,255,374.743,112.891,215.622,344,81,61,62,64.354,57.990,120.386,0.792,71.063,747405,255,NaN,NaN,100,747405,1,356,86,129.289,59.664,1.110,0.901,0.955
13,3196,255,0,255,255,1128.296,122.840,227.279,1096,90,66,63,66.453,61.235,142.733,0.777,69.814,814980,255,NaN,NaN,100,814980,1,1102,104,141.981,62.890,1.085,0.921,0.951
14,2227,255,0,255,255,856.440,117.580,184.794,829,91,54,54,54.763,51.777,39.845,0.820,57.801,567885,255,NaN,NaN,100,567885,1,832,131,30.114,52.971,1.058,0.945,0.955
15,3774,255,0,255,255,143.911,135.228,267.706,108,97,77,70,76.398,62.897,149.547,0.662,83.630,962370,255,NaN,NaN,100,962370,1,118,100,138.879,65.148,1.215,0.823,0.911
16,4962,255,0,255,255,743.702,157.558,280.978,705,114,78,86,82.232,76.829,103.249,0.790,91.706,1265310,255,NaN,NaN,100,1265310,1,721,114,117.962,77.770,1.070,0.934,0.947
