 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,436,255,0,255,255,318.968,15.665,81.255,306,4,26,23,25.965,21.38,165.114,0.83,27.659,111180,255,,,100,111180,1,310,4,130.601,21.556,1.214,0.823,0.926
2,1963,255,0,255,255,616.71,33.922,177.966,593,5,49,57,61.298,40.774,123.599,0.779,62.008,500565,255,,,100,500565,1,597,11,127.794,43.841,1.503,0.665,0.948
3,1111,255,0,255,255,1012.839,22.874,141.196,988,7,52,31,51.051,27.709,6.847,0.7,52.24,283305,255,,,100,283305,1,988,25,174.508,29.52,1.842,0.543,0.91
4,477,255,0,255,255,277.638,32.2,90.912,263,21,30,22,30.645,19.818,21.405,0.725,33.541,121635,255,,,100,121635,1,263,38,26.565,20.365,1.546,0.647,0.916
5,5083,255,0,255,255,864.272,65.938,285.12,822,21,83,83,86.806,74.556,35.19,0.786,91.263,1296165,255,,,100,1296165,1,835,98,55.265,74.074,1.164,0.859,0.962
6,887,255,0,255,255,1129.439,39.25,115.782,1111,24,37,32,38.091,29.649,156.451,0.831,38.484,226185,255,,,100,226185,1,1112,30,155.433,30.674,1.285,0.778,0.953
7,51,255,0,255,255,539.52,34.461,29.213,535,30,9,8,8.991,7.222,43.491,0.751,10.63,13005,255,,,100,13005,1,535,38,41.186,8.0,1.245,0.803,0.857
8,629,255,0,255,255,1030.331,43.762,98.083,1013,31,33,25,33.064,24.222,176.425,0.822,34.482,160395,255,,,100,160395,1,1013,38,163.142,24.478,1.365,0.733,0.938
9,299,255,0,255,255,992.366,51.349,65.841,982,41,22,20,21.994,17.309,156.713,0.867,23.087,76245,255,,,100,76245,1,982,46,162.35,18.336,1.271,0.787,0.914
10,3466,255,0,255,255,80.583,86.085,270.777,51,49,61,84,78.408,56.283,71.619,0.594,86.833,883830,255,,,100,883830,1,78,133,75.324,60.542,1.393,0.718,0.877
11,1047,255,0,255,255,650.476,74.34,130.61,633,52,34,44,47.46,28.089,62.891,0.771,48.01,266985,255,,,100,266985,1,635,92,54.324,28.9,1.69,0.592,0.945
12,168,255,0,255,255,772.625,63.345,55.598,764,54,17,17,20.666,10.35,40.516,0.683,22.023,42840,255,,,100,42840,1,764,69,39.472,11.869,1.997,0.501,0.875
13,446,255,0,255,255,426.336,71.637,94.669,415,55,20,37,36.293,15.647,92.009,0.625,37.656,113730,255,,,100,113730,1,424,92,79.287,19.682,2.32,0.431,0.862
14,707,255,0,255,255,169.644,69.9,107.497,154,57,32,27,33.051,27.236,11.783,0.769,36.359,180285,255,,,100,180285,1,155,78,31.504,26.898,1.214,0.824,0.937
15,962,255,0,255,255,1194.068,74.672,128.51,1172,59,44,31,46.165,26.532,155.696,0.732,47.011,245310,255,,,100,245310,1,1173,63,150.709,27.727,1.74,0.575,0.949
16,1295,255,0,255,255,451.429,79.525,147.439,431,61,43,39,43.175,38.19,37.262,0.749,47.508,330225,255,,,100,330225,1,431,92,30.343,39.0,1.131,0.885,0.933
17,167,255,0,255,255,712.572,70.584,59.598,707,61,13,21,20.912,10.168,78.305,0.591,22.136,42585,255,,,100,42585,1,709,82,71.565,12.854,2.057,0.486,0.807
18,798,255,0,255,255,408.514,83.642,118.953,396,63,27,40,40.139,25.313,93.763,0.709,40.311,203490,255,,,100,203490,1,402,63,97.125,26.758,1.586,0.631,0.928
19,163,255,0,255,255,135.911,88.684,51.355,129,80,14,16,15.013,13.824,77.922,0.777,16.763,41565,255,,,100,41565,1,133,96,72.646,14.0,1.086,0.921,0.896
20,205,255,0,255,255,186.661,88.963,55.012,178,80,17,19,17.427,14.978,86.938,0.851,19.647,52275,255,,,100,52275,1,185,80,104.744,16.263,1.163,0.859,0.889
21,480,255,0,255,255,768.967,107.456,93.539,756,92,23,32,30.166,20.26,106.446,0.689,32.388,122400,255,,,100,122400,1,769,92,98.881,23.0,1.489,0.672,0.892
22,387,255,0,255,255,914.983,107.249,77.74,905,95,20,25,25.393,19.404,89.973,0.805,26.249,98685,255,,,100,98685,1,911,120,72.255,20.0,1.309,0.764,0.93
23,3534,255,0,255,255,345.717,137.248,239.321,312,102,71,73,71.939,62.548,62.678,0.775,76.217,901170,255,,,100,901170,1,330,173,51.927,61.845,1.15,0.869,0.946
24,2185,255,0,255,255,623.608,134.646,187.38,594,107,61,51,59.706,46.596,178.252,0.782,61.814,557175,255,,,100,557175,1,594,130,170.69,50.69,1.281,0.78,0.94
25,3240,255,0,255,255,1041.385,142.236,256.291,1002,107,77,65,75.535,54.614,25.529,0.62,77.782,826200,255,,,100,826200,1,1008,166,45.0,60.621,1.383,0.723,0.899
26,268,255,0,255,255,790.638,121.09,65.255,779,112,23,17,23.083,14.783,20.866,0.791,24.352,68340,255,,,100,68340,1,779,126,19.179,15.888,1.561,0.64,0.913
27,1330,255,0,255,255,551.705,135.433,152.309,527,115,49,41,45.135,37.519,3.908,0.72,50.01,339150,255,,,100,339150,1,527,138,11.535,39.555,1.203,0.831,0.917
