 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,564,255,0,255,255,510.009,30.011,96.569,497,16,25,29,29.771,24.121,85.606,0.76,31.064,143820,255,,,100,143820,1,502,43,56.821,24.626,1.234,0.81,0.93
2,304,255,0,255,255,337.763,52.941,70.669,329,40,17,26,25.127,15.404,100.878,0.765,26.306,77520,255,,,100,77520,1,337,40,98.746,16.76,1.631,0.613,0.923
3,22423,255,0,255,255,975.938,135.345,654.607,880,48,188,175,189.391,150.746,140.024,0.658,202.319,5717865,255,,,100,5717865,1,881,103,151.028,160.375,1.256,0.796,0.915
4,5085,255,0,255,255,1100.441,101.557,314.617,1063,48,74,109,100.57,64.377,104.685,0.646,109.073,1296675,255,,,100,1296675,1,1102,157,87.898,70.44,1.562,0.64,0.912
5,1346,255,0,255,255,116.149,140.62,157.238,89,122,53,38,54.748,31.303,21.291,0.684,54.562,343230,255,,,100,343230,1,93,152,26.095,33.094,1.749,0.572,0.908
6,665,255,0,255,255,190.007,140.611,109.539,175,123,31,36,40.965,20.669,52.511,0.696,43.6,169575,255,,,100,169575,1,180,159,53.393,22.107,1.982,0.505,0.928
7,848,255,0,255,255,569.653,151.189,127.681,547,132,42,36,39.155,27.575,140.21,0.654,43.417,216240,255,,,100,216240,1,547,151,165.324,30.726,1.42,0.704,0.867
8,535,255,0,255,255,614.633,152.868,94.569,603,138,23,30,29.968,22.73,89.999,0.752,31.321,136425,255,,,100,136425,1,611,168,73.301,23.0,1.318,0.758,0.924
9,3097,255,0,255,255,717.04,183.024,242.877,685,141,67,80,82.197,47.973,120.5,0.66,80.895,789735,255,,,100,789735,1,716,141,98.531,48.856,1.713,0.584,0.915
10,495,255,0,255,255,1153.987,161.431,93.054,1141,147,26,30,33.076,19.055,55.197,0.718,34.482,126225,255,,,100,126225,1,1148,177,60.461,20.175,1.736,0.576,0.91
11,164,255,0,255,255,1106.055,170.268,59.113,1100,158,12,22,19.831,10.529,107.811,0.59,24.166,41820,255,,,100,41820,1,1102,158,114.444,11.642,1.883,0.531,0.845
12,826,255,0,255,255,1083.501,180.461,115.882,1067,163,33,34,39.05,26.932,47.602,0.773,41.11,210630,255,,,100,210630,1,1072,197,48.945,28.68,1.45,0.69,0.927
13,4910,255,0,255,255,1113.804,244.748,292.434,1072,198,81,91,95.741,65.297,57.522,0.722,98.412,1252050,255,,,100,1252050,1,1085,288,62.133,66.964,1.466,0.682,0.946
14,11203,255,0,255,255,185.139,253.794,442.156,119,200,139,116,129.765,109.922,173.071,0.72,139.359,2856765,255,,,100,2856765,1,119,258,4.115,115.769,1.181,0.847,0.934
15,399,255,0,255,255,267.385,282.966,84.225,253,269,24,27,24.469,20.762,64.699,0.707,27.659,101745,255,,,100,101745,1,267,296,77.471,22.298,1.179,0.849,0.881
16,111,255,0,255,255,666.5,286.356,47.598,657,281,17,11,15.797,8.947,158.318,0.616,18.028,28305,255,,,100,28305,1,657,283,160.56,10.607,1.766,0.566,0.851
17,184,255,0,255,255,862.918,300.875,79.154,856,285,16,28,26.495,8.842,107.074,0.369,30.871,46920,255,,,100,46920,1,858,285,114.905,13.741,2.996,0.334,0.675
18,100,255,0,255,255,662.23,312.53,39.941,657,306,11,13,12.57,10.129,89.645,0.788,13.601,25500,255,,,100,25500,1,660,319,72.897,11.0,1.241,0.806,0.877
19,936,255,0,255,255,1039.668,330.504,130.995,1018,317,45,29,42.596,27.978,13.888,0.685,45.706,238680,255,,,100,238680,1,1018,331,10.081,29.0,1.522,0.657,0.934
20,191,255,0,255,255,62.039,325.924,58.426,52,320,22,13,20.962,11.601,0.689,0.703,22.361,48705,255,,,100,48705,1,52,323,169.695,13.0,1.807,0.553,0.899
21,7250,255,0,255,255,804.467,386.929,378.316,754,329,94,115,107.63,85.766,101.273,0.637,116.726,1848750,255,,,100,1848750,1,801,444,80.134,93.133,1.255,0.797,0.916
22,624,255,0,255,255,78.319,388.631,99.64,63,376,32,26,31.289,25.393,1.076,0.79,33.242,159120,255,,,100,159120,1,63,396,15.709,26.0,1.232,0.812,0.928
23,125,255,0,255,255,631.124,391.268,43.456,626,384,12,14,14.467,11.001,115.794,0.832,15.811,31875,255,,,100,31875,1,627,384,124.695,12.0,1.315,0.76,0.909
24,365,255,0,255,255,26.371,409.511,86.569,15,394,23,30,28.081,16.55,112.776,0.612,30.806,93075,255,,,100,93075,1,17,394,103.134,19.926,1.697,0.589,0.805
25,2505,255,0,255,255,919.835,425.081,224.35,887,397,65,53,65.676,48.563,164.933,0.625,69.311,638775,255,,,100,638775,1,896,398,133.831,51.351,1.352,0.739,0.881
26,221,255,0,255,255,769.17,431.618,59.598,758,425,22,14,22.156,12.7,174.42,0.782,22.561,56355,255,,,100,56355,1,758,429,167.196,14.0,1.745,0.573,0.911
27,355,255,0,255,255,1186.649,476.796,83.74,1171,466,28,20,25.681,17.601,18.601,0.636,30.871,90525,255,,,100,90525,1,1171,480,24.905,19.29,1.459,0.685,0.891
28,295,255,0,255,255,87.215,486.754,78.083,71,476,27,19,24.346,15.428,16.407,0.608,28.653,75225,255,,,100,75225,1,71,492,29.249,18.657,1.578,0.634,0.869
29,832,255,0,255,255,682.47,510.082,117.924,665,492,39,34,38.174,27.75,145.828,0.752,42.154,212160,255,,,100,212160,1,665,503,157.694,28.284,1.376,0.727,0.927
30,673,255,0,255,255,503.282,510.172,116.61,484,495,40,32,43.276,19.8,40.188,0.622,44.777,171615,255,,,100,171615,1,484,519,29.427,21.92,2.186,0.458,0.844
31,3886,255,0,255,255,1129.087,548.79,261.262,1087,507,73,85,75.248,65.753,98.715,0.715,85.212,990930,255,,,100,990930,1,1138,507,94.038,71.834,1.144,0.874,0.938
32,340,255,0,255,255,430.482,543.456,81.983,417,535,29,19,26.824,16.139,15.707,0.636,29.275,86700,255,,,100,86700,1,417,544,7.853,19.0,1.662,0.602,0.837
33,358,255,0,255,255,408.154,548.877,74.083,398,536,22,23,22.09,20.634,78.022,0.82,24.187,91290,255,,,100,91290,1,398,557,60.255,21.638,1.071,0.934,0.925
34,1346,255,0,255,255,373.432,558.897,148.853,353,540,44,44,45.12,37.983,39.171,0.763,49.679,343230,255,,,100,343230,1,365,584,49.899,41.0,1.188,0.842,0.938
35,60,255,0,255,255,464.233,554.733,30.627,461,549,8,11,10.56,7.234,82.831,0.804,11.705,15300,255,,,100,15300,1,461,560,70.017,8.0,1.46,0.685,0.889
36,93,255,0,255,255,486.747,561.554,43.113,481,554,10,16,17.09,6.929,111.219,0.629,17.464,23715,255,,,100,23715,1,483,554,113.629,8.193,2.467,0.405,0.842
37,885,255,0,255,255,958.526,574.145,126.51,938,555,37,37,41.208,27.345,45.509,0.695,42.544,225675,255,,,100,225675,1,949,592,60.422,29.4,1.507,0.664,0.898
38,9920,255,0,255,255,1079.132,626.438,414.257,1017,555,126,132,135.09,93.497,51.148,0.726,142.299,2529600,255,,,100,2529600,1,1018,661,28.546,93.467,1.445,0.692,0.943
39,7363,255,0,255,255,734.633,634.046,433.085,683,574,98,119,109.157,85.884,67.266,0.493,123.847,1877565,255,,,100,1877565,1,687,674,51.557,96.31,1.271,0.787,0.839
40,832,255,0,255,255,432.151,664.238,118.752,413,648,37,32,34.764,30.472,159.207,0.741,38.328,212160,255,,,100,212160,1,413,659,164.876,32.0,1.141,0.877,0.919
41,4009,255,0,255,255,769.386,754.368,281.404,730,706,76,88,74.451,68.561,91.069,0.636,88.051,1022295,255,,,100,1022295,1,781,706,91.953,72.143,1.086,0.921,0.892
42,267,255,0,255,255,28.099,739.878,67.598,18,730,20,20,23.992,14.169,45.744,0.734,26.173,68085,255,,,100,68085,1,19,748,43.452,15.836,1.693,0.591,0.908
43,4202,255,0,255,255,405.443,794.426,271.605,361,762,81,70,79.74,67.095,177.067,0.716,83.241,1071510,255,,,100,1071510,1,362,801,16.04,69.709,1.188,0.841,0.933
44,4019,255,0,255,255,852.527,846.385,284.676,815,806,74,89,91.106,56.167,127.812,0.623,99.02,1024845,255,,,100,1024845,1,827,811,123.048,61.4,1.622,0.617,0.921
45,732,255,0,255,255,311.989,828.085,104.953,297,811,30,34,32.776,28.436,80.369,0.835,34.525,186660,255,,,100,186660,1,310,811,100.008,29.409,1.153,0.868,0.937
46,2858,255,0,255,255,244.472,853.073,223.037,212,816,62,67,73.854,49.272,126.055,0.722,78.568,728790,255,,,100,728790,1,221,825,132.421,50.249,1.499,0.667,0.953
47,655,255,0,255,255,192.187,854.831,101.882,176,842,32,28,31.652,26.348,8.809,0.793,33.541,167025,255,,,100,167025,1,177,860,26.565,27.634,1.201,0.832,0.93
1,720,255,0,255,255,391.762,77.885,114.853,379,58,28,38,35.102,26.116,98.032,0.686,38.328,183600,255,,,100,183600,1,389,58,97.496,28.0,1.344,0.744,0.893
2,3995,255,0,255,255,203.965,99.739,256.049,167,59,75,77,76.216,66.739,52.387,0.766,79.404,1018725,255,,,100,1018725,1,186,135,73.163,70.375,1.142,0.876,0.938
3,4401,255,0,255,255,113.673,128.146,299.161,69,95,89,69,88.608,63.239,158.031,0.618,101.213,1122255,255,,,100,1122255,1,69,97,150.396,66.55,1.401,0.714,0.893
4,1724,255,0,255,255,876.22,188.02,166.995,856,160,42,58,55.601,39.479,89.354,0.777,59.908,439620,255,,,100,439620,1,869,160,104.5,41.66,1.408,0.71,0.934
5,607,255,0,255,255,976.222,190.083,105.054,960,175,32,29,34.246,22.568,150.728,0.691,37.014,154785,255,,,100,154785,1,961,179,141.582,24.903,1.517,0.659,0.875
6,76,255,0,255,255,80.724,188.789,36.042,75,183,11,11,13.35,7.249,124.706,0.735,14.213,19380,255,,,100,19380,1,77,183,129.289,8.403,1.842,0.543,0.849
7,4679,255,0,255,255,481.223,221.801,288.919,433,188,93,70,91.484,65.121,178.755,0.704,95.341,1193145,255,,,100,1193145,1,433,228,12.724,69.254,1.405,0.712,0.928
8,3184,255,0,255,255,570.144,234.446,254.049,534,194,69,74,69.788,58.09,35.134,0.62,80.231,811920,255,,,100,811920,1,559,268,67.27,61.418,1.201,0.832,0.868
9,49,255,0,255,255,46.235,216.5,28.971,42,212,9,8,8.76,7.122,120.161,0.734,10.63,12495,255,,,100,12495,1,43,213,138.814,8.0,1.23,0.813,0.824
10,175,255,0,255,255,269.037,256.854,58.77,260,250,21,12,21.64,10.297,163.803,0.637,22.847,44625,255,,,100,44625,1,260,252,156.801,12.0,2.102,0.476,0.884
11,1967,255,0,255,255,890.809,291.62,188.894,866,265,54,53,55.347,45.25,149.595,0.693,62.29,501585,255,,,100,501585,1,870,269,137.603,49.326,1.223,0.818,0.907
12,13970,255,0,255,255,166.122,357.021,527.085,73,302,171,110,172.868,102.894,178.842,0.632,175.0,3562350,255,,,100,3562350,1,76,339,163.74,109.096,1.68,0.595,0.933
13,1598,255,0,255,255,905.854,334.033,166.409,879,312,49,47,51.739,39.325,139.938,0.725,55.902,407490,255,,,100,407490,1,886,318,132.825,42.541,1.316,0.76,0.934
14,3670,255,0,255,255,966.438,364.029,270.09,940,324,60,86,87.054,53.677,80.728,0.632,89.022,935850,255,,,100,935850,1,957,410,75.027,59.087,1.622,0.617,0.931
15,800,255,0,255,255,35.991,446.356,124.024,19,428,39,36,34.067,29.9,30.694,0.654,40.853,204000,255,,,100,204000,1,20,459,21.541,31.287,1.139,0.878,0.839
16,615,255,0,255,255,1173.376,507.726,102.426,1157,494,30,26,31.732,24.677,9.266,0.737,35.0,156825,255,,,100,156825,1,1159,518,36.87,25.951,1.286,0.778,0.916
17,10320,255,0,255,255,974.509,579.889,446.156,919,506,100,146,145.98,90.011,79.912,0.652,147.963,2631600,255,,,100,2631600,1,953,650,75.118,98.32,1.622,0.617,0.937
18,11145,255,0,255,255,427.312,573.94,464.985,363,507,127,137,135.31,104.872,116.75,0.648,142.13,2841975,255,,,100,2841975,1,389,515,134.715,111.849,1.29,0.775,0.904
19,42,255,0,255,255,171.214,527.619,24.971,168,523,7,9,9.43,5.671,113.42,0.846,10.296,10710,255,,,100,10710,1,169,523,119.055,6.641,1.663,0.601,0.857
