 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,8664,255,0,255,255,666.151,84.302,388.902,608,32,116,104,110.25,100.058,17.314,0.72,123.13,2209320,255,,,100,2209320,1,609,112,20.937,103.569,1.102,0.908,0.947
2,2292,255,0,255,255,1148.411,62.168,205.321,1121,33,58,55,56.606,51.554,164.203,0.683,61.4,584460,255,,,100,584460,1,1125,45,149.676,53.442,1.098,0.911,0.926
3,2510,255,0,255,255,436.136,208.367,211.463,399,180,76,52,66.52,48.043,11.003,0.705,76.531,640050,255,,,100,640050,1,399,220,6.754,52.0,1.385,0.722,0.943
4,49,255,0,255,255,959.99,555.173,38.284,954,551,13,11,14.205,4.392,39.829,0.42,16.401,12495,255,,,100,12495,1,954,561,37.569,6.323,3.234,0.309,0.636
5,45,255,0,255,255,966.7,561.144,36.284,961,554,11,12,14.88,3.851,42.441,0.43,16.279,11475,255,,,100,11475,1,961,566,47.49,4.831,3.864,0.259,0.726
6,1408,255,0,255,255,37.746,675.996,156.066,17,652,42,46,47.486,37.753,125.358,0.726,51.614,359040,255,,,100,359040,1,24,653,125.538,40.449,1.258,0.795,0.937
1,1443,255,0,255,255,1185.219,74.134,178.108,1164,46,43,55,58.714,31.292,68.544,0.572,59.54,367965,255,,,100,367965,1,1171,100,60.852,33.696,1.876,0.533,0.881
2,2331,255,0,255,255,336.444,158.772,217.22,307,132,60,58,60.246,49.263,48.698,0.621,69.029,594405,255,,,100,594405,1,313,186,38.53,51.636,1.223,0.818,0.905
3,4197,255,0,255,255,384.676,372.911,308.96,345,331,84,83,74.291,71.931,39.182,0.553,84.717,1070235,255,,,100,1070235,1,345,394,7.461,74.755,1.033,0.968,0.892
4,951,255,0,255,255,794.989,443.329,135.439,782,418,26,50,50.392,24.029,100.293,0.651,51.662,242505,255,,,100,242505,1,791,418,104.574,26.0,2.097,0.477,0.923
5,3691,255,0,255,255,89.276,501.046,278.818,51,467,74,72,79.089,59.421,144.618,0.597,87.784,941205,255,,,100,941205,1,52,475,137.77,61.36,1.331,0.751,0.909
6,6512,255,0,255,255,153.515,674.431,364.115,113,618,80,119,114.487,72.421,100.418,0.617,120.507,1660560,255,,,100,1660560,1,135,618,99.071,74.72,1.581,0.633,0.934
7,6349,255,0,255,255,65.283,806.997,359.387,17,755,97,114,118.956,67.956,54.672,0.618,122.299,1618995,255,,,100,1618995,1,38,863,60.081,69.801,1.75,0.571,0.908
8,1510,255,0,255,255,235.199,844.571,187.38,209,820,62,42,61.354,31.336,158.775,0.54,67.742,385050,255,,,100,385050,1,210,823,148.891,35.649,1.958,0.511,0.869
9,3839,255,0,255,255,990.42,866.579,307.061,949,830,85,81,75.002,65.172,128.036,0.512,85.376,978945,255,,,100,978945,1,949,845,174.623,77.815,1.151,0.869,0.832
1,20,255,0,255,255,277.9,41.9,17.899,276,39,4,7,6.625,3.844,92.571,0.784,7.28,5100,255,,,100,5100,1,276,39,105.945,4.0,1.723,0.58,0.851
2,1808,255,0,255,255,316.158,72.041,176.693,291,49,50,47,50.341,45.729,179.612,0.728,52.697,461040,255,,,100,461040,1,293,86,33.389,46.872,1.101,0.908,0.945
3,1426,255,0,255,255,603.521,889.245,167.48,583,868,47,45,48.766,37.232,52.543,0.639,55.218,363630,255,,,100,363630,1,585,906,35.417,38.439,1.31,0.763,0.904
1,1531,255,0,255,255,1173.539,448.974,175.765,1149,422,50,53,52.568,37.082,126.2,0.623,56.824,390405,255,,,100,390405,1,1149,437,151.631,39.802,1.418,0.705,0.878
2,2420,255,0,255,255,108.289,763.258,227.463,80,734,57,59,63.249,48.716,129.452,0.588,72.346,617100,255,,,100,617100,1,81,737,139.485,53.741,1.298,0.77,0.891
1,6572,255,0,255,255,140.225,317.991,330.86,88,269,104,91,97.146,86.136,8.62,0.754,104.48,1675860,255,,,100,1675860,1,88,329,5.492,89.837,1.128,0.887,0.942
2,371,255,0,255,255,682.317,365.947,76.669,671,355,25,23,25.087,18.829,29.088,0.793,26.926,94605,255,,,100,94605,1,672,377,31.329,20.749,1.332,0.751,0.904
3,864,255,0,255,255,697.279,384.28,123.296,677,368,37,31,36.986,29.743,178.919,0.714,40.311,220320,255,,,100,220320,1,677,378,156.615,30.81,1.244,0.804,0.917
4,2091,255,0,255,255,154.716,596.765,197.622,131,567,46,59,61.973,42.96,110.388,0.673,64.444,533205,255,,,100,533205,1,133,575,131.855,44.689,1.443,0.693,0.931
5,4213,255,0,255,255,973.696,633.174,296.274,925,592,90,89,102.849,52.156,135.44,0.603,111.041,1074315,255,,,100,1074315,1,927,608,141.582,53.216,1.972,0.507,0.923
6,4855,255,0,255,255,939.057,670.291,300.032,898,621,89,93,98.973,62.457,134.58,0.678,103.812,1238025,255,,,100,1238025,1,900,635,144.013,65.166,1.585,0.631,0.927
7,1322,255,0,255,255,176.38,713.778,161.38,151,692,50,40,49.225,34.195,15.719,0.638,54.231,337110,255,,,100,337110,1,151,722,22.782,38.6,1.44,0.695,0.886
8,1635,255,0,255,255,785.554,799.924,182.693,761,771,52,53,49.523,42.036,144.31,0.616,55.227,416925,255,,,100,416925,1,762,785,148.325,45.069,1.178,0.849,0.855
9,79,255,0,255,255,215.006,855.057,43.355,209,849,11,14,13.093,7.682,120.066,0.528,14.866,20145,255,,,100,20145,1,212,849,109.654,10.114,1.704,0.587,0.702
1,3003,255,0,255,255,343.411,182.354,250.333,308,145,66,80,72.102,53.03,63.279,0.602,82.71,765765,255,,,100,765765,1,338,225,75.292,62.541,1.36,0.735,0.895
2,2074,255,0,255,255,937.474,221.838,191.765,912,194,53,53,53.79,49.093,157.339,0.709,58.31,528870,255,,,100,528870,1,912,237,30.964,49.923,1.096,0.913,0.926
