 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,15,255,0,255,255,16.3,109.567,23.799,13,105,6,9,10.136,1.884,58.819,0.333,10.817,3825,255,,,100,3825,1,13,114,56.31,2.915,5.379,0.186,0.588
2,35750,255,0,255,255,437.898,690.971,868.632,344,560,194,276,289.371,157.301,66.342,0.595,295.413,9116250,255,,,100,9116250,1,359,820,53.673,166.656,1.84,0.544,0.939
1,25396,255,0,255,255,1026.126,275.738,702.482,931,177,180,204,200.082,161.61,85.372,0.647,213.214,6475980,255,,,100,6475980,1,963,209,126.225,168.596,1.238,0.808,0.909
2,21070,255,0,255,255,1151.784,301.678,636.24,1090,198,133,196,201.583,133.083,92.48,0.654,197.497,5372850,255,,,100,5372850,1,1143,198,100.798,132.506,1.515,0.66,0.937
3,11335,255,0,255,255,832.213,273.227,463.428,767,203,120,147,152.293,94.766,117.007,0.663,157.064,2890425,255,,,100,2890425,1,777,212,118.523,101.941,1.607,0.622,0.915
4,10359,255,0,255,255,749.625,299.355,435.973,698,222,113,139,133.625,98.706,88.074,0.685,145.784,2641545,255,,,100,2641545,1,719,360,71.192,105.841,1.354,0.739,0.943
5,716,255,0,255,255,384.811,323.933,211.421,360,307,41,34,32.305,28.22,168.548,0.201,44.654,182580,255,,,100,182580,1,360,315,145.954,32.809,1.145,0.874,0.633
6,45,255,0,255,255,121.522,318.9,34.627,119,312,6,14,13.033,4.396,97.287,0.472,14.318,11475,255,,,100,11475,1,119,312,102.095,5.798,2.965,0.337,0.763
7,501,255,0,255,255,536.087,711.302,113.681,518,702,37,20,37.535,16.994,1.538,0.487,37.656,127755,255,,,100,127755,1,518,709,169.287,20.0,2.209,0.453,0.786
8,117,255,0,255,255,542.782,725.5,55.255,536,719,15,15,14.514,10.264,54.488,0.482,18.028,29835,255,,,100,29835,1,536,733,33.69,12.728,1.414,0.707,0.736
9,47,255,0,255,255,532.862,726.457,34.042,529,722,8,11,10.178,5.88,99.746,0.51,12.083,11985,255,,,100,11985,1,530,722,114.444,7.845,1.731,0.578,0.734
1,271095,255,0,255,255,513.0,579.056,2119.669,212,264,603,639,622.659,554.347,126.109,0.758,639.153,69129225,255,,,100,69129225,1,513,264,91.255,549.152,1.123,0.89,0.972
1,16087,255,0,255,255,246.66,96.984,585.495,160,34,190,142,192.547,106.377,27.551,0.59,202.832,4102185,255,,,100,4102185,1,160,132,20.49,110.346,1.81,0.552,0.925
2,4908,255,0,255,255,140.857,156.881,358.458,100,94,85,120,111.984,55.803,121.603,0.48,126.811,1251540,255,,,100,1251540,1,103,94,108.864,61.458,2.007,0.498,0.849
3,10,255,0,255,255,542.7,168.1,11.314,541,166,4,4,4.495,2.833,40.935,0.982,5.0,2550,255,,,100,2550,1,541,170,36.87,3.536,1.587,0.63,0.8
4,54922,255,0,255,255,939.632,419.639,1102.077,753,293,362,269,347.799,201.061,152.495,0.568,390.244,14005110,255,,,100,14005110,1,756,371,156.917,224.523,1.73,0.578,0.91
5,11,255,0,255,255,333.227,327.773,14.728,331,326,5,4,5.388,2.599,38.856,0.637,6.403,2805,255,,,100,2805,1,331,330,38.66,3.536,2.073,0.482,0.759
6,13,255,0,255,255,378.885,339.577,25.556,373,337,11,5,10.787,1.534,155.38,0.25,12.083,3315,255,,,100,3315,1,373,337,155.556,2.683,7.029,0.142,0.52
7,23640,255,0,255,255,460.839,477.183,728.531,379,388,180,208,195.619,153.867,50.442,0.56,213.216,6028200,255,,,100,6028200,1,429,596,60.188,169.481,1.271,0.787,0.895
8,10583,255,0,255,255,259.273,511.233,523.897,192,435,135,144,123.404,109.192,123.235,0.485,148.432,2698665,255,,,100,2698665,1,250,435,104.036,118.725,1.13,0.885,0.836
9,11836,255,0,255,255,964.622,573.065,452.759,898,516,133,117,136.18,110.663,158.303,0.726,143.951,3018180,255,,,100,3018180,1,907,533,145.758,115.014,1.231,0.813,0.939
10,2923,255,0,255,255,832.057,558.859,231.806,801,521,61,70,68.264,54.519,80.708,0.684,74.733,745365,255,,,100,745365,1,815,590,65.493,57.739,1.252,0.799,0.923
11,12214,255,0,255,255,201.879,596.421,502.666,131,536,155,138,134.961,115.229,167.968,0.607,156.554,3114570,255,,,100,3114570,1,131,567,171.922,127.137,1.171,0.854,0.929
12,17481,255,0,255,255,493.58,645.109,565.026,428,561,134,171,169.688,131.167,85.9,0.688,175.391,4457655,255,,,100,4457655,1,457,561,102.848,128.717,1.294,0.773,0.941
13,6795,255,0,255,255,623.555,620.667,356.801,566,569,106,111,115.864,74.671,138.918,0.671,122.442,1732725,255,,,100,1732725,1,588,571,128.367,78.312,1.552,0.644,0.923
14,36,255,0,255,255,1144.5,581.333,30.385,1139,576,9,9,9.602,4.774,60.851,0.49,11.402,9180,255,,,100,9180,1,1139,585,37.875,6.51,2.012,0.497,0.692
15,3612,255,0,255,255,730.602,611.124,253.262,692,577,79,75,71.29,64.511,161.212,0.708,79.63,921060,255,,,100,921060,1,692,609,7.214,69.7,1.105,0.905,0.916
16,28,255,0,255,255,1182.679,585.179,19.556,1179,582,7,6,6.727,5.3,159.263,0.92,8.062,7140,255,,,100,7140,1,1179,583,150.255,6.0,1.269,0.788,0.824
17,17763,255,0,255,255,294.482,675.543,569.034,199,590,175,171,158.749,142.467,156.172,0.689,175.183,4529565,255,,,100,4529565,1,199,675,177.383,142.398,1.114,0.897,0.933
18,3018,255,0,255,255,837.974,627.167,239.078,792,598,89,55,91.583,41.958,19.263,0.664,93.301,769590,255,,,100,769590,1,792,639,17.464,43.513,2.183,0.458,0.937
19,3623,255,0,255,255,691.919,658.405,270.777,664,609,60,99,89.255,51.683,97.195,0.621,99.85,923865,255,,,100,923865,1,690,609,97.481,58.973,1.727,0.579,0.905
20,6918,255,0,255,255,588.892,684.017,360.174,550,613,91,125,112.521,78.281,104.571,0.67,128.062,1764090,255,,,100,1764090,1,565,613,104.47,89.332,1.437,0.696,0.937
