 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,224,255,0,255,255,53.674,27.161,58.669,44,18,18,19,18.902,15.089,119.021,0.818,20.125,57120,255,,,100,57120,1,48,19,116.565,15.832,1.253,0.798,0.898
2,189,255,0,255,255,488.807,67.807,56.184,480,61,17,15,16.017,15.025,171.185,0.752,18.028,48195,255,,,100,48195,1,482,73,33.69,15.0,1.066,0.938,0.889
3,467,255,0,255,255,1077.226,80.845,83.497,1065,68,26,25,26.533,22.41,144.027,0.842,29.155,119085,255,,,100,119085,1,1066,73,149.036,23.894,1.184,0.845,0.917
4,530,255,0,255,255,288.549,95.613,95.64,275,81,26,29,30.949,21.804,124.229,0.728,32.65,135150,255,,,100,135150,1,277,85,130.03,22.759,1.419,0.705,0.908
5,877,255,0,255,255,956.913,211.345,123.196,940,193,33,40,40.645,27.473,110.778,0.726,43.863,223635,255,,,100,223635,1,946,193,114.228,28.756,1.479,0.676,0.913
6,478,255,0,255,255,403.985,246.4,88.811,391,232,26,29,27.726,21.951,106.649,0.762,29.275,121890,255,,,100,121890,1,399,232,97.853,23.717,1.263,0.792,0.898
7,1325,255,0,255,255,885.109,280.478,162.208,863,258,47,46,43.827,38.493,53.072,0.633,47.802,337875,255,,,100,337875,1,871,300,37.349,40.293,1.139,0.878,0.886
8,307,255,0,255,255,936.581,271.119,73.841,925,261,21,23,23.986,16.296,128.308,0.708,28.018,78285,255,,,100,78285,1,930,261,124.824,18.716,1.472,0.679,0.892
9,445,255,0,255,255,688.113,363.792,84.225,675,350,25,28,25.884,21.89,89.907,0.788,28.443,113475,255,,,100,113475,1,687,378,79.875,23.401,1.182,0.846,0.905
10,1252,255,0,255,255,711.325,385.586,148.066,690,362,41,47,47.02,33.903,52.38,0.718,51.478,319260,255,,,100,319260,1,701,408,60.945,36.2,1.387,0.721,0.922
11,869,255,0,255,255,1087.339,383.315,124.024,1071,362,32,40,39.444,28.051,109.916,0.71,42.953,221595,255,,,100,221595,1,1080,363,114.775,29.12,1.406,0.711,0.917
12,309,255,0,255,255,791.396,400.057,79.74,779,390,26,18,25.509,15.423,163.635,0.611,26.683,78795,255,,,100,78795,1,779,407,12.995,17.584,1.654,0.605,0.867
13,39,255,0,255,255,835.269,453.936,22.971,832,450,7,8,8.713,5.699,119.889,0.929,9.434,9945,255,,,100,9945,1,833,450,122.005,6.364,1.529,0.654,0.876
14,302,255,0,255,255,1062.778,499.811,71.497,1053,488,19,25,23.591,16.299,107.063,0.742,25.495,77010,255,,,100,77010,1,1057,488,101.31,17.72,1.447,0.691,0.884
15,90,255,0,255,255,401.844,517.678,38.284,394,513,15,9,14.633,7.831,9.91,0.772,15.524,22950,255,,,100,22950,1,394,519,14.931,8.825,1.868,0.535,0.865
16,278,255,0,255,255,414.137,541.64,71.397,403,530,23,24,28.452,12.441,133.616,0.685,28.018,70890,255,,,100,70890,1,403,535,145.176,14.142,2.287,0.437,0.865
17,1460,255,0,255,255,152.062,563.434,169.48,125,546,53,38,51.095,36.382,6.36,0.639,53.151,372300,255,,,100,372300,1,125,555,175.684,37.286,1.404,0.712,0.924
18,316,255,0,255,255,669.25,574.016,83.882,659,561,23,25,25.623,15.702,126.467,0.564,26.926,80580,255,,,100,80580,1,664,561,111.801,17.678,1.632,0.613,0.822
19,690,255,0,255,255,475.033,579.983,107.296,458,565,34,30,33.924,25.897,29.383,0.753,37.59,175950,255,,,100,175950,1,459,588,28.61,28.126,1.31,0.763,0.914
20,507,255,0,255,255,536.861,580.321,95.054,522,567,28,25,28.314,22.799,43.216,0.705,31.765,129285,255,,,100,129285,1,522,587,28.179,25.0,1.242,0.805,0.879
21,447,255,0,255,255,1017.301,590.218,88.811,1004,577,27,25,27.578,20.637,42.555,0.712,30.232,113985,255,,,100,113985,1,1005,600,34.216,23.255,1.336,0.748,0.88
22,980,255,0,255,255,897.635,663.508,150.995,875,649,49,31,46.826,26.647,14.299,0.54,52.393,249900,255,,,100,249900,1,875,674,23.629,30.398,1.757,0.569,0.866
23,2072,255,0,255,255,95.1,823.213,192.108,72,791,50,61,57.496,45.884,93.195,0.706,63.063,528360,255,,,100,528360,1,87,852,75.303,49.69,1.253,0.798,0.914
24,586,255,0,255,255,886.287,826.176,103.882,875,808,22,38,36.538,20.42,93.92,0.682,38.639,149430,255,,,100,149430,1,883,808,100.437,22.0,1.789,0.559,0.921
25,322,255,0,255,255,475.016,840.795,74.083,466,829,19,25,25.341,16.179,108.222,0.737,26.571,82110,255,,,100,82110,1,469,829,109.799,18.336,1.566,0.638,0.885
26,336,255,0,255,255,940.729,845.827,82.811,927,833,26,25,30.024,14.249,43.371,0.616,32.016,85680,255,,,100,85680,1,929,858,51.34,16.745,2.107,0.475,0.876
27,299,255,0,255,255,769.931,848.671,69.598,761,838,19,20,20.519,18.553,62.802,0.776,22.672,76245,255,,,100,76245,1,761,856,41.424,19.0,1.106,0.904,0.919
28,221,255,0,255,255,465.057,854.229,60.083,457,845,18,19,19.805,14.208,123.052,0.769,21.024,56355,255,,,100,56355,1,460,845,115.346,15.556,1.394,0.717,0.891
