 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6107,255,0,255,255,81.147,58.907,339.404,35,5,88,107,100.68,77.231,85.365,0.666,110.494,1557285,255,,,100,1557285,1,66,109,68.776,80.006,1.304,0.767,0.91
2,8286,255,0,255,255,1142.973,67.988,391.63,1084,5,119,113,113.013,93.353,33.614,0.679,121.939,2112930,255,,,100,2112930,1,1091,110,59.439,101.803,1.211,0.826,0.94
3,138,255,0,255,255,494.326,47.63,45.456,488,41,13,13,14.994,11.719,48.891,0.839,16.401,35190,255,,,100,35190,1,488,53,37.569,12.965,1.279,0.782,0.929
4,24,255,0,255,255,576.292,64.292,18.971,573,62,7,5,6.624,4.613,168.87,0.838,7.28,6120,255,,,100,6120,1,573,63,164.055,5.0,1.436,0.696,0.828
5,59,255,0,255,255,355.89,152.093,27.799,351,148,10,8,10.05,7.475,169.598,0.959,10.44,15045,255,,,100,15045,1,351,151,163.301,7.906,1.345,0.744,0.887
6,1387,255,0,255,255,89.596,196.828,162.167,73,166,32,60,59.562,29.649,86.921,0.663,60.407,353685,255,,,100,353685,1,87,226,83.346,31.135,2.009,0.498,0.942
7,25,255,0,255,255,259.06,245.42,18.728,256,242,6,6,6.756,4.712,127.897,0.896,7.81,6375,255,,,100,6375,1,257,242,129.806,5.657,1.434,0.697,0.862
8,4296,255,0,255,255,461.394,395.833,275.605,416,355,84,76,82.387,66.392,13.979,0.711,86.452,1095480,255,,,100,1095480,1,421,416,29.827,69.318,1.241,0.806,0.929
9,5882,255,0,255,255,989.088,403.653,319.848,947,359,90,92,88.304,84.812,146.108,0.723,97.801,1499910,255,,,100,1499910,1,959,363,142.896,87.171,1.041,0.96,0.941
10,2432,255,0,255,255,774.559,391.473,209.421,745,362,60,65,71.615,43.238,51.721,0.697,73.783,620160,255,,,100,620160,1,762,427,57.171,46.445,1.656,0.604,0.917
11,20,255,0,255,255,156.2,386.95,18.142,154,384,5,6,5.242,4.858,60.436,0.764,6.403,5100,255,,,100,5100,1,154,389,38.66,5.0,1.079,0.927,0.8
12,12951,255,0,255,255,1065.506,475.91,480.198,1003,408,125,152,143.566,114.858,73.182,0.706,163.233,3302505,255,,,100,3302505,1,1047,560,67.677,120.915,1.25,0.8,0.951
13,3488,255,0,255,255,544.064,455.455,256.877,501,429,87,52,88.158,50.376,172.789,0.664,89.022,889440,255,,,100,889440,1,502,442,165.027,51.671,1.75,0.571,0.946
14,5929,255,0,255,255,831.547,495.96,334.86,777,449,109,86,98.266,76.823,1.831,0.664,112.294,1511895,255,,,100,1511895,1,777,512,13.912,80.861,1.279,0.782,0.91
15,385,255,0,255,255,886.134,472.071,80.326,873,462,24,23,25.829,18.979,139.541,0.75,29.206,98175,255,,,100,98175,1,874,462,128.047,20.506,1.361,0.735,0.912
16,7472,255,0,255,255,562.843,599.428,390.759,517,541,106,112,102.697,92.638,126.531,0.615,119.474,1905360,255,,,100,1905360,1,530,547,141.116,96.842,1.109,0.902,0.901
17,1182,255,0,255,255,693.541,572.35,138.652,671,551,47,41,41.765,36.034,158.215,0.773,47.043,301410,255,,,100,301410,1,671,573,177.563,37.487,1.159,0.863,0.923
18,25,255,0,255,255,879.7,784.38,18.971,877,781,5,7,6.529,4.875,96.612,0.873,7.28,6375,255,,,100,6375,1,878,781,105.945,5.0,1.339,0.747,0.833
19,28,255,0,255,255,464.75,796.643,20.142,461,794,8,5,7.776,4.585,165.287,0.867,8.544,7140,255,,,100,7140,1,461,795,159.444,5.0,1.696,0.59,0.862
20,66,255,0,255,255,1166.848,907.47,31.799,1163,902,8,11,11.544,7.28,100.418,0.82,12.083,16830,255,,,100,16830,1,1165,902,114.444,8.0,1.586,0.631,0.886
1,45,255,0,255,255,509.278,15.522,25.556,506,11,7,9,9.291,6.166,84.322,0.866,9.849,11475,255,,,100,11475,1,507,20,66.038,7.0,1.507,0.664,0.865
2,26,255,0,255,255,1060.385,93.692,19.799,1057,90,7,7,7.27,4.553,129.169,0.833,8.062,6630,255,,,100,6630,1,1057,91,150.255,4.95,1.597,0.626,0.8
3,8223,255,0,255,255,387.15,170.2,406.902,319,126,144,83,141.811,73.83,178.641,0.624,147.299,2096865,255,,,100,2096865,1,319,155,167.851,81.434,1.921,0.521,0.936
4,154,255,0,255,255,932.727,151.526,47.355,926,144,14,16,15.3,12.815,56.949,0.863,17.0,39270,255,,,100,39270,1,929,160,61.928,13.435,1.194,0.838,0.906
5,5674,255,0,255,255,885.805,204.121,313.747,837,161,98,86,90.705,79.647,2.907,0.724,98.858,1446870,255,,,100,1446870,1,837,214,7.556,81.974,1.139,0.878,0.921
6,2886,255,0,255,255,918.578,255.733,227.421,881,225,74,62,74.558,49.285,21.6,0.701,74.813,735930,255,,,100,735930,1,892,283,37.942,49.952,1.513,0.661,0.91
7,4671,255,0,255,255,952.35,380.877,297.848,915,330,73,91,89.419,66.511,87.489,0.662,93.408,1191105,255,,,100,1191105,1,949,330,105.524,72.574,1.344,0.744,0.933
8,60,255,0,255,255,232.55,576.467,29.213,228,572,9,9,10.094,7.568,34.255,0.883,10.817,15300,255,,,100,15300,1,228,579,33.69,8.321,1.334,0.75,0.889
9,400,255,0,255,255,1185.72,652.555,85.64,1177,639,20,29,28.218,18.049,90.198,0.685,30.083,102000,255,,,100,102000,1,1179,639,105.422,20.0,1.563,0.64,0.89
10,624,255,0,255,255,1202.037,668.562,106.125,1187,649,26,37,34.106,23.295,85.686,0.696,37.216,159120,255,,,100,159120,1,1206,649,96.17,25.88,1.464,0.683,0.918
11,105,255,0,255,255,51.948,726.814,39.456,46,720,12,13,12.117,11.033,45.113,0.848,13.601,26775,255,,,100,26775,1,47,732,53.973,12.0,1.098,0.911,0.886
12,2071,255,0,255,255,121.801,759.147,205.179,86,736,66,46,63.65,41.427,14.79,0.618,70.007,528105,255,,,100,528105,1,87,770,21.801,44.569,1.536,0.651,0.909
1,9812,255,0,255,255,468.566,152.804,422.215,396,97,136,114,134.449,92.92,149.503,0.692,144.101,2502060,255,,,100,2502060,1,397,125,158.42,98.995,1.447,0.691,0.931
2,1969,255,0,255,255,598.405,326.04,193.38,567,304,64,46,63.647,39.389,12.457,0.662,66.219,502095,255,,,100,502095,1,567,336,14.876,43.955,1.616,0.619,0.905
3,1065,255,0,255,255,553.785,358.584,136.267,534,338,39,39,44.484,30.483,49.945,0.721,47.202,271575,255,,,100,271575,1,539,376,53.616,34.153,1.459,0.685,0.922
4,831,255,0,255,255,128.733,358.493,119.782,110,341,34,37,34.687,30.503,59.51,0.728,40.311,211905,255,,,100,211905,1,121,378,66.615,30.785,1.137,0.879,0.895
5,924,255,0,255,255,812.422,410.407,132.167,794,389,33,44,45.434,25.894,117.008,0.665,47.539,235620,255,,,100,235620,1,802,389,112.249,28.983,1.755,0.57,0.923
6,87,255,0,255,255,446.58,535.833,34.627,442,530,10,12,12.07,9.178,100.633,0.912,12.649,22185,255,,,100,22185,1,444,530,108.435,10.0,1.315,0.76,0.902
7,2020,255,0,255,255,674.657,575.006,194.593,642,552,63,46,59.851,42.973,164.447,0.67,63.64,515100,255,,,100,515100,1,642,576,171.87,44.084,1.393,0.718,0.924
8,10219,255,0,255,255,1145.026,655.637,452.943,1077,600,132,119,132.01,98.563,144.422,0.626,151.268,2605845,255,,,100,2605845,1,1079,633,148.517,106.295,1.339,0.747,0.926
9,7255,255,0,255,255,361.509,673.088,368.659,308,618,101,112,123.845,74.588,47.503,0.671,131.229,1850025,255,,,100,1850025,1,333,730,57.763,81.393,1.66,0.602,0.94
10,2937,255,0,255,255,1094.698,878.334,220.007,1067,844,61,70,67.721,55.219,61.949,0.763,74.733,748935,255,,,100,748935,1,1082,913,65.493,56.793,1.226,0.815,0.941
1,1816,255,0,255,255,912.9,132.551,174.451,889,107,49,51,52.949,43.668,127.051,0.75,54.562,463080,255,,,100,463080,1,895,111,131.285,46.2,1.213,0.825,0.942
2,4205,255,0,255,255,1003.641,163.43,279.019,969,118,68,90,87.393,61.263,86.461,0.679,91.984,1072275,255,,,100,1072275,1,995,208,78.079,66.523,1.427,0.701,0.93
3,2067,255,0,255,255,173.823,217.895,197.622,146,190,54,52,55.062,47.797,32.555,0.665,62.682,527085,255,,,100,527085,1,147,232,33.944,51.579,1.152,0.868,0.909
4,203,255,0,255,255,800.534,221.599,59.841,792,214,18,16,16.951,15.248,40.009,0.712,19.416,51765,255,,,100,51765,1,795,230,55.491,16.0,1.112,0.9,0.857
5,25,255,0,255,255,895.26,274.74,18.385,892,272,7,6,6.856,4.643,146.184,0.929,7.616,6375,255,,,100,6375,1,892,273,156.801,4.95,1.477,0.677,0.833
6,49,255,0,255,255,146.296,413.071,29.799,141,410,10,6,10.0,6.239,173.13,0.693,11.18,12495,255,,,100,12495,1,141,411,153.435,6.0,1.603,0.624,0.883
7,3689,255,0,255,255,224.624,451.579,251.505,182,413,77,83,87.382,53.752,128.613,0.733,86.052,940695,255,,,100,940695,1,186,429,141.132,53.896,1.626,0.615,0.944
8,8180,255,0,255,255,178.022,500.828,383.328,129,436,101,127,119.491,87.162,100.039,0.7,129.634,2085900,255,,,100,2085900,1,167,436,101.57,93.588,1.371,0.729,0.939
1,8992,255,0,255,255,976.401,70.557,437.914,893,10,142,116,125.78,91.024,159.847,0.589,146.455,2292960,255,,,100,2292960,1,893,61,162.926,105.242,1.382,0.724,0.866
2,5741,255,0,255,255,613.609,145.85,328.132,579,89,76,107,102.01,71.656,98.608,0.67,109.238,1463955,255,,,100,1463955,1,591,196,78.381,73.308,1.424,0.702,0.941
3,7338,255,0,255,255,805.458,375.59,362.032,754,331,97,97,105.074,88.919,144.285,0.704,112.539,1871190,255,,,100,1871190,1,765,339,132.479,93.359,1.182,0.846,0.956
4,9735,255,0,255,255,55.937,574.19,410.416,5,512,102,125,129.293,95.867,112.37,0.726,133.454,2482425,255,,,100,2482425,1,20,519,125.238,100.817,1.349,0.741,0.948
5,2498,255,0,255,255,646.341,818.116,195.765,615,788,61,58,58.428,54.436,158.133,0.819,61.814,636990,255,,,100,636990,1,615,819,170.69,55.568,1.073,0.932,0.957
1,520,255,0,255,255,68.915,160.788,100.811,58,143,22,37,34.167,19.378,75.643,0.643,37.855,132600,255,,,100,132600,1,69,180,77.8,20.858,1.763,0.567,0.88
2,37030,255,0,255,255,213.075,470.883,784.146,99,339,229,242,238.857,197.391,50.037,0.757,249.69,9442650,255,,,100,9442650,1,101,540,24.615,199.526,1.21,0.826,0.967
3,10022,255,0,255,255,679.393,478.495,452.156,606,417,148,111,134.409,94.937,13.262,0.616,148.57,2555610,255,,,100,2555610,1,606,491,5.02,109.975,1.416,0.706,0.877
4,2379,255,0,255,255,350.461,463.269,192.853,329,433,49,62,59.441,50.959,96.375,0.804,63.127,606645,255,,,100,606645,1,329,436,139.497,49.0,1.166,0.857,0.964
5,3492,255,0,255,255,557.737,463.012,243.321,521,434,78,64,78.313,56.774,20.642,0.741,83.217,890460,255,,,100,890460,1,521,482,20.395,60.552,1.379,0.725,0.935
6,6266,255,0,255,255,485.135,600.064,322.96,439,551,96,93,100.368,79.489,132.114,0.755,103.247,1597830,255,,,100,1597830,1,439,580,158.405,83.522,1.263,0.792,0.95
7,638,255,0,255,255,68.277,600.431,122.326,59,583,21,45,43.225,18.793,77.969,0.536,48.466,162690,255,,,100,162690,1,61,628,68.199,21.0,2.3,0.435,0.904
8,6167,255,0,255,255,915.214,815.651,328.032,861,777,104,92,94.861,82.775,9.679,0.72,105.076,1572585,255,,,100,1572585,1,861,820,8.207,87.905,1.146,0.873,0.936
9,1551,255,0,255,255,771.941,865.931,175.196,755,836,36,56,57.927,34.091,96.089,0.635,59.093,395505,255,,,100,395505,1,765,838,113.962,35.214,1.699,0.589,0.923
1,1515,255,0,255,255,806.66,49.759,171.723,788,17,39,62,57.784,33.382,79.707,0.646,62.968,386325,255,,,100,386325,1,802,79,79.939,35.441,1.731,0.578,0.903
2,222,255,0,255,255,1120.131,45.216,65.012,1109,37,24,17,26.555,10.644,24.901,0.66,25.942,56610,255,,,100,56610,1,1109,52,27.553,11.297,2.495,0.401,0.881
3,39,255,0,255,255,1126.731,117.526,27.213,1123,112,8,10,11.54,4.303,52.912,0.662,12.207,9945,255,,,100,9945,1,1123,122,55.008,4.95,2.682,0.373,0.839
4,50,255,0,255,255,593.14,133.54,28.385,587,130,11,7,11.058,5.757,156.959,0.78,12.083,12750,255,,,100,12750,1,587,131,155.556,6.641,1.921,0.521,0.877
5,26,255,0,255,255,1215.308,136.5,18.728,1213,133,5,7,7.505,4.411,115.111,0.932,8.062,6630,255,,,100,6630,1,1213,133,119.745,5.0,1.702,0.588,0.881
6,1757,255,0,255,255,801.438,202.294,180.066,779,173,51,53,49.767,44.951,17.825,0.681,54.562,448035,255,,,100,448035,1,781,222,26.095,49.307,1.107,0.903,0.895
7,4237,255,0,255,255,402.458,593.558,284.007,357,564,90,57,92.51,58.315,172.554,0.66,96.773,1080435,255,,,100,1080435,1,358,582,156.879,57.0,1.586,0.63,0.953
8,7296,255,0,255,255,252.868,625.472,363.387,199,568,110,103,100.39,92.534,46.369,0.694,111.306,1860480,255,,,100,1860480,1,199,648,8.785,95.408,1.085,0.922,0.938
9,9507,255,0,255,255,418.968,675.576,427.103,372,621,98,133,128.446,94.24,91.992,0.655,143.924,2424285,255,,,100,2424285,1,375,621,112.467,98.0,1.363,0.734,0.948
10,6168,255,0,255,255,665.973,779.946,323.345,623,721,88,109,102.292,76.774,76.905,0.741,109.458,1572840,255,,,100,1572840,1,662,721,95.242,79.142,1.332,0.751,0.954
11,46,255,0,255,255,181.022,772.5,26.627,177,769,9,7,8.956,6.54,157.053,0.815,10.0,11730,255,,,100,11730,1,177,769,143.13,7.0,1.369,0.73,0.868
1,561,255,0,255,255,483.069,29.807,102.125,471,12,24,36,35.411,20.172,108.023,0.676,37.643,143055,255,,,100,143055,1,477,12,106.991,22.428,1.755,0.57,0.899
2,1649,255,0,255,255,290.458,71.139,166.167,264,48,53,47,53.351,39.354,23.326,0.75,57.245,420495,255,,,100,420495,1,265,84,27.013,43.594,1.356,0.738,0.926
3,21977,255,0,255,255,1040.153,327.645,649.294,960,223,166,193,179.985,155.468,78.465,0.655,195.635,5604135,255,,,100,5604135,1,1011,416,80.586,159.357,1.158,0.864,0.937
4,93,255,0,255,255,9.22,234.801,39.113,2,230,14,10,13.234,8.948,167.344,0.764,14.318,23715,255,,,100,23715,1,2,234,167.905,10.0,1.479,0.676,0.853
5,537,255,0,255,255,790.426,267.331,89.983,776,255,29,24,28.478,24.009,7.234,0.833,29.614,136935,255,,,100,136935,1,776,269,11.689,24.0,1.186,0.843,0.94
6,9495,255,0,255,255,897.718,491.14,417.387,841,441,118,113,116.078,104.149,21.082,0.685,126.21,2421225,255,,,100,2421225,1,868,551,52.404,108.771,1.115,0.897,0.933
7,9259,255,0,255,255,305.66,548.99,414.156,243,491,120,129,115.775,101.826,75.906,0.678,129.757,2361045,255,,,100,2361045,1,290,491,96.194,105.215,1.137,0.88,0.917
8,3609,255,0,255,255,907.417,743.274,250.392,874,704,65,83,79.133,58.069,73.313,0.723,86.4,920295,255,,,100,920295,1,902,787,73.872,60.561,1.363,0.734,0.928
9,89,255,0,255,255,1216.972,817.837,39.113,1211,811,13,13,15.49,7.315,133.637,0.731,15.811,22695,255,,,100,22695,1,1213,811,124.695,8.485,2.117,0.472,0.824
1,24,255,0,255,255,756.083,25.292,19.314,753,23,6,5,6.628,4.61,22.661,0.809,7.81,6120,255,,,100,6120,1,753,28,39.806,5.0,1.438,0.696,0.873
2,49,255,0,255,255,879.153,54.908,25.799,875,51,8,8,8.483,7.355,131.564,0.925,9.434,12495,255,,,100,12495,1,875,53,147.995,7.778,1.153,0.867,0.899
3,37,255,0,255,255,90.986,121.581,23.213,87,118,8,7,8.508,5.537,154.958,0.863,9.434,9435,255,,,100,9435,1,87,119,147.995,6.364,1.537,0.651,0.841
4,751,255,0,255,255,93.895,149.215,110.468,76,134,39,30,39.247,24.364,156.422,0.773,42.059,191505,255,,,100,191505,1,78,136,151.607,26.386,1.611,0.621,0.929
5,43,255,0,255,255,1193.221,141.035,34.87,1187,136,13,10,15.519,3.528,32.665,0.444,16.401,10965,255,,,100,10965,1,1187,146,37.569,4.589,4.399,0.227,0.741
6,376,255,0,255,255,462.997,175.245,76.083,452,165,23,21,23.857,20.067,32.312,0.816,26.249,95880,255,,,100,95880,1,452,183,40.365,21.0,1.189,0.841,0.933
7,162,255,0,255,255,724.5,217.272,49.698,716,212,18,13,16.848,12.243,3.375,0.824,18.682,41310,255,,,100,41310,1,716,213,164.476,13.0,1.376,0.727,0.91
8,6015,255,0,255,255,601.634,316.77,327.688,556,272,93,96,95.378,80.297,50.294,0.704,103.354,1533825,255,,,100,1533825,1,557,336,28.301,79.7,1.188,0.842,0.952
9,20,255,0,255,255,805.55,313.55,16.728,803,311,5,5,5.352,4.758,45.001,0.898,6.403,5100,255,,,100,5100,1,803,316,38.66,5.0,1.125,0.889,0.87
10,363,255,0,255,255,347.966,538.944,75.941,336,527,23,22,21.692,21.307,98.656,0.791,25.495,92565,255,,,100,92565,1,337,546,48.18,22.0,1.018,0.982,0.913
11,1017,255,0,255,255,779.402,559.319,134.61,762,534,34,46,44.857,28.867,71.088,0.705,47.297,259335,255,,,100,259335,1,767,580,76.551,30.358,1.554,0.644,0.912
12,23,255,0,255,255,679.196,561.543,17.556,676,559,6,5,6.054,4.837,13.833,0.938,6.708,5865,255,,,100,5865,1,676,563,26.565,5.0,1.252,0.799,0.868
13,3196,255,0,255,255,799.42,634.48,240.007,772,594,54,77,78.819,51.628,90.559,0.697,79.48,814980,255,,,100,814980,1,783,668,68.6,53.597,1.527,0.655,0.942
14,137,255,0,255,255,51.201,700.719,49.113,45,693,12,16,17.159,10.166,107.249,0.714,18.601,34935,255,,,100,34935,1,45,693,126.254,10.786,1.688,0.592,0.878
15,32,255,0,255,255,556.531,816.625,24.142,552,814,10,5,9.959,4.091,1.331,0.69,10.198,8160,255,,,100,8160,1,552,815,168.69,5.0,2.434,0.411,0.8
16,39,255,0,255,255,223.654,835.782,23.799,219,832,9,7,9.821,5.056,26.162,0.865,10.296,9945,255,,,100,9945,1,219,838,29.055,5.814,1.942,0.515,0.848
1,2103,255,0,255,255,886.752,182.879,192.066,858,158,59,50,57.574,46.508,23.844,0.716,63.812,536265,255,,,100,536265,1,863,202,32.196,48.944,1.238,0.808,0.917
2,359,255,0,255,255,231.352,173.169,75.497,221,163,22,22,23.428,19.511,62.381,0.791,25.612,91545,255,,,100,91545,1,226,185,51.34,21.101,1.201,0.833,0.911
3,84,255,0,255,255,529.679,232.012,36.284,524,226,11,12,11.095,9.639,82.695,0.802,12.369,21420,255,,,100,21420,1,529,226,104.036,10.286,1.151,0.869,0.84
4,62898,255,0,255,255,169.839,370.142,1130.906,20,230,325,284,326.317,245.419,149.336,0.618,348.264,16038990,255,,,100,16038990,1,26,261,155.937,278.092,1.33,0.752,0.947
5,4485,255,0,255,255,1039.889,293.093,290.333,1009,247,63,89,91.418,62.466,101.526,0.669,95.462,1143675,255,,,100,1143675,1,1027,247,112.805,62.689,1.463,0.683,0.943
6,6157,255,0,255,255,727.673,294.752,337.688,672,250,107,90,105.441,74.348,158.909,0.678,110.44,1570035,255,,,100,1570035,1,673,281,163.698,83.8,1.418,0.705,0.921
7,7029,255,0,255,255,820.475,373.483,345.103,767,322,104,100,98.88,90.509,51.072,0.742,108.167,1792395,255,,,100,1792395,1,768,395,19.44,88.906,1.092,0.915,0.93
8,5185,255,0,255,255,572.598,411.832,306.333,527,359,86,100,102.549,64.377,60.781,0.694,102.942,1322175,255,,,100,1322175,1,529,442,50.123,65.962,1.593,0.628,0.925
9,29,255,0,255,255,540.5,476.052,21.556,537,472,7,7,7.694,4.799,132.075,0.784,8.602,7395,255,,,100,7395,1,539,472,125.538,5.657,1.603,0.624,0.829
10,38380,255,0,255,255,1079.978,570.615,847.301,955,474,261,214,246.69,198.091,174.928,0.672,266.175,9786900,255,,,100,9786900,1,955,517,167.635,211.425,1.245,0.803,0.94
11,1346,255,0,255,255,141.565,648.025,168.309,118,625,40,54,53.168,32.233,109.097,0.597,59.076,343230,255,,,100,343230,1,121,629,123.959,37.235,1.649,0.606,0.891
12,21,255,0,255,255,843.357,683.881,17.556,840,681,7,5,6.974,3.834,24.24,0.856,7.616,5355,255,,,100,5355,1,840,686,23.199,4.472,1.819,0.55,0.824
13,3723,255,0,255,255,323.801,764.192,286.434,291,726,72,80,74.566,63.572,117.728,0.57,82.006,949365,255,,,100,949365,1,295,729,142.431,66.91,1.173,0.853,0.899
14,45,255,0,255,255,278.811,848.544,26.042,275,844,8,9,8.709,6.579,66.026,0.834,9.487,11475,255,,,100,11475,1,277,853,71.565,7.488,1.324,0.755,0.826
15,36,255,0,255,255,657.528,871.556,25.213,654,867,7,9,9.407,4.873,117.803,0.712,10.296,9180,255,,,100,9180,1,655,867,119.055,6.008,1.93,0.518,0.791
1,3345,255,0,255,255,318.316,264.062,253.12,283,223,63,80,79.775,53.388,78.389,0.656,81.541,852975,255,,,100,852975,1,307,302,66.894,58.579,1.494,0.669,0.894
2,43408,255,0,255,255,951.373,367.25,890.33,832,243,244,243,263.1,210.067,40.935,0.688,283.064,11069040,255,,,100,11069040,1,835,448,35.655,221.095,1.252,0.798,0.943
