 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,34,255,0,255,255,633.735,228.853,24.385,630,225,7,8,9.193,4.709,47.752,0.719,10.630,8670,255,NaN,NaN,100,8670,1,630,233,48.814,5.657,1.952,0.512,0.840
2,25,255,0,255,255,201.700,262.740,17.314,199,260,5,6,6.122,5.200,96.132,1.000,6.708,6375,255,NaN,NaN,100,6375,1,200,260,116.565,5.000,1.177,0.849,0.926
3,81,255,0,255,255,873.648,308.957,36.870,869,303,9,11,11.192,9.215,88.533,0.749,12.530,20655,255,NaN,NaN,100,20655,1,869,314,61.390,9.000,1.215,0.823,0.910
4,21,255,0,255,255,401.643,320.643,15.899,399,318,5,5,6.118,4.370,45.000,1.000,7.071,5355,255,NaN,NaN,100,5355,1,399,323,45.000,4.950,1.400,0.714,0.933
5,41,255,0,255,255,1141.768,347.159,24.385,1138,343,8,8,8.782,5.944,32.930,0.866,10.000,10455,255,NaN,NaN,100,10455,1,1138,351,36.870,6.708,1.477,0.677,0.845
6,26,255,0,255,255,179.500,359.615,19.556,177,356,5,7,6.734,4.916,93.114,0.854,7.280,6630,255,NaN,NaN,100,6630,1,178,356,105.945,5.000,1.370,0.730,0.852
7,27,255,0,255,255,673.759,367.870,21.314,670,365,8,5,9.129,3.766,162.505,0.747,9.434,6885,255,NaN,NaN,100,6885,1,670,365,147.995,4.427,2.424,0.413,0.831
8,33,255,0,255,255,78.167,382.712,24.971,75,378,6,10,9.183,4.575,105.022,0.665,10.440,8415,255,NaN,NaN,100,8415,1,77,378,106.699,5.491,2.007,0.498,0.786
9,20,255,0,255,255,152.400,380.450,19.314,148,379,8,4,7.470,3.409,178.270,0.674,8.246,5100,255,NaN,NaN,100,5100,1,148,381,14.036,4.000,2.191,0.456,0.800
10,24,255,0,255,255,370.042,388.083,17.899,368,385,5,6,6.444,4.742,94.595,0.941,7.211,6120,255,NaN,NaN,100,6120,1,368,385,123.690,5.000,1.359,0.736,0.906
