 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,485,255,0,255,255,776.83,71.554,91.397,766,56,22,31,31.369,19.686,110.205,0.73,32.696,123675,255,,,100,123675,1,768,57,113.429,20.858,1.593,0.628,0.913
2,521,255,0,255,255,179.151,705.751,88.326,167,691,27,27,27.089,24.488,137.881,0.839,29.967,132855,255,,,100,132855,1,167,699,154.29,25.544,1.106,0.904,0.936
1,20,255,0,255,255,780.9,87.65,18.142,778,85,6,6,7.787,3.27,49.056,0.764,8.485,5100,255,,,100,5100,1,778,91,45.0,4.243,2.381,0.42,0.833
2,29,255,0,255,255,542.259,208.879,22.971,540,205,5,8,7.819,4.722,99.745,0.691,8.944,7395,255,,,100,7395,1,540,205,116.565,5.0,1.656,0.604,0.841
3,35,255,0,255,255,606.5,386.243,24.385,603,382,7,8,8.271,5.388,114.078,0.74,8.944,8925,255,,,100,8925,1,605,382,116.565,6.472,1.535,0.651,0.787
4,64,255,0,255,255,738.797,475.5,33.456,734,469,9,12,11.237,7.251,75.722,0.719,12.166,16320,255,,,100,16320,1,738,481,80.538,8.666,1.55,0.645,0.8
5,21,255,0,255,255,587.214,571.214,18.142,584,568,6,6,6.74,3.967,132.316,0.802,7.81,5355,255,,,100,5355,1,585,568,129.806,4.95,1.699,0.589,0.792
6,154,255,0,255,255,702.039,694.201,50.184,694,687,16,15,17.0,11.534,144.503,0.768,18.439,39270,255,,,100,39270,1,694,689,139.399,12.728,1.474,0.678,0.87
7,24,255,0,255,255,615.5,776.042,23.213,611,774,9,5,7.473,4.089,179.182,0.56,9.055,6120,255,,,100,6120,1,611,775,173.66,5.0,1.828,0.547,0.727
1,34,255,0,255,255,633.735,228.853,24.385,630,225,7,8,9.193,4.709,47.752,0.719,10.63,8670,255,,,100,8670,1,630,233,48.814,5.657,1.952,0.512,0.84
2,25,255,0,255,255,201.7,262.74,17.314,199,260,5,6,6.122,5.2,96.132,1.0,6.708,6375,255,,,100,6375,1,200,260,116.565,5.0,1.177,0.849,0.926
3,81,255,0,255,255,873.648,308.957,36.87,869,303,9,11,11.192,9.215,88.533,0.749,12.53,20655,255,,,100,20655,1,869,314,61.39,9.0,1.215,0.823,0.91
4,21,255,0,255,255,401.643,320.643,15.899,399,318,5,5,6.118,4.37,45.0,1.0,7.071,5355,255,,,100,5355,1,399,323,45.0,4.95,1.4,0.714,0.933
5,41,255,0,255,255,1141.768,347.159,24.385,1138,343,8,8,8.782,5.944,32.93,0.866,10.0,10455,255,,,100,10455,1,1138,351,36.87,6.708,1.477,0.677,0.845
6,26,255,0,255,255,179.5,359.615,19.556,177,356,5,7,6.734,4.916,93.114,0.854,7.28,6630,255,,,100,6630,1,178,356,105.945,5.0,1.37,0.73,0.852
7,27,255,0,255,255,673.759,367.87,21.314,670,365,8,5,9.129,3.766,162.505,0.747,9.434,6885,255,,,100,6885,1,670,365,147.995,4.427,2.424,0.413,0.831
8,33,255,0,255,255,78.167,382.712,24.971,75,378,6,10,9.183,4.575,105.022,0.665,10.44,8415,255,,,100,8415,1,77,378,106.699,5.491,2.007,0.498,0.786
9,20,255,0,255,255,152.4,380.45,19.314,148,379,8,4,7.47,3.409,178.27,0.674,8.246,5100,255,,,100,5100,1,148,381,14.036,4.0,2.191,0.456,0.8
10,24,255,0,255,255,370.042,388.083,17.899,368,385,5,6,6.444,4.742,94.595,0.941,7.211,6120,255,,,100,6120,1,368,385,123.69,5.0,1.359,0.736,0.906
11,42,255,0,255,255,1103.833,410.238,26.142,1099,407,9,6,9.355,5.716,13.635,0.772,9.849,10710,255,,,100,10710,1,1099,412,23.962,6.0,1.637,0.611,0.884
12,51,255,0,255,255,491.794,428.833,28.142,489,423,6,11,11.4,5.696,99.757,0.809,11.705,13005,255,,,100,13005,1,490,423,109.983,6.0,2.002,0.5,0.903
13,25,255,0,255,255,395.86,432.02,20.142,393,429,6,7,6.932,4.592,73.307,0.774,7.616,6375,255,,,100,6375,1,395,436,66.801,5.578,1.51,0.662,0.794
14,28,255,0,255,255,508.679,517.5,19.556,505,514,7,6,7.085,5.032,149.464,0.92,7.81,7140,255,,,100,7140,1,507,514,129.806,5.657,1.408,0.71,0.862
15,21,255,0,255,255,263.31,543.167,16.485,260,541,6,4,6.415,4.168,15.128,0.971,7.211,5355,255,,,100,5355,1,260,545,33.69,4.0,1.539,0.65,0.955
16,43,255,0,255,255,53.686,548.035,24.142,49,545,9,6,9.195,5.954,12.837,0.927,9.849,10965,255,,,100,10965,1,49,550,23.962,6.0,1.544,0.648,0.905
17,30,255,0,255,255,480.067,550.067,24.385,477,546,7,9,10.413,3.668,123.146,0.634,11.402,7650,255,,,100,7650,1,477,546,127.875,4.919,2.839,0.352,0.789
18,119,255,0,255,255,1101.282,561.189,41.456,1095,555,12,13,13.342,11.357,65.696,0.87,14.318,30345,255,,,100,30345,1,1099,568,65.225,12.0,1.175,0.851,0.905
