 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,333,255,0,255,255,1098.500,22.530,79.983,1086,11,27,22,23.715,17.878,7.746,0.654,27.659,84915,255,NaN,NaN,100,84915,1,1086,19,167.471,18.198,1.326,0.754,0.854
2,610,255,0,255,255,848.889,35.277,101.296,837,19,26,33,31.940,24.317,87.787,0.747,33.734,155550,255,NaN,NaN,100,155550,1,841,19,101.976,25.427,1.313,0.761,0.928
3,116,255,0,255,255,750.440,28.388,42.527,744,22,13,13,12.960,11.396,124.175,0.806,14.422,29580,255,NaN,NaN,100,29580,1,744,25,146.310,12.600,1.137,0.879,0.862
4,28,255,0,255,255,363.714,32.179,19.314,361,29,5,7,6.904,5.164,83.857,0.943,7.616,7140,255,NaN,NaN,100,7140,1,363,36,66.801,5.000,1.337,0.748,0.903
5,23,255,0,255,255,722.891,35.239,20.142,719,32,7,6,7.087,4.132,35.812,0.712,8.062,5865,255,NaN,NaN,100,5865,1,719,36,29.745,5.270,1.715,0.583,0.780
6,53,255,0,255,255,530.783,44.443,32.627,526,41,12,7,11.528,5.853,178.569,0.626,12.649,13515,255,NaN,NaN,100,13515,1,526,42,161.565,7.000,1.970,0.508,0.785
7,96,255,0,255,255,958.896,50.396,37.456,953,45,12,11,12.171,10.043,142.020,0.860,13.601,24480,255,NaN,NaN,100,24480,1,953,47,143.973,10.607,1.212,0.825,0.893
8,206,255,0,255,255,689.107,57.927,57.598,681,49,16,18,17.432,15.046,118.486,0.780,18.868,52530,255,NaN,NaN,100,52530,1,685,50,122.005,15.885,1.159,0.863,0.890
9,184,255,0,255,255,191.158,73.168,55.012,181,66,21,14,19.785,11.841,155.748,0.764,21.840,46920,255,NaN,NaN,100,46920,1,181,69,164.055,13.000,1.671,0.598,0.895
10,290,255,0,255,255,240.566,86.000,74.569,230,73,21,23,21.781,16.952,144.219,0.655,24.352,73950,255,NaN,NaN,100,73950,1,237,73,109.179,18.645,1.285,0.778,0.843
11,149,255,0,255,255,366.238,86.775,56.426,357,81,19,12,17.846,10.631,3.301,0.588,19.235,37995,255,NaN,NaN,100,37995,1,357,82,171.027,11.613,1.679,0.596,0.825
12,115,255,0,255,255,833.657,95.630,44.527,829,87,11,16,15.087,9.705,101.500,0.729,16.279,29325,255,NaN,NaN,100,29325,1,832,103,79.380,11.000,1.555,0.643,0.875
13,140,255,0,255,255,955.564,98.057,47.941,949,90,14,16,15.501,11.500,72.151,0.765,16.643,35700,255,NaN,NaN,100,35700,1,949,102,32.735,11.700,1.348,0.742,0.867
14,43,255,0,255,255,137.128,97.360,26.385,132,94,10,7,9.712,5.637,164.330,0.776,10.296,10965,255,NaN,NaN,100,10965,1,132,95,150.945,6.364,1.723,0.580,0.819
15,135,255,0,255,255,925.456,112.389,47.113,916,105,17,13,16.051,10.709,17.932,0.764,18.358,34425,255,NaN,NaN,100,34425,1,916,117,29.358,12.728,1.499,0.667,0.865
16,268,255,0,255,255,389.754,128.097,64.912,378,118,21,21,20.286,16.821,133.606,0.799,22.023,68340,255,NaN,NaN,100,68340,1,379,124,140.528,16.971,1.206,0.829,0.899
17,303,255,0,255,255,679.282,140.503,74.083,670,129,17,25,24.355,15.840,95.424,0.694,25.318,77265,255,NaN,NaN,100,77265,1,681,154,80.910,16.829,1.538,0.650,0.898
18,30,255,0,255,255,985.367,131.333,24.971,981,129,8,5,7.753,4.927,161.960,0.605,9.434,7650,255,NaN,NaN,100,7650,1,981,129,147.995,5.000,1.573,0.636,0.833
19,33,255,0,255,255,1050.500,139.348,23.556,1047,136,7,6,7.639,5.501,6.386,0.747,8.602,8415,255,NaN,NaN,100,8415,1,1047,142,35.538,6.000,1.389,0.720,0.868
20,51,255,0,255,255,889.069,144.676,27.213,885,140,8,9,8.727,7.441,108.630,0.865,10.000,13005,255,NaN,NaN,100,13005,1,886,141,126.870,8.000,1.173,0.853,0.857
21,20,255,0,255,255,490.300,146.550,17.314,488,143,5,6,5.852,4.351,79.476,0.838,6.708,5100,255,NaN,NaN,100,5100,1,488,149,63.435,5.000,1.345,0.744,0.833
22,23,255,0,255,255,1104.674,151.891,18.142,1102,149,5,6,5.855,5.002,95.723,0.878,6.708,5865,255,NaN,NaN,100,5865,1,1104,155,63.435,5.000,1.171,0.854,0.868
23,208,255,0,255,255,1089.543,170.202,60.912,1079,162,21,17,19.940,13.282,163.454,0.704,21.378,53040,255,NaN,NaN,100,53040,1,1079,169,169.216,14.666,1.501,0.666,0.856
