 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,364,255,0,255,255,461.266,60.280,74.083,452,47,21,24,23.203,19.974,112.508,0.833,24.597,92820,255,NaN,NaN,100,92820,1,458,47,116.565,21.000,1.162,0.861,0.943
2,68,255,0,255,255,805.441,72.294,32.042,801,67,10,10,11.467,7.550,135.055,0.832,12.806,17340,255,NaN,NaN,100,17340,1,801,68,141.340,8.485,1.519,0.658,0.872
3,2438,255,0,255,255,61.290,92.183,210.693,30,68,62,53,59.020,52.595,160.867,0.690,63.695,621690,255,NaN,NaN,100,621690,1,30,76,157.865,52.750,1.122,0.891,0.936
4,531,255,0,255,255,405.459,97.905,90.225,391,84,27,29,28.246,23.935,123.235,0.820,30.083,135405,255,NaN,NaN,100,135405,1,400,85,111.448,24.749,1.180,0.847,0.924
5,449,255,0,255,255,1010.943,116.088,86.468,1001,100,23,30,28.116,20.333,111.637,0.755,30.806,114495,255,NaN,NaN,100,114495,1,1005,100,103.134,22.627,1.383,0.723,0.908
6,224,255,0,255,255,890.496,118.018,59.255,880,110,21,16,21.777,13.097,150.215,0.802,22.472,57120,255,NaN,NaN,100,57120,1,880,114,159.146,14.142,1.663,0.601,0.914
7,570,255,0,255,255,40.123,176.481,102.953,29,160,27,31,31.146,23.301,108.590,0.676,32.802,145350,255,NaN,NaN,100,145350,1,30,163,142.431,25.938,1.337,0.748,0.914
8,87,255,0,255,255,401.201,166.810,38.527,395,162,12,10,11.172,9.915,4.591,0.737,12.530,22185,255,NaN,NaN,100,22185,1,395,168,28.610,10.000,1.127,0.888,0.874
9,1323,255,0,255,255,340.969,198.141,149.581,321,175,38,46,46.805,35.990,70.452,0.743,49.244,337365,255,NaN,NaN,100,337365,1,333,220,66.038,36.224,1.301,0.769,0.944
10,24,255,0,255,255,1219.333,181.250,20.971,1217,178,6,7,7.710,3.964,54.887,0.686,8.602,6120,255,NaN,NaN,100,6120,1,1217,185,54.462,4.800,1.945,0.514,0.800
11,107,255,0,255,255,16.509,197.463,39.113,11,191,12,13,13.315,10.232,45.396,0.879,14.213,27285,255,NaN,NaN,100,27285,1,11,202,39.289,10.607,1.301,0.768,0.899
12,195,255,0,255,255,968.823,201.844,54.284,961,194,16,15,17.120,14.502,45.037,0.832,19.209,49725,255,NaN,NaN,100,49725,1,962,209,51.340,15.000,1.181,0.847,0.935
13,82,255,0,255,255,1218.500,257.512,34.870,1213,252,11,10,10.793,9.673,0.473,0.847,11.705,20910,255,NaN,NaN,100,20910,1,1213,260,19.983,10.000,1.116,0.896,0.901
14,117,255,0,255,255,1172.705,263.004,41.698,1167,256,12,14,13.440,11.084,105.533,0.846,14.765,29835,255,NaN,NaN,100,29835,1,1170,256,118.301,12.000,1.213,0.825,0.890
15,671,255,0,255,255,904.782,324.104,106.468,891,306,26,34,34.593,24.697,87.089,0.744,34.713,171105,255,NaN,NaN,100,171105,1,903,306,101.634,26.000,1.401,0.714,0.933
16,550,255,0,255,255,283.764,330.578,96.811,271,314,26,33,36.710,19.076,59.876,0.737,38.079,140250,255,NaN,NaN,100,140250,1,273,347,60.068,20.572,1.924,0.520,0.935
17,480,255,0,255,255,1125.302,373.394,95.640,1115,357,23,31,29.219,20.917,83.880,0.659,31.623,122400,255,NaN,NaN,100,122400,1,1120,357,108.435,22.289,1.397,0.716,0.878
18,510,255,0,255,255,819.600,373.353,92.326,805,360,26,29,31.649,20.517,131.261,0.752,33.302,130050,255,NaN,NaN,100,130050,1,806,364,138.652,22.801,1.543,0.648,0.922
19,1487,255,0,255,255,295.150,398.384,166.894,274,376,41,46,49.562,38.201,121.540,0.671,55.227,379185,255,NaN,NaN,100,379185,1,275,377,132.064,40.614,1.297,0.771,0.919
20,1874,255,0,255,255,31.146,399.697,179.622,2,378,58,42,59.317,40.225,167.922,0.730,59.093,477870,255,NaN,NaN,100,477870,1,4,389,156.038,41.426,1.475,0.678,0.952
21,731,255,0,255,255,1024.196,403.857,110.569,1010,386,28,34,34.307,27.129,91.211,0.751,36.401,186405,255,NaN,NaN,100,186405,1,1019,386,110.925,27.748,1.265,0.791,0.927
22,178,255,0,255,255,112.410,459.483,55.012,105,449,16,19,20.069,11.293,120.706,0.739,20.616,45390,255,NaN,NaN,100,45390,1,108,449,112.834,12.650,1.777,0.563,0.875
23,304,255,0,255,255,276.776,497.954,77.841,263,486,24,20,23.634,16.378,23.827,0.630,29.206,77520,255,NaN,NaN,100,77520,1,263,504,38.047,18.657,1.443,0.693,0.881
24,1397,255,0,255,255,1144.046,518.829,157.823,1117,498,52,42,56.217,31.640,151.589,0.705,58.822,356235,255,NaN,NaN,100,356235,1,1118,506,144.689,34.293,1.777,0.563,0.927
25,144,255,0,255,255,599.326,546.750,46.284,591,540,16,12,15.362,11.935,4.088,0.845,16.763,36720,255,NaN,NaN,100,36720,1,591,550,17.354,12.000,1.287,0.777,0.917
26,31,255,0,255,255,382.532,548.855,22.385,379,546,7,6,7.022,5.621,157.825,0.777,8.062,7905,255,NaN,NaN,100,7905,1,379,547,150.255,6.000,1.249,0.800,0.849
27,33,255,0,255,255,144.530,596.591,20.971,141,593,7,7,7.203,5.833,160.888,0.943,8.062,8415,255,NaN,NaN,100,8415,1,141,595,150.255,6.641,1.235,0.810,0.835
28,2169,255,0,255,255,843.555,614.944,200.451,812,593,68,45,65.712,42.027,178.093,0.678,69.123,553095,255,NaN,NaN,100,553095,1,813,605,165.763,45.000,1.564,0.640,0.921
29,582,255,0,255,255,1064.251,632.763,93.882,1051,618,29,30,28.917,25.626,100.328,0.830,30.806,148410,255,NaN,NaN,100,148410,1,1059,618,103.134,26.800,1.128,0.886,0.931
30,42,255,0,255,255,357.690,634.024,25.556,354,629,7,9,9.519,5.618,67.453,0.808,10.296,10710,255,NaN,NaN,100,10710,1,354,638,60.945,6.008,1.694,0.590,0.857
