 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1414,255,0,255,255,562.433,41.632,173.723,543,16,38,62,55.804,32.262,90.831,0.589,62.201,360570,255,NaN,NaN,100,360570,1,561,16,94.611,37.834,1.730,0.578,0.897
2,239,255,0,255,255,890.847,25.692,59.355,882,16,19,17,18.566,16.390,154.160,0.852,20.616,60945,255,NaN,NaN,100,60945,1,884,18,140.906,17.000,1.133,0.883,0.930
3,2297,255,0,255,255,165.095,50.950,213.421,141,17,56,62,67.103,43.584,122.907,0.634,73.110,585735,255,NaN,NaN,100,585735,1,141,21,139.994,46.614,1.540,0.650,0.910
4,277,255,0,255,255,648.774,54.027,75.497,637,42,21,22,21.055,16.751,37.038,0.611,26.870,70635,255,NaN,NaN,100,70635,1,637,62,45.000,19.378,1.257,0.796,0.811
5,308,255,0,255,255,757.471,64.166,73.983,747,50,20,26,23.335,16.806,88.883,0.707,26.173,78540,255,NaN,NaN,100,78540,1,755,50,96.582,18.974,1.389,0.720,0.846
6,1891,255,0,255,255,333.581,95.303,189.522,309,67,48,58,57.842,41.625,119.673,0.662,61.847,482205,255,NaN,NaN,100,482205,1,313,75,129.094,44.274,1.390,0.720,0.917
7,498,255,0,255,255,841.430,161.807,90.912,831,145,21,33,32.973,19.230,68.737,0.757,34.015,126990,255,NaN,NaN,100,126990,1,831,176,65.695,21.000,1.715,0.583,0.913
8,203,255,0,255,255,1140.534,156.544,56.669,1131,149,18,15,17.522,14.751,165.420,0.794,18.682,51765,255,NaN,NaN,100,51765,1,1131,155,164.476,15.000,1.188,0.842,0.914
9,114,255,0,255,255,822.518,156.518,42.627,816,151,13,11,13.366,10.860,12.489,0.788,15.000,29070,255,NaN,NaN,100,29070,1,816,161,36.870,11.000,1.231,0.813,0.901
10,110,255,0,255,255,695.936,219.082,39.456,690,213,12,12,12.687,11.039,145.085,0.888,14.422,28050,255,NaN,NaN,100,28050,1,692,213,123.690,11.963,1.149,0.870,0.894
11,425,255,0,255,255,968.401,238.799,85.154,957,225,23,28,26.903,20.114,83.333,0.737,29.547,108375,255,NaN,NaN,100,108375,1,964,253,66.038,21.769,1.338,0.748,0.886
12,7336,255,0,255,255,256.283,274.127,338.617,207,228,99,103,99.586,93.793,114.161,0.804,105.513,1870680,255,NaN,NaN,100,1870680,1,250,331,75.174,93.407,1.062,0.942,0.969
13,2515,255,0,255,255,373.650,265.034,218.007,350,229,49,71,70.541,45.395,97.396,0.665,72.780,641325,255,NaN,NaN,100,641325,1,366,229,102.700,47.948,1.554,0.644,0.937
14,57,255,0,255,255,152.114,285.114,29.213,147,281,10,8,9.365,7.749,6.349,0.839,10.440,14535,255,NaN,NaN,100,14535,1,147,286,16.699,8.000,1.209,0.827,0.870
15,264,255,0,255,255,697.913,297.182,65.598,690,285,18,22,21.996,15.281,110.943,0.771,23.770,67320,255,NaN,NaN,100,67320,1,693,285,112.249,17.309,1.439,0.695,0.886
16,4293,255,0,255,255,1020.918,337.352,327.304,981,300,84,75,77.152,70.848,178.852,0.504,85.000,1094715,255,NaN,NaN,100,1094715,1,981,335,171.203,73.544,1.089,0.918,0.898
17,267,255,0,255,255,104.455,331.174,65.497,95,321,19,21,20.760,16.375,134.288,0.782,22.472,68085,255,NaN,NaN,100,68085,1,96,323,122.276,16.856,1.268,0.789,0.887
18,512,255,0,255,255,913.812,340.041,90.811,901,327,26,26,28.527,22.852,139.117,0.780,30.610,130560,255,NaN,NaN,100,130560,1,904,329,128.367,24.597,1.248,0.801,0.924
19,351,255,0,255,255,863.517,391.232,77.397,853,380,23,23,23.065,19.376,53.706,0.736,24.413,89505,255,NaN,NaN,100,89505,1,858,403,55.008,21.049,1.190,0.840,0.893
20,169,255,0,255,255,202.689,401.370,58.527,197,389,12,23,21.457,10.028,84.344,0.620,23.345,43095,255,NaN,NaN,100,43095,1,199,412,80.134,11.610,2.140,0.467,0.847
21,113,255,0,255,255,419.942,403.810,45.941,414,397,15,14,12.455,11.552,36.197,0.673,15.811,28815,255,NaN,NaN,100,28815,1,414,406,18.435,13.157,1.078,0.927,0.816
22,1842,255,0,255,255,848.625,492.282,176.794,822,469,53,48,52.789,44.428,153.760,0.741,53.339,469710,255,NaN,NaN,100,469710,1,824,482,149.589,45.400,1.188,0.842,0.951
23,1156,255,0,255,255,1028.621,516.111,145.581,1008,495,44,40,41.233,35.696,144.778,0.685,47.170,294780,255,NaN,NaN,100,294780,1,1012,504,147.995,37.477,1.155,0.866,0.898
24,2202,255,0,255,255,59.703,524.547,203.664,25,500,66,50,66.935,41.886,17.073,0.667,68.710,561510,255,NaN,NaN,100,561510,1,26,535,21.337,45.241,1.598,0.626,0.917
25,483,255,0,255,255,401.906,517.933,90.326,388,507,26,23,26.868,22.888,175.272,0.744,28.636,123165,255,NaN,NaN,100,123165,1,388,521,24.775,23.000,1.174,0.852,0.909
26,773,255,0,255,255,505.663,539.657,112.024,488,522,33,34,33.411,29.458,62.469,0.774,36.359,197115,255,NaN,NaN,100,197115,1,497,554,58.496,29.698,1.134,0.882,0.914
27,60,255,0,255,255,395.550,546.950,31.456,391,541,9,12,13.476,5.669,51.569,0.762,13.892,15300,255,NaN,NaN,100,15300,1,392,553,59.744,6.364,2.377,0.421,0.845
28,455,255,0,255,255,363.080,566.900,89.983,353,550,22,31,28.342,20.441,91.139,0.706,31.257,116025,255,NaN,NaN,100,116025,1,356,581,82.648,22.000,1.387,0.721,0.915
29,7529,255,0,255,255,72.978,622.913,335.990,24,571,95,102,103.155,92.930,116.768,0.838,106.508,1919895,255,NaN,NaN,100,1919895,1,45,578,124.287,94.752,1.110,0.901,0.980
30,68,255,0,255,255,1154.544,590.176,32.042,1150,585,9,11,10.213,8.478,82.679,0.832,11.705,17340,255,NaN,NaN,100,17340,1,1153,596,70.017,9.000,1.205,0.830,0.866
31,7214,255,0,255,255,240.484,638.243,370.801,189,589,103,97,99.454,92.356,158.476,0.659,110.535,1839570,255,NaN,NaN,100,1839570,1,191,619,151.348,95.229,1.077,0.929,0.921
32,9446,255,0,255,255,1151.080,654.000,396.701,1090,594,124,115,119.403,100.727,170.911,0.754,124.680,2408730,255,NaN,NaN,100,2408730,1,1090,642,174.015,102.256,1.185,0.844,0.946
33,49,255,0,255,255,176.316,614.663,25.556,172,611,8,8,8.066,7.735,1.823,0.943,9.434,12495,255,NaN,NaN,100,12495,1,172,617,32.005,8.000,1.043,0.959,0.891
34,516,255,0,255,255,290.988,654.702,94.711,276,640,27,31,29.461,22.300,112.790,0.723,31.401,131580,255,NaN,NaN,100,131580,1,289,671,80.838,22.922,1.321,0.757,0.897
35,997,255,0,255,255,700.930,685.863,133.581,682,666,38,38,40.427,31.400,140.231,0.702,43.186,254235,255,NaN,NaN,100,254235,1,688,669,132.184,34.435,1.287,0.777,0.910
36,7031,255,0,255,255,510.887,735.583,366.174,463,685,105,94,96.832,92.451,13.498,0.659,107.856,1792905,255,NaN,NaN,100,1792905,1,465,768,17.259,93.897,1.047,0.955,0.934
37,40,255,0,255,255,880.875,763.050,26.627,876,758,9,9,10.002,5.092,47.894,0.709,10.817,10200,255,NaN,NaN,100,10200,1,878,767,56.310,5.657,1.964,0.509,0.792
38,799,255,0,255,255,739.039,807.317,114.024,723,790,31,35,35.002,29.064,117.099,0.772,36.620,203745,255,NaN,NaN,100,203745,1,729,793,124.992,30.511,1.204,0.830,0.936
39,35,255,0,255,255,256.643,803.300,22.971,253,799,7,8,7.937,5.615,124.342,0.834,9.434,8925,255,NaN,NaN,100,8925,1,254,799,122.005,6.364,1.414,0.707,0.814
40,146,255,0,255,255,383.856,816.753,47.698,378,808,11,17,16.983,10.946,84.720,0.806,17.464,37230,255,NaN,NaN,100,37230,1,382,825,76.759,11.000,1.552,0.645,0.918
41,5523,255,0,255,255,326.978,882.284,314.451,276,847,106,70,104.307,67.417,179.428,0.702,106.381,1408365,255,NaN,NaN,100,1408365,1,276,900,175.147,67.443,1.547,0.646,0.932
42,89,255,0,255,255,452.904,859.837,41.698,448,854,10,14,13.199,8.585,70.525,0.643,15.232,22695,255,NaN,NaN,100,22695,1,452,868,66.801,9.191,1.537,0.650,0.848
