 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2288,255,0,255,255,51.821,32.152,182.409,24,6,55,51,56.082,51.945,161.113,0.864,58.310,583440,255,NaN,NaN,100,583440,1,26,20,149.036,51.000,1.080,0.926,0.972
2,6309,255,0,255,255,689.532,124.045,333.588,649,65,88,114,106.447,75.464,106.443,0.712,114.215,1608795,255,NaN,NaN,100,1608795,1,687,179,86.486,82.425,1.411,0.709,0.934
3,29,255,0,255,255,965.224,75.293,22.971,961,72,7,6,7.473,4.941,37.470,0.691,9.220,7395,255,NaN,NaN,100,7395,1,961,78,40.601,6.000,1.513,0.661,0.866
4,102,255,0,255,255,998.667,106.422,40.527,992,101,13,11,12.658,10.260,151.469,0.780,13.928,26010,255,NaN,NaN,100,26010,1,992,105,158.962,11.000,1.234,0.811,0.879
5,7448,255,0,255,255,622.068,190.525,353.973,568,141,119,99,113.165,83.799,29.293,0.747,119.507,1899240,255,NaN,NaN,100,1899240,1,568,191,5.281,81.165,1.350,0.741,0.953
6,1439,255,0,255,255,555.148,219.072,155.480,534,197,44,45,45.341,40.409,112.273,0.748,47.508,366945,255,NaN,NaN,100,366945,1,537,205,149.657,40.796,1.122,0.891,0.935
7,5446,255,0,255,255,272.826,282.382,287.262,227,237,85,93,90.668,76.477,118.834,0.829,93.343,1388730,255,NaN,NaN,100,1388730,1,268,237,94.917,77.264,1.186,0.843,0.971
8,23,255,0,255,255,463.761,273.065,17.899,461,270,5,6,6.833,4.286,61.130,0.902,7.810,5865,255,NaN,NaN,100,5865,1,461,276,50.194,5.000,1.594,0.627,0.885
9,1893,255,0,255,255,657.289,299.388,179.279,628,274,57,47,54.671,44.086,9.074,0.740,58.249,482715,255,NaN,NaN,100,482715,1,628,309,11.889,46.713,1.240,0.806,0.946
10,5172,255,0,255,255,225.583,336.321,284.576,185,293,89,85,85.724,76.818,149.778,0.803,89.677,1318860,255,NaN,NaN,100,1318860,1,185,321,172.954,75.638,1.116,0.896,0.970
11,428,255,0,255,255,196.565,377.619,89.640,185,364,26,26,24.738,22.029,171.986,0.669,27.586,109140,255,NaN,NaN,100,109140,1,190,365,133.531,24.515,1.123,0.890,0.871
12,10316,255,0,255,255,1106.508,430.315,405.529,1052,366,109,131,127.924,102.676,78.892,0.788,133.405,2630580,255,NaN,NaN,100,2630580,1,1089,496,75.235,106.085,1.246,0.803,0.974
13,951,255,0,255,255,899.725,402.550,123.681,881,386,38,35,36.215,33.435,156.069,0.781,39.560,242505,255,NaN,NaN,100,242505,1,881,395,163.856,34.092,1.083,0.923,0.938
14,565,255,0,255,255,256.220,410.061,109.782,242,392,30,31,30.158,23.854,155.551,0.589,33.242,144075,255,NaN,NaN,100,144075,1,247,393,133.781,26.239,1.264,0.791,0.848
15,254,255,0,255,255,789.311,439.346,64.912,779,429,20,19,19.173,16.868,169.756,0.758,20.616,64770,255,NaN,NaN,100,64770,1,779,444,14.036,18.025,1.137,0.880,0.890
16,4022,255,0,255,255,825.460,479.466,259.563,793,441,67,75,76.660,66.801,95.214,0.750,80.455,1025610,255,NaN,NaN,100,1025610,1,799,512,57.693,67.000,1.148,0.871,0.956
17,6306,255,0,255,255,746.613,491.081,329.446,700,442,92,95,92.225,87.059,140.280,0.730,96.773,1608030,255,NaN,NaN,100,1608030,1,741,536,76.251,90.356,1.059,0.944,0.944
18,1459,255,0,255,255,494.501,464.006,159.137,470,445,52,39,51.964,35.749,13.854,0.724,54.120,372045,255,NaN,NaN,100,372045,1,470,473,16.091,38.635,1.454,0.688,0.933
19,96,255,0,255,255,695.458,450.792,39.113,689,445,13,11,12.963,9.429,147.599,0.789,14.422,24480,255,NaN,NaN,100,24480,1,690,447,146.310,10.539,1.375,0.727,0.865
20,3864,255,0,255,255,520.032,499.739,273.848,478,458,80,81,89.016,55.269,46.745,0.647,91.022,985320,255,NaN,NaN,100,985320,1,480,523,35.611,59.630,1.611,0.621,0.900
21,1564,255,0,255,255,957.048,539.277,157.238,936,513,40,51,50.158,39.701,84.681,0.795,51.352,398820,255,NaN,NaN,100,398820,1,958,513,96.710,40.000,1.263,0.792,0.953
22,79,255,0,255,255,826.943,536.703,36.870,821,530,11,12,11.320,8.886,44.919,0.730,13.454,20145,255,NaN,NaN,100,20145,1,821,540,48.013,9.683,1.274,0.785,0.840
23,6537,255,0,255,255,482.146,587.292,314.291,437,539,89,91,94.535,88.044,50.543,0.832,99.825,1666935,255,NaN,NaN,100,1666935,1,443,620,42.158,89.000,1.074,0.931,0.977
24,31,255,0,255,255,197.145,608.984,20.971,194,606,7,6,7.073,5.581,167.394,0.886,8.062,7905,255,NaN,NaN,100,7905,1,194,607,150.255,6.000,1.267,0.789,0.849
25,422,255,0,255,255,889.284,620.671,82.811,877,607,26,26,23.460,22.903,7.276,0.773,26.476,107610,255,NaN,NaN,100,107610,1,886,607,100.886,23.504,1.024,0.976,0.888
26,3115,255,0,255,255,1060.797,649.664,224.250,1024,621,73,57,75.650,52.428,159.152,0.778,76.485,794325,255,NaN,NaN,100,794325,1,1027,631,154.440,53.115,1.443,0.693,0.966
27,431,255,0,255,255,622.488,637.771,81.154,608,627,27,22,26.457,20.742,164.428,0.822,28.160,109905,255,NaN,NaN,100,109905,1,608,636,163.496,21.207,1.276,0.784,0.929
28,24107,255,0,255,255,499.107,754.748,657.495,403,655,190,186,212.288,144.587,44.454,0.701,225.843,6147285,255,NaN,NaN,100,6147285,1,410,811,37.986,159.696,1.468,0.681,0.965
29,778,255,0,255,255,699.913,714.802,109.054,683,698,31,33,33.827,29.284,119.900,0.822,35.847,198390,255,NaN,NaN,100,198390,1,697,698,112.989,30.042,1.155,0.866,0.949
30,7924,255,0,255,255,264.952,755.071,356.174,209,708,111,98,107.479,93.871,166.111,0.785,115.169,2020620,255,NaN,NaN,100,2020620,1,212,736,159.677,96.176,1.145,0.873,0.967
31,59,255,0,255,255,358.534,738.534,28.971,355,733,7,11,10.551,7.120,91.725,0.883,11.402,15045,255,NaN,NaN,100,15045,1,357,733,105.255,7.000,1.482,0.675,0.894
32,20,255,0,255,255,942.950,763.250,18.142,940,761,6,5,6.441,3.954,35.757,0.764,7.211,5100,255,NaN,NaN,100,5100,1,940,765,33.690,4.950,1.629,0.614,0.816
33,72,255,0,255,255,175.861,774.278,34.042,171,768,9,12,10.935,8.384,102.807,0.781,12.369,18360,255,NaN,NaN,100,18360,1,175,768,104.036,9.000,1.304,0.767,0.857
34,3578,255,0,255,255,1136.099,805.736,238.551,1099,772,67,70,70.691,64.445,121.116,0.790,77.006,912390,255,NaN,NaN,100,912390,1,1119,775,127.614,65.896,1.097,0.912,0.958
35,3478,255,0,255,255,317.103,814.761,233.463,280,776,70,74,71.030,62.344,42.846,0.802,74.545,886890,255,NaN,NaN,100,886890,1,313,850,83.066,62.400,1.139,0.878,0.958
36,119,255,0,255,255,986.315,804.550,49.012,979,798,16,12,16.067,9.430,154.345,0.623,17.493,30345,255,NaN,NaN,100,30345,1,980,799,149.036,10.914,1.704,0.587,0.835
37,1538,255,0,255,255,598.401,864.247,169.480,579,834,40,57,52.301,37.442,81.744,0.673,57.559,392190,255,NaN,NaN,100,392190,1,588,891,82.011,38.788,1.397,0.716,0.919
38,25,255,0,255,255,370.460,852.900,18.142,367,850,7,5,6.972,4.566,176.953,0.954,7.280,6375,255,NaN,NaN,100,6375,1,367,852,164.055,5.000,1.527,0.655,0.862
