 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,24311,255,0,255,255,269.313,199.858,709.075,175,97,175,213,198.761,155.734,84.040,0.608,218.790,6199305,255,NaN,NaN,100,6199305,1,258,97,103.211,165.128,1.276,0.784,0.904
2,12535,255,0,255,255,784.188,202.281,460.884,707,140,153,123,144.414,110.516,176.392,0.742,155.913,3196425,255,NaN,NaN,100,3196425,1,707,185,168.906,117.939,1.307,0.765,0.959
3,5612,255,0,255,255,661.263,199.521,311.522,612,157,101,73,98.025,72.894,179.431,0.727,102.108,1431060,255,NaN,NaN,100,1431060,1,612,223,8.448,73.000,1.345,0.744,0.951
4,21,255,0,255,255,550.881,188.214,16.728,548,185,5,6,6.044,4.424,103.180,0.943,6.708,5355,255,NaN,NaN,100,5355,1,550,185,116.565,5.000,1.366,0.732,0.857
5,17568,255,0,255,255,697.415,293.741,580.482,615,227,171,137,179.102,124.891,155.329,0.655,201.695,4479840,255,NaN,NaN,100,4479840,1,617,231,144.892,135.756,1.434,0.697,0.944
6,25820,255,0,255,255,433.308,388.098,733.176,345,262,189,221,202.779,162.123,90.332,0.604,230.972,6584100,255,NaN,NaN,100,6584100,1,358,469,60.994,180.467,1.251,0.800,0.881
7,1329,255,0,255,255,486.556,289.675,160.368,471,267,39,52,45.398,37.273,69.009,0.649,56.036,338895,255,NaN,NaN,100,338895,1,471,319,55.176,39.000,1.218,0.821,0.932
8,8054,255,0,255,255,529.907,350.897,382.701,468,294,111,123,128.444,79.838,121.351,0.691,129.356,2053770,255,NaN,NaN,100,2053770,1,509,295,109.415,79.515,1.609,0.622,0.953
9,13348,255,0,255,255,881.685,471.051,539.553,825,371,103,193,183.419,92.658,79.966,0.576,194.743,3403740,255,NaN,NaN,100,3403740,1,879,564,82.328,101.098,1.980,0.505,0.936
10,12321,255,0,255,255,454.632,591.417,489.546,387,530,133,142,142.623,109.993,53.672,0.646,168.074,3141855,255,NaN,NaN,100,3141855,1,427,672,56.404,127.986,1.297,0.771,0.918
11,4054,255,0,255,255,545.246,577.959,272.593,518,535,70,89,79.854,64.640,90.988,0.686,94.578,1033770,255,NaN,NaN,100,1033770,1,520,535,109.776,70.000,1.235,0.809,0.922
12,14785,255,0,255,255,354.598,639.302,510.943,293,557,133,152,152.366,123.550,86.467,0.712,167.451,3770175,255,NaN,NaN,100,3770175,1,304,703,60.680,129.128,1.233,0.811,0.950
13,3267,255,0,255,255,1147.813,653.326,237.622,1116,619,65,63,68.772,60.485,120.476,0.727,78.102,833085,255,NaN,NaN,100,833085,1,1131,622,129.806,61.682,1.137,0.880,0.951
14,44481,255,0,255,255,728.645,770.821,964.940,589,660,313,240,300.224,188.642,16.877,0.600,323.062,11342655,255,NaN,NaN,100,11342655,1,589,810,14.337,214.069,1.591,0.628,0.929
15,18796,255,0,255,255,1137.450,752.238,603.370,1036,683,190,143,179.455,133.358,165.888,0.649,200.572,4792980,255,NaN,NaN,100,4792980,1,1037,726,150.751,142.226,1.346,0.743,0.917
16,16258,255,0,255,255,516.374,810.293,580.808,419,742,178,154,183.668,112.705,149.723,0.606,193.631,4145790,255,NaN,NaN,100,4145790,1,420,780,149.594,117.782,1.630,0.614,0.929
