 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,346,255,0,255,255,311.431,17.223,77.255,302,4,20,26,28.062,15.699,117.786,0.729,29.411,88230,255,NaN,NaN,100,88230,1,303,6,125.311,16.635,1.788,0.559,0.902
2,279,255,0,255,255,860.149,12.608,68.669,851,4,19,20,19.643,18.084,68.902,0.744,21.932,71145,255,NaN,NaN,100,71145,1,855,22,46.848,19.000,1.086,0.921,0.910
3,22,255,0,255,255,631.000,12.364,22.971,629,8,4,9,8.138,3.442,84.219,0.524,9.220,5610,255,NaN,NaN,100,5610,1,630,17,77.471,4.000,2.365,0.423,0.759
4,344,255,0,255,255,588.916,24.198,73.154,577,14,23,22,22.401,19.552,153.809,0.808,23.770,87720,255,NaN,NaN,100,87720,1,578,18,157.751,20.506,1.146,0.873,0.912
5,218,255,0,255,255,989.739,22.702,71.154,977,15,24,18,22.946,12.097,143.664,0.541,25.807,55590,255,NaN,NaN,100,55590,1,977,16,144.462,14.649,1.897,0.527,0.827
6,376,255,0,255,255,950.867,28.907,78.083,937,17,26,23,28.393,16.861,30.500,0.775,28.601,95880,255,NaN,NaN,100,95880,1,939,36,36.469,17.441,1.684,0.594,0.900
7,213,255,0,255,255,923.289,33.552,57.841,913,26,19,16,18.640,14.549,2.574,0.800,19.925,54315,255,NaN,NaN,100,54315,1,913,36,17.526,16.000,1.281,0.781,0.903
8,118,255,0,255,255,1199.178,39.754,43.941,1192,32,14,14,15.500,9.693,46.339,0.768,16.643,30090,255,NaN,NaN,100,30090,1,1195,46,57.265,10.607,1.599,0.625,0.874
9,793,255,0,255,255,259.223,61.423,117.296,239,46,37,30,35.491,28.449,20.238,0.724,40.719,202215,255,NaN,NaN,100,202215,1,239,72,24.677,30.000,1.248,0.802,0.913
10,117,255,0,255,255,79.098,77.774,47.941,72,70,14,16,14.873,10.016,129.290,0.640,17.493,29835,255,NaN,NaN,100,29835,1,77,70,120.964,11.833,1.485,0.673,0.812
11,366,255,0,255,255,942.954,85.402,76.669,932,73,20,25,24.643,18.911,88.072,0.782,26.401,93330,255,NaN,NaN,100,93330,1,939,74,114.624,20.000,1.303,0.767,0.920
12,389,255,0,255,255,960.991,95.695,77.598,951,82,19,26,26.029,19.028,76.180,0.812,27.295,99195,255,NaN,NaN,100,99195,1,953,106,61.557,19.000,1.368,0.731,0.920
13,554,255,0,255,255,906.688,113.291,101.882,888,102,35,22,34.725,20.313,0.804,0.671,35.228,141270,255,NaN,NaN,100,141270,1,888,117,6.520,22.000,1.709,0.585,0.919
