 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1915,255,0,255,255,848.326,85.356,181.037,818,60,60,48,57.361,42.507,172.690,0.734,60.407,488325,255,NaN,NaN,100,488325,1,818,91,6.654,46.424,1.349,0.741,0.924
2,3681,255,0,255,255,970.058,125.186,267.120,930,88,75,82,76.016,61.656,107.574,0.648,82.024,938655,255,NaN,NaN,100,938655,1,963,88,91.397,67.101,1.233,0.811,0.889
3,10129,255,0,255,255,962.867,269.058,458.500,891,209,137,128,143.279,90.010,142.039,0.605,139.946,2582895,255,NaN,NaN,100,2582895,1,898,229,140.509,100.624,1.592,0.628,0.866
4,9779,255,0,255,255,809.249,265.615,439.571,746,213,132,109,129.611,96.064,154.446,0.636,134.629,2493645,255,NaN,NaN,100,2493645,1,752,220,148.671,106.883,1.349,0.741,0.907
5,1278,255,0,255,255,560.941,288.266,168.652,540,267,43,48,47.583,34.197,133.727,0.565,59.464,325890,255,NaN,NaN,100,325890,1,542,271,132.274,36.994,1.391,0.719,0.827
6,4272,255,0,255,255,1108.666,328.702,281.990,1069,282,79,90,84.518,64.357,113.509,0.675,90.449,1089360,255,NaN,NaN,100,1089360,1,1107,282,95.711,73.218,1.313,0.761,0.896
7,13365,255,0,255,255,480.686,386.023,527.553,414,305,120,159,159.281,106.836,94.668,0.603,164.584,3408075,255,NaN,NaN,100,3408075,1,457,307,115.942,117.651,1.491,0.671,0.924
8,3550,255,0,255,255,560.801,393.566,245.137,530,358,58,74,76.504,59.082,104.146,0.742,84.599,905250,255,NaN,NaN,100,905250,1,540,361,122.939,57.815,1.295,0.772,0.960
9,3793,255,0,255,255,622.336,404.868,278.894,588,368,86,65,87.377,55.271,166.921,0.613,99.126,967215,255,NaN,NaN,100,967215,1,589,368,149.036,64.468,1.581,0.633,0.923
10,3013,255,0,255,255,641.852,491.184,262.978,597,464,88,52,91.827,41.777,166.096,0.547,96.602,768315,255,NaN,NaN,100,768315,1,598,465,152.904,44.517,2.198,0.455,0.904
11,4323,255,0,255,255,432.744,568.437,271.161,392,529,84,78,77.275,71.229,29.945,0.739,84.380,1102365,255,NaN,NaN,100,1102365,1,392,561,174.560,71.141,1.085,0.922,0.931
12,3517,255,0,255,255,220.310,563.726,252.049,184,534,78,62,76.525,58.516,170.310,0.696,78.518,896835,255,NaN,NaN,100,896835,1,184,546,173.418,58.502,1.308,0.765,0.956
13,842,255,0,255,255,419.527,620.361,121.539,403,603,36,34,38.411,27.911,136.189,0.716,41.617,214710,255,NaN,NaN,100,214710,1,405,607,144.782,31.307,1.376,0.727,0.902
14,15936,255,0,255,255,92.178,760.605,581.838,23,683,149,156,145.851,139.116,114.114,0.592,165.412,4063680,255,NaN,NaN,100,4063680,1,66,839,70.579,142.511,1.048,0.954,0.906
15,4781,255,0,255,255,985.727,876.113,299.019,944,836,86,78,82.043,74.197,158.990,0.672,96.255,1219155,255,NaN,NaN,100,1219155,1,946,856,150.772,75.772,1.106,0.904,0.931
