 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,10341,255,0,255,255,936.239,191.847,424.316,881,123,107,128,128.797,102.227,64.493,0.722,142.888,2636955,255,,,100,2636955,1,889,244,57.867,106.896,1.26,0.794,0.952
2,40009,255,0,255,255,1074.919,328.576,921.283,955,193,225,255,253.846,200.677,50.997,0.592,265.979,10202295,255,,,100,10202295,1,1020,445,70.679,224.749,1.265,0.791,0.902
3,5134,255,0,255,255,644.358,272.311,334.86,583,235,117,75,118.273,55.269,20.172,0.575,123.649,1309170,255,,,100,1309170,1,583,294,18.875,63.934,2.14,0.467,0.876
4,5801,255,0,255,255,742.596,325.325,329.103,696,279,105,86,91.299,80.9,159.61,0.673,105.475,1479255,255,,,100,1479255,1,696,324,174.56,85.013,1.129,0.886,0.913
5,59749,255,0,255,255,590.259,450.269,1088.497,464,283,260,314,300.635,253.047,95.078,0.634,323.13,15235995,255,,,100,15235995,1,521,286,124.28,257.401,1.188,0.842,0.931
6,1534,255,0,255,255,804.636,415.143,158.208,777,391,51,52,54.792,35.647,136.435,0.77,55.444,391170,255,,,100,391170,1,779,401,140.856,35.355,1.537,0.651,0.941
7,916,255,0,255,255,780.734,430.233,138.853,762,410,47,36,46.206,25.241,149.822,0.597,53.852,233580,255,,,100,233580,1,763,418,148.671,30.406,1.831,0.546,0.919
8,6484,255,0,255,255,772.031,486.079,377.889,720,440,93,104,111.138,74.283,121.597,0.571,123.11,1653420,255,,,100,1653420,1,726,447,133.025,88.926,1.496,0.668,0.867
9,2079,255,0,255,255,625.324,644.451,191.321,596,615,58,59,65.676,40.305,129.244,0.714,67.119,530145,255,,,100,530145,1,612,615,118.474,42.712,1.629,0.614,0.93
10,6510,255,0,255,255,446.244,677.488,356.659,394,634,110,85,107.744,76.93,170.117,0.643,110.653,1660050,255,,,100,1660050,1,394,683,6.226,83.353,1.401,0.714,0.908
11,7993,255,0,255,255,248.873,754.579,391.505,182,713,133,79,131.894,77.16,174.313,0.655,139.176,2038215,255,,,100,2038215,1,182,739,162.867,77.017,1.709,0.585,0.949
12,9754,255,0,255,255,246.18,830.348,445.203,185,786,138,102,132.171,93.963,14.945,0.618,141.227,2487270,255,,,100,2487270,1,201,884,40.117,101.608,1.407,0.711,0.917
