 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,793,255,0,255,255,897.122,43.504,122.267,879,28,34,33,34.597,29.184,158.764,0.667,38.079,202215,255,NaN,NaN,100,202215,1,879,37,150.068,30.265,1.185,0.844,0.898
2,3896,255,0,255,255,883.333,93.979,273.848,845,52,75,78,75.827,65.419,102.479,0.653,81.908,993480,255,NaN,NaN,100,993480,1,875,52,107.771,72.235,1.159,0.863,0.899
3,1543,255,0,255,255,511.779,76.234,162.551,485,55,53,41,53.792,36.522,20.131,0.734,55.036,393465,255,NaN,NaN,100,393465,1,487,90,24.702,37.801,1.473,0.679,0.938
4,1336,255,0,255,255,938.957,90.799,173.622,920,61,38,59,63.851,26.641,63.831,0.557,66.888,340680,255,NaN,NaN,100,340680,1,923,120,58.449,29.892,2.397,0.417,0.923
5,3286,255,0,255,255,984.882,105.205,254.191,957,65,60,84,79.974,52.316,99.508,0.639,84.095,837930,255,NaN,NaN,100,837930,1,982,65,92.726,55.056,1.529,0.654,0.904
6,1986,255,0,255,255,718.212,105.726,206.936,694,70,52,70,68.313,37.015,63.880,0.583,72.801,506430,255,NaN,NaN,100,506430,1,698,140,74.055,38.170,1.846,0.542,0.881
7,68,255,0,255,255,1108.456,86.221,31.213,1103,82,11,9,11.143,7.770,145.428,0.877,12.530,17340,255,NaN,NaN,100,17340,1,1103,83,151.390,8.875,1.434,0.697,0.872
8,881,255,0,255,255,752.819,107.786,125.296,733,90,38,34,36.746,30.526,32.572,0.705,43.932,224655,255,NaN,NaN,100,224655,1,733,124,48.691,31.889,1.204,0.831,0.912
9,488,255,0,255,255,949.344,117.162,89.497,935,102,27,27,31.217,19.904,41.500,0.766,33.422,124440,255,NaN,NaN,100,124440,1,937,129,51.072,22.892,1.568,0.638,0.912
10,3235,255,0,255,255,422.194,154.108,261.019,388,115,69,75,76.473,53.861,46.170,0.597,81.271,824925,255,NaN,NaN,100,824925,1,398,183,55.528,57.976,1.420,0.704,0.903
11,2779,255,0,255,255,749.358,146.646,227.220,718,116,67,65,75.127,47.098,37.135,0.676,79.881,708645,255,NaN,NaN,100,708645,1,719,170,34.287,50.637,1.595,0.627,0.915
12,3494,255,0,255,255,799.677,187.031,253.220,762,151,73,72,70.649,62.969,137.484,0.685,76.243,890970,255,NaN,NaN,100,890970,1,762,184,163.229,68.638,1.122,0.891,0.900
13,1569,255,0,255,255,361.894,225.867,192.836,345,192,35,72,70.096,28.500,74.381,0.530,73.546,400095,255,NaN,NaN,100,400095,1,353,264,78.232,32.958,2.460,0.407,0.898
14,2372,255,0,255,255,886.529,215.262,220.836,848,194,73,44,72.073,41.904,179.494,0.611,75.961,604860,255,NaN,NaN,100,604860,1,848,222,16.049,43.220,1.720,0.581,0.922
15,17,255,0,255,255,387.853,220.382,15.556,385,218,6,5,6.851,3.160,139.202,0.883,7.211,4335,255,NaN,NaN,100,4335,1,385,218,146.310,3.536,2.168,0.461,0.829
16,28,255,0,255,255,771.464,220.964,20.142,768,218,7,6,6.856,5.200,160.138,0.867,7.810,7140,255,NaN,NaN,100,7140,1,769,218,129.806,5.687,1.319,0.758,0.812
17,3243,255,0,255,255,1121.488,256.535,246.434,1086,218,67,72,81.271,50.807,45.316,0.671,84.386,826965,255,NaN,NaN,100,826965,1,1095,288,49.325,53.365,1.600,0.625,0.951
18,1629,255,0,255,255,687.195,279.985,188.108,658,260,59,42,57.278,36.211,18.941,0.579,60.638,415395,255,NaN,NaN,100,415395,1,658,283,13.349,37.947,1.582,0.632,0.896
19,1211,255,0,255,255,785.398,340.005,144.752,761,322,50,36,51.934,29.689,21.796,0.726,51.196,308805,255,NaN,NaN,100,308805,1,761,350,12.407,30.572,1.749,0.572,0.940
20,1340,255,0,255,255,336.391,393.787,166.693,314,370,43,50,49.483,34.479,118.227,0.606,51.740,341700,255,NaN,NaN,100,341700,1,316,374,138.918,35.732,1.435,0.697,0.880
21,2114,255,0,255,255,940.881,411.132,198.693,918,383,53,61,58.059,46.361,77.017,0.673,61.847,539070,255,NaN,NaN,100,539070,1,935,444,75.964,48.358,1.252,0.799,0.912
22,1223,255,0,255,255,80.853,451.152,147.480,61,423,40,51,48.122,32.359,114.838,0.707,52.555,311865,255,NaN,NaN,100,311865,1,76,423,111.194,34.203,1.487,0.672,0.924
23,2548,255,0,255,255,1149.533,505.100,217.806,1120,469,55,70,65.553,49.490,97.937,0.675,70.859,649740,255,NaN,NaN,100,649740,1,1148,469,98.931,54.124,1.325,0.755,0.936
24,1186,255,0,255,255,1128.997,597.467,149.966,1111,573,35,52,48.150,31.362,93.958,0.663,52.953,302430,255,NaN,NaN,100,302430,1,1122,573,100.886,34.953,1.535,0.651,0.904
25,657,255,0,255,255,623.966,590.150,112.510,606,575,35,31,35.405,23.627,139.110,0.652,38.484,167535,255,NaN,NaN,100,167535,1,606,582,155.433,24.042,1.498,0.667,0.896
26,2940,255,0,255,255,888.204,640.177,227.220,851,606,67,69,66.150,56.589,121.022,0.716,72.090,749700,255,NaN,NaN,100,749700,1,851,631,156.280,60.185,1.169,0.855,0.923
27,224,255,0,255,255,372.732,641.567,60.669,364,631,20,19,21.841,13.058,142.565,0.765,22.204,57120,255,NaN,NaN,100,57120,1,365,633,144.162,14.230,1.673,0.598,0.878
28,875,255,0,255,255,1058.777,710.242,128.409,1042,690,36,43,44.326,25.134,128.127,0.667,48.549,223125,255,NaN,NaN,100,223125,1,1045,691,122.381,26.103,1.764,0.567,0.901
29,1972,255,0,255,255,959.796,728.972,184.309,934,703,52,55,53.783,46.685,125.961,0.730,57.706,502860,255,NaN,NaN,100,502860,1,934,717,152.103,48.299,1.152,0.868,0.913
30,985,255,0,255,255,883.791,723.741,127.983,864,707,37,33,39.596,31.673,20.432,0.756,43.600,251175,255,NaN,NaN,100,251175,1,866,735,36.607,32.321,1.250,0.800,0.928
31,845,255,0,255,255,915.857,725.450,116.912,900,709,33,34,34.241,31.421,33.859,0.777,39.661,215475,255,NaN,NaN,100,215475,1,900,739,33.690,32.417,1.090,0.918,0.917
32,5063,255,0,255,255,199.332,801.615,292.434,155,761,86,77,86.215,74.772,25.512,0.744,91.831,1291065,255,NaN,NaN,100,1291065,1,160,827,38.367,76.878,1.153,0.867,0.955
33,1185,255,0,255,255,49.097,796.860,151.137,27,775,46,43,43.887,34.379,135.038,0.652,46.615,302175,255,NaN,NaN,100,302175,1,38,775,125.395,37.121,1.277,0.783,0.873
34,596,255,0,255,255,804.466,794.134,95.154,790,781,29,26,28.942,26.220,13.297,0.827,30.610,151980,255,NaN,NaN,100,151980,1,792,803,38.367,26.000,1.104,0.906,0.936
35,2231,255,0,255,255,959.379,807.750,209.907,934,781,54,56,55.841,50.869,50.998,0.636,62.426,568905,255,NaN,NaN,100,568905,1,943,836,54.782,52.968,1.098,0.911,0.902
36,900,255,0,255,255,1018.506,798.306,122.267,1001,783,38,34,37.526,30.536,36.059,0.757,40.162,229500,255,NaN,NaN,100,229500,1,1001,804,18.886,32.393,1.229,0.814,0.933
