 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,255,0,255,255,96.656,107.094,21.556,93,104,7,6,6.981,5.836,153.777,0.865,8.062,8160,255,,,100,8160,1,93,105,150.255,6.0,1.196,0.836,0.877
2,6993,255,0,255,255,157.241,162.457,371.73,103,119,106,90,103.958,85.648,3.767,0.636,112.272,1783215,255,,,100,1783215,1,103,178,19.242,89.548,1.214,0.824,0.948
3,1599,255,0,255,255,1143.863,148.72,167.48,1120,122,52,49,52.906,38.482,151.974,0.716,53.254,407745,255,,,100,407745,1,1132,123,124.287,39.167,1.375,0.727,0.906
4,1952,255,0,255,255,310.003,364.145,185.279,277,342,65,43,60.381,41.161,172.025,0.715,67.446,497760,255,,,100,497760,1,277,357,164.521,43.0,1.467,0.682,0.933
5,1224,255,0,255,255,706.176,410.878,149.581,679,392,50,36,46.91,33.222,3.239,0.687,50.804,312120,255,,,100,312120,1,679,418,10.204,36.0,1.412,0.708,0.904
1,1666,255,0,255,255,403.215,355.992,190.35,383,327,41,55,55.9,37.946,83.912,0.578,59.908,424830,255,,,100,424830,1,384,377,56.575,40.704,1.473,0.679,0.896
2,2855,255,0,255,255,591.624,421.821,216.007,565,388,56,73,69.383,52.392,84.365,0.769,73.246,728025,255,,,100,728025,1,586,461,85.301,53.98,1.324,0.755,0.95
3,5341,255,0,255,255,370.963,727.286,291.505,327,683,87,86,87.481,77.735,59.734,0.79,89.961,1361955,255,,,100,1361955,1,352,767,65.714,77.445,1.125,0.889,0.955
4,6021,255,0,255,255,423.433,793.625,358.517,375,743,93,99,102.399,74.865,62.6,0.589,112.294,1535355,255,,,100,1535355,1,377,833,50.782,78.542,1.368,0.731,0.889
1,1797,255,0,255,255,138.06,129.931,204.007,113,99,49,57,58.473,39.13,114.667,0.543,67.179,458235,255,,,100,458235,1,113,103,134.397,45.177,1.494,0.669,0.845
