 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,105,255,0,255,255,517.319,50.948,43.941,512,43,11,16,16.661,8.024,63.587,0.683,17.889,26775,255,NaN,NaN,100,26775,1,514,59,63.435,9.391,2.076,0.482,0.871
2,63,255,0,255,255,747.262,65.437,35.941,741,62,12,8,11.082,7.238,179.609,0.613,12.369,16065,255,NaN,NaN,100,16065,1,741,66,14.036,8.000,1.531,0.653,0.818
3,239,255,0,255,255,993.596,92.123,59.355,985,83,17,19,19.790,15.377,60.807,0.852,21.213,60945,255,NaN,NaN,100,60945,1,987,100,45.000,16.100,1.287,0.777,0.919
4,113,255,0,255,255,912.128,98.261,44.770,906,92,12,13,13.581,10.594,128.395,0.708,15.000,28815,255,NaN,NaN,100,28815,1,907,93,126.870,11.700,1.282,0.780,0.873
5,134,255,0,255,255,820.545,101.881,44.770,814,94,13,15,13.752,12.406,70.978,0.840,15.524,34170,255,NaN,NaN,100,34170,1,818,109,75.069,12.969,1.109,0.902,0.902
6,105,255,0,255,255,248.510,164.919,44.770,241,160,16,10,15.447,8.655,166.822,0.658,16.763,26775,255,NaN,NaN,100,26775,1,241,161,162.646,9.803,1.785,0.560,0.843
7,84,255,0,255,255,240.750,187.298,35.799,236,182,11,10,11.283,9.479,10.723,0.824,13.038,21420,255,NaN,NaN,100,21420,1,236,192,32.471,10.000,1.190,0.840,0.903
8,96,255,0,255,255,230.167,189.365,38.870,224,183,11,13,11.932,10.244,47.908,0.798,14.318,24480,255,NaN,NaN,100,24480,1,229,196,65.225,11.000,1.165,0.859,0.893
9,131,255,0,255,255,1055.355,341.233,52.426,1046,335,19,13,19.846,8.404,24.183,0.599,20.616,33405,255,NaN,NaN,100,33405,1,1046,345,22.834,9.839,2.361,0.423,0.816
10,142,255,0,255,255,942.923,389.606,50.184,935,382,15,15,16.293,11.097,42.811,0.709,18.028,36210,255,NaN,NaN,100,36210,1,938,397,56.310,12.728,1.468,0.681,0.861
11,401,255,0,255,255,806.729,423.084,81.640,796,410,23,27,24.793,20.593,75.721,0.756,27.074,102255,255,NaN,NaN,100,102255,1,804,437,85.764,22.361,1.204,0.831,0.900
12,97,255,0,255,255,943.582,601.418,40.527,939,595,10,13,13.854,8.915,66.735,0.742,15.000,24735,255,NaN,NaN,100,24735,1,939,608,53.130,10.000,1.554,0.643,0.890
13,46,255,0,255,255,1061.130,652.870,28.870,1057,648,8,9,9.572,6.119,50.264,0.694,10.817,11730,255,NaN,NaN,100,11730,1,1058,657,56.310,7.071,1.564,0.639,0.829
14,86,255,0,255,255,1108.814,787.081,39.213,1105,779,9,15,14.234,7.693,109.113,0.703,15.264,21930,255,NaN,NaN,100,21930,1,1106,779,121.608,8.825,1.850,0.540,0.864
15,82,255,0,255,255,1099.841,787.463,40.527,1095,780,10,14,14.615,7.144,119.243,0.627,15.264,20910,255,NaN,NaN,100,20910,1,1096,781,121.608,8.497,2.046,0.489,0.816
