 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1088,255,0,255,255,1132.297,90.964,153.480,1105,76,54,32,48.782,28.398,2.375,0.580,54.231,277440,255,NaN,NaN,100,277440,1,1105,90,5.290,30.398,1.718,0.582,0.881
2,4041,255,0,255,255,532.959,217.122,304.032,503,164,58,100,97.713,52.656,79.295,0.549,105.948,1030455,255,NaN,NaN,100,1030455,1,513,264,70.710,57.237,1.856,0.539,0.944
3,2181,255,0,255,255,1113.473,203.243,199.421,1083,177,65,51,62.547,44.398,13.717,0.689,66.219,556155,255,NaN,NaN,100,556155,1,1084,217,14.876,48.441,1.409,0.710,0.926
4,17,255,0,255,255,927.206,208.265,17.314,925,205,4,7,6.600,3.280,95.759,0.713,7.280,4335,255,NaN,NaN,100,4335,1,926,205,105.945,4.000,2.012,0.497,0.773
5,3525,255,0,255,255,167.136,294.338,281.647,119,268,90,56,86.775,51.722,172.404,0.558,90.272,898875,255,NaN,NaN,100,898875,1,119,292,4.447,56.000,1.678,0.596,0.919
6,3773,255,0,255,255,242.481,384.422,284.375,199,348,76,79,70.381,68.256,117.603,0.586,82.565,962115,255,NaN,NaN,100,962115,1,244,427,73.101,73.883,1.031,0.970,0.898
7,585,255,0,255,255,538.760,563.476,103.054,524,549,29,30,28.584,26.058,86.597,0.692,32.202,149175,255,NaN,NaN,100,149175,1,527,553,126.158,27.348,1.097,0.912,0.881
8,713,255,0,255,255,559.751,574.435,114.711,546,555,28,37,36.129,25.127,83.508,0.681,39.560,181815,255,NaN,NaN,100,181815,1,549,592,69.274,27.605,1.438,0.695,0.885
9,450,255,0,255,255,205.800,585.560,90.711,193,570,26,30,29.857,19.190,62.133,0.687,30.871,114750,255,NaN,NaN,100,114750,1,197,598,65.095,21.334,1.556,0.643,0.860
10,790,255,0,255,255,225.630,596.382,124.024,210,576,28,40,38.734,25.968,87.331,0.645,41.000,201450,255,NaN,NaN,100,201450,1,227,576,102.680,27.858,1.492,0.670,0.890
11,688,255,0,255,255,792.483,795.308,106.912,779,777,27,36,39.144,22.379,115.278,0.756,40.224,175440,255,NaN,NaN,100,175440,1,781,780,124.875,24.696,1.749,0.572,0.921
12,1191,255,0,255,255,762.387,801.298,148.267,746,778,33,52,49.846,30.422,79.417,0.681,52.773,303705,255,NaN,NaN,100,303705,1,756,778,99.819,32.311,1.638,0.610,0.917
13,1149,255,0,255,255,990.892,837.168,138.510,969,820,43,38,42.327,34.563,21.427,0.753,44.777,292995,255,NaN,NaN,100,292995,1,970,843,23.703,36.109,1.225,0.817,0.926
