 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5011,255,0,255,255,433.233,51.726,324.316,389,3,83,100,103.642,61.560,122.411,0.599,111.830,1277805,255,NaN,NaN,100,1277805,1,405,7,121.842,69.296,1.684,0.594,0.907
2,10871,255,0,255,255,180.207,100.505,463.370,124,29,107,153,147.736,93.690,98.170,0.636,153.052,2772105,255,NaN,NaN,100,2772105,1,167,182,88.502,96.607,1.577,0.634,0.935
3,6592,255,0,255,255,278.623,142.143,354.174,236,87,85,105,104.368,80.419,97.578,0.660,112.379,1680960,255,NaN,NaN,100,1680960,1,255,91,119.302,82.063,1.298,0.771,0.932
4,15070,255,0,255,255,255.500,305.960,557.311,167,220,154,170,149.412,128.421,58.594,0.610,172.986,3842850,255,NaN,NaN,100,3842850,1,251,220,100.660,136.086,1.163,0.860,0.895
5,2757,255,0,255,255,166.660,272.377,230.333,130,246,75,61,76.028,46.171,152.200,0.653,79.480,703035,255,NaN,NaN,100,703035,1,131,252,158.600,48.782,1.647,0.607,0.930
6,7433,255,0,255,255,402.017,297.746,394.257,332,248,129,99,121.891,77.643,162.561,0.601,130.969,1895415,255,NaN,NaN,100,1895415,1,332,294,165.858,86.563,1.570,0.637,0.893
7,18824,255,0,255,255,204.056,419.262,576.340,124,331,158,173,186.877,128.252,135.884,0.712,200.205,4800120,255,NaN,NaN,100,4800120,1,146,341,126.469,134.076,1.457,0.686,0.956
8,14546,255,0,255,255,1119.170,439.631,552.968,1047,358,144,146,147.112,125.894,31.514,0.598,161.722,3709230,255,NaN,NaN,100,3709230,1,1059,495,49.514,139.765,1.169,0.856,0.913
9,16233,255,0,255,255,444.674,476.034,601.779,362,408,168,154,151.855,136.107,27.123,0.563,179.513,4139415,255,NaN,NaN,100,4139415,1,393,556,40.255,144.027,1.116,0.896,0.886
10,3518,255,0,255,255,211.935,520.721,255.421,172,488,79,68,86.892,51.550,155.324,0.678,89.499,897090,255,NaN,NaN,100,897090,1,176,495,140.440,52.581,1.686,0.593,0.926
11,2376,255,0,255,255,1084.658,520.066,205.581,1055,496,64,48,65.946,45.874,176.510,0.706,66.189,605880,255,NaN,NaN,100,605880,1,1058,535,26.952,44.614,1.438,0.696,0.951
12,22,255,0,255,255,1193.682,532.318,28.627,1189,528,8,10,10.315,2.716,131.935,0.337,12.806,5610,255,NaN,NaN,100,5610,1,1189,528,128.660,4.045,3.798,0.263,0.571
13,3847,255,0,255,255,195.080,568.445,261.907,160,531,80,74,76.859,63.729,160.561,0.705,82.710,980985,255,NaN,NaN,100,980985,1,160,538,165.292,65.768,1.206,0.829,0.931
14,7445,255,0,255,255,291.184,585.844,371.002,237,539,110,94,113.702,83.369,33.623,0.680,124.036,1898475,255,NaN,NaN,100,1898475,1,243,624,35.484,91.152,1.364,0.733,0.946
15,373,255,0,255,255,1084.409,552.160,82.326,1069,544,28,20,25.788,18.416,173.845,0.692,28.636,95115,255,NaN,NaN,100,95115,1,1069,550,167.905,20.000,1.400,0.714,0.871
16,5762,255,0,255,255,737.870,611.406,352.517,690,554,88,106,104.228,70.388,63.529,0.583,108.467,1469310,255,NaN,NaN,100,1469310,1,725,660,77.758,79.129,1.481,0.675,0.867
17,4235,255,0,255,255,919.219,696.531,270.919,875,666,89,65,85.068,63.386,1.894,0.725,89.627,1079925,255,NaN,NaN,100,1079925,1,875,698,10.934,64.856,1.342,0.745,0.955
18,6122,255,0,255,255,384.706,728.549,336.073,331,685,114,87,117.051,66.593,152.825,0.681,122.577,1561110,255,NaN,NaN,100,1561110,1,331,701,154.898,68.450,1.758,0.569,0.945
19,5376,255,0,255,255,88.160,762.726,327.446,43,717,94,94,89.444,76.528,43.261,0.630,102.903,1370880,255,NaN,NaN,100,1370880,1,58,811,55.692,78.127,1.169,0.856,0.899
20,8623,255,0,255,255,121.481,828.371,474.926,51,772,128,116,115.978,94.666,18.970,0.480,146.291,2198865,255,NaN,NaN,100,2198865,1,54,855,31.300,108.853,1.225,0.816,0.833
21,3799,255,0,255,255,256.329,847.900,272.818,215,816,87,65,82.312,58.765,9.040,0.641,87.367,968745,255,NaN,NaN,100,968745,1,215,852,5.254,61.278,1.401,0.714,0.910
