 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2104,255,0,255,255,459.463,70.257,191.421,427,48,63,46,60.77,44.082,174.467,0.722,64.031,536520,255,,,100,536520,1,427,62,165.53,46.0,1.379,0.725,0.949
2,2328,255,0,255,255,131.986,457.896,203.723,103,429,55,59,57.456,51.589,74.865,0.705,62.682,593640,255,,,100,593640,1,116,483,56.056,53.519,1.114,0.898,0.917
3,2043,255,0,255,255,172.673,471.181,189.581,150,440,45,61,61.371,42.385,96.118,0.714,65.552,520965,255,,,100,520965,1,158,440,111.477,43.574,1.448,0.691,0.926
4,1621,255,0,255,255,1146.645,655.201,184.25,1118,629,62,54,65.97,31.286,140.635,0.6,71.868,413355,255,,,100,413355,1,1119,632,148.079,33.234,2.109,0.474,0.905
5,849,255,0,255,255,1172.207,687.39,119.782,1152,671,40,33,38.208,28.292,6.416,0.744,41.0,216495,255,,,100,216495,1,1152,683,167.32,28.144,1.35,0.74,0.916
6,9202,255,0,255,255,870.132,785.069,393.387,806,732,136,102,129.598,90.405,5.357,0.747,137.931,2346510,255,,,100,2346510,1,806,807,9.599,94.238,1.434,0.698,0.947
1,1763,255,0,255,255,1176.935,22.615,181.865,1144,4,64,36,63.045,35.605,0.724,0.67,64.63,449565,255,,,100,449565,1,1144,27,8.005,36.0,1.771,0.565,0.941
2,3162,255,0,255,255,771.196,50.653,283.747,734,5,72,80,72.97,55.173,40.354,0.494,85.796,806310,255,,,100,806310,1,752,85,68.819,62.498,1.323,0.756,0.814
3,3321,255,0,255,255,1187.259,202.291,251.605,1144,170,82,66,88.629,47.709,147.785,0.659,90.736,846855,255,,,100,846855,1,1147,179,148.062,49.814,1.858,0.538,0.931
4,26489,255,0,255,255,1127.769,504.452,740.205,1033,409,189,210,211.855,159.198,125.54,0.608,234.002,6754695,255,,,100,6754695,1,1051,410,118.317,172.2,1.331,0.751,0.913
1,21,255,0,255,255,7.786,17.214,20.142,5,13,5,8,7.88,3.393,61.295,0.65,8.544,5355,255,,,100,5355,1,6,21,69.444,4.287,2.322,0.431,0.778
2,4821,255,0,255,255,769.461,303.689,317.345,715,269,108,69,102.851,59.681,11.886,0.602,111.324,1229355,255,,,100,1229355,1,715,316,14.036,67.649,1.723,0.58,0.91
3,4518,255,0,255,255,855.377,318.828,303.647,816,279,86,86,97.451,59.029,45.684,0.616,105.475,1152090,255,,,100,1152090,1,827,360,47.69,66.377,1.651,0.606,0.918
4,4829,255,0,255,255,614.171,407.03,318.718,578,367,85,95,101.744,60.431,54.227,0.597,106.944,1231395,255,,,100,1231395,1,595,462,61.518,66.623,1.684,0.594,0.896
5,3495,255,0,255,255,926.927,468.313,242.392,897,430,65,77,72.671,61.235,80.867,0.748,78.262,891225,255,,,100,891225,1,913,430,100.305,63.458,1.187,0.843,0.945
1,2054,255,0,255,255,896.786,124.766,214.877,871,96,50,58,57.844,45.212,75.07,0.559,62.201,523770,255,,,100,523770,1,881,152,53.499,45.604,1.279,0.782,0.901
2,2621,255,0,255,255,116.968,218.199,221.22,86,184,65,63,65.831,50.693,131.712,0.673,69.462,668355,255,,,100,668355,1,86,206,157.126,53.305,1.299,0.77,0.916
3,5637,255,0,255,255,1013.294,234.421,316.274,975,184,85,106,101.648,70.609,113.84,0.708,107.689,1437435,255,,,100,1437435,1,999,184,100.162,73.519,1.44,0.695,0.932
4,2065,255,0,255,255,256.605,226.874,207.563,233,193,49,63,63.178,41.617,103.127,0.602,67.624,526575,255,,,100,526575,1,243,194,113.532,46.977,1.518,0.659,0.895
5,2268,255,0,255,255,835.746,243.103,206.936,811,213,46,64,64.241,44.951,95.119,0.666,66.129,578340,255,,,100,578340,1,825,215,110.353,46.0,1.429,0.7,0.939
6,2073,255,0,255,255,166.249,269.491,206.35,142,240,56,58,56.173,46.987,142.862,0.612,63.008,528615,255,,,100,528615,1,143,249,144.039,54.201,1.196,0.836,0.894
7,2462,255,0,255,255,925.797,286.408,227.706,896,258,64,58,65.778,47.656,37.734,0.597,74.33,627810,255,,,100,627810,1,897,306,33.476,51.808,1.38,0.725,0.886
8,1587,255,0,255,255,146.791,438.76,172.208,121,413,48,47,49.402,40.902,34.565,0.672,54.083,404685,255,,,100,404685,1,133,460,56.31,42.038,1.208,0.828,0.925
9,5965,255,0,255,255,81.996,589.271,342.801,29,544,111,84,111.912,67.865,155.239,0.638,117.652,1521075,255,,,100,1521075,1,29,567,160.641,71.172,1.649,0.606,0.919
10,1960,255,0,255,255,475.117,607.381,182.51,441,588,63,42,63.814,39.106,167.67,0.739,66.641,499800,255,,,100,499800,1,442,595,154.204,40.55,1.632,0.613,0.949
11,943,255,0,255,255,674.224,625.645,159.681,637,613,63,26,59.223,20.274,4.6,0.465,63.953,240465,255,,,100,240465,1,637,630,9.904,25.897,2.921,0.342,0.846
12,2064,255,0,255,255,932.04,650.413,199.664,901,623,68,51,61.081,43.024,19.937,0.651,68.359,526320,255,,,100,526320,1,901,662,5.877,48.66,1.42,0.704,0.893
13,2588,255,0,255,255,658.038,660.11,237.806,620,634,81,50,79.802,41.292,175.839,0.575,81.394,659940,255,,,100,659940,1,620,661,5.641,47.183,1.933,0.517,0.866
14,1346,255,0,255,255,1050.487,781.539,148.894,1029,760,45,48,42.513,40.311,98.603,0.763,48.662,343230,255,,,100,343230,1,1045,760,99.462,40.888,1.055,0.948,0.913
15,1081,255,0,255,255,611.543,828.444,136.853,596,803,32,47,45.274,30.401,101.49,0.725,48.083,275655,255,,,100,275655,1,606,803,106.928,32.0,1.489,0.671,0.929
16,34,255,0,255,255,340.206,815.882,22.971,336,813,8,7,6.666,6.495,62.155,0.81,8.062,8670,255,,,100,8670,1,336,814,150.255,7.0,1.026,0.974,0.81
1,1489,255,0,255,255,921.304,45.708,181.865,897,25,46,43,46.604,40.68,159.912,0.566,51.039,379695,255,,,100,379695,1,901,31,145.376,42.73,1.146,0.873,0.923
2,1778,255,0,255,255,435.605,166.796,188.593,415,134,42,63,61.617,36.74,68.066,0.628,68.942,453390,255,,,100,453390,1,424,197,66.038,40.249,1.677,0.596,0.929
3,5791,255,0,255,255,66.512,366.291,339.831,19,316,102,102,96.823,76.153,43.552,0.63,109.659,1476705,255,,,100,1476705,1,45,418,65.772,74.324,1.271,0.787,0.889
4,3313,255,0,255,255,953.087,363.498,237.907,924,321,58,86,87.633,48.135,65.275,0.736,88.074,844815,255,,,100,844815,1,944,407,77.542,50.402,1.821,0.549,0.95
5,637,255,0,255,255,912.497,376.385,100.912,899,361,24,32,33.322,24.34,96.279,0.786,34.132,162435,255,,,100,162435,1,904,363,121.827,24.0,1.369,0.73,0.96
6,1202,255,0,255,255,647.654,550.704,150.167,623,529,45,41,48.379,31.634,35.93,0.67,55.218,306510,255,,,100,306510,1,623,564,35.417,34.861,1.529,0.654,0.91
7,6694,255,0,255,255,934.673,708.715,356.032,876,668,118,85,111.126,76.698,6.346,0.664,118.423,1706970,255,,,100,1706970,1,876,714,175.156,84.195,1.449,0.69,0.912
8,2743,255,0,255,255,1052.582,831.79,229.463,1015,794,68,70,81.305,42.956,43.798,0.655,82.201,699465,255,,,100,699465,1,1027,862,53.409,46.3,1.893,0.528,0.922
