 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,7696,255,0,255,255,724.705,51.532,378.860,665,9,118,85,122.688,79.868,170.232,0.674,123.483,1962480,255,NaN,NaN,100,1962480,1,669,26,155.095,84.651,1.536,0.651,0.925
2,2849,255,0,255,255,876.096,55.385,216.836,839,24,74,58,68.297,53.113,170.338,0.761,74.813,726495,255,NaN,NaN,100,726495,1,839,53,171.545,56.553,1.286,0.778,0.944
3,2047,255,0,255,255,1113.405,59.255,181.037,1085,36,60,48,56.356,46.247,7.308,0.785,60.208,521985,255,NaN,NaN,100,521985,1,1085,59,175.236,48.000,1.219,0.821,0.940
4,923,255,0,255,255,1142.031,83.557,127.238,1121,64,42,38,41.254,28.487,28.303,0.716,42.579,235365,255,NaN,NaN,100,235365,1,1121,90,9.462,28.829,1.448,0.691,0.903
5,6639,255,0,255,255,863.530,124.530,334.818,820,74,90,101,97.709,86.513,89.963,0.744,105.688,1692945,255,NaN,NaN,100,1692945,1,845,74,110.493,86.215,1.129,0.885,0.941
6,5199,255,0,255,255,662.943,135.700,324.274,614,94,95,90,94.507,70.044,44.531,0.621,104.657,1325745,255,NaN,NaN,100,1325745,1,616,155,27.300,74.547,1.349,0.741,0.909
7,2006,255,0,255,255,986.368,142.835,183.380,966,115,49,61,58.722,43.495,76.298,0.750,61.400,511530,255,NaN,NaN,100,511530,1,980,115,96.546,45.718,1.350,0.741,0.949
8,3448,255,0,255,255,789.163,146.374,240.167,750,118,76,56,76.354,57.497,167.646,0.751,80.722,879240,255,NaN,NaN,100,879240,1,761,120,138.013,55.201,1.328,0.753,0.948
9,993,255,0,255,255,939.050,145.140,125.095,921,125,35,41,38.525,32.818,79.763,0.797,41.773,253215,255,NaN,NaN,100,253215,1,933,166,78.959,34.648,1.174,0.852,0.935
10,3633,255,0,255,255,1025.087,176.257,272.919,987,131,65,92,82.133,56.320,107.611,0.613,98.433,926415,255,NaN,NaN,100,926415,1,1015,131,110.829,64.190,1.458,0.686,0.902
11,2520,255,0,255,255,511.010,175.788,212.936,479,151,66,53,67.293,47.680,16.876,0.698,71.281,642600,255,NaN,NaN,100,642600,1,486,199,34.136,48.928,1.411,0.709,0.945
12,2842,255,0,255,255,785.814,198.037,218.451,750,174,73,56,69.869,51.791,25.949,0.748,77.078,724710,255,NaN,NaN,100,724710,1,750,205,22.906,55.796,1.349,0.741,0.940
13,1967,255,0,255,255,924.916,203.833,188.936,898,176,52,59,63.049,39.722,129.047,0.692,66.038,501585,255,NaN,NaN,100,501585,1,903,177,122.005,44.200,1.587,0.630,0.935
14,7465,255,0,255,255,635.078,298.237,367.446,578,250,117,101,122.488,77.597,35.860,0.695,127.534,1903575,255,NaN,NaN,100,1903575,1,579,338,24.555,87.034,1.579,0.634,0.931
15,14685,255,0,255,255,800.252,361.810,545.370,738,282,146,166,171.317,109.140,54.477,0.620,188.430,3744675,255,NaN,NaN,100,3744675,1,743,431,41.558,123.135,1.570,0.637,0.900
16,4279,255,0,255,255,716.406,390.009,282.392,684,336,58,105,98.993,55.036,93.097,0.674,105.929,1091145,255,NaN,NaN,100,1091145,1,717,336,97.595,57.100,1.799,0.556,0.938
17,1999,255,0,255,255,1169.721,420.944,188.208,1142,396,59,50,58.991,43.146,145.501,0.709,63.977,509745,255,NaN,NaN,100,509745,1,1143,409,155.037,45.795,1.367,0.731,0.927
18,2277,255,0,255,255,1102.463,438.035,204.250,1073,411,60,55,63.144,45.913,32.046,0.686,65.460,580635,255,NaN,NaN,100,580635,1,1085,466,55.582,47.295,1.375,0.727,0.934
19,4045,255,0,255,255,1003.155,481.478,294.635,977,423,51,112,106.358,48.424,87.151,0.586,112.040,1031475,255,NaN,NaN,100,1031475,1,1010,535,88.466,50.299,2.196,0.455,0.942
20,2583,255,0,255,255,899.177,475.901,222.208,862,451,75,47,74.556,44.112,0.843,0.657,77.201,658665,255,NaN,NaN,100,658665,1,863,471,163.443,46.317,1.690,0.592,0.933
21,2691,255,0,255,255,676.596,483.046,241.220,630,458,83,57,78.213,43.807,153.333,0.581,85.866,686205,255,NaN,NaN,100,686205,1,630,470,165.155,49.291,1.785,0.560,0.893
22,3117,255,0,255,255,1087.484,505.765,237.421,1058,474,70,64,66.854,59.364,12.404,0.695,73.573,794835,255,NaN,NaN,100,794835,1,1063,534,31.097,63.416,1.126,0.888,0.937
23,3595,255,0,255,255,924.404,534.359,251.806,893,494,62,85,82.457,55.511,83.710,0.712,87.321,916725,255,NaN,NaN,100,916725,1,918,579,76.759,60.045,1.485,0.673,0.917
24,4847,255,0,255,255,996.536,595.493,301.990,958,553,77,96,92.444,66.758,102.801,0.668,100.285,1235985,255,NaN,NaN,100,1235985,1,975,553,106.809,74.430,1.385,0.722,0.914
25,4722,255,0,255,255,681.249,750.315,282.919,645,704,71,101,92.116,65.268,92.652,0.741,101.710,1204110,255,NaN,NaN,100,1204110,1,677,704,96.776,69.065,1.411,0.709,0.937
26,4737,255,0,255,255,133.410,835.143,305.061,82,805,100,63,99.074,60.877,177.511,0.640,101.242,1207935,255,NaN,NaN,100,1207935,1,82,815,163.355,62.267,1.627,0.614,0.931
