 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,466,255,0,255,255,413.174,24.006,82.912,399,12,27,25,26.263,22.592,32.544,0.852,28.160,118830,255,NaN,NaN,100,118830,1,399,28,16.504,23.464,1.162,0.860,0.927
2,995,255,0,255,255,793.352,37.633,126.610,774,17,36,43,45.150,28.060,120.449,0.780,45.486,253725,255,NaN,NaN,100,253725,1,780,21,123.341,30.140,1.609,0.621,0.932
3,125,255,0,255,255,892.636,33.148,46.870,887,25,11,17,17.500,9.094,72.750,0.715,18.788,31875,255,NaN,NaN,100,31875,1,889,42,64.799,10.002,1.924,0.520,0.862
4,39,255,0,255,255,536.141,43.731,23.799,533,40,7,8,7.767,6.393,64.470,0.865,8.602,9945,255,NaN,NaN,100,9945,1,533,46,35.538,7.000,1.215,0.823,0.857
5,137,255,0,255,255,769.237,47.953,48.184,761,42,16,13,14.761,11.817,4.415,0.742,16.031,34935,255,NaN,NaN,100,34935,1,761,47,176.424,12.965,1.249,0.801,0.870
6,275,255,0,255,255,618.264,60.838,64.326,608,50,20,22,22.202,15.771,55.083,0.835,23.087,70125,255,NaN,NaN,100,70125,1,615,72,72.350,16.547,1.408,0.710,0.909
7,209,255,0,255,255,638.012,69.667,60.083,629,62,20,16,19.295,13.791,20.321,0.728,20.616,53295,255,NaN,NaN,100,53295,1,629,74,14.036,15.200,1.399,0.715,0.880
8,653,255,0,255,255,658.763,98.396,117.296,649,77,20,43,42.753,19.447,87.912,0.596,43.186,166515,255,NaN,NaN,100,166515,1,658,77,95.315,20.000,2.198,0.455,0.913
9,54,255,0,255,255,441.037,84.481,28.627,437,80,8,10,10.131,6.787,65.101,0.828,11.180,13770,255,NaN,NaN,100,13770,1,439,90,63.435,7.778,1.493,0.670,0.864
10,314,255,0,255,255,786.446,105.742,70.326,777,93,19,25,23.901,16.727,73.793,0.798,25.495,80070,255,NaN,NaN,100,80070,1,783,118,78.690,17.808,1.429,0.700,0.911
11,438,255,0,255,255,1053.639,104.737,82.326,1040,93,27,23,27.160,20.533,157.182,0.812,28.302,111690,255,NaN,NaN,100,111690,1,1043,95,147.995,21.961,1.323,0.756,0.911
12,148,255,0,255,255,585.682,108.473,45.113,579,102,14,14,14.582,12.923,24.958,0.914,16.125,37740,255,NaN,NaN,100,37740,1,579,112,29.745,13.435,1.128,0.886,0.928
13,1574,255,0,255,255,527.860,134.349,157.581,504,113,50,44,50.276,39.862,24.262,0.797,53.226,401370,255,NaN,NaN,100,401370,1,505,144,25.602,42.058,1.261,0.793,0.943
14,201,255,0,255,255,11.520,140.162,57.012,3,132,17,16,17.174,14.901,170.249,0.777,18.358,51255,255,NaN,NaN,100,51255,1,3,137,150.642,15.885,1.153,0.868,0.899
15,546,255,0,255,255,89.668,146.603,91.983,75,134,30,26,30.813,22.562,148.030,0.811,32.757,139230,255,NaN,NaN,100,139230,1,77,137,148.736,23.020,1.366,0.732,0.925
16,32,255,0,255,255,427.969,140.969,21.799,425,137,6,8,7.858,5.185,71.854,0.846,8.544,8160,255,NaN,NaN,100,8160,1,426,145,69.444,6.000,1.515,0.660,0.842
17,44,255,0,255,255,340.682,147.886,27.456,337,144,8,8,7.631,7.341,171.253,0.733,8.944,11220,255,NaN,NaN,100,11220,1,337,150,26.565,8.000,1.039,0.962,0.830
18,604,255,0,255,255,289.359,163.565,114.024,273,146,31,35,35.093,21.914,116.154,0.584,41.400,154020,255,NaN,NaN,100,154020,1,273,146,127.147,24.774,1.601,0.624,0.841
19,369,255,0,255,255,138.879,160.229,79.054,127,148,23,26,22.976,20.449,88.261,0.742,26.173,94095,255,NaN,NaN,100,94095,1,135,174,83.418,21.911,1.124,0.890,0.889
20,538,255,0,255,255,902.909,160.260,105.296,884,150,37,22,39.119,17.511,163.425,0.610,39.560,137190,255,NaN,NaN,100,137190,1,884,154,159.274,18.657,2.234,0.448,0.906
21,21,255,0,255,255,811.214,156.262,17.556,809,153,5,6,6.458,4.140,120.317,0.856,7.211,5355,255,NaN,NaN,100,5355,1,809,153,123.690,4.950,1.560,0.641,0.857
22,57,255,0,255,255,111.746,159.763,31.456,105,156,12,8,11.741,6.181,158.301,0.724,13.000,14535,255,NaN,NaN,100,14535,1,105,157,157.380,7.256,1.899,0.526,0.844
23,207,255,0,255,255,18.568,176.167,56.184,9,168,18,17,18.840,13.990,40.930,0.824,20.125,52785,255,NaN,NaN,100,52785,1,9,180,26.565,15.100,1.347,0.743,0.906
24,375,255,0,255,255,730.601,192.607,81.740,721,178,19,29,28.990,16.470,85.628,0.705,29.614,95625,255,NaN,NaN,100,95625,1,726,207,78.311,18.306,1.760,0.568,0.883
25,884,255,0,255,255,363.514,212.454,137.681,345,192,35,45,47.876,23.510,118.367,0.586,50.606,225420,255,NaN,NaN,100,225420,1,351,193,119.604,26.710,2.036,0.491,0.869
26,75,255,0,255,255,196.153,200.140,34.042,189,196,13,9,13.316,7.171,151.078,0.813,14.318,19125,255,NaN,NaN,100,19125,1,189,197,155.225,8.497,1.857,0.539,0.872
27,49,255,0,255,255,784.908,202.276,26.385,781,198,8,8,8.931,6.986,132.490,0.885,10.000,12495,255,NaN,NaN,100,12495,1,783,198,126.870,7.778,1.278,0.782,0.899
28,206,255,0,255,255,1157.733,209.029,54.770,1149,201,18,17,19.150,13.697,51.946,0.863,19.723,52530,255,NaN,NaN,100,52530,1,1149,214,30.466,14.849,1.398,0.715,0.912
29,161,255,0,255,255,1039.612,210.202,54.184,1031,203,17,14,19.323,10.609,24.087,0.689,20.809,41055,255,NaN,NaN,100,41055,1,1031,216,35.218,11.700,1.821,0.549,0.880
30,27,255,0,255,255,1017.315,217.981,19.314,1015,215,5,7,7.253,4.740,61.196,0.910,8.602,6885,255,NaN,NaN,100,6885,1,1015,222,54.462,5.000,1.530,0.654,0.915
31,606,255,0,255,255,502.238,245.035,100.811,485,232,31,27,32.019,24.097,161.579,0.749,34.886,154530,255,NaN,NaN,100,154530,1,485,241,152.700,25.344,1.329,0.753,0.934
32,610,255,0,255,255,602.585,248.375,118.368,581,234,43,24,40.701,19.082,6.575,0.547,43.932,155550,255,NaN,NaN,100,155550,1,581,255,11.821,24.000,2.133,0.469,0.810
33,86,255,0,255,255,25.953,246.326,35.213,20,241,11,11,11.715,9.347,114.568,0.872,12.806,21930,255,NaN,NaN,100,21930,1,22,242,128.660,10.324,1.253,0.798,0.891
34,63,255,0,255,255,1118.087,254.341,41.113,1114,246,8,16,14.665,5.470,102.478,0.468,16.031,16065,255,NaN,NaN,100,16065,1,1117,246,93.576,7.256,2.681,0.373,0.700
35,299,255,0,255,255,66.313,259.062,69.255,55,248,22,20,21.951,17.343,29.111,0.783,23.601,76245,255,NaN,NaN,100,76245,1,55,264,36.384,18.025,1.266,0.790,0.912
36,90,255,0,255,255,454.322,255.644,39.213,449,250,13,11,12.643,9.064,137.782,0.736,15.000,22950,255,NaN,NaN,100,22950,1,450,251,143.130,10.494,1.395,0.717,0.845
37,133,255,0,255,255,575.026,258.365,48.184,567,252,16,12,17.232,9.827,153.333,0.720,18.028,33915,255,NaN,NaN,100,33915,1,568,253,146.310,10.976,1.753,0.570,0.902
38,561,255,0,255,255,852.557,269.320,97.397,841,252,24,34,33.823,21.119,87.406,0.743,34.713,143055,255,NaN,NaN,100,143055,1,847,252,101.634,22.161,1.602,0.624,0.903
39,158,255,0,255,255,240.165,262.196,49.598,233,254,15,17,16.672,12.066,61.566,0.807,17.464,40290,255,NaN,NaN,100,40290,1,238,271,66.371,13.034,1.382,0.724,0.871
40,875,255,0,255,255,321.662,270.468,115.196,303,255,37,33,36.460,30.556,165.099,0.829,39.217,223125,255,NaN,NaN,100,223125,1,303,262,160.641,32.497,1.193,0.838,0.938
