 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,106,255,0,255,255,1141.434,9.387,43.355,1135,2,12,14,12.206,11.057,83.340,0.709,14.318,27030,255,NaN,NaN,100,27030,1,1141,16,77.905,12.000,1.104,0.906,0.845
2,217,255,0,255,255,1079.698,12.417,62.912,1069,3,20,17,18.830,14.673,166.497,0.689,21.190,55335,255,NaN,NaN,100,55335,1,1069,11,160.710,15.765,1.283,0.779,0.875
3,932,255,0,255,255,761.189,29.900,127.681,747,8,30,44,44.130,26.890,68.757,0.718,45.880,237660,255,NaN,NaN,100,237660,1,752,51,69.590,29.676,1.641,0.609,0.926
4,798,255,0,255,255,954.544,34.303,129.681,938,12,30,41,40.319,25.200,67.592,0.596,44.777,203490,255,NaN,NaN,100,203490,1,946,53,66.297,29.538,1.600,0.625,0.873
5,173,255,0,255,255,1191.425,22.292,59.598,1184,13,18,17,15.942,13.817,163.053,0.612,19.416,44115,255,NaN,NaN,100,44115,1,1186,14,145.491,16.248,1.154,0.867,0.814
6,463,255,0,255,255,412.198,27.720,89.882,399,15,26,25,24.523,24.039,124.925,0.720,27.313,118065,255,NaN,NaN,100,118065,1,405,40,66.251,23.900,1.020,0.980,0.906
7,342,255,0,255,255,1048.228,29.468,82.225,1039,17,21,23,23.697,18.375,129.261,0.636,26.401,87210,255,NaN,NaN,100,87210,1,1042,17,127.304,21.000,1.290,0.775,0.884
8,445,255,0,255,255,459.057,35.311,87.640,447,22,24,26,24.666,22.970,86.757,0.728,27.295,113475,255,NaN,NaN,100,113475,1,455,22,118.443,23.964,1.074,0.931,0.899
9,301,255,0,255,255,923.949,34.420,70.912,914,22,20,24,25.979,14.752,125.168,0.752,27.203,76755,255,NaN,NaN,100,76755,1,916,23,126.027,16.263,1.761,0.568,0.908
10,31,255,0,255,255,1084.081,29.694,23.556,1079,27,10,5,9.538,4.138,15.694,0.702,10.440,7905,255,NaN,NaN,100,7905,1,1079,32,16.699,4.851,2.305,0.434,0.827
11,461,255,0,255,255,124.079,43.196,81.740,112,30,25,26,26.755,21.938,137.837,0.867,27.857,117555,255,NaN,NaN,100,117555,1,118,30,111.038,21.920,1.220,0.820,0.937
12,1046,255,0,255,255,167.141,54.158,136.024,150,32,35,45,47.599,27.980,62.375,0.710,51.313,266730,255,NaN,NaN,100,266730,1,151,76,56.929,31.238,1.701,0.588,0.928
13,136,255,0,255,255,1216.287,44.375,46.770,1209,37,14,14,14.614,11.849,33.308,0.781,15.811,34680,255,NaN,NaN,100,34680,1,1209,48,34.695,12.965,1.233,0.811,0.880
14,209,255,0,255,255,667.844,46.529,60.426,660,38,17,17,16.881,15.764,1.498,0.719,19.416,53295,255,NaN,NaN,100,53295,1,661,52,34.509,16.670,1.071,0.934,0.876
15,243,255,0,255,255,470.586,59.529,68.326,463,49,17,21,20.981,14.746,107.940,0.654,23.324,61965,255,NaN,NaN,100,61965,1,464,49,120.964,16.688,1.423,0.703,0.877
