 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,314,255,0,255,255,871.965,14.080,69.497,862,2,19,24,23.557,16.971,105.190,0.817,25.298,80070,255,NaN,NaN,100,80070,1,869,2,108.435,18.350,1.388,0.720,0.917
2,113,255,0,255,255,188.208,12.562,48.770,181,4,14,16,16.963,8.482,51.090,0.597,18.028,28815,255,NaN,NaN,100,28815,1,182,19,56.310,10.494,2.000,0.500,0.790
3,14,255,0,255,255,51.929,8.571,14.728,49,6,5,5,5.631,3.166,135.677,0.811,6.403,3570,255,NaN,NaN,100,3570,1,49,7,141.340,3.536,1.779,0.562,0.800
4,486,255,0,255,255,769.243,22.650,89.497,757,11,26,25,26.482,23.366,49.190,0.762,30.480,123930,255,NaN,NaN,100,123930,1,759,34,41.009,25.000,1.133,0.882,0.918
5,430,255,0,255,255,511.505,25.579,86.326,502,12,21,30,30.812,17.769,76.223,0.725,31.048,109650,255,NaN,NaN,100,109650,1,508,42,75.069,19.722,1.734,0.577,0.903
6,339,255,0,255,255,938.836,25.547,75.882,926,13,25,25,28.228,15.291,43.341,0.740,28.018,86445,255,NaN,NaN,100,86445,1,927,32,34.824,15.556,1.846,0.542,0.902
7,381,255,0,255,255,34.521,28.421,83.154,24,14,21,25,25.293,19.180,70.460,0.692,28.653,97155,255,NaN,NaN,100,97155,1,24,39,60.751,21.000,1.319,0.758,0.910
8,696,255,0,255,255,847.299,29.602,103.196,830,15,33,32,30.408,29.143,178.669,0.821,33.541,177480,255,NaN,NaN,100,177480,1,830,26,169.695,28.991,1.043,0.958,0.933
9,239,255,0,255,255,737.437,25.697,61.598,729,16,16,20,19.446,15.649,99.474,0.792,20.616,60945,255,NaN,NaN,100,60945,1,735,16,104.036,16.000,1.243,0.805,0.905
10,995,255,0,255,255,800.797,33.891,134.409,783,16,39,40,38.552,32.861,49.945,0.692,42.202,253725,255,NaN,NaN,100,253725,1,788,49,36.327,35.139,1.173,0.852,0.915
11,442,255,0,255,255,178.683,34.007,90.468,165,20,25,30,26.897,20.923,76.489,0.679,31.048,112710,255,NaN,NaN,100,112710,1,179,50,75.069,23.577,1.286,0.778,0.868
12,21,255,0,255,255,699.548,22.119,16.485,697,20,5,5,5.568,4.802,167.268,0.971,6.403,5355,255,NaN,NaN,100,5355,1,697,20,128.660,5.000,1.159,0.862,0.913
13,312,255,0,255,255,100.260,31.929,68.912,90,21,21,21,20.012,19.851,179.904,0.826,21.840,79560,255,NaN,NaN,100,79560,1,97,42,74.055,20.400,1.008,0.992,0.914
14,240,255,0,255,255,996.242,33.521,61.012,988,23,17,20,20.199,15.129,109.710,0.810,21.095,61200,255,NaN,NaN,100,61200,1,992,24,121.430,16.440,1.335,0.749,0.911
15,314,255,0,255,255,1109.691,35.099,72.912,1097,23,24,21,22.292,17.934,161.666,0.742,24.739,80070,255,NaN,NaN,100,80070,1,1097,37,165.964,20.506,1.243,0.804,0.896
16,378,255,0,255,255,592.802,38.241,84.811,582,24,21,29,31.060,15.495,59.306,0.660,32.757,96390,255,NaN,NaN,100,96390,1,585,52,58.736,16.664,2.005,0.499,0.901
17,584,255,0,255,255,690.490,43.007,98.125,675,28,29,28,30.715,24.209,33.744,0.762,32.202,148920,255,NaN,NaN,100,148920,1,677,52,36.158,25.044,1.269,0.788,0.932
18,489,255,0,255,255,311.340,42.116,95.296,298,31,27,23,27.107,22.969,3.746,0.677,29.069,124695,255,NaN,NaN,100,124695,1,301,52,40.815,23.000,1.180,0.847,0.913
19,224,255,0,255,255,982.353,41.674,63.497,975,31,15,22,21.499,13.266,78.732,0.698,22.561,57120,255,NaN,NaN,100,57120,1,982,53,77.196,14.687,1.621,0.617,0.887
20,115,255,0,255,255,342.143,38.622,40.870,335,33,14,11,14.547,10.065,154.464,0.865,15.264,29325,255,NaN,NaN,100,29325,1,336,35,148.392,11.000,1.445,0.692,0.902
21,774,255,0,255,255,1077.713,53.764,114.853,1063,34,30,39,37.520,26.265,107.863,0.737,40.804,197370,255,NaN,NaN,100,197370,1,1073,34,107.103,27.727,1.429,0.700,0.913
22,434,255,0,255,255,149.705,46.200,86.811,135,36,28,22,27.196,20.318,164.704,0.724,29.732,110670,255,NaN,NaN,100,110670,1,135,40,160.346,21.786,1.339,0.747,0.895
