 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1788,255,0,255,255,125.308,38.372,174.551,97,17,56,42,56.626,40.203,166.127,0.737,57.140,455940,255,NaN,NaN,100,455940,1,101,24,147.144,41.527,1.408,0.710,0.942
2,76,255,0,255,255,645.000,29.408,32.042,639,25,12,9,10.853,8.916,158.774,0.930,12.042,19380,255,NaN,NaN,100,19380,1,639,29,175.236,9.000,1.217,0.822,0.894
3,53,255,0,255,255,841.406,45.538,27.799,837,41,8,9,8.781,7.685,93.885,0.862,9.849,13515,255,NaN,NaN,100,13515,1,840,41,113.962,8.000,1.143,0.875,0.883
4,519,255,0,255,255,664.111,85.117,91.154,652,70,23,31,29.385,22.488,88.167,0.785,32.016,132345,255,NaN,NaN,100,132345,1,660,101,75.530,23.000,1.307,0.765,0.935
5,137,255,0,255,255,8.252,107.515,45.355,1,101,15,13,14.196,12.287,169.607,0.837,15.524,34935,255,NaN,NaN,100,34935,1,1,106,165.069,13.000,1.155,0.866,0.895
6,266,255,0,255,255,1166.835,132.853,68.912,1155,124,25,18,26.026,13.013,26.682,0.704,27.731,67830,255,NaN,NaN,100,67830,1,1155,138,25.641,14.299,2.000,0.500,0.897
7,207,255,0,255,255,392.012,136.490,55.012,383,129,19,15,18.421,14.308,156.782,0.860,19.925,52785,255,NaN,NaN,100,52785,1,383,133,162.474,14.849,1.287,0.777,0.930
8,471,255,0,255,255,880.037,159.152,90.225,866,148,31,21,30.059,19.951,168.337,0.727,32.016,120105,255,NaN,NaN,100,120105,1,866,156,165.530,21.000,1.507,0.664,0.921
9,199,255,0,255,255,1184.646,164.033,58.184,1174,157,20,14,19.673,12.879,6.830,0.739,20.616,50745,255,NaN,NaN,100,50745,1,1174,167,22.834,14.000,1.528,0.655,0.905
10,119,255,0,255,255,253.223,174.987,48.426,248,167,11,15,14.594,10.382,113.542,0.638,17.000,30345,255,NaN,NaN,100,30345,1,250,167,118.072,11.000,1.406,0.711,0.875
11,807,255,0,255,255,574.473,252.541,113.882,559,234,30,36,37.046,27.736,82.072,0.782,37.696,205785,255,NaN,NaN,100,205785,1,567,234,111.801,29.377,1.336,0.749,0.921
12,125,255,0,255,255,881.316,243.948,45.941,875,236,12,15,14.291,11.137,87.119,0.744,15.264,31875,255,NaN,NaN,100,31875,1,877,250,58.392,12.000,1.283,0.779,0.865
13,545,255,0,255,255,1195.080,277.137,97.196,1181,261,26,31,29.988,23.140,58.014,0.725,33.242,138975,255,NaN,NaN,100,138975,1,1189,292,68.839,24.415,1.296,0.772,0.925
14,487,255,0,255,255,298.169,310.868,97.882,285,299,30,26,30.360,20.424,34.672,0.639,34.482,124185,255,NaN,NaN,100,124185,1,285,320,29.539,22.627,1.486,0.673,0.863
15,548,255,0,255,255,855.863,312.192,89.983,843,299,26,27,27.264,25.592,51.485,0.850,29.069,139740,255,NaN,NaN,100,139740,1,850,325,63.435,26.000,1.065,0.939,0.953
16,330,255,0,255,255,1030.655,321.533,74.669,1020,309,21,23,22.489,18.684,64.972,0.744,24.352,84150,255,NaN,NaN,100,84150,1,1023,332,70.821,19.208,1.204,0.831,0.905
17,73,255,0,255,255,437.212,331.719,32.627,433,326,10,11,9.819,9.466,102.045,0.862,11.180,18615,255,NaN,NaN,100,18615,1,435,326,100.305,10.000,1.037,0.964,0.880
18,503,255,0,255,255,256.188,355.246,87.012,243,343,25,25,26.103,24.535,148.217,0.835,29.206,128265,255,NaN,NaN,100,128265,1,243,347,141.953,25.000,1.064,0.940,0.942
19,266,255,0,255,255,149.883,373.312,62.284,141,364,17,19,20.383,16.616,125.219,0.862,22.804,67830,255,NaN,NaN,100,67830,1,143,365,127.875,17.000,1.227,0.815,0.937
20,833,255,0,255,255,341.375,383.059,119.095,323,365,37,36,43.144,24.583,45.853,0.738,43.829,212415,255,NaN,NaN,100,212415,1,323,396,34.778,26.163,1.755,0.570,0.920
21,389,255,0,255,255,838.567,381.099,77.255,827,371,25,21,24.622,20.116,179.532,0.819,26.401,99195,255,NaN,NaN,100,99195,1,828,387,24.624,20.789,1.224,0.817,0.924
22,72,255,0,255,255,1010.917,388.569,39.113,1005,384,12,9,12.240,7.490,22.926,0.591,13.892,18360,255,NaN,NaN,100,18360,1,1005,392,30.256,8.433,1.634,0.612,0.823
23,623,255,0,255,255,507.381,420.397,103.196,493,403,26,33,32.087,24.721,94.547,0.735,34.482,158865,255,NaN,NaN,100,158865,1,506,403,106.858,26.000,1.298,0.770,0.929
24,509,255,0,255,255,383.160,420.871,88.569,370,407,26,28,27.242,23.790,60.422,0.815,29.682,129795,255,NaN,NaN,100,129795,1,378,435,57.381,24.850,1.145,0.873,0.915
25,139,255,0,255,255,1112.342,436.032,46.527,1105,430,15,12,14.651,12.079,162.625,0.807,16.155,35445,255,NaN,NaN,100,35445,1,1105,433,158.199,12.000,1.213,0.824,0.917
26,594,255,0,255,255,618.704,451.545,98.711,605,436,31,30,29.447,25.683,176.458,0.766,32.016,151470,255,NaN,NaN,100,151470,1,605,445,165.530,27.611,1.147,0.872,0.913
27,83,255,0,255,255,300.006,461.958,35.456,295,456,10,12,13.051,8.098,56.903,0.830,13.892,21165,255,NaN,NaN,100,21165,1,297,468,59.744,9.089,1.612,0.620,0.883
28,108,255,0,255,255,653.537,476.176,42.284,647,470,12,13,12.699,10.828,52.896,0.759,14.422,27540,255,NaN,NaN,100,27540,1,647,478,33.690,12.000,1.173,0.853,0.882
29,831,255,0,255,255,605.472,492.954,123.924,589,472,31,41,39.209,26.985,94.948,0.680,41.437,211905,255,NaN,NaN,100,211905,1,605,472,98.326,29.833,1.453,0.688,0.898
30,104,255,0,255,255,401.837,481.481,43.941,397,475,11,14,13.123,10.090,74.390,0.677,15.264,26520,255,NaN,NaN,100,26520,1,398,489,58.392,11.000,1.301,0.769,0.842
31,151,255,0,255,255,27.864,485.533,49.113,19,480,17,12,16.527,11.633,168.328,0.787,17.720,38505,255,NaN,NaN,100,38505,1,19,483,163.610,12.000,1.421,0.704,0.901
32,477,255,0,255,255,122.875,513.177,91.296,109,502,28,24,27.725,21.906,20.630,0.719,29.547,121635,255,NaN,NaN,100,121635,1,109,518,23.962,23.743,1.266,0.790,0.902
33,629,255,0,255,255,1135.077,542.697,100.912,1118,530,34,25,35.145,22.788,17.931,0.776,36.056,160395,255,NaN,NaN,100,160395,1,1121,553,33.690,23.717,1.542,0.648,0.927
34,405,255,0,255,255,248.774,560.769,82.083,238,547,24,27,25.420,20.286,131.182,0.755,27.295,103275,255,NaN,NaN,100,103275,1,244,547,98.427,22.311,1.253,0.798,0.875
35,391,255,0,255,255,312.815,561.393,83.296,298,550,29,23,25.160,19.787,173.147,0.708,29.069,99705,255,NaN,NaN,100,99705,1,298,562,176.055,21.961,1.272,0.786,0.850
36,740,255,0,255,255,373.172,566.442,108.953,356,550,34,32,35.168,26.791,144.850,0.783,35.847,188700,255,NaN,NaN,100,188700,1,357,559,149.859,28.148,1.313,0.762,0.914
37,197,255,0,255,255,1071.338,566.424,56.527,1063,558,18,16,16.547,15.159,176.412,0.775,19.698,50235,255,NaN,NaN,100,50235,1,1063,564,156.038,15.662,1.092,0.916,0.906
38,67,255,0,255,255,344.097,565.037,30.627,339,560,10,10,10.392,8.209,112.324,0.898,11.180,17085,255,NaN,NaN,100,17085,1,342,560,116.565,9.192,1.266,0.790,0.870
39,56,255,0,255,255,401.982,564.161,26.971,397,560,9,8,8.672,8.222,152.326,0.967,9.849,14280,255,NaN,NaN,100,14280,1,397,563,156.038,8.000,1.055,0.948,0.918
40,679,255,0,255,255,54.233,582.965,105.782,39,566,31,34,31.760,27.221,72.835,0.763,34.132,173145,255,NaN,NaN,100,173145,1,53,566,95.042,26.879,1.167,0.857,0.915
41,237,255,0,255,255,1076.534,581.390,58.527,1067,573,19,17,17.988,16.776,143.274,0.869,19.849,60435,255,NaN,NaN,100,60435,1,1069,574,130.914,17.000,1.072,0.933,0.912
42,122,255,0,255,255,396.754,619.098,44.870,391,610,11,17,15.812,9.824,96.304,0.761,17.464,31110,255,NaN,NaN,100,31110,1,397,610,103.241,10.491,1.610,0.621,0.884
43,79,255,0,255,255,716.842,629.424,35.456,711,624,11,10,12.048,8.349,46.467,0.790,13.601,20145,255,NaN,NaN,100,20145,1,711,634,36.027,9.153,1.443,0.693,0.898
44,215,255,0,255,255,1208.444,638.700,58.184,1199,631,19,16,17.779,15.397,13.206,0.798,19.416,54825,255,NaN,NaN,100,54825,1,1199,635,168.111,16.000,1.155,0.866,0.888
45,210,255,0,255,255,717.019,643.262,63.598,708,635,20,16,19.045,14.039,14.034,0.652,21.190,53550,255,NaN,NaN,100,53550,1,708,649,19.290,15.962,1.357,0.737,0.842
46,342,255,0,255,255,301.491,661.901,73.255,290,652,24,20,23.603,18.449,6.282,0.801,25.080,87210,255,NaN,NaN,100,87210,1,290,667,23.499,19.092,1.279,0.782,0.899
47,892,255,0,255,255,529.907,672.101,122.752,511,654,36,35,36.228,31.350,150.584,0.744,38.079,227460,255,NaN,NaN,100,227460,1,512,665,150.068,33.094,1.156,0.865,0.929
48,386,255,0,255,255,308.775,687.202,77.154,298,675,21,25,24.307,20.220,95.607,0.815,25.318,98430,255,NaN,NaN,100,98430,1,308,675,99.090,20.984,1.202,0.832,0.928
49,278,255,0,255,255,1173.201,690.514,70.912,1164,679,18,23,23.581,15.011,65.253,0.695,25.942,70890,255,NaN,NaN,100,70890,1,1167,702,62.447,16.547,1.571,0.637,0.894
50,426,255,0,255,255,767.521,690.045,84.225,754,680,29,21,28.379,19.112,8.254,0.755,29.411,108630,255,NaN,NaN,100,108630,1,755,696,17.819,20.788,1.485,0.673,0.911
51,63,255,0,255,255,825.452,690.706,30.627,821,686,10,9,9.728,8.246,161.808,0.844,10.630,16065,255,NaN,NaN,100,16065,1,823,686,131.186,9.000,1.180,0.848,0.863
52,344,255,0,255,255,745.186,706.558,79.154,737,692,17,28,27.317,16.034,99.428,0.690,28.443,87720,255,NaN,NaN,100,87720,1,741,692,100.125,16.930,1.704,0.587,0.885
53,53,255,0,255,255,341.858,743.651,27.213,337,739,9,9,9.574,7.049,55.223,0.899,10.296,13515,255,NaN,NaN,100,13515,1,339,748,60.945,7.778,1.358,0.736,0.862
54,870,255,0,255,255,945.645,762.928,141.823,928,746,39,37,43.348,25.554,40.625,0.544,46.615,221850,255,NaN,NaN,100,221850,1,928,777,35.395,28.355,1.696,0.590,0.835
55,209,255,0,255,255,1147.758,786.577,55.012,1140,777,17,19,17.484,15.220,87.559,0.868,19.416,53295,255,NaN,NaN,100,53295,1,1145,796,78.111,16.263,1.149,0.870,0.909
56,260,255,0,255,255,1202.369,790.946,63.841,1192,782,20,18,19.752,16.760,12.755,0.802,21.471,66300,255,NaN,NaN,100,66300,1,1193,796,27.759,17.889,1.179,0.849,0.911
57,1133,255,0,255,255,945.289,809.764,144.752,928,787,36,43,44.231,32.614,117.107,0.679,48.549,288915,255,NaN,NaN,100,288915,1,932,787,122.381,33.836,1.356,0.737,0.932
58,1168,255,0,255,255,462.503,816.896,156.894,442,790,39,53,57.035,26.074,56.137,0.596,60.000,297840,255,NaN,NaN,100,297840,1,445,840,53.130,30.185,2.187,0.457,0.886
59,456,255,0,255,255,269.603,826.539,82.569,257,814,25,25,24.848,23.366,150.910,0.841,26.401,116280,255,NaN,NaN,100,116280,1,258,831,24.624,24.684,1.063,0.940,0.922
60,363,255,0,255,255,713.985,825.561,81.397,701,816,27,18,26.095,17.712,179.166,0.688,27.295,92565,255,NaN,NaN,100,92565,1,701,823,171.573,18.000,1.473,0.679,0.900
61,68,255,0,255,255,499.529,828.250,31.799,495,823,9,10,10.821,8.001,46.834,0.845,12.207,17340,255,NaN,NaN,100,17340,1,496,833,55.008,8.944,1.352,0.739,0.895
62,53,255,0,255,255,1003.217,829.236,28.385,999,825,9,8,8.982,7.513,167.989,0.827,10.296,13515,255,NaN,NaN,100,13515,1,999,827,150.945,8.000,1.195,0.837,0.869
63,374,255,0,255,255,985.818,845.730,75.154,974,834,25,23,23.832,19.981,28.367,0.832,25.495,95370,255,NaN,NaN,100,95370,1,974,850,11.310,21.466,1.193,0.838,0.908
64,165,255,0,255,255,966.973,854.312,50.770,960,846,14,16,16.298,12.891,70.484,0.804,17.205,42075,255,NaN,NaN,100,42075,1,963,862,54.462,13.532,1.264,0.791,0.899
65,694,255,0,255,255,29.484,865.929,112.510,13,850,36,34,35.252,25.066,42.312,0.689,38.275,176970,255,NaN,NaN,100,176970,1,13,874,19.855,26.163,1.406,0.711,0.886
66,925,255,0,255,255,1003.782,870.181,121.338,987,851,34,38,37.263,31.606,114.171,0.790,40.249,235875,255,NaN,NaN,100,235875,1,994,852,116.565,31.820,1.179,0.848,0.944
67,102,255,0,255,255,910.765,865.098,38.870,904,860,13,11,12.416,10.460,161.354,0.848,13.416,26010,255,NaN,NaN,100,26010,1,904,863,153.435,11.000,1.187,0.842,0.883
68,779,255,0,255,255,809.671,877.992,118.368,795,861,29,36,38.655,25.659,65.169,0.699,39.825,198645,255,NaN,NaN,100,198645,1,796,892,51.116,27.067,1.506,0.664,0.923
69,1290,255,0,255,255,428.803,889.215,143.439,407,869,45,40,45.983,35.719,34.248,0.788,49.649,328950,255,NaN,NaN,100,328950,1,408,903,27.597,38.243,1.287,0.777,0.939
70,590,255,0,255,255,40.269,893.183,96.711,25,878,30,30,34.031,22.074,46.940,0.793,34.482,150450,255,NaN,NaN,100,150450,1,31,908,60.461,22.600,1.542,0.649,0.935
71,55,255,0,255,255,863.900,914.809,28.385,860,910,7,10,10.290,6.806,90.599,0.858,10.770,14025,255,NaN,NaN,100,14025,1,862,910,111.801,7.000,1.512,0.661,0.902
