 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,335,255,0,255,255,827.103,22.234,71.740,815,13,24,19,22.901,18.625,169.873,0.818,24.739,85425,255,NaN,NaN,100,85425,1,815,19,165.964,19.000,1.230,0.813,0.928
2,450,255,0,255,255,315.709,32.564,88.912,304,20,25,24,28.090,20.397,139.501,0.715,31.241,114750,255,NaN,NaN,100,114750,1,304,22,140.194,22.452,1.377,0.726,0.911
3,417,255,0,255,255,729.490,49.908,82.326,718,36,24,27,28.440,18.669,52.671,0.773,30.610,106335,255,NaN,NaN,100,106335,1,718,59,38.367,19.230,1.523,0.656,0.912
4,10,255,0,255,255,11.300,48.700,13.899,9,46,4,5,5.875,2.167,64.903,0.650,6.403,2550,255,NaN,NaN,100,2550,1,9,51,51.340,3.130,2.711,0.369,0.690
5,522,255,0,255,255,295.148,62.312,97.882,279,50,34,24,32.407,20.509,178.275,0.685,35.171,133110,255,NaN,NaN,100,133110,1,279,57,165.174,22.299,1.580,0.633,0.880
6,245,255,0,255,255,778.504,64.651,68.669,770,53,19,21,23.861,13.073,127.099,0.653,26.249,62475,255,NaN,NaN,100,62475,1,771,53,130.365,15.600,1.825,0.548,0.875
7,49,255,0,255,255,509.908,61.990,25.799,506,58,9,8,8.981,6.947,36.031,0.925,9.849,12495,255,NaN,NaN,100,12495,1,506,65,23.962,7.603,1.293,0.774,0.883
8,105,255,0,255,255,1166.748,84.214,44.527,1159,77,15,14,19.429,6.881,138.869,0.666,20.518,26775,255,NaN,NaN,100,26775,1,1159,77,136.975,7.778,2.824,0.354,0.868
9,218,255,0,255,255,638.720,99.661,60.669,627,91,21,17,18.269,15.193,173.139,0.744,21.378,55590,255,NaN,NaN,100,55590,1,627,99,169.216,16.829,1.202,0.832,0.870
10,415,255,0,255,255,643.852,117.967,88.811,631,105,26,25,28.652,18.442,45.122,0.661,30.610,105825,255,NaN,NaN,100,105825,1,634,129,51.633,21.200,1.554,0.644,0.865
11,459,255,0,255,255,465.563,135.308,86.083,455,122,22,26,26.699,21.889,86.088,0.778,27.803,117045,255,NaN,NaN,100,117045,1,455,144,37.694,22.000,1.220,0.820,0.913
12,744,255,0,255,255,843.415,172.582,111.196,826,158,37,30,36.801,25.741,25.111,0.756,37.590,189720,255,NaN,NaN,100,189720,1,828,183,28.610,26.386,1.430,0.699,0.925
13,841,255,0,255,255,227.690,198.568,120.853,206,180,39,34,38.183,28.044,26.169,0.724,40.804,214455,255,NaN,NaN,100,214455,1,206,205,17.103,29.698,1.362,0.734,0.890
14,377,255,0,255,255,563.577,191.402,85.882,549,182,26,21,26.593,18.050,155.680,0.642,28.636,96135,255,NaN,NaN,100,96135,1,549,186,155.225,20.325,1.473,0.679,0.894
15,575,255,0,255,255,885.307,223.815,104.610,874,206,23,35,32.394,22.600,100.646,0.660,35.903,146625,255,NaN,NaN,100,146625,1,881,206,102.875,23.000,1.433,0.698,0.924
16,316,255,0,255,255,864.956,222.326,75.497,853,211,20,25,23.106,17.413,111.564,0.697,25.318,80580,255,NaN,NaN,100,80580,1,864,211,99.090,19.230,1.327,0.754,0.884
17,82,255,0,255,255,688.902,251.549,37.698,683,246,11,12,12.467,8.374,55.667,0.725,13.601,20910,255,NaN,NaN,100,20910,1,683,254,36.027,9.391,1.489,0.672,0.854
18,102,255,0,255,255,624.667,257.755,40.527,619,251,12,14,15.634,8.307,124.682,0.780,16.643,26010,255,NaN,NaN,100,26010,1,620,251,122.735,9.192,1.882,0.531,0.872
19,804,255,0,255,255,1032.688,271.933,115.095,1012,256,39,32,37.071,27.614,173.591,0.763,40.025,205020,255,NaN,NaN,100,205020,1,1012,268,167.005,30.509,1.342,0.745,0.921
20,1004,255,0,255,255,734.553,281.180,138.995,712,261,43,37,45.127,28.328,25.401,0.653,44.688,256020,255,NaN,NaN,100,256020,1,718,295,49.538,29.516,1.593,0.628,0.887
21,368,255,0,255,255,584.908,282.734,82.953,575,268,20,28,25.175,18.611,88.443,0.672,28.160,93840,255,NaN,NaN,100,93840,1,583,268,96.116,20.000,1.353,0.739,0.878
22,459,255,0,255,255,1076.164,294.435,88.811,1065,280,22,29,28.172,20.744,75.043,0.731,30.083,117045,255,NaN,NaN,100,117045,1,1069,308,68.552,21.072,1.358,0.736,0.904
23,1443,255,0,255,255,1128.611,319.833,163.380,1103,299,48,42,46.853,39.214,1.160,0.679,49.244,367965,255,NaN,NaN,100,367965,1,1103,313,156.038,40.995,1.195,0.837,0.914
24,1089,255,0,255,255,892.596,323.326,142.309,871,306,42,37,42.979,32.262,154.881,0.676,44.272,277695,255,NaN,NaN,100,277695,1,871,316,161.565,34.758,1.332,0.751,0.913
25,415,255,0,255,255,1158.835,331.293,81.983,1147,319,26,26,28.166,18.760,49.393,0.776,29.682,105825,255,NaN,NaN,100,105825,1,1148,341,32.619,19.799,1.501,0.666,0.892
26,552,255,0,255,255,1026.596,333.469,101.782,1011,321,31,25,32.796,21.430,151.125,0.670,35.511,140760,255,NaN,NaN,100,140760,1,1011,323,147.653,23.241,1.530,0.653,0.915
27,535,255,0,255,255,857.390,336.700,97.539,841,324,31,25,31.632,21.534,147.936,0.707,33.615,136425,255,NaN,NaN,100,136425,1,842,331,149.621,23.944,1.469,0.681,0.911
