 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,203,255,0,255,255,1086.15,20.283,60.669,1077,11,16,19,17.389,14.864,89.397,0.693,19.416,51765,255,,,100,51765,1,1086,11,101.889,16.0,1.17,0.855,0.888
2,2630,255,0,255,255,562.381,52.223,214.392,533,19,61,63,60.772,55.101,124.861,0.719,66.648,670650,255,,,100,670650,1,535,36,152.281,57.194,1.103,0.907,0.932
3,369,255,0,255,255,890.944,29.85,78.083,879,20,26,19,25.088,18.727,2.94,0.761,26.926,94095,255,,,100,94095,1,879,34,15.068,19.0,1.34,0.746,0.917
4,68,255,0,255,255,24.397,36.956,41.941,19,29,10,13,10.383,8.338,114.515,0.486,14.318,17340,255,,,100,17340,1,22,29,114.775,9.192,1.245,0.803,0.727
5,13,255,0,255,255,505.577,53.5,13.899,503,52,5,3,5.397,3.067,170.239,0.846,5.831,3315,255,,,100,3315,1,503,52,149.036,3.0,1.759,0.568,0.897
6,651,255,0,255,255,538.191,100.915,104.711,522,86,32,31,32.937,25.166,35.657,0.746,35.341,166005,255,,,100,166005,1,522,105,25.115,27.4,1.309,0.764,0.899
7,469,255,0,255,255,840.361,106.875,91.74,827,95,26,24,25.257,23.643,154.934,0.7,29.411,119595,255,,,100,119595,1,827,99,144.689,23.63,1.068,0.936,0.906
8,892,255,0,255,255,938.287,154.269,125.095,920,134,39,38,35.699,31.814,19.311,0.716,40.853,227460,255,,,100,227460,1,927,172,68.459,32.527,1.122,0.891,0.888
9,521,255,0,255,255,384.012,159.6,103.439,367,146,32,27,30.452,21.784,24.585,0.612,32.757,132855,255,,,100,132855,1,367,161,167.661,24.567,1.398,0.715,0.845
10,468,255,0,255,255,978.043,206.688,88.711,966,192,23,29,27.34,21.795,86.918,0.747,29.614,119340,255,,,100,119340,1,974,221,78.311,23.0,1.254,0.797,0.91
11,108,255,0,255,255,816.093,211.88,52.184,811,203,10,19,18.285,7.521,100.321,0.498,19.647,27540,255,,,100,27540,1,814,203,104.744,9.192,2.431,0.411,0.783
12,181,255,0,255,255,1201.633,235.82,53.355,1194,228,16,16,15.454,14.913,149.492,0.799,17.493,46155,255,,,100,46155,1,1197,229,120.964,15.765,1.036,0.965,0.892
13,312,255,0,255,255,472.192,249.151,70.326,461,237,22,23,22.703,17.498,120.522,0.793,24.042,79560,255,,,100,79560,1,469,237,106.928,19.092,1.297,0.771,0.883
14,72,255,0,255,255,772.292,245.097,59.012,762,241,21,9,17.329,5.29,174.034,0.26,21.378,18360,255,,,100,18360,1,762,246,169.216,9.0,3.276,0.305,0.466
15,192,255,0,255,255,980.833,311.49,56.184,972,303,17,16,18.635,13.118,38.743,0.764,20.809,48960,255,,,100,48960,1,972,317,35.218,14.142,1.421,0.704,0.91
16,690,255,0,255,255,981.328,366.394,108.953,965,349,32,33,33.162,26.492,38.894,0.73,36.235,175950,255,,,100,175950,1,972,381,62.021,27.091,1.252,0.799,0.903
17,570,255,0,255,255,950.165,366.261,109.439,934,352,34,29,34.228,21.203,35.628,0.598,36.892,145350,255,,,100,145350,1,937,376,32.829,24.15,1.614,0.619,0.863
18,457,255,0,255,255,879.1,392.097,93.882,865,378,26,29,33.212,17.52,129.499,0.652,34.059,116535,255,,,100,116535,1,869,380,130.236,18.385,1.896,0.528,0.913
19,463,255,0,255,255,965.023,397.82,92.368,954,384,23,28,27.974,21.074,98.522,0.682,28.862,118065,255,,,100,118065,1,961,384,104.036,22.161,1.327,0.753,0.915
20,809,255,0,255,255,903.589,405.595,136.066,885,386,35,41,43.825,23.504,56.978,0.549,47.802,206295,255,,,100,206295,1,887,426,52.651,26.789,1.865,0.536,0.861
21,805,255,0,255,255,940.177,484.731,133.581,923,466,36,38,36.962,27.73,120.444,0.567,43.267,205275,255,,,100,205275,1,924,467,123.69,33.16,1.333,0.75,0.852
22,26,255,0,255,255,9.0,539.5,20.142,6,536,6,7,7.263,4.558,145.394,0.805,8.062,6630,255,,,100,6630,1,7,536,119.745,5.367,1.593,0.628,0.788
23,62,255,0,255,255,20.0,544.5,39.456,13,539,14,11,17.051,4.63,152.514,0.5,16.643,15810,255,,,100,15810,1,13,540,147.265,5.367,3.683,0.272,0.765
24,38,255,0,255,255,33.553,550.763,34.042,28,547,13,8,14.625,3.308,155.96,0.412,15.264,9690,255,,,100,9690,1,28,547,148.392,4.743,4.421,0.226,0.731
25,443,255,0,255,255,1198.534,572.563,85.983,1186,561,27,25,26.19,21.537,21.291,0.753,27.803,112965,255,,,100,112965,1,1191,586,52.306,22.235,1.216,0.822,0.901
26,391,255,0,255,255,131.896,591.582,81.841,122,576,19,30,31.536,15.786,72.879,0.734,32.311,99705,255,,,100,99705,1,126,606,68.199,17.262,1.998,0.501,0.905
27,992,255,0,255,255,1069.161,639.455,137.338,1053,616,33,47,47.082,26.827,65.714,0.661,49.649,252960,255,,,100,252960,1,1058,663,71.2,28.777,1.755,0.57,0.908
28,431,255,0,255,255,949.222,720.263,91.054,937,706,24,29,27.162,20.204,111.981,0.653,31.016,109905,255,,,100,109905,1,945,706,110.772,22.808,1.344,0.744,0.872
29,844,255,0,255,255,330.692,759.93,140.794,312,740,35,39,34.249,31.376,83.178,0.535,40.262,215220,255,,,100,215220,1,324,779,75.619,33.541,1.092,0.916,0.852
30,473,255,0,255,255,1033.234,768.701,83.64,1020,755,26,27,25.255,23.847,83.177,0.85,27.074,120615,255,,,100,120615,1,1030,755,94.236,24.749,1.059,0.944,0.927
31,337,255,0,255,255,612.328,774.987,73.983,603,763,20,25,23.208,18.489,102.06,0.774,25.71,85935,255,,,100,85935,1,606,763,103.496,20.0,1.255,0.797,0.906
32,1215,255,0,255,255,191.843,784.767,144.652,169,764,42,40,44.026,35.138,45.149,0.73,47.802,309825,255,,,100,309825,1,171,794,37.349,36.172,1.253,0.798,0.923
33,303,255,0,255,255,340.685,801.658,75.74,330,792,23,21,21.251,18.154,155.191,0.664,23.431,77265,255,,,100,77265,1,331,794,129.806,19.888,1.171,0.854,0.851
34,1124,255,0,255,255,360.982,820.915,145.823,345,798,34,46,45.108,31.727,83.414,0.664,47.297,286620,255,,,100,286620,1,359,844,76.551,34.0,1.422,0.703,0.915
