 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,86,255,0,255,255,736.988,6.593,35.456,731,2,12,10,11.174,9.800,160.330,0.860,12.207,21930,255,NaN,NaN,100,21930,1,732,3,145.008,10.000,1.140,0.877,0.887
2,1016,255,0,255,255,564.571,28.738,129.924,547,8,36,39,37.134,34.836,118.598,0.756,40.311,259080,255,NaN,NaN,100,259080,1,559,8,113.385,34.925,1.066,0.938,0.930
3,315,255,0,255,255,824.916,18.598,71.154,815,8,20,21,21.634,18.539,121.808,0.782,23.707,80325,255,NaN,NaN,100,80325,1,820,8,117.646,19.092,1.167,0.857,0.924
4,29,255,0,255,255,307.707,12.466,20.385,304,9,7,7,6.761,5.461,19.730,0.877,7.616,7395,255,NaN,NaN,100,7395,1,304,14,23.199,6.102,1.238,0.808,0.806
5,32,255,0,255,255,521.281,12.469,20.971,518,9,7,7,7.236,5.631,24.349,0.914,8.062,8160,255,NaN,NaN,100,8160,1,518,15,29.745,6.364,1.285,0.778,0.842
6,50,255,0,255,255,293.700,13.380,26.971,289,10,10,7,10.975,5.801,26.232,0.864,11.662,12750,255,NaN,NaN,100,12750,1,289,17,30.964,6.641,1.892,0.529,0.901
7,87,255,0,255,255,542.615,14.994,34.627,537,10,11,11,11.184,9.905,55.357,0.912,12.207,22185,255,NaN,NaN,100,22185,1,538,19,34.992,10.607,1.129,0.886,0.892
8,682,255,0,255,255,322.106,26.343,105.539,307,11,30,32,30.746,28.243,102.587,0.769,32.757,173910,255,NaN,NaN,100,173910,1,308,35,31.264,29.988,1.089,0.919,0.905
9,121,255,0,255,255,372.483,18.897,41.113,366,12,13,14,12.557,12.269,87.706,0.900,14.318,30855,255,NaN,NaN,100,30855,1,371,12,102.095,12.728,1.023,0.977,0.900
10,253,255,0,255,255,624.409,22.239,72.225,612,15,25,14,24.579,13.106,173.196,0.609,25.080,64515,255,NaN,NaN,100,64515,1,612,22,175.426,14.000,1.875,0.533,0.891
