 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,55,255,0,255,255,431.264,5.991,29.213,427,2,9,8,9.301,7.529,20.405,0.810,10.000,14025,255,NaN,NaN,100,14025,1,428,10,36.870,8.000,1.235,0.810,0.887
2,32,255,0,255,255,418.531,6.344,22.385,415,3,7,7,8.367,4.869,42.441,0.803,9.220,8160,255,NaN,NaN,100,8160,1,415,10,40.601,5.657,1.718,0.582,0.842
3,126,255,0,255,255,573.159,13.294,47.941,567,6,13,14,14.664,10.940,107.145,0.689,16.401,32130,255,NaN,NaN,100,32130,1,570,6,127.569,12.127,1.340,0.746,0.866
4,165,255,0,255,255,672.870,22.876,49.698,666,15,14,17,17.162,12.241,66.410,0.839,18.788,42075,255,NaN,NaN,100,42075,1,671,32,64.799,13.370,1.402,0.713,0.912
5,78,255,0,255,255,1090.090,25.667,34.284,1084,21,12,9,11.965,8.300,0.103,0.834,12.649,19890,255,NaN,NaN,100,19890,1,1084,24,161.565,9.000,1.441,0.694,0.881
6,280,255,0,255,255,595.329,31.393,63.598,586,22,19,20,19.617,18.173,90.584,0.870,21.095,71400,255,NaN,NaN,100,71400,1,586,35,31.430,19.000,1.079,0.926,0.911
7,134,255,0,255,255,1023.052,29.328,45.113,1017,22,13,14,13.939,12.240,72.698,0.827,15.264,34170,255,NaN,NaN,100,34170,1,1019,36,58.392,13.000,1.139,0.878,0.887
8,113,255,0,255,255,98.721,35.996,41.698,93,29,11,14,14.981,9.604,115.373,0.817,16.125,28815,255,NaN,NaN,100,28815,1,94,29,119.745,10.607,1.560,0.641,0.911
9,50,255,0,255,255,410.800,33.160,26.385,407,29,8,8,8.623,7.383,35.206,0.903,9.434,12750,255,NaN,NaN,100,12750,1,407,36,32.005,8.000,1.168,0.856,0.893
10,45,255,0,255,255,153.011,34.411,23.799,149,30,8,8,7.802,7.344,5.642,0.998,8.544,11475,255,NaN,NaN,100,11475,1,149,33,159.444,7.778,1.062,0.941,0.891
11,174,255,0,255,255,441.351,37.138,53.113,432,30,17,14,15.921,13.915,168.487,0.775,18.028,44370,255,NaN,NaN,100,44370,1,432,34,160.560,14.000,1.144,0.874,0.890
12,48,255,0,255,255,113.896,37.729,33.113,109,32,10,12,13.201,4.630,127.615,0.550,13.454,12240,255,NaN,NaN,100,12240,1,109,33,131.987,5.800,2.851,0.351,0.727
13,230,255,0,255,255,610.217,41.548,60.669,602,32,17,20,19.358,15.128,79.733,0.785,20.616,58650,255,NaN,NaN,100,58650,1,607,52,67.166,16.413,1.280,0.781,0.898
14,135,255,0,255,255,648.900,40.056,44.870,642,33,14,13,14.570,11.797,136.035,0.843,16.125,34425,255,NaN,NaN,100,34425,1,642,36,150.255,12.862,1.235,0.810,0.906
15,332,255,0,255,255,297.373,49.455,75.983,286,40,23,19,22.922,18.442,5.960,0.723,23.770,84660,255,NaN,NaN,100,84660,1,286,44,165.379,18.526,1.243,0.805,0.912
16,149,255,0,255,255,72.386,47.856,48.770,64,41,17,14,18.837,10.071,144.803,0.787,20.000,37995,255,NaN,NaN,100,37995,1,64,42,143.130,10.607,1.870,0.535,0.898
17,533,255,0,255,255,875.434,54.733,89.983,862,41,28,26,28.350,23.938,20.671,0.827,29.547,135915,255,NaN,NaN,100,135915,1,862,63,23.962,24.660,1.184,0.844,0.929
18,73,255,0,255,255,132.911,54.870,47.941,125,47,14,16,20.152,4.612,56.113,0.399,20.616,18615,255,NaN,NaN,100,18615,1,126,63,50.906,6.102,4.369,0.229,0.679
19,29,255,0,255,255,218.948,49.672,20.142,215,47,7,6,6.669,5.537,171.643,0.898,7.616,7395,255,NaN,NaN,100,7395,1,215,49,156.801,6.000,1.204,0.830,0.866
20,132,255,0,255,255,274.402,55.477,44.527,267,49,14,14,14.487,11.601,129.427,0.837,15.620,33660,255,NaN,NaN,100,33660,1,269,50,129.806,12.021,1.249,0.801,0.892
21,38,255,0,255,255,255.421,53.789,23.799,251,50,9,7,9.200,5.259,27.911,0.843,9.849,9690,255,NaN,NaN,100,9690,1,251,56,23.962,6.008,1.750,0.572,0.835
22,72,255,0,255,255,1027.986,56.069,32.870,1023,51,10,10,11.348,8.079,49.284,0.837,12.207,18360,255,NaN,NaN,100,18360,1,1023,60,34.992,8.485,1.405,0.712,0.894
23,514,255,0,255,255,727.693,71.286,95.296,714,58,27,28,28.403,23.041,127.486,0.711,30.083,131070,255,NaN,NaN,100,131070,1,721,58,111.448,25.299,1.233,0.811,0.876
24,949,255,0,255,255,264.796,80.893,129.782,246,60,35,40,38.743,31.187,110.281,0.708,42.059,241995,255,NaN,NaN,100,241995,1,263,60,108.004,35.000,1.242,0.805,0.888
25,51,255,0,255,255,144.794,66.029,26.627,140,62,10,8,8.832,7.352,11.671,0.904,10.198,13005,255,NaN,NaN,100,13005,1,140,67,11.310,8.000,1.201,0.832,0.843
26,21,255,0,255,255,153.357,63.976,16.485,150,62,6,4,6.050,4.420,176.509,0.971,6.708,5355,255,NaN,NaN,100,5355,1,150,63,153.435,4.000,1.369,0.731,0.933
27,81,255,0,255,255,527.574,67.204,34.870,522,62,11,10,10.996,9.379,16.471,0.837,11.705,20655,255,NaN,NaN,100,20655,1,522,69,19.983,10.000,1.172,0.853,0.885
28,48,255,0,255,255,444.688,69.188,27.213,440,65,9,8,9.179,6.658,21.418,0.815,9.849,12240,255,NaN,NaN,100,12240,1,440,71,23.962,7.273,1.379,0.725,0.842
29,134,255,0,255,255,286.007,77.142,44.184,279,70,14,14,13.624,12.523,34.210,0.863,14.866,34170,255,NaN,NaN,100,34170,1,283,84,70.346,12.728,1.088,0.919,0.893
30,48,255,0,255,255,213.938,74.708,26.142,209,71,9,7,9.297,6.574,32.192,0.883,10.817,12240,255,NaN,NaN,100,12240,1,209,78,33.690,7.000,1.414,0.707,0.906
31,321,255,0,255,255,1031.425,84.634,69.740,1020,73,22,23,20.655,19.788,93.130,0.829,23.345,81855,255,NaN,NaN,100,81855,1,1030,73,99.866,20.408,1.044,0.958,0.903
32,33,255,0,255,255,202.591,77.803,22.385,199,74,7,7,7.376,5.697,37.804,0.828,8.062,8415,255,NaN,NaN,100,8415,1,199,80,29.745,6.261,1.295,0.772,0.846
33,132,255,0,255,255,336.689,81.780,47.012,330,74,13,16,15.269,11.007,109.417,0.751,16.763,33660,255,NaN,NaN,100,33660,1,335,74,107.354,12.021,1.387,0.721,0.883
34,449,255,0,255,255,638.431,87.952,84.711,624,74,27,28,25.267,22.626,129.653,0.786,28.160,114495,255,NaN,NaN,100,114495,1,639,74,96.116,23.335,1.117,0.895,0.898
35,118,255,0,255,255,894.661,84.763,43.113,889,78,12,15,14.375,10.451,103.030,0.798,15.811,30090,255,NaN,NaN,100,30090,1,891,78,108.435,11.068,1.375,0.727,0.861
36,45,255,0,255,255,925.278,81.944,25.799,921,78,9,8,9.084,6.308,24.200,0.850,9.849,11475,255,NaN,NaN,100,11475,1,921,84,23.962,6.957,1.440,0.694,0.833
37,227,255,0,255,255,313.200,89.029,59.255,304,80,18,18,18.554,15.578,141.468,0.812,20.248,57885,255,NaN,NaN,100,57885,1,304,85,147.095,16.263,1.191,0.840,0.904
38,508,255,0,255,255,1137.348,97.602,88.811,1125,84,25,28,26.860,24.081,97.825,0.809,28.443,129540,255,NaN,NaN,100,129540,1,1135,112,79.875,24.982,1.115,0.897,0.933
39,178,255,0,255,255,66.225,93.624,60.426,57,87,21,14,20.216,11.211,25.956,0.613,23.022,45390,255,NaN,NaN,100,45390,1,59,100,34.380,13.309,1.803,0.555,0.842
40,100,255,0,255,255,144.440,94.260,37.456,139,88,12,12,11.776,10.813,72.730,0.896,13.000,25500,255,NaN,NaN,100,25500,1,139,98,22.620,11.180,1.089,0.918,0.901
41,51,255,0,255,255,158.696,92.657,27.799,155,88,8,9,9.438,6.880,55.872,0.829,10.817,13005,255,NaN,NaN,100,13005,1,156,97,56.310,7.778,1.372,0.729,0.864
42,252,255,0,255,255,340.480,100.758,79.397,327,91,23,19,21.768,14.740,140.263,0.502,25.942,64260,255,NaN,NaN,100,64260,1,327,95,152.447,17.989,1.477,0.677,0.771
43,212,255,0,255,255,1025.538,101.142,59.841,1017,91,17,19,19.029,14.185,127.110,0.744,21.024,54060,255,NaN,NaN,100,54060,1,1021,91,115.346,16.006,1.341,0.745,0.880
44,112,255,0,255,255,193.054,97.438,49.355,183,92,18,11,17.129,8.325,10.496,0.578,18.682,28560,255,NaN,NaN,100,28560,1,183,98,15.524,10.002,2.058,0.486,0.800
45,24,255,0,255,255,171.292,96.500,18.142,169,93,5,7,7.182,4.255,57.332,0.916,8.062,6120,255,NaN,NaN,100,6120,1,169,100,60.255,4.950,1.688,0.592,0.873
46,437,255,0,255,255,861.015,111.177,97.882,851,94,20,36,32.034,17.369,89.733,0.573,36.674,111435,255,NaN,NaN,100,111435,1,857,94,101.004,20.000,1.844,0.542,0.853
47,38,255,0,255,255,1071.342,99.842,23.556,1068,96,7,8,9.127,5.301,118.606,0.861,10.000,9690,255,NaN,NaN,100,9690,1,1068,96,126.870,6.008,1.722,0.581,0.864
48,227,255,0,255,255,219.835,105.394,68.811,208,98,23,16,21.506,13.439,169.564,0.602,23.345,57885,255,NaN,NaN,100,57885,1,208,102,170.134,15.888,1.600,0.625,0.860
49,229,255,0,255,255,191.570,113.491,66.083,183,102,18,23,24.844,11.736,55.408,0.659,26.926,58395,255,NaN,NaN,100,58395,1,184,125,58.671,13.205,2.117,0.472,0.876
50,104,255,0,255,255,480.269,110.115,40.284,475,104,11,12,12.333,10.737,84.296,0.805,13.892,26520,255,NaN,NaN,100,26520,1,477,116,59.744,11.000,1.149,0.871,0.908
51,1228,255,0,255,255,380.275,125.620,152.652,356,106,47,41,42.915,36.434,21.116,0.662,47.170,313140,255,NaN,NaN,100,313140,1,356,124,175.135,38.891,1.178,0.849,0.895
52,94,255,0,255,255,756.053,117.926,37.456,750,111,11,13,12.518,9.561,54.602,0.842,13.601,23970,255,NaN,NaN,100,23970,1,752,123,53.973,10.464,1.309,0.764,0.879
53,27,255,0,255,255,1038.833,115.648,18.971,1036,112,6,7,6.352,5.412,94.873,0.943,7.280,6885,255,NaN,NaN,100,6885,1,1038,119,74.055,6.000,1.174,0.852,0.831
54,163,255,0,255,255,173.383,120.702,50.770,167,113,14,16,16.053,12.928,113.276,0.795,17.029,41565,255,NaN,NaN,100,41565,1,169,113,130.236,14.000,1.242,0.805,0.908
55,63,255,0,255,255,99.151,119.103,30.870,94,115,11,9,9.531,8.416,174.246,0.831,11.180,16065,255,NaN,NaN,100,16065,1,94,118,169.695,9.000,1.132,0.883,0.846
56,21,255,0,255,255,117.167,118.024,18.142,115,115,5,6,5.773,4.631,85.429,0.802,6.708,5355,255,NaN,NaN,100,5355,1,116,121,63.435,5.000,1.247,0.802,0.824
