 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1929,255,0,255,255,864.506,142.644,193.907,834,118,59,54,58.055,42.306,141.786,0.645,63.325,491895,255,NaN,NaN,100,491895,1,834,131,158.703,43.134,1.372,0.729,0.906
2,3246,255,0,255,255,799.416,159.540,271.605,762,124,72,70,68.430,60.396,43.405,0.553,78.262,827730,255,NaN,NaN,100,827730,1,763,174,26.565,64.990,1.133,0.883,0.861
3,1236,255,0,255,255,843.578,172.194,148.652,827,143,39,53,48.163,32.675,101.219,0.703,53.852,315180,255,NaN,NaN,100,315180,1,836,143,105.068,37.990,1.474,0.678,0.924
4,2182,255,0,255,255,834.762,254.965,207.220,808,222,51,63,59.838,46.429,87.320,0.639,63.071,556410,255,NaN,NaN,100,556410,1,835,222,92.726,48.950,1.289,0.776,0.903
5,4184,255,0,255,255,1085.095,309.010,286.333,1040,269,98,71,88.794,59.996,177.018,0.641,98.412,1066920,255,NaN,NaN,100,1066920,1,1040,321,5.247,68.703,1.480,0.676,0.898
6,1539,255,0,255,255,797.638,325.434,181.865,775,298,48,54,55.539,35.282,49.862,0.585,59.641,392445,255,NaN,NaN,100,392445,1,780,351,55.244,40.216,1.574,0.635,0.872
7,956,255,0,255,255,845.669,327.846,134.752,827,308,34,42,43.301,28.111,111.011,0.662,45.793,243780,255,NaN,NaN,100,243780,1,831,310,121.608,30.928,1.540,0.649,0.903
8,1227,255,0,255,255,824.461,348.077,164.208,806,316,37,61,52.614,29.693,94.593,0.572,61.033,312885,255,NaN,NaN,100,312885,1,824,377,88.122,34.572,1.772,0.564,0.869
9,1809,255,0,255,255,588.663,367.599,182.936,561,338,49,55,51.374,44.833,95.347,0.679,56.754,461295,255,NaN,NaN,100,461295,1,591,338,104.281,48.625,1.146,0.873,0.919
10,4488,255,0,255,255,1126.910,542.229,315.931,1084,505,81,73,84.981,67.242,42.903,0.565,100.125,1144440,255,NaN,NaN,100,1144440,1,1084,571,39.732,71.247,1.264,0.791,0.909
11,2452,255,0,255,255,562.228,606.654,230.392,529,581,64,57,66.742,46.777,151.398,0.580,73.661,625260,255,NaN,NaN,100,625260,1,535,583,131.698,49.419,1.427,0.701,0.894
12,4284,255,0,255,255,224.424,750.843,330.375,177,720,98,58,99.286,54.938,178.902,0.493,104.062,1092420,255,NaN,NaN,100,1092420,1,177,725,160.346,58.000,1.807,0.553,0.860
13,60,255,0,255,255,32.633,771.267,36.870,29,764,7,13,13.160,5.805,85.720,0.555,13.601,15300,255,NaN,NaN,100,15300,1,30,777,72.897,7.000,2.267,0.441,0.800
14,55,255,0,255,255,35.227,782.882,30.385,31,778,8,11,12.276,5.704,119.199,0.749,12.806,14025,255,NaN,NaN,100,14025,1,31,778,128.660,6.688,2.152,0.465,0.846
