 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,290,255,0,255,255,309.434,68.721,66.912,299,58,21,21,19.583,18.855,10.040,0.814,21.840,73950,255,NaN,NaN,100,73950,1,299,67,164.055,19.230,1.039,0.963,0.905
2,4049,255,0,255,255,1195.327,144.928,289.706,1157,99,70,92,87.827,58.699,67.633,0.606,99.403,1032495,255,NaN,NaN,100,1032495,1,1183,190,66.272,69.254,1.496,0.668,0.872
3,4158,255,0,255,255,655.482,180.403,265.948,623,139,71,80,77.936,67.929,76.906,0.739,83.217,1060290,255,NaN,NaN,100,1060290,1,633,218,69.605,70.675,1.147,0.872,0.949
4,92,255,0,255,255,869.467,204.750,40.042,865,197,9,15,15.706,7.458,68.467,0.721,17.000,23460,255,NaN,NaN,100,23460,1,865,212,61.928,8.497,2.106,0.475,0.898
5,2199,255,0,255,255,1193.936,233.696,187.037,1168,204,52,64,60.948,45.938,67.632,0.790,64.288,560745,255,NaN,NaN,100,560745,1,1191,268,74.667,47.046,1.327,0.754,0.939
6,56,255,0,255,255,746.411,226.125,28.627,742,221,8,10,10.081,7.073,70.851,0.859,10.817,14280,255,NaN,NaN,100,14280,1,744,231,56.310,7.906,1.425,0.702,0.868
7,623,255,0,255,255,658.431,239.372,112.752,641,222,36,36,41.572,19.081,136.684,0.616,41.400,158865,255,NaN,NaN,100,158865,1,647,224,127.147,21.751,2.179,0.459,0.861
8,41,255,0,255,255,1116.744,226.622,23.556,1113,223,8,7,8.867,5.887,41.717,0.928,9.899,10455,255,NaN,NaN,100,10455,1,1113,230,45.000,6.364,1.506,0.664,0.901
9,4322,255,0,255,255,126.905,269.942,278.250,84,234,83,70,86.579,63.560,32.302,0.701,97.201,1102110,255,NaN,NaN,100,1102110,1,87,301,36.634,69.101,1.362,0.734,0.926
10,3578,255,0,255,255,587.499,272.537,249.019,556,238,65,74,76.683,59.409,60.949,0.725,80.455,912390,255,NaN,NaN,100,912390,1,572,309,57.693,61.066,1.291,0.775,0.956
11,254,255,0,255,255,823.606,261.307,63.255,813,252,21,18,19.828,16.310,27.548,0.798,21.587,64770,255,NaN,NaN,100,64770,1,813,262,13.392,18.000,1.216,0.823,0.901
12,151,255,0,255,255,890.930,263.156,48.527,884,256,15,14,14.586,13.181,2.940,0.806,16.553,38505,255,NaN,NaN,100,38505,1,884,259,154.983,13.187,1.107,0.904,0.896
13,285,255,0,255,255,425.935,316.707,68.326,415,305,20,22,20.254,17.916,112.839,0.767,23.770,72675,255,NaN,NaN,100,72675,1,423,305,112.249,19.092,1.130,0.885,0.902
14,7530,255,0,255,255,61.885,403.044,369.144,12,344,97,117,115.901,82.721,68.231,0.694,121.462,1920150,255,NaN,NaN,100,1920150,1,44,457,67.235,86.128,1.401,0.714,0.931
15,142,255,0,255,255,886.979,388.239,50.184,878,382,18,12,18.120,9.978,160.065,0.709,18.974,36210,255,NaN,NaN,100,36210,1,878,385,161.565,11.455,1.816,0.551,0.861
16,55,255,0,255,255,797.555,401.645,27.556,794,397,8,9,9.775,7.164,110.849,0.910,10.296,14025,255,NaN,NaN,100,14025,1,795,397,119.055,7.906,1.364,0.733,0.894
17,3234,255,0,255,255,1029.469,428.158,236.735,993,398,71,63,70.184,58.669,165.751,0.725,74.632,824670,255,NaN,NaN,100,824670,1,993,419,162.051,62.263,1.196,0.836,0.929
18,6879,255,0,255,255,757.053,473.069,374.215,705,413,102,105,97.246,90.067,92.091,0.617,108.853,1754145,255,NaN,NaN,100,1754145,1,747,416,113.268,96.671,1.080,0.926,0.904
19,2501,255,0,255,255,1080.124,489.538,203.865,1055,459,52,63,67.362,47.273,112.441,0.756,69.971,637755,255,NaN,NaN,100,637755,1,1060,459,120.964,49.584,1.425,0.702,0.960
20,22,255,0,255,255,303.409,474.818,21.213,300,472,8,6,8.261,3.391,32.400,0.614,9.434,5610,255,NaN,NaN,100,5610,1,300,477,32.005,4.243,2.437,0.410,0.759
21,1962,255,0,255,255,181.708,518.259,191.279,157,485,56,60,62.699,39.843,125.437,0.674,65.299,500310,255,NaN,NaN,100,500310,1,170,487,130.030,42.594,1.574,0.635,0.907
22,208,255,0,255,255,146.111,544.082,57.941,136,537,21,14,20.869,12.690,167.422,0.779,21.378,53040,255,NaN,NaN,100,53040,1,136,547,10.784,13.532,1.644,0.608,0.895
23,1642,255,0,255,255,292.893,570.212,182.451,268,540,48,61,64.646,32.340,124.120,0.620,69.116,418710,255,NaN,NaN,100,418710,1,273,541,121.390,34.928,1.999,0.500,0.903
24,2019,255,0,255,255,1079.796,615.141,180.108,1049,591,60,50,58.092,44.252,160.184,0.782,61.000,514845,255,NaN,NaN,100,514845,1,1049,609,169.611,43.827,1.313,0.762,0.947
25,2793,255,0,255,255,178.801,625.857,247.362,139,592,79,70,85.752,41.470,40.721,0.574,89.067,712215,255,NaN,NaN,100,712215,1,140,639,28.867,47.589,2.068,0.484,0.876
26,472,255,0,255,255,1037.000,657.337,89.983,1024,645,26,28,25.502,23.566,109.347,0.733,29.069,120360,255,NaN,NaN,100,120360,1,1032,673,63.435,23.717,1.082,0.924,0.897
27,75,255,0,255,255,572.727,681.073,33.456,567,675,11,11,11.819,8.079,49.496,0.842,12.530,19125,255,NaN,NaN,100,19125,1,569,686,61.390,9.192,1.463,0.684,0.862
28,647,255,0,255,255,220.298,704.636,108.811,206,690,32,29,29.984,27.474,172.121,0.687,35.847,164985,255,NaN,NaN,100,164985,1,207,691,149.859,28.269,1.091,0.916,0.891
29,1870,255,0,255,255,832.215,753.055,186.693,803,729,60,47,61.606,38.648,29.870,0.674,66.731,476850,255,NaN,NaN,100,476850,1,804,771,29.638,40.421,1.594,0.627,0.913
30,62,255,0,255,255,1047.565,742.694,29.799,1043,738,10,9,11.047,7.146,139.265,0.877,12.042,15810,255,NaN,NaN,100,15810,1,1044,738,131.634,7.778,1.546,0.647,0.892
31,25,255,0,255,255,655.260,771.540,17.314,652,769,6,5,6.416,4.962,27.031,1.000,7.211,6375,255,NaN,NaN,100,6375,1,652,773,33.690,5.000,1.293,0.773,0.926
32,2503,255,0,255,255,858.932,826.716,212.208,827,797,62,55,62.408,51.066,18.594,0.698,68.476,638265,255,NaN,NaN,100,638265,1,827,846,28.811,54.657,1.222,0.818,0.924
33,2508,255,0,255,255,706.122,830.005,203.907,677,799,58,63,62.741,50.896,123.640,0.758,66.129,639540,255,NaN,NaN,100,639540,1,698,799,110.353,51.223,1.233,0.811,0.941
34,45,255,0,255,255,527.989,823.344,25.213,524,819,8,8,7.892,7.260,142.640,0.890,8.944,11475,255,NaN,NaN,100,11475,1,526,819,116.565,7.778,1.087,0.920,0.865
35,27,255,0,255,255,647.685,878.611,19.556,645,875,6,7,7.518,4.573,63.528,0.887,8.062,6885,255,NaN,NaN,100,6885,1,645,882,60.255,5.367,1.644,0.608,0.844
36,104,255,0,255,255,704.413,914.615,37.213,699,908,11,12,11.626,11.390,81.953,0.944,13.000,26520,255,NaN,NaN,100,26520,1,701,920,67.380,11.000,1.021,0.980,0.929
