 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1445,255,0,255,255,668.048,27.898,162.652,644,4,54,44,47.777,38.508,19.905,0.686,54.452,368475,255,,,100,368475,1,644,39,7.386,42.477,1.241,0.806,0.896
2,1393,255,0,255,255,191.999,31.919,164.167,164,12,52,40,48.841,36.314,7.381,0.65,55.543,355215,255,,,100,355215,1,165,38,23.334,39.815,1.345,0.744,0.919
3,1333,255,0,255,255,59.413,35.462,148.995,37,14,49,41,51.363,33.044,145.162,0.755,54.918,339915,255,,,100,339915,1,39,17,146.889,34.648,1.554,0.643,0.942
4,23,255,0,255,255,810.935,17.891,17.071,809,15,4,6,6.634,4.414,83.839,0.992,7.211,5865,255,,,100,5865,1,809,21,56.31,4.0,1.503,0.665,0.979
5,50,255,0,255,255,850.02,49.88,28.971,845,45,9,8,9.61,6.625,29.054,0.749,11.314,12750,255,,,100,12750,1,845,53,45.0,8.0,1.451,0.689,0.885
6,74,255,0,255,255,710.378,52.054,33.456,705,47,11,10,13.087,7.2,137.725,0.831,14.213,18870,255,,,100,18870,1,705,47,140.711,7.778,1.818,0.55,0.897
7,117,255,0,255,255,665.235,56.731,45.355,658,49,14,15,17.237,8.642,53.483,0.715,17.804,29835,255,,,100,29835,1,658,63,38.157,9.153,1.995,0.501,0.867
8,2367,255,0,255,255,482.325,88.962,206.593,456,51,54,70,63.921,47.148,93.343,0.697,70.349,603585,255,,,100,603585,1,486,51,95.711,51.877,1.356,0.738,0.917
9,1212,255,0,255,255,530.93,80.5,144.652,510,54,42,49,43.181,35.737,115.213,0.728,50.695,309060,255,,,100,309060,1,525,54,104.859,39.242,1.208,0.828,0.911
10,66,255,0,255,255,506.152,66.667,49.598,503,57,7,19,17.066,4.924,94.272,0.337,19.235,16830,255,,,100,16830,1,503,57,98.973,7.0,3.466,0.289,0.638
11,2851,255,0,255,255,329.975,96.175,214.007,301,59,59,73,72.791,49.869,113.168,0.782,74.953,727005,255,,,100,727005,1,320,59,103.109,49.307,1.46,0.685,0.947
12,1072,255,0,255,255,285.676,91.958,149.823,268,69,34,49,49.963,27.318,119.381,0.6,56.604,273360,255,,,100,273360,1,270,69,122.005,29.409,1.829,0.547,0.92
13,717,255,0,255,255,100.592,85.374,113.439,83,70,33,30,31.943,28.579,19.336,0.7,35.228,182835,255,,,100,182835,1,83,92,34.592,29.682,1.118,0.895,0.917
14,139,255,0,255,255,923.392,112.169,43.698,916,104,13,15,15.125,11.702,63.014,0.915,16.155,35445,255,,,100,35445,1,920,119,68.199,12.6,1.293,0.774,0.921
15,805,255,0,255,255,30.134,133.076,111.64,13,116,36,32,32.728,31.318,7.718,0.812,37.108,205275,255,,,100,205275,1,13,140,14.036,31.938,1.045,0.957,0.922
16,1135,255,0,255,255,778.405,136.146,133.196,759,117,39,38,40.611,35.584,131.514,0.804,44.102,289425,255,,,100,289425,1,761,125,147.031,37.039,1.141,0.876,0.939
17,835,255,0,255,255,816.05,137.284,117.439,799,120,36,36,40.107,26.508,43.537,0.761,40.608,212925,255,,,100,212925,1,802,153,52.001,28.066,1.513,0.661,0.924
18,163,255,0,255,255,157.543,135.696,50.527,150,128,16,15,15.791,13.143,30.094,0.802,17.205,41565,255,,,100,41565,1,152,143,54.462,14.367,1.202,0.832,0.881
19,21,255,0,255,255,391.452,132.5,18.142,389,129,5,7,7.155,3.737,52.313,0.802,8.062,5355,255,,,100,5355,1,389,136,60.255,4.243,1.914,0.522,0.84
20,179,255,0,255,255,1207.913,150.986,56.426,1199,144,17,15,18.097,12.594,146.38,0.706,19.849,45645,255,,,100,45645,1,1201,144,139.086,13.924,1.437,0.696,0.882
21,170,255,0,255,255,199.265,157.112,56.184,192,148,16,19,22.443,9.645,52.287,0.677,23.431,43350,255,,,100,43350,1,193,167,50.194,10.539,2.327,0.43,0.874
22,33,255,0,255,255,449.197,155.015,24.971,445,151,7,8,9.382,4.479,118.492,0.665,10.63,8415,255,,,100,8415,1,445,151,131.186,5.646,2.095,0.477,0.805
23,664,255,0,255,255,132.52,165.017,109.397,112,153,39,24,38.172,22.148,9.141,0.697,39.812,169320,255,,,100,169320,1,112,167,11.592,23.964,1.723,0.58,0.902
24,403,255,0,255,255,159.277,175.021,84.225,145,163,28,24,29.728,17.261,38.651,0.714,31.906,102765,255,,,100,102765,1,145,184,32.196,18.8,1.722,0.581,0.901
25,1461,255,0,255,255,311.133,207.363,157.439,284,187,53,39,51.395,36.194,163.211,0.741,55.946,372555,255,,,100,372555,1,285,198,151.144,37.498,1.42,0.704,0.923
