 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2001,255,0,255,255,583.291,28.066,173.966,559,2,49,52,51.515,49.457,101.107,0.831,52.773,510255,255,NaN,NaN,100,510255,1,579,2,99.819,49.000,1.042,0.960,0.966
2,2094,255,0,255,255,813.517,35.973,183.137,785,10,55,52,52.573,50.713,157.284,0.785,58.009,533970,255,NaN,NaN,100,533970,1,787,19,144.118,50.913,1.037,0.965,0.945
3,2514,255,0,255,255,55.753,49.318,211.078,28,15,57,65,68.109,46.997,125.068,0.709,71.847,641070,255,NaN,NaN,100,641070,1,33,17,124.796,51.619,1.449,0.690,0.936
4,2010,255,0,255,255,504.413,48.608,175.380,479,23,51,51,50.937,50.242,100.052,0.821,53.000,512550,255,NaN,NaN,100,512550,1,481,35,148.109,51.000,1.014,0.986,0.961
5,2662,255,0,255,255,379.834,64.595,205.664,350,35,59,59,58.549,57.889,65.028,0.791,60.308,678810,255,NaN,NaN,100,678810,1,357,84,40.292,58.585,1.011,0.989,0.964
6,2838,255,0,255,255,925.969,69.681,213.865,896,37,59,64,61.499,58.756,97.755,0.780,66.038,723690,255,NaN,NaN,100,723690,1,909,44,122.005,59.000,1.047,0.955,0.946
7,4465,255,0,255,255,1150.820,78.584,264.434,1113,40,77,77,76.518,74.296,51.994,0.802,78.390,1138575,255,NaN,NaN,100,1138575,1,1136,115,66.705,75.578,1.030,0.971,0.968
8,2476,255,0,255,255,42.946,112.721,194.451,14,85,58,56,57.158,55.155,145.220,0.823,60.745,631380,255,NaN,NaN,100,631380,1,15,98,147.095,55.861,1.036,0.965,0.963
9,3251,255,0,255,255,207.312,118.048,237.563,169,86,72,64,67.254,61.547,164.174,0.724,75.240,829005,255,NaN,NaN,100,829005,1,169,105,156.501,64.000,1.093,0.915,0.934
10,85,255,0,255,255,608.241,91.524,35.698,603,86,11,11,10.845,9.979,164.915,0.838,11.705,21675,255,NaN,NaN,100,21675,1,603,89,160.017,10.607,1.087,0.920,0.881
11,2099,255,0,255,255,899.257,118.154,179.865,873,91,55,53,52.345,51.056,170.625,0.815,55.579,535245,255,NaN,NaN,100,535245,1,873,115,171.724,51.619,1.025,0.975,0.954
12,2587,255,0,255,255,541.795,125.689,199.421,513,96,57,59,58.134,56.660,92.344,0.817,59.841,659685,255,NaN,NaN,100,659685,1,536,155,80.380,57.000,1.026,0.975,0.969
13,1993,255,0,255,255,986.062,121.342,170.894,961,96,50,51,50.748,50.003,122.701,0.858,52.202,508215,255,NaN,NaN,100,508215,1,971,100,126.431,50.000,1.015,0.985,0.967
14,3888,255,0,255,255,360.465,138.097,247.220,325,102,70,72,70.677,70.042,106.141,0.799,75.180,991440,255,NaN,NaN,100,991440,1,329,121,151.390,70.000,1.009,0.991,0.967
15,2508,255,0,255,255,753.296,132.315,205.421,719,104,63,60,58.737,54.366,165.440,0.747,64.031,639540,255,NaN,NaN,100,639540,1,719,124,165.530,55.225,1.080,0.926,0.934
16,1962,255,0,255,255,812.938,137.198,173.380,787,112,51,50,51.095,48.891,24.608,0.820,52.697,500310,255,NaN,NaN,100,500310,1,791,152,33.389,49.225,1.045,0.957,0.963
17,647,255,0,255,255,250.587,131.339,98.811,237,116,28,31,30.975,26.595,84.851,0.833,31.953,164985,255,NaN,NaN,100,164985,1,243,146,69.864,27.107,1.165,0.859,0.930
18,7156,255,0,255,255,451.368,180.118,349.730,403,128,95,101,97.368,93.576,46.189,0.735,105.437,1824780,255,NaN,NaN,100,1824780,1,411,208,35.348,93.810,1.041,0.961,0.952
19,1794,255,0,255,255,1050.225,163.957,160.510,1026,140,48,48,48.483,47.113,67.839,0.875,50.329,457470,255,NaN,NaN,100,457470,1,1034,183,49.028,47.750,1.029,0.972,0.964
20,2341,255,0,255,255,619.464,176.966,199.037,586,152,63,52,61.467,48.492,157.353,0.743,65.552,596955,255,NaN,NaN,100,596955,1,586,164,158.523,52.000,1.268,0.789,0.936
