Tag,Ball-Powder Ratio,Jar,20mm Run Time (Hours),10mm Run Time (Hours),6mm Run Time (Hours),Total Run Time (Hours),Circ.,Feret,AR,Round
A5,15:1,,32.0,8.0,0.0,40.0,0.72,123.13,1.102,0.908
A5,15:1,,32.0,8.0,0.0,40.0,0.683,61.4,1.098,0.911
A5,15:1,,32.0,8.0,0.0,40.0,0.705,76.531,1.385,0.722
A5,15:1,,32.0,8.0,0.0,40.0,0.42,16.401,3.234,0.309
A5,15:1,,32.0,8.0,0.0,40.0,0.43,16.279,3.864,0.259
A5,15:1,,32.0,8.0,0.0,40.0,0.726,51.614,1.258,0.795
A5,15:1,,32.0,8.0,0.0,40.0,0.572,59.54,1.876,0.533
A5,15:1,,32.0,8.0,0.0,40.0,0.621,69.029,1.223,0.818
A5,15:1,,32.0,8.0,0.0,40.0,0.553,84.717,1.033,0.968
A5,15:1,,32.0,8.0,0.0,40.0,0.651,51.662,2.097,0.477
A5,15:1,,32.0,8.0,0.0,40.0,0.597,87.784,1.331,0.751
A5,15:1,,32.0,8.0,0.0,40.0,0.617,120.507,1.581,0.633
A5,15:1,,32.0,8.0,0.0,40.0,0.618,122.299,1.75,0.571
A5,15:1,,32.0,8.0,0.0,40.0,0.54,67.742,1.958,0.511
A5,15:1,,32.0,8.0,0.0,40.0,0.512,85.376,1.151,0.869
A5,15:1,,32.0,8.0,0.0,40.0,0.784,7.28,1.723,0.58
A5,15:1,,32.0,8.0,0.0,40.0,0.728,52.697,1.101,0.908
A5,15:1,,32.0,8.0,0.0,40.0,0.639,55.218,1.31,0.763
A5,15:1,,32.0,8.0,0.0,40.0,0.623,56.824,1.418,0.705
A5,15:1,,32.0,8.0,0.0,40.0,0.588,72.346,1.298,0.77
A5,15:1,,32.0,8.0,0.0,40.0,0.754,104.48,1.128,0.887
A5,15:1,,32.0,8.0,0.0,40.0,0.793,26.926,1.332,0.751
A5,15:1,,32.0,8.0,0.0,40.0,0.714,40.311,1.244,0.804
A5,15:1,,32.0,8.0,0.0,40.0,0.673,64.444,1.443,0.693
A5,15:1,,32.0,8.0,0.0,40.0,0.603,111.041,1.972,0.507
A5,15:1,,32.0,8.0,0.0,40.0,0.678,103.812,1.585,0.631
A5,15:1,,32.0,8.0,0.0,40.0,0.638,54.231,1.44,0.695
A5,15:1,,32.0,8.0,0.0,40.0,0.616,55.227,1.178,0.849
A5,15:1,,32.0,8.0,0.0,40.0,0.528,14.866,1.704,0.587
A5,15:1,,32.0,8.0,0.0,40.0,0.602,82.71,1.36,0.735
A5,15:1,,32.0,8.0,0.0,40.0,0.709,58.31,1.096,0.913
A5,15:1,,32.0,8.0,0.0,40.0,0.687,61.033,1.44,0.695
A5,15:1,,32.0,8.0,0.0,40.0,0.611,62.682,1.187,0.842
A5,15:1,,32.0,8.0,0.0,40.0,0.557,68.768,2.016,0.496
A5,15:1,,32.0,8.0,0.0,40.0,0.709,71.868,1.118,0.894
A5,15:1,,32.0,8.0,0.0,40.0,0.611,62.298,1.273,0.786
A5,15:1,,32.0,8.0,0.0,40.0,0.758,76.381,1.102,0.907
A5,15:1,,32.0,8.0,0.0,40.0,0.711,46.957,1.245,0.803
A5,15:1,,32.0,8.0,0.0,40.0,0.598,51.894,1.479,0.676
A5,15:1,,32.0,8.0,0.0,40.0,0.614,120.354,1.734,0.577
A5,15:1,,32.0,8.0,0.0,40.0,0.664,123.794,1.26,0.794
A5,15:1,,32.0,8.0,0.0,40.0,0.76,11.18,1.892,0.529
A5,15:1,,32.0,8.0,0.0,40.0,0.701,59.908,1.072,0.932
A5,15:1,,32.0,8.0,0.0,40.0,0.741,60.605,1.439,0.695
A5,15:1,,32.0,8.0,0.0,40.0,0.733,68.593,1.174,0.852
A5,15:1,,32.0,8.0,0.0,40.0,0.535,72.801,1.961,0.51
A5,15:1,,32.0,8.0,0.0,40.0,0.723,76.942,1.289,0.776
A5,15:1,,32.0,8.0,0.0,40.0,0.591,88.323,1.215,0.823
A5,15:1,,32.0,8.0,0.0,40.0,0.753,13.0,1.332,0.751
A5,15:1,,32.0,8.0,0.0,40.0,0.343,11.705,2.141,0.467
A5,15:1,,32.0,8.0,0.0,40.0,0.696,8.062,1.608,0.622
A5,15:1,,32.0,8.0,0.0,40.0,0.614,19.209,1.534,0.652
A5,15:1,,32.0,8.0,0.0,40.0,0.684,47.854,1.128,0.886
A5,15:1,,32.0,8.0,0.0,40.0,0.699,11.705,1.561,0.64
A5,15:1,,32.0,8.0,0.0,40.0,0.742,37.696,1.538,0.65
A5,15:1,,32.0,8.0,0.0,40.0,0.613,59.54,2.24,0.446
A5,15:1,,32.0,8.0,0.0,40.0,0.597,68.884,1.549,0.646
A5,15:1,,32.0,8.0,0.0,40.0,0.78,41.629,1.028,0.972
A5,15:1,,32.0,8.0,0.0,40.0,0.58,77.201,1.705,0.587
A5,15:1,,32.0,8.0,0.0,40.0,0.639,74.545,1.371,0.729
A5,15:1,,32.0,8.0,0.0,40.0,0.738,79.981,1.569,0.637
A5,15:1,,32.0,8.0,0.0,40.0,0.655,71.253,1.571,0.637
A5,15:1,,32.0,8.0,0.0,40.0,0.607,58.694,1.299,0.77
A5,15:1,,32.0,8.0,0.0,40.0,0.616,42.45,1.517,0.659
A5,15:1,,32.0,8.0,0.0,40.0,0.646,46.519,1.203,0.832
A5,15:1,,32.0,8.0,0.0,40.0,0.675,73.682,1.421,0.704
A5,15:1,,32.0,8.0,0.0,40.0,0.688,85.147,1.398,0.715
A5,15:1,,32.0,8.0,0.0,40.0,0.685,50.537,1.428,0.7
A5,15:1,,32.0,8.0,0.0,40.0,0.879,6.708,1.402,0.713
A5,15:1,,32.0,8.0,0.0,40.0,0.769,57.871,1.114,0.898
A5,15:1,,32.0,8.0,0.0,40.0,0.643,123.584,1.25,0.8
A5,15:1,,32.0,8.0,0.0,40.0,0.615,64.661,1.228,0.815
A5,15:1,,32.0,8.0,0.0,40.0,0.599,108.853,1.469,0.681
A5,15:1,,32.0,8.0,0.0,40.0,0.661,35.777,1.051,0.952
A5,15:1,,32.0,8.0,0.0,40.0,0.747,48.26,1.178,0.849
A5,15:1,,32.0,8.0,0.0,40.0,0.722,50.22,1.395,0.717
A5,15:1,,32.0,8.0,0.0,40.0,0.736,43.417,1.387,0.721
A5,15:1,,32.0,8.0,0.0,40.0,0.478,18.439,3.403,0.294
A5,15:1,,32.0,8.0,0.0,40.0,0.294,31.89,5.451,0.183
A5,15:1,,32.0,8.0,0.0,40.0,0.741,52.773,1.182,0.846
A5,15:1,,32.0,8.0,0.0,40.0,0.237,20.248,1.909,0.524
A5,15:1,,32.0,8.0,0.0,40.0,0.431,13.601,2.376,0.421
A5,15:1,,32.0,8.0,0.0,40.0,0.911,5.385,1.31,0.763
A5,15:1,,32.0,8.0,0.0,40.0,0.581,27.459,1.406,0.711
A5,15:1,,32.0,8.0,0.0,40.0,0.638,70.605,1.695,0.59
A5,15:1,,32.0,8.0,0.0,40.0,0.61,22.847,2.15,0.465
A5,15:1,,32.0,8.0,0.0,40.0,0.632,68.411,1.427,0.701
A5,15:1,,32.0,8.0,0.0,40.0,0.675,22.472,1.639,0.61
A5,15:1,,32.0,8.0,0.0,40.0,0.632,108.24,1.339,0.747
A5,15:1,,32.0,8.0,0.0,40.0,0.654,60.465,1.29,0.775
A5,15:1,,32.0,8.0,0.0,40.0,0.703,84.646,1.378,0.726
A5,15:1,,32.0,8.0,0.0,40.0,0.691,53.226,1.476,0.678
A5,15:1,,32.0,8.0,0.0,40.0,0.653,78.339,1.3,0.769
A5,15:1,,32.0,8.0,0.0,40.0,0.61,89.051,1.193,0.838
A5,15:1,,32.0,8.0,0.0,40.0,0.863,14.422,1.349,0.741
A5,15:1,,32.0,8.0,0.0,40.0,0.701,43.829,1.267,0.79
A5,15:1,,32.0,8.0,0.0,40.0,0.682,44.407,1.27,0.788
A5,15:1,,32.0,8.0,0.0,40.0,0.814,25.71,1.177,0.85
A5,15:1,,32.0,8.0,0.0,40.0,0.565,60.008,1.228,0.814
A5,15:1,,32.0,8.0,0.0,40.0,0.64,71.701,1.294,0.773
A5,15:1,,32.0,8.0,0.0,40.0,0.615,59.034,1.803,0.555
A5,15:1,,32.0,8.0,0.0,40.0,0.577,52.924,1.503,0.665
A5,15:1,,32.0,8.0,0.0,40.0,0.636,77.162,1.632,0.613
A5,15:1,,32.0,8.0,0.0,40.0,0.652,74.33,1.21,0.826
A5,15:1,,32.0,8.0,0.0,40.0,0.504,80.231,1.952,0.512
A5,15:1,,32.0,8.0,0.0,40.0,0.617,71.868,1.241,0.806
A5,15:1,,32.0,8.0,0.0,40.0,0.639,68.264,1.422,0.703
A5,15:1,,32.0,8.0,0.0,40.0,0.698,22.136,1.618,0.618
A5,15:1,,32.0,8.0,0.0,40.0,0.594,109.932,1.332,0.751
A5,15:1,,32.0,8.0,0.0,40.0,0.419,5.831,1.077,0.928
A5,15:1,,32.0,8.0,0.0,40.0,0.615,60.0,1.285,0.778
A5,15:1,,32.0,8.0,0.0,40.0,0.704,84.22,1.369,0.731
A5,15:1,,32.0,8.0,0.0,40.0,0.605,78.721,1.333,0.75
A5,15:1,,32.0,8.0,0.0,40.0,0.798,35.609,1.297,0.771
A5,15:1,,32.0,8.0,0.0,40.0,0.696,64.351,1.225,0.817
A5,15:1,,32.0,8.0,0.0,40.0,0.58,54.231,1.718,0.582
A5,15:1,,32.0,8.0,0.0,40.0,0.549,105.948,1.856,0.539
A5,15:1,,32.0,8.0,0.0,40.0,0.689,66.219,1.409,0.71
A5,15:1,,32.0,8.0,0.0,40.0,0.713,7.28,2.012,0.497
A5,15:1,,32.0,8.0,0.0,40.0,0.558,90.272,1.678,0.596
A5,15:1,,32.0,8.0,0.0,40.0,0.586,82.565,1.031,0.97
A5,15:1,,32.0,8.0,0.0,40.0,0.692,32.202,1.097,0.912
A5,15:1,,32.0,8.0,0.0,40.0,0.681,39.56,1.438,0.695
A5,15:1,,32.0,8.0,0.0,40.0,0.687,30.871,1.556,0.643
A5,15:1,,32.0,8.0,0.0,40.0,0.645,41.0,1.492,0.67
A5,15:1,,32.0,8.0,0.0,40.0,0.756,40.224,1.749,0.572
A5,15:1,,32.0,8.0,0.0,40.0,0.681,52.773,1.638,0.61
A5,15:1,,32.0,8.0,0.0,40.0,0.753,44.777,1.225,0.817
A5,15:1,,32.0,8.0,0.0,40.0,0.515,139.359,1.784,0.56
A5,15:1,,32.0,8.0,0.0,40.0,0.604,71.868,1.662,0.602
A5,15:1,,32.0,8.0,0.0,40.0,0.717,76.322,1.242,0.805
A5,15:1,,32.0,8.0,0.0,40.0,0.587,49.163,1.503,0.666
A5,15:1,,32.0,8.0,0.0,40.0,0.309,9.434,1.835,0.545
A5,15:1,,32.0,8.0,0.0,40.0,0.638,51.971,1.074,0.931
