Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P1444 Group 1 Rev 7 R01,3066.13,3066.13,0.97,0.00,0.00,0.00,153771.01,125536.10,127717.42,1.83,1.00,1.00,160.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.92,1.00,1.09,212.48,1.00,2024-10-29 14:53:58,62.48,64.00,62.48,252.31,2.83,1.00,-40.00,-90.00,0.00,1.15,0.00,1.00,58.07,58.07,1,48.00,50.00,20.85,66.85,1.00,232.27,0.00,0.00,0.00,1.09,26.53,63309,0.00,0.00,0.00,0.00,0.96,24421.00,0.94,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09A7EF962711EF937150EBF6EE7050,127717.42,137285.59,61.36
2024-10-29 P1444 Group 1 Rev 7 R01,2255.37,2255.37,0.95,0.00,0.00,0.00,97414.87,78125.72,80572.97,1.83,2.00,2.00,496.00,323.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.95,1.00,1.05,183.94,1.00,2024-10-29 14:53:58,53.59,54.74,53.59,154.40,2.83,1.00,-85.00,0.00,0.00,1.12,0.00,1.00,49.87,49.87,2,44.00,43.00,43.46,55.86,1.00,199.48,0.00,0.00,0.00,1.08,42.18,63309,0.00,0.00,0.00,0.00,0.97,38899.00,0.93,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09AB86962711EF937150EBF6EE7050,80572.97,85905.28,52.20
2024-10-29 P1444 Group 1 Rev 7 R01,1520.65,1520.65,0.97,0.00,0.00,0.00,60007.55,43860.97,44607.60,1.83,3.00,3.00,772.00,388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.07,153.50,1.00,2024-10-29 14:53:58,44.00,45.18,44.00,172.23,2.83,1.00,5.00,-25.00,0.00,1.10,0.00,1.00,42.43,42.43,3,39.00,39.00,45.93,46.71,1.00,169.73,0.00,0.00,0.00,1.11,44.37,63309,0.00,0.00,0.00,0.00,0.97,29347.00,0.95,2024-10-29 14:53:58,2024-10-29 14:53:58,0.03,2A09ADD7962711EF937150EBF6EE7050,44607.60,48286.08,43.04
2024-10-29 P1444 Group 1 Rev 7 R01,2676.45,2676.45,0.95,0.00,0.00,0.00,124922.67,101797.21,104160.63,1.83,4.00,4.00,170.00,406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,1.00,1.07,199.91,1.00,2024-10-29 14:53:58,58.38,59.73,58.38,164.75,2.83,1.00,-65.00,0.00,0.00,1.17,0.00,1.00,54.18,54.18,4,46.00,46.00,38.25,63.19,1.00,216.73,0.00,0.00,0.00,1.08,39.20,63309,0.00,0.00,0.00,0.00,0.97,39741.00,0.89,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09B004962711EF937150EBF6EE7050,104160.63,111580.25,57.70
2024-10-29 P1444 Group 1 Rev 7 R01,3745.84,3745.84,0.96,0.00,0.00,0.00,198709.05,168653.86,172459.61,1.83,5.00,5.00,813.00,498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.92,1.00,1.09,232.82,1.00,2024-10-29 14:53:58,69.06,70.16,69.06,249.15,2.83,1.00,0.00,-90.00,0.00,1.14,0.00,1.00,63.25,63.25,5,52.00,54.00,22.11,72.35,1.00,252.99,0.00,0.00,0.00,1.09,31.04,63309,0.00,0.00,0.00,0.00,0.96,30930.00,0.96,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09B222962711EF937150EBF6EE7050,172459.61,180832.22,68.69
2024-10-29 P1444 Group 1 Rev 7 R01,2535.58,2535.58,0.98,0.00,0.00,0.00,115873.74,95207.79,96046.37,1.83,6.00,6.00,164.00,614.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.07,194.07,1.00,2024-10-29 14:53:58,56.82,58.10,56.82,157.64,2.83,1.00,10.00,45.00,0.00,1.13,0.00,1.00,52.84,52.84,6,46.00,46.00,40.17,59.53,1.00,211.36,0.00,0.00,0.00,1.09,39.01,63309,0.00,0.00,0.00,0.00,0.97,39811.00,0.94,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09B423962711EF937150EBF6EE7050,96046.37,102702.58,55.86
2024-10-29 P1444 Group 1 Rev 7 R01,2240.83,2240.83,0.97,0.00,0.00,0.00,99654.76,78687.75,79795.35,1.83,7.00,7.00,598.00,820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.93,1.00,1.08,184.46,1.00,2024-10-29 14:53:58,53.41,54.90,53.41,254.95,2.83,1.00,-40.00,-90.00,0.00,1.15,0.00,1.00,50.25,50.25,7,43.00,45.00,23.25,57.70,1.00,201.00,0.00,0.00,0.00,1.09,31.93,63309,0.00,0.00,0.00,0.00,0.96,20691.00,0.93,2024-10-29 14:53:58,2024-10-29 14:53:58,0.03,2A09B627962711EF937150EBF6EE7050,79795.35,86625.82,52.20
2024-10-29 P1444 Group 1 Rev 7 R01,1983.22,1983.22,0.94,0.00,0.00,0.00,85024.58,64252.18,66438.65,1.83,8.00,8.00,245.00,976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.93,1.00,1.08,173.99,1.00,2024-10-29 14:53:58,50.25,51.54,50.25,249.21,2.83,1.00,-65.00,20.00,0.00,1.13,0.00,1.00,47.66,47.66,8,42.00,42.00,26.23,54.03,1.00,190.64,0.00,0.00,0.00,1.10,31.69,63309,0.00,0.00,0.00,0.00,0.96,21007.00,0.94,2024-10-29 14:53:58,2024-10-29 14:53:58,0.03,2A09B82B962711EF937150EBF6EE7050,66438.65,71682.21,48.54
2024-10-29 P1444 Group 1 Rev 7 R01,3208.58,3208.58,0.98,0.00,0.00,0.00,158973.21,135062.59,136720.51,1.83,9.00,9.00,403.00,1304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,216.06,1.00,2024-10-29 14:53:58,63.92,65.02,63.92,226.37,2.83,1.00,60.00,0.00,0.00,1.14,0.00,1.00,58.71,58.71,9,50.00,49.00,27.77,66.85,1.00,234.86,0.00,0.00,0.00,1.09,33.17,63309,0.00,0.00,0.00,0.00,0.97,33849.00,0.95,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09BA3B962711EF937150EBF6EE7050,136720.51,143938.04,63.19
2024-10-29 P1444 Group 1 Rev 7 R01,2147.96,2147.96,0.98,0.00,0.00,0.00,92146.19,74256.76,74886.49,1.83,10.00,10.00,139.00,1372.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.06,180.16,1.00,2024-10-29 14:53:58,52.30,53.47,52.30,247.42,2.83,1.00,-70.00,0.00,0.00,1.14,0.00,1.00,48.95,48.95,10,43.00,43.00,22.27,55.86,1.00,195.82,0.00,0.00,0.00,1.09,27.92,63309,0.00,0.00,0.00,0.00,0.97,19107.00,0.94,2024-10-29 14:53:58,2024-10-29 14:53:58,0.02,2A09BC44962711EF937150EBF6EE7050,74886.49,80055.50,52.20
