Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2092.95,2092.95,0.98,0.00,0.00,0.00,88537.65,71212.09,72028.00,1.83,1.00,1.00,313.00,248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.06,177.63,1.00,2024-10-29 15:07:15,51.62,52.76,51.62,135.19,2.83,1.00,-80.00,0.00,0.00,1.12,0.00,1.00,48.31,48.31,1,43.00,42.00,48.40,54.03,1.00,193.23,0.00,0.00,0.00,1.09,43.54,74489,0.00,0.00,0.00,0.00,0.97,40605.00,0.94,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA425E962911EF937150EBF6EE7050,72028.00,76898.75,50.37
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,3886.84,3886.84,0.76,0.00,0.00,0.00,215828.41,157358.95,182288.28,1.83,2.00,2.00,383.00,519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.90,0.96,1.11,241.66,1.00,2024-10-29 15:07:15,70.35,73.21,70.35,204.61,2.83,1.00,10.00,-90.00,0.00,1.25,0.00,1.00,65.01,65.01,2,47.00,58.00,29.28,81.51,1.00,260.06,0.00,0.00,0.00,1.08,37.91,74489,0.00,0.00,0.00,0.00,0.95,42338.00,0.93,2024-10-29 15:07:15,2024-10-29 15:07:15,0.04,04BA4582962911EF937150EBF6EE7050,182288.28,205478.04,59.53
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,6022.32,6022.32,0.95,0.00,0.00,0.00,395743.94,343057.09,351567.86,1.83,3.00,3.00,338.00,617.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.89,1.00,1.12,293.89,1.00,2024-10-29 15:07:15,87.57,89.80,87.57,162.40,2.83,1.00,30.00,0.00,0.00,1.21,0.00,1.00,79.57,79.57,3,63.00,62.00,32.00,96.16,1.00,318.30,0.00,0.00,0.00,1.08,39.26,74489,0.00,0.00,0.00,0.00,0.95,68759.00,0.90,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA47C7962911EF937150EBF6EE7050,351567.86,379155.32,87.00
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,3431.88,3431.88,0.67,0.00,0.00,0.00,210079.16,122833.19,151238.30,1.83,4.00,4.00,572.00,801.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.82,0.91,1.22,237.53,1.00,2024-10-29 15:07:15,66.10,71.79,66.10,152.18,2.83,1.00,-50.00,45.00,0.00,1.38,0.00,1.00,64.43,64.43,4,52.00,54.00,42.39,88.83,1.00,257.73,0.00,0.00,0.00,1.09,42.38,74489,0.00,0.00,0.00,0.00,0.91,54848.00,0.76,2024-10-29 15:07:15,2024-10-29 15:07:15,0.08,04BA49F1962911EF937150EBF6EE7050,151238.30,193715.36,54.03
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,3847.81,3847.81,0.74,0.00,0.00,0.00,241677.04,155868.45,179549.65,1.83,5.00,5.00,791.00,955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.83,0.94,1.21,245.97,1.00,2024-10-29 15:07:15,69.99,74.49,69.99,230.22,2.83,1.00,-35.00,30.00,0.00,1.26,0.00,1.00,67.51,67.51,5,55.00,58.00,26.20,85.17,1.00,270.05,0.00,0.00,0.00,1.10,34.89,74489,0.00,0.00,0.00,0.00,0.91,37543.00,0.79,2024-10-29 15:07:15,2024-10-29 15:07:15,0.06,04BA4C11962911EF937150EBF6EE7050,179549.65,216374.59,63.19
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,7987.37,7987.37,0.51,0.00,0.00,0.00,431261.65,423263.13,536994.33,1.83,6.00,6.00,765.00,1214.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.62,0.74,1.62,376.27,0.92,2024-10-29 15:07:15,100.85,115.95,100.85,210.81,2.83,2.71,70.00,0.00,0.12,0.89,0.00,0.37,159.09,58.75,6,91.00,59.00,25.87,141.95,1.00,435.67,0.00,0.00,0.00,1.16,33.57,74489,0.00,0.00,0.00,0.00,0.79,72074.00,0.36,2024-10-29 15:07:15,2024-10-29 15:07:15,0.13,04BA4E1D962911EF937150EBF6EE7050,536994.33,816236.48,81.51
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,5276.30,5276.30,0.98,0.00,0.00,0.00,341438.38,285111.30,288308.52,1.83,9.00,9.00,773.00,1537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.87,1.00,1.14,274.91,1.00,2024-10-29 15:07:15,81.96,83.49,81.96,193.32,2.83,1.00,-90.00,0.00,0.00,1.12,0.00,1.00,75.75,75.75,7,61.00,59.00,26.11,85.17,1.00,303.02,0.00,0.00,0.00,1.10,34.33,74489,0.00,0.00,0.00,0.00,0.94,49743.00,0.93,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA544D962911EF937150EBF6EE7050,288308.52,304725.48,81.51
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2956.59,2956.59,0.97,0.00,0.00,0.00,140848.05,118854.57,120934.45,1.83,10.00,10.00,400.00,1621.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.06,208.80,1.00,2024-10-29 15:07:15,61.36,62.68,61.36,237.03,2.83,1.00,55.00,0.00,0.00,1.19,0.00,1.00,56.39,56.39,8,48.00,47.00,24.36,66.85,1.00,225.57,0.00,0.00,0.00,1.08,30.98,74489,0.00,0.00,0.00,0.00,0.97,27619.00,0.94,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA5659962911EF937150EBF6EE7050,120934.45,128948.16,59.53
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,3015.77,3015.77,0.97,0.00,0.00,0.00,148683.55,122450.52,124583.81,1.83,13.00,13.00,275.00,1850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.92,1.00,1.08,211.16,1.00,2024-10-29 15:07:15,61.97,63.44,61.97,191.08,2.83,1.00,-70.00,-90.00,0.00,1.16,0.00,1.00,57.42,57.42,9,48.00,49.00,33.29,66.85,1.00,229.68,0.00,0.00,0.00,1.09,38.42,74489,0.00,0.00,0.00,0.00,0.96,38420.00,0.92,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA5C90962911EF937150EBF6EE7050,124583.81,133715.69,61.36
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2275.73,2275.73,0.99,0.00,0.00,0.00,103557.35,81153.24,81666.41,1.83,14.00,14.00,361.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.92,1.00,1.09,185.40,1.00,2024-10-29 15:07:15,53.83,55.25,53.83,253.08,2.91,1.00,-20.00,-90.00,0.00,1.13,0.00,1.00,50.90,50.90,10,44.00,45.00,23.43,57.70,1.00,203.59,0.00,0.00,0.00,1.10,33.83,74490,0.00,0.00,0.00,0.00,0.96,21131.00,0.92,2024-10-29 15:07:15,2024-10-29 15:07:15,0.03,04BA5E98962911EF937150EBF6EE7050,81666.41,88322.73,54.03
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2617.70,2617.70,0.98,0.00,0.00,0.00,123076.51,99784.60,100749.71,1.83,15.00,15.00,235.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.92,1.00,1.08,197.71,1.00,2024-10-29 15:07:15,57.73,59.27,57.73,186.91,2.91,1.00,35.00,0.00,0.00,1.14,0.00,1.00,53.91,53.91,11,46.00,46.00,36.99,61.36,1.00,215.65,0.00,0.00,0.00,1.09,40.48,74490,0.00,0.00,0.00,0.00,0.96,37690.00,0.90,2024-10-29 15:07:15,2024-10-29 15:07:15,0.03,04BA60A2962911EF937150EBF6EE7050,100749.71,109033.71,57.70
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2357.28,2357.28,0.97,0.00,0.00,0.00,105890.08,84842.07,86095.55,1.83,16.00,16.00,337.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,1.00,1.07,188.62,1.00,2024-10-29 15:07:15,54.78,56.32,54.78,155.98,2.91,1.00,-85.00,0.00,0.00,1.16,0.00,1.00,51.28,51.28,12,46.00,44.00,45.25,59.53,1.00,205.11,0.00,0.00,0.00,1.09,44.44,74490,0.00,0.00,0.00,0.00,0.97,42078.00,0.89,2024-10-29 15:07:15,2024-10-29 15:07:15,0.03,04BA62AE962911EF937150EBF6EE7050,86095.55,93546.14,54.03
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,8049.41,8049.41,0.98,0.00,0.00,0.00,569215.19,538453.32,543262.40,1.83,17.00,17.00,539.00,1174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.09,334.08,1.00,2024-10-29 15:07:15,101.24,102.47,101.24,188.49,2.91,1.00,5.00,-65.00,0.00,1.15,0.00,1.00,89.82,89.82,13,70.00,70.00,24.84,103.49,1.00,359.30,0.00,0.00,0.00,1.08,33.16,74490,0.00,0.00,0.00,0.00,0.96,69705.00,0.95,2024-10-29 15:07:15,2024-10-29 15:07:15,0.01,04BA64C3962911EF937150EBF6EE7050,543262.40,563328.11,99.82
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,3584.19,3584.19,0.98,0.00,0.00,0.00,188174.77,159385.95,161417.20,1.83,18.00,18.00,674.00,1233.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.09,228.52,1.00,2024-10-29 15:07:15,67.55,68.79,67.55,174.77,2.91,1.00,55.00,0.00,0.00,1.16,0.00,1.00,62.11,62.11,14,52.00,51.00,32.89,72.35,1.00,248.44,0.00,0.00,0.00,1.09,38.27,74490,0.00,0.00,0.00,0.00,0.96,44234.00,0.94,2024-10-29 15:07:15,2024-10-29 15:07:15,0.02,04BA66CE962911EF937150EBF6EE7050,161417.20,170417.07,66.85
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,6203.33,6203.33,0.48,0.00,0.00,0.00,324468.12,261004.09,367537.50,1.83,19.00,19.00,721.00,1385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.65,0.75,1.53,331.91,0.95,2024-10-29 15:07:15,88.87,101.65,88.87,227.40,2.91,2.38,80.00,-10.00,0.06,0.94,0.00,0.42,132.81,55.77,15,82.00,53.00,23.78,125.46,1.00,377.17,0.00,0.00,0.00,1.14,33.10,74490,0.00,0.00,0.00,0.00,0.81,52509.00,0.77,2024-10-29 15:07:15,2024-10-29 15:07:15,0.13,04BA68EA962911EF937150EBF6EE7050,367537.50,550008.59,61.36
2024-10-29 P1444 Group 2 Rev 6 R01_PP2,2995.05,2995.05,0.94,0.00,0.00,0.00,158973.21,119630.71,123301.94,1.83,21.00,21.00,506.00,1537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.88,1.00,1.14,211.42,1.00,2024-10-29 15:07:15,61.75,63.60,61.75,167.01,2.91,1.00,-80.00,0.00,0.00,1.14,0.00,1.00,58.71,58.71,16,50.00,48.00,36.71,66.85,1.00,234.86,0.00,0.00,0.00,1.11,40.88,74490,0.00,0.00,0.00,0.00,0.94,42111.00,0.89,2024-10-29 15:07:15,2024-10-29 15:07:15,0.03,04BA6D2C962911EF937150EBF6EE7050,123301.94,134683.09,61.36
