Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,2600.09,2600.09,0.96,0.00,0.00,0.00,123838.99,97790.49,99734.76,1.83,3.00,3.00,255.00,572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.91,1.00,1.09,196.99,1.00,2024-10-29 15:13:36,57.54,58.87,57.54,185.44,2.81,1.00,55.00,20.00,0.00,1.14,0.00,1.00,54.02,54.02,1,47.00,46.00,37.54,61.36,1.00,216.10,0.00,0.00,0.00,1.10,40.40,75512,0.00,0.00,0.00,0.00,0.96,38028.00,0.93,2024-10-29 15:13:36,2024-10-29 15:13:36,0.02,E81F13D7962911EF937150EBF6EE7050,99734.76,106802.91,55.86
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,1733.67,1733.67,0.91,0.00,0.00,0.00,87928.15,51796.78,54301.53,1.83,4.00,4.00,419.00,724.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.81,0.99,1.23,167.92,1.00,2024-10-29 15:13:36,46.98,49.55,46.98,173.37,2.81,1.00,5.00,-90.00,0.00,1.08,0.00,1.00,48.20,48.20,2,39.00,42.00,44.08,52.20,1.00,192.78,0.00,0.00,0.00,1.15,55.37,75512,0.00,0.00,0.00,0.00,0.90,31474.00,0.83,2024-10-29 15:13:36,2024-10-29 15:13:36,0.05,E81F15F8962911EF937150EBF6EE7050,54301.53,63717.67,44.87
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,3641.02,3641.02,1.00,0.00,0.00,0.00,208994.25,165124.70,165271.71,1.83,5.00,5.00,480.00,852.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.87,1.00,1.15,232.70,1.00,2024-10-29 15:13:36,68.09,70.31,68.09,155.69,2.81,1.00,80.00,0.00,0.00,1.18,0.00,1.00,64.32,64.32,3,54.00,52.00,37.39,76.01,1.00,257.28,0.00,0.00,0.00,1.11,39.35,75512,0.00,0.00,0.00,0.00,0.93,51002.00,0.88,2024-10-29 15:13:36,2024-10-29 15:13:36,0.03,E81F1815962911EF937150EBF6EE7050,165271.71,182014.99,68.69
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,2688.21,2688.21,0.98,0.00,0.00,0.00,121248.63,103967.41,104847.91,1.83,6.00,6.00,301.00,1089.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.05,199.22,1.00,2024-10-29 15:13:36,58.50,59.58,58.50,182.04,2.81,1.00,-75.00,0.00,0.00,1.14,0.00,1.00,53.64,53.64,4,46.00,46.00,34.32,61.36,1.00,214.58,0.00,0.00,0.00,1.08,37.60,75512,0.00,0.00,0.00,0.00,0.98,35793.00,0.96,2024-10-29 15:13:36,2024-10-29 15:13:36,0.02,E81F1A29962911EF937150EBF6EE7050,104847.91,110727.04,57.70
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,2750.01,2750.01,0.86,0.00,0.00,0.00,152890.02,102434.05,108483.80,1.83,7.00,7.00,454.00,1479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.83,0.97,1.20,208.25,1.00,2024-10-29 15:13:36,59.17,62.38,59.17,120.68,2.81,1.00,15.00,-20.00,0.00,1.19,0.00,1.00,57.96,57.96,5,46.00,49.00,45.64,68.69,1.00,231.82,0.00,0.00,0.00,1.11,47.24,75512,0.00,0.00,0.00,0.00,0.91,48562.00,0.82,2024-10-29 15:13:36,2024-10-29 15:13:36,0.05,E81F1C30962911EF937150EBF6EE7050,108483.80,127073.34,55.86
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,4441.32,4441.32,0.50,0.00,0.00,0.00,213916.79,161019.93,222654.43,1.83,9.00,9.00,310.00,1726.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.76,1.48,282.11,0.95,2024-10-29 15:13:36,75.20,86.14,75.20,192.37,2.81,2.20,-90.00,5.00,0.04,0.96,0.00,0.45,109.78,49.81,6,72.00,46.00,30.49,105.32,1.00,319.19,0.00,0.00,0.00,1.13,34.52,75512,0.00,0.00,0.00,0.00,0.82,49705.00,0.71,2024-10-29 15:13:36,2024-10-29 15:13:36,0.13,E81F2038962911EF937150EBF6EE7050,222654.43,334621.54,54.03
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,1690.90,1690.90,0.94,0.00,0.00,0.00,75045.32,50717.41,52304.47,1.83,11.00,11.00,633.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.88,1.00,1.13,163.49,1.00,2024-10-29 15:13:36,46.40,48.23,46.40,244.44,2.91,1.00,0.00,-90.00,0.00,1.10,0.00,1.00,45.72,45.72,7,39.00,42.00,30.20,50.37,1.00,182.87,0.00,0.00,0.00,1.12,38.86,75513,0.00,0.00,0.00,0.00,0.94,21107.00,0.88,2024-10-29 15:13:36,2024-10-29 15:13:36,0.04,E81F2440962911EF937150EBF6EE7050,52304.47,58750.02,44.87
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,6553.73,6553.73,0.90,0.00,0.00,0.00,406212.58,379068.53,399113.48,1.83,13.00,13.00,446.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.73,0.99,1.38,315.47,0.98,2024-10-29 15:13:36,91.35,96.46,91.35,131.30,2.91,1.77,35.00,-35.00,0.08,0.93,0.00,0.57,117.32,66.40,8,65.00,67.00,33.86,108.98,1.00,367.44,0.00,0.00,0.00,1.16,54.39,75513,0.00,0.00,0.00,0.00,0.85,78622.00,0.77,2024-10-29 15:13:36,2024-10-29 15:13:36,0.05,E81F2833962911EF937150EBF6EE7050,399113.48,470000.18,85.17
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,3512.47,3512.47,0.98,0.00,0.00,0.00,183340.75,154889.52,156596.59,1.83,15.00,15.00,385.00,623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.09,226.04,1.00,2024-10-29 15:13:36,66.87,68.07,66.87,174.63,2.91,1.00,-90.00,0.00,0.00,1.12,0.00,1.00,61.57,61.57,9,52.00,51.00,35.17,68.69,1.00,246.29,0.00,0.00,0.00,1.09,39.31,75513,0.00,0.00,0.00,0.00,0.96,46460.00,0.94,2024-10-29 15:13:36,2024-10-29 15:13:36,0.02,E81F2C2B962911EF937150EBF6EE7050,156596.59,165177.68,66.85
2024-10-29 P1444 Group 2 Rev 7 R01_PP2,2859.09,2859.09,0.96,0.00,0.00,0.00,134096.86,112651.50,115001.96,1.83,16.00,16.00,550.00,1040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.94,1.00,1.06,205.74,1.00,2024-10-29 15:13:36,60.33,61.71,60.33,164.90,2.91,1.00,20.00,0.00,0.00,1.14,0.00,1.00,55.48,55.48,10,48.00,46.00,38.23,63.19,1.00,221.91,0.00,0.00,0.00,1.08,39.51,75513,0.00,0.00,0.00,0.00,0.97,42094.00,0.90,2024-10-29 15:13:36,2024-10-29 15:13:36,0.02,E81F2E2B962911EF937150EBF6EE7050,115001.96,123073.75,57.70
