Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,2594.22,2594.22,0.98,0.00,0.00,0.00,131035.95,98560.73,99397.30,1.83,1.00,1.00,562.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.88,1.00,1.14,198.34,1.00,2024-10-29 15:40:41,57.47,59.32,57.47,248.89,2.91,1.00,0.00,45.00,0.00,1.11,0.00,1.00,55.05,55.05,1,46.00,48.00,24.05,61.36,1.00,220.20,0.00,0.00,0.00,1.11,34.64,77558,0.00,0.00,0.00,0.00,0.94,24311.00,0.90,2024-10-29 15:40:41,2024-10-29 15:40:41,0.03,B0597960962D11EF937150EBF6EE7050,99397.30,109314.73,55.86
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,2941.80,2941.80,0.88,0.00,0.00,0.00,149907.50,111999.03,120028.45,1.83,2.00,2.00,476.00,1364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.90,0.99,1.11,209.49,1.00,2024-10-29 15:40:41,61.20,62.88,61.20,189.35,2.91,1.00,-40.00,55.00,0.00,1.19,0.00,1.00,57.58,57.58,2,47.00,49.00,34.29,68.69,1.00,230.31,0.00,0.00,0.00,1.10,39.00,77558,0.00,0.00,0.00,0.00,0.95,38708.00,0.88,2024-10-29 15:40:41,2024-10-29 15:40:41,0.03,B0597D20962D11EF937150EBF6EE7050,120028.45,130208.23,57.70
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,4747.18,4747.18,0.98,0.00,0.00,0.00,280546.24,243604.63,246046.63,1.83,3.00,3.00,390.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.91,1.00,1.10,260.36,1.00,2024-10-29 15:40:41,77.75,79.06,77.75,246.65,2.98,1.00,-85.00,0.00,0.00,1.12,0.00,1.00,70.95,70.95,3,57.00,57.00,21.47,79.67,1.00,283.81,0.00,0.00,0.00,1.09,33.16,77559,0.00,0.00,0.00,0.00,0.95,37172.00,0.94,2024-10-29 15:40:41,2024-10-29 15:40:41,0.02,B0597F98962D11EF937150EBF6EE7050,246046.63,258783.19,77.84
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,3793.81,3793.81,0.97,0.00,0.00,0.00,194122.23,173024.12,175782.98,1.83,4.00,4.00,279.00,1101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.06,233.82,1.00,2024-10-29 15:40:41,69.50,70.57,69.50,185.94,3.06,1.00,-70.00,0.00,0.00,1.15,0.00,1.00,62.76,62.76,4,52.00,52.00,30.96,72.35,1.00,251.03,0.00,0.00,0.00,1.07,36.93,77560,0.00,0.00,0.00,0.00,0.97,43805.00,0.96,2024-10-29 15:40:41,2024-10-29 15:40:41,0.02,B05981FE962D11EF937150EBF6EE7050,175782.98,183997.71,68.69
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,3345.44,3345.44,0.94,0.00,0.00,0.00,176646.79,140861.30,145560.42,1.83,5.00,5.00,529.00,1478.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.90,1.00,1.11,221.94,1.00,2024-10-29 15:40:41,65.27,66.75,65.27,187.36,3.06,1.00,-55.00,0.00,0.00,1.16,0.00,1.00,60.81,60.81,5,52.00,49.00,32.99,70.52,1.00,243.26,0.00,0.00,0.00,1.10,37.22,77560,0.00,0.00,0.00,0.00,0.95,41733.00,0.91,2024-10-29 15:40:41,2024-10-29 15:40:41,0.02,B059843E962D11EF937150EBF6EE7050,145560.42,155734.39,63.19
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,3012.81,3012.81,0.96,0.00,0.00,0.00,163370.68,122189.62,124400.38,1.83,6.00,6.00,348.00,897.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.87,1.00,1.16,213.07,1.00,2024-10-29 15:40:41,61.94,64.00,61.94,201.69,3.23,1.00,-30.00,25.00,0.00,1.13,0.00,1.00,59.25,59.25,6,49.00,49.00,33.08,66.85,1.00,237.00,0.00,0.00,0.00,1.11,43.41,77561,0.00,0.00,0.00,0.00,0.93,38139.00,0.88,2024-10-29 15:40:41,2024-10-29 15:40:41,0.03,B059865A962D11EF937150EBF6EE7050,124400.38,137285.59,59.53
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,3925.89,3925.89,0.88,0.00,0.00,0.00,224136.74,175895.91,185042.14,1.83,7.00,7.00,383.00,1613.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.89,0.98,1.13,243.47,1.00,2024-10-29 15:40:41,70.70,73.67,70.70,160.50,3.23,1.00,-85.00,-5.00,0.00,1.21,0.00,1.00,65.84,65.84,7,57.00,52.00,33.75,79.67,1.00,263.35,0.00,0.00,0.00,1.08,35.86,77561,0.00,0.00,0.00,0.00,0.94,49234.00,0.81,2024-10-29 15:40:41,2024-10-29 15:40:41,0.04,B05988B6962D11EF937150EBF6EE7050,185042.14,209357.59,66.85
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,1276.52,1276.52,0.97,0.00,0.00,0.00,45377.10,33769.63,34308.71,1.83,8.00,8.00,722.00,563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.97,1.00,1.03,141.66,1.00,2024-10-29 15:40:41,40.32,41.57,40.32,241.26,3.31,1.00,-75.00,-90.00,0.00,1.11,0.00,1.00,38.66,38.66,8,36.00,37.00,34.15,43.04,1.00,154.64,0.00,0.00,0.00,1.09,39.38,77562,0.00,0.00,0.00,0.00,0.99,18850.00,0.94,2024-10-29 15:40:41,2024-10-29 15:40:41,0.03,B0598B10962D11EF937150EBF6EE7050,34308.71,37605.31,39.38
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,2237.93,2237.93,1.00,0.00,0.00,0.00,99654.76,79511.91,79640.17,1.83,9.00,9.00,282.00,570.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.93,1.00,1.08,183.53,1.00,2024-10-29 15:40:41,53.38,54.54,53.38,233.06,3.31,1.00,5.00,0.00,0.00,1.11,0.00,1.00,50.25,50.25,9,44.00,44.00,31.33,55.86,1.00,201.00,0.00,0.00,0.00,1.10,39.34,77562,0.00,0.00,0.00,0.00,0.96,27853.00,0.94,2024-10-29 15:40:41,2024-10-29 15:40:41,0.02,B0598D31962D11EF937150EBF6EE7050,79640.17,84950.78,54.03
2024-10-29 P1444 Group 2 Rev 9 R01 PP1,2462.41,2462.41,0.96,0.00,0.00,0.00,106866.49,90041.80,91918.70,1.83,10.00,10.00,482.00,1357.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.96,1.00,1.04,191.11,1.00,2024-10-29 15:40:41,55.99,57.03,55.99,193.56,3.31,1.00,-70.00,0.00,0.00,1.16,0.00,1.00,51.43,51.43,10,45.00,44.00,34.65,59.53,1.00,205.74,0.00,0.00,0.00,1.08,37.01,77562,0.00,0.00,0.00,0.00,0.98,33470.00,0.96,2024-10-29 15:40:41,2024-10-29 15:40:41,0.02,B0598F43962D11EF937150EBF6EE7050,91918.70,97140.39,54.03
