Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P2002 Group 2 Rev 2 R01,6855.57,6855.57,0.91,0.00,0.00,0.00,495769.84,406944.40,427000.91,1.83,1.00,1.00,249.00,1544.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.87,0.99,1.15,312.46,1.00,2024-10-30 09:29:08,93.43,95.80,93.43,150.70,2.81,1.00,-80.00,10.00,0.00,1.19,0.00,1.00,85.78,85.78,1,69.00,64.00,29.28,101.65,1.00,343.13,0.00,0.00,0.00,1.10,38.02,30726,0.00,0.00,0.00,0.00,0.93,70853.00,0.92,2024-10-30 09:29:08,2024-10-30 09:29:08,0.02,F5A49B3196C211EF937150EBF6EE7050,427000.91,460398.59,88.83
2024-10-30 P2002 Group 2 Rev 2 R01,1805.13,1805.13,0.99,0.00,0.00,0.00,74818.91,57526.18,57693.24,1.83,2.00,2.00,255.00,754.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,166.49,1.00,2024-10-30 09:29:08,47.94,49.30,47.94,235.73,3.56,1.00,-90.00,45.00,0.00,1.10,0.00,1.00,45.67,45.67,2,42.00,41.00,31.13,50.37,1.00,182.68,0.00,0.00,0.00,1.10,38.63,30727,0.00,0.00,0.00,0.00,0.97,23008.00,0.90,2024-10-30 09:29:08,2024-10-30 09:29:08,0.03,F5A49E2E96C211EF937150EBF6EE7050,57693.24,62741.42,46.71
2024-10-30 P2002 Group 2 Rev 2 R01,2229.21,2229.21,0.98,0.00,0.00,0.00,97414.87,78140.99,79175.31,1.83,3.00,3.00,422.00,1791.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.07,182.96,1.00,2024-10-30 09:29:08,53.28,54.44,53.28,226.36,3.66,1.00,15.00,-90.00,0.00,1.12,0.00,1.00,49.87,49.87,3,43.00,44.00,29.81,55.86,1.00,199.48,0.00,0.00,0.00,1.09,35.00,30728,0.00,0.00,0.00,0.00,0.97,26413.00,0.93,2024-10-30 09:29:08,2024-10-30 09:29:08,0.02,F5A4A07296C211EF937150EBF6EE7050,79175.31,84476.20,52.20
2024-10-30 P2002 Group 2 Rev 2 R01,1173.83,1173.83,0.95,0.00,0.00,0.00,48678.95,29593.07,30253.11,1.83,4.00,4.00,218.00,1275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.87,0.99,1.15,139.62,1.00,2024-10-30 09:29:08,38.66,40.70,38.66,218.39,3.98,1.00,0.00,45.00,0.00,1.09,0.00,1.00,39.57,39.57,4,36.00,38.00,33.57,43.04,1.00,158.30,0.00,0.00,0.00,1.13,42.64,30729,0.00,0.00,0.00,0.00,0.93,17290.00,0.87,2024-10-30 09:29:08,2024-10-30 09:29:08,0.05,F5A4A29D96C211EF937150EBF6EE7050,30253.11,35306.36,37.55
2024-10-30 P2002 Group 2 Rev 2 R01,3080.95,3080.95,0.97,0.00,0.00,0.00,152526.09,126602.58,128644.58,1.83,5.00,5.00,810.00,842.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.08,212.44,1.00,2024-10-30 09:29:08,62.63,63.85,62.63,254.29,4.31,1.00,-80.00,15.00,0.00,1.15,0.00,1.00,57.91,57.91,5,50.00,49.00,19.51,66.85,1.00,231.64,0.00,0.00,0.00,1.09,29.11,30730,0.00,0.00,0.00,0.00,0.96,22940.00,0.94,2024-10-30 09:29:08,2024-10-30 09:29:08,0.02,F5A4A4DC96C211EF937150EBF6EE7050,128644.58,136305.76,61.36
2024-10-30 P2002 Group 2 Rev 2 R01,2770.63,2770.63,0.95,0.00,0.00,0.00,128345.82,106694.21,109706.04,1.83,6.00,6.00,317.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.06,202.01,1.00,2024-10-30 09:29:08,59.39,60.65,59.39,245.55,4.41,1.00,35.00,0.00,0.00,1.16,0.00,1.00,54.67,54.67,6,48.00,46.00,23.54,63.19,1.00,218.69,0.00,0.00,0.00,1.08,34.62,30731,0.00,0.00,0.00,0.00,0.97,25209.00,0.95,2024-10-30 09:29:08,2024-10-30 09:29:08,0.02,F5A4A6F796C211EF937150EBF6EE7050,109706.04,116791.65,57.70
2024-10-30 P2002 Group 2 Rev 2 R01,1710.85,1710.85,0.82,0.00,0.00,0.00,76698.75,48506.26,53232.86,1.83,7.00,7.00,492.00,1447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.88,0.96,1.14,167.18,1.00,2024-10-30 09:29:08,46.67,49.40,46.67,216.68,4.91,1.00,-20.00,45.00,0.00,1.25,0.00,1.00,46.05,46.05,7,39.00,45.00,34.66,57.70,1.00,184.20,0.00,0.00,0.00,1.10,37.83,30732,0.00,0.00,0.00,0.00,0.94,24473.00,0.76,2024-10-30 09:29:08,2024-10-30 09:29:08,0.06,F5A4A93996C211EF937150EBF6EE7050,53232.86,63130.72,43.04
2024-10-30 P2002 Group 2 Rev 2 R01,4235.97,4235.97,0.83,0.00,0.00,0.00,291550.18,189371.03,207392.27,1.83,8.00,8.00,789.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.97,1.26,254.06,1.00,2024-10-30 09:29:08,73.44,77.03,73.44,161.77,4.98,1.00,-85.00,0.00,0.00,1.21,0.00,1.00,71.87,71.87,8,61.00,52.00,33.48,87.00,1.00,287.48,0.00,0.00,0.00,1.13,49.99,30733,0.00,0.00,0.00,0.00,0.89,52288.00,0.81,2024-10-30 09:29:08,2024-10-30 09:29:08,0.05,F5A4AB6796C211EF937150EBF6EE7050,207392.27,239309.89,68.69
2024-10-30 P2002 Group 2 Rev 2 R01,1888.28,1888.28,0.97,0.00,0.00,0.00,80790.17,60979.55,61725.26,1.83,9.00,9.00,646.00,1606.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.92,1.00,1.08,171.47,1.00,2024-10-30 09:29:08,49.03,50.47,49.03,215.01,5.48,1.00,60.00,0.00,0.00,1.15,0.00,1.00,46.86,46.86,9,43.00,41.00,32.64,54.03,1.00,187.42,0.00,0.00,0.00,1.09,36.94,30734,0.00,0.00,0.00,0.00,0.96,25066.00,0.89,2024-10-30 09:29:08,2024-10-30 09:29:08,0.03,F5A4AD8796C211EF937150EBF6EE7050,61725.26,67315.96,48.54
2024-10-30 P2002 Group 2 Rev 2 R01,1891.15,1891.15,0.96,0.00,0.00,0.00,84186.41,60498.76,61866.14,1.83,10.00,10.00,314.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.90,1.00,1.11,170.89,1.00,2024-10-30 09:29:08,49.07,50.57,49.07,244.42,5.91,1.00,-75.00,10.00,0.00,1.10,0.00,1.00,47.50,47.50,10,42.00,42.00,29.52,52.20,1.00,190.01,0.00,0.00,0.00,1.11,37.71,30735,0.00,0.00,0.00,0.00,0.95,22700.00,0.87,2024-10-30 09:29:08,2024-10-30 09:29:08,0.03,F5A4AFA296C211EF937150EBF6EE7050,61866.14,67723.93,48.54
