"Name","Area (ABD) (�m�)","Area (Filled) (�m�)","Aspect Ratio","Average Blue","Average Green","Average Red","Biovolume (Cylinder) (�m�)","Biovolume (P. Spheroid) (�m�)","Biovolume (Sphere) (�m�)","Calibration Factor","Calibration Image","Capture ID","Capture X (px)","Capture Y (px)","Ch1 Area","Ch1 Peak","Ch1 Width","Ch2 Area","Ch2 Peak","Ch2 Width","Ch2/Ch1 Ratio","Circle Fit","Circularity","Circularity (Hu)","Compactness","Convex Perimeter (�m)","Convexity","Date","Diameter (ABD) (�m)","Diameter (ESD) (�m)","Diameter (FD) (�m)","Edge Gradient","Elapsed Time (s)","Elongation","Feret Angle Max (�)","Feret Angle Min (�)","Fiber Curl","Fiber Straightness","Filter Score","Geodesic Aspect Ratio","Geodesic Length (�m)","Geodesic Thickness (�m)","Group ID","Image Height (px)","Image Width (px)","Intensity","Length (�m)","Particles Per Chain","Perimeter (�m)","Ratio Blue/Green","Ratio Red/Blue","Ratio Red/Green","Roughness","Sigma Intensity","Source Image","Sphere Complement (�m�)","Sphere Count","Sphere Unknown (�m�)","Sphere Volume (�m�)","Sqrt Circularity","Sum Intensity","Symmetry","Time","Timestamp","Transparency","UUID","Volume (ABD) (�m�)","Volume (ESD) (�m�)","Width (�m)"
"2024-10-30 P2328 Group 1 Rev 2 R01","3271.02","3271.02","0.94","0.00","0.00","0.00","182759.98","137474.57","140730.62","1.83","1.00","1.00","141.00","744.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.86","0.99","1.16","225.06","1.00","2024-10-30 11:31:51","64.54","67.87","64.54","254.16","2.98","1.00","-60.00","0.00","0.00","1.21","0.00","1.00","61.51","61.51","1","50.00","48.00","20.14","74.18","1.00","246.03","0.00","0.00","0.00","1.09","29.23","42549","0.00","0.00","0.00","0.00","0.93","24978.00","0.84","2024-10-30 11:31:51","2024-10-30 11:31:51","0.05","1A25C4FE96D411EF937150EBF6EE7050","140730.62","163700.69","61.36"
"2024-10-30 P2328 Group 1 Rev 2 R01","5866.03","5866.03","0.89","0.00","0.00","0.00","421256.01","322342.99","337971.69","1.83","2.00","2.00","522.00","1252.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.84","0.84","0.98","1.19","295.24","1.00","2024-10-30 11:31:51","86.42","90.31","86.42","193.06","2.98","1.00","20.00","-90.00","0.00","1.23","0.00","1.00","81.25","81.25","2","60.00","68.00","28.35","99.82","1.00","325.00","0.00","0.00","0.00","1.10","37.11","42549","0.00","0.00","0.00","0.00","0.92","59477.00","0.83","2024-10-30 11:31:51","2024-10-30 11:31:51","0.04","1A25CA3F96D411EF937150EBF6EE7050","337971.69","385636.47","83.34"
"2024-10-30 P2328 Group 1 Rev 2 R01","3787.81","3787.81","0.94","0.00","0.00","0.00","212713.81","170575.26","175366.28","1.83","3.00","3.00","480.00","1772.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.89","0.89","0.99","1.12","237.39","1.00","2024-10-30 11:31:51","69.45","71.53","69.45","215.40","3.08","1.00","5.00","-90.00","0.00","1.20","0.00","1.00","64.70","64.70","3","51.00","56.00","28.05","77.84","1.00","258.80","0.00","0.00","0.00","1.09","34.77","42550","0.00","0.00","0.00","0.00","0.94","39636.00","0.89","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A25CC9796D411EF937150EBF6EE7050","175366.28","191663.31","66.85"
"2024-10-30 P2328 Group 1 Rev 2 R01","1659.58","1659.58","0.97","0.00","0.00","0.00","63977.29","49852.30","50858.27","1.83","4.00","4.00","704.00","1199.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.96","1.00","1.04","159.39","1.00","2024-10-30 11:31:51","45.97","46.86","45.97","178.30","3.16","1.00","10.00","-90.00","0.00","1.12","0.00","1.00","43.35","43.35","4","39.00","40.00","41.64","48.54","1.00","173.40","0.00","0.00","0.00","1.09","42.20","42551","0.00","0.00","0.00","0.00","0.98","28645.00","0.92","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25CEC796D411EF937150EBF6EE7050","50858.27","53871.85","44.87"
"2024-10-30 P2328 Group 1 Rev 2 R01","2194.36","2194.36","0.98","0.00","0.00","0.00","94304.87","76539.25","77326.18","1.83","5.00","5.00","936.00","353.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.95","1.00","1.06","181.39","1.00","2024-10-30 11:31:51","52.86","53.88","52.86","130.82","3.23","1.00","20.00","0.00","0.00","1.13","0.00","1.00","49.33","49.33","5","44.00","43.00","49.20","55.86","1.00","197.34","0.00","0.00","0.00","1.09","44.43","42552","0.00","0.00","0.00","0.00","0.97","43000.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25D0E396D411EF937150EBF6EE7050","77326.18","81897.55","52.20"
"2024-10-30 P2328 Group 1 Rev 2 R01","2650.01","2650.01","0.99","0.00","0.00","0.00","122003.55","101870.37","102620.45","1.83","6.00","6.00","262.00","753.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.94","1.00","1.06","198.00","1.00","2024-10-30 11:31:51","58.09","59.27","58.09","233.82","3.33","1.00","-90.00","0.00","0.00","1.11","0.00","1.00","53.76","53.76","6","47.00","46.00","29.76","59.53","1.00","215.02","0.00","0.00","0.00","1.09","37.05","42553","0.00","0.00","0.00","0.00","0.97","30655.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25D2F696D411EF937150EBF6EE7050","102620.45","109033.71","57.70"
"2024-10-30 P2328 Group 1 Rev 2 R01","1997.64","1997.64","0.95","0.00","0.00","0.00","83597.07","65339.66","67164.27","1.83","7.00","7.00","932.00","1717.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.95","1.00","1.06","173.85","1.00","2024-10-30 11:31:51","50.43","51.49","50.43","189.25","3.33","1.00","0.00","-90.00","0.00","1.10","0.00","1.00","47.39","47.39","7","41.00","43.00","39.50","52.20","1.00","189.57","0.00","0.00","0.00","1.09","41.29","42553","0.00","0.00","0.00","0.00","0.97","31839.00","0.96","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25D50796D411EF937150EBF6EE7050","67164.27","71470.13","48.54"
"2024-10-30 P2328 Group 1 Rev 2 R01","1436.08","1436.08","0.92","0.00","0.00","0.00","53616.32","38998.83","40938.43","1.83","8.00","8.00","418.00","1312.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93","0.96","1.00","1.04","149.59","1.00","2024-10-30 11:31:51","42.76","43.96","42.76","168.42","3.41","1.00","-80.00","0.00","0.00","1.14","0.00","1.00","40.87","40.87","8","39.00","37.00","44.78","46.71","1.00","163.48","0.00","0.00","0.00","1.09","40.82","42554","0.00","0.00","0.00","0.00","0.98","27272.00","0.93","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A25D71A96D411EF937150EBF6EE7050","40938.43","44475.85","41.21"
"2024-10-30 P2328 Group 1 Rev 2 R01","1642.52","1642.52","0.97","0.00","0.00","0.00","66173.43","49111.49","50076.01","1.83","9.00","9.00","820.00","1621.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.93","1.00","1.07","159.52","1.00","2024-10-30 11:31:51","45.73","46.91","45.73","234.76","3.41","1.00","-90.00","20.00","0.00","1.11","0.00","1.00","43.84","43.84","9","41.00","40.00","29.29","48.54","1.00","175.36","0.00","0.00","0.00","1.10","34.24","42554","0.00","0.00","0.00","0.00","0.97","19973.00","0.92","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A25D92396D411EF937150EBF6EE7050","50076.01","54047.52","44.87"
"2024-10-30 P2328 Group 1 Rev 2 R01","3542.34","3542.34","0.95","0.00","0.00","0.00","224607.10","154397.04","158598.61","1.83","10.00","10.00","156.00","1389.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87","0.81","1.00","1.24","230.70","1.00","2024-10-30 11:31:51","67.16","69.75","67.16","158.72","3.48","1.00","70.00","0.00","0.00","1.13","0.00","1.00","65.88","65.88","10","53.00","51.00","34.77","74.18","1.00","263.53","0.00","0.00","0.00","1.14","40.60","42555","0.00","0.00","0.00","0.00","0.90","46275.00","0.81","2024-10-30 11:31:51","2024-10-30 11:31:51","0.04","1A25DB2F96D411EF937150EBF6EE7050","158598.61","177703.26","66.85"
"2024-10-30 P2328 Group 1 Rev 2 R01","3626.06","3626.06","0.98","0.00","0.00","0.00","183340.75","162036.97","164254.11","1.83","11.00","11.00","136.00","868.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.94","1.00","1.06","228.89","1.00","2024-10-30 11:31:51","67.95","68.89","67.95","197.96","3.58","1.00","-85.00","0.00","0.00","1.15","0.00","1.00","61.57","61.57","11","52.00","51.00","30.64","70.52","1.00","246.29","0.00","0.00","0.00","1.08","36.59","42556","0.00","0.00","0.00","0.00","0.97","41646.00","0.97","2024-10-30 11:31:51","2024-10-30 11:31:51","0.01","1A25DD3396D411EF937150EBF6EE7050","164254.11","171174.48","66.85"
