Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01650.png,1,726,726.000,38.372,255,255,98.326,30.590,30.218,30.177,0.944,0.965,31.906,9,31.000,32.196,30.000,185130.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00228.png,2,1172,586.000,35.677,255,255,82.770,29.154,19.191,47.526,0.861,0.943,29.811,13,33.000,130.088,19.500,149430.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01136.png,1,885,885.000,36.921,255,255,109.983,33.821,33.317,71.309,0.919,0.961,35.228,9,35.000,34.592,33.000,225675.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01122.png,1,1150,1150.000,38.067,255,255,125.296,39.837,36.755,178.987,0.921,0.965,40.804,7,24.000,162.897,37.000,293250.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01644.png,1,662,662.000,34.194,255,255,94.569,29.416,28.654,126.246,0.930,0.957,30.594,20,7.000,101.310,28.991,168810.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00572.png,1,1130,1130.000,40.357,255,255,129.782,41.421,34.735,73.972,0.843,0.942,44.643,20,49.000,74.407,36.770,288150.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00214.png,1,826,826.000,36.711,255,255,105.983,33.045,31.826,170.339,0.924,0.962,33.956,6,28.000,13.627,32.000,210630.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00200.png,1,589,589.000,35.039,255,255,90.083,27.941,26.840,170.745,0.912,0.952,29.155,8,12.000,149.036,27.000,150195.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01678.png,1,494,494.000,30.894,255,255,80.669,25.721,24.454,43.838,0.954,0.959,26.627,9,29.000,34.287,24.749,125970.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00566.png,1,1225,1225.000,40.509,255,255,129.539,39.870,39.120,21.073,0.917,0.962,40.853,11,34.000,21.541,39.598,312375.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01693.png,1,609,609.000,35.366,255,255,90.669,28.078,27.616,95.604,0.931,0.960,29.206,9,12.000,141.953,27.000,155295.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00599.png,1,1074,1074.000,42.151,255,255,121.640,38.218,35.780,76.117,0.912,0.963,39.051,9,38.000,39.806,36.000,273870.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01687.png,1,529,529.000,33.083,255,255,84.669,26.364,25.548,49.818,0.927,0.951,27.586,10,29.000,43.531,26.000,134895.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01334.png,2,1065,532.500,38.925,255,255,89.376,29.455,22.919,165.690,0.831,0.926,30.465,13,17.500,139.467,23.808,135787.500,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00994.png,1,692,692.000,33.430,255,255,96.569,29.949,29.420,64.998,0.932,0.956,30.887,15,10.000,119.055,29.698,176460.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01452.png,1,850,850.000,38.479,255,255,106.569,33.611,32.199,163.291,0.941,0.968,34.785,7,18.000,161.565,32.000,216750.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00758.png,1,1138,1138.000,42.086,255,255,124.468,38.282,37.850,16.441,0.923,0.965,39.825,8,33.000,28.496,38.000,290190.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00980.png,1,923,923.000,41.784,255,255,112.811,34.590,33.975,157.439,0.911,0.959,35.693,6,21.000,168.690,34.000,235365.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01446.png,1,689,689.000,37.263,255,255,95.740,30.203,29.046,116.986,0.945,0.962,31.385,16,7.000,112.479,29.000,175695.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01320.png,1,600,600.000,34.884,255,255,90.083,28.302,26.993,172.390,0.929,0.955,29.682,8,13.000,147.381,27.000,153000.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01308.png,1,914,914.000,39.687,255,255,110.811,34.621,33.614,136.259,0.935,0.966,35.805,14,10.000,125.910,33.941,233070.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00016.png,1,983,983.000,37.793,255,255,116.225,35.576,35.180,27.166,0.914,0.960,36.892,10,15.000,147.171,35.000,250665.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00770.png,1,763,763.000,35.390,255,255,101.983,31.518,30.823,24.364,0.922,0.956,32.802,12,37.000,52.431,31.000,194565.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00764.png,1,692,692.000,32.703,255,255,96.569,30.008,29.362,75.073,0.932,0.957,31.385,16,36.000,59.349,29.698,176460.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00002.png,1,639,639.000,38.013,255,255,93.740,28.846,28.205,140.789,0.914,0.952,30.017,12,8.000,119.982,28.622,162945.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00957.png,1,797,797.000,36.898,255,255,103.983,31.934,31.777,102.371,0.926,0.960,33.015,13,10.000,125.134,32.000,203235.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01491.png,1,600,600.000,38.462,255,255,90.083,28.159,27.130,167.716,0.929,0.957,29.411,7,12.000,144.689,27.000,153000.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00943.png,1,1012,1012.000,41.306,255,255,117.054,36.211,35.584,156.430,0.928,0.964,37.443,9,14.000,145.886,36.000,258060.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01485.png,1,601,601.000,34.901,255,255,89.497,28.224,27.113,64.769,0.943,0.959,29.206,9,32.000,38.047,27.000,153255.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01240.png,2,1303,651.500,42.305,255,255,93.669,29.338,28.208,20.206,0.931,0.961,30.928,12,45.500,50.349,27.500,166132.500,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01526.png,1,898,898.000,36.653,255,255,110.811,33.929,33.698,95.630,0.919,0.959,35.511,9,37.000,32.347,34.000,228990.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00638.png,1,740,740.000,33.560,255,255,101.154,30.854,30.538,71.506,0.909,0.955,32.696,17,40.000,66.571,31.000,188700.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01532.png,1,721,721.000,36.414,255,255,98.912,30.826,29.781,131.648,0.926,0.962,32.450,8,14.000,146.310,30.000,183855.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01254.png,1,849,849.000,36.913,255,255,107.640,33.030,32.727,116.337,0.921,0.957,34.132,14,12.000,121.827,33.000,216495.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00162.png,1,1374,1374.000,42.342,255,255,137.539,42.249,41.408,98.642,0.913,0.965,43.600,16,10.000,126.607,42.000,350370.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00604.png,1,802,802.000,38.744,255,255,103.983,32.014,31.897,97.036,0.932,0.961,33.287,14,37.000,57.265,32.000,204510.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00610.png,1,923,923.000,38.506,255,255,112.811,34.708,33.860,49.323,0.911,0.960,36.125,11,37.000,41.634,34.000,235365.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00176.png,1,1223,1223.000,42.732,255,255,129.882,40.332,38.609,44.798,0.911,0.964,41.881,8,38.000,33.311,38.908,311865.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01268.png,1,828,828.000,33.796,255,255,105.154,32.805,32.136,46.140,0.941,0.967,34.176,19,42.000,69.444,32.000,211140.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01283.png,1,809,809.000,39.082,255,255,104.569,32.502,31.692,65.603,0.930,0.961,33.838,13,37.000,55.840,32.000,206295.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00823.png,1,569,569.000,28.913,255,255,88.083,27.987,25.886,160.792,0.922,0.951,29.530,7,16.000,151.699,26.000,145095.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00837.png,1,808,808.000,38.258,255,255,105.740,34.869,29.504,115.719,0.908,0.958,36.235,13,8.000,117.979,30.000,206040.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01297.png,1,873,873.000,41.257,255,255,109.397,33.715,32.969,67.838,0.917,0.959,34.886,15,39.000,62.700,33.000,222615.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00189.png,1,1005,1005.000,36.545,255,255,116.468,36.975,34.607,17.859,0.931,0.966,38.079,7,34.000,13.671,35.000,256275.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01724.png,1,574,574.000,35.000,255,255,87.255,27.426,26.648,176.105,0.947,0.963,28.601,9,12.000,143.531,26.000,146370.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01042.png,1,913,913.000,36.520,255,255,110.811,34.494,33.701,7.287,0.934,0.964,35.511,10,14.000,147.653,34.000,232815.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01056.png,1,1069,1069.000,38.873,255,255,121.296,37.504,36.292,21.436,0.913,0.962,38.949,11,34.000,29.197,36.770,272595.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00348.png,1,1405,1405.000,39.712,255,255,144.125,46.623,38.369,29.103,0.850,0.953,50.774,8,43.000,32.125,40.000,358275.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01730.png,1,612,612.000,33.117,255,255,90.912,28.577,27.268,173.709,0.931,0.957,29.614,7,28.000,11.689,27.000,156060.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00406.png,1,870,870.000,37.021,255,255,109.397,33.428,33.137,43.379,0.914,0.957,34.828,11,37.000,39.174,33.000,221850.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01718.png,1,905,905.000,40.115,255,255,109.983,34.529,33.372,173.650,0.940,0.967,36.056,7,31.000,19.440,33.000,230775.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00360.png,1,781,781.000,33.206,255,255,102.811,32.110,30.968,53.500,0.928,0.958,33.121,9,32.000,28.887,31.113,199155.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00374.png,1,1310,1310.000,42.560,255,255,134.953,41.043,40.639,177.818,0.904,0.961,42.450,9,24.000,164.982,41.000,334050.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00412.png,1,737,737.000,34.846,255,255,99.983,31.155,30.120,148.707,0.926,0.957,32.202,10,13.000,143.842,30.406,187935.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01081.png,1,494,494.000,30.159,255,255,82.669,26.022,24.171,17.538,0.908,0.948,26.833,14,32.000,63.435,24.350,125970.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01095.png,1,1051,1051.000,43.773,255,255,120.225,36.941,36.225,29.843,0.914,0.962,38.419,12,40.000,51.340,36.000,268005.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01094.png,1,455,455.000,27.067,255,255,77.841,24.237,23.903,31.990,0.944,0.956,25.632,9,26.000,20.556,24.000,116025.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01080.png,1,595,595.000,34.553,255,255,88.669,27.845,27.207,26.610,0.951,0.963,29.155,8,26.000,22.166,27.000,151725.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00375.png,1,597,597.000,33.863,255,255,90.083,27.997,27.151,43.554,0.924,0.958,29.206,9,30.000,38.047,27.000,152235.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00413.png,1,725,725.000,32.880,255,255,99.740,30.969,29.807,17.467,0.916,0.954,32.016,10,35.000,38.660,30.000,184875.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01719.png,1,530,530.000,32.317,255,255,84.083,26.513,25.452,155.705,0.942,0.958,27.514,8,15.000,160.907,25.938,135150.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00407.png,1,794,794.000,37.541,255,255,103.154,32.117,31.477,109.477,0.938,0.964,33.287,15,8.000,122.735,31.000,202470.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00361.png,1,853,853.000,37.810,255,255,107.154,33.111,32.801,0.535,0.934,0.965,34.482,15,38.000,60.461,32.000,217515.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00349.png,1,1312,1312.000,41.850,255,255,135.054,42.757,39.070,30.083,0.904,0.965,45.804,8,44.000,36.119,40.000,334560.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01057.png,1,635,635.000,33.562,255,255,92.326,29.075,27.808,83.740,0.936,0.958,30.083,18,37.000,74.578,28.000,161925.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01731.png,1,665,665.000,38.618,255,255,95.154,29.348,28.850,75.509,0.923,0.954,30.463,14,35.000,66.801,29.000,169575.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01725.png,1,532,532.000,32.439,255,255,84.669,26.116,25.937,115.859,0.933,0.953,27.203,12,10.000,126.027,26.000,135660.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01043.png,1,805,805.000,38.043,255,255,104.569,32.531,31.507,77.910,0.925,0.959,33.838,14,37.000,55.840,32.000,205275.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00836.png,1,705,705.000,36.491,255,255,97.983,31.054,28.906,78.833,0.923,0.954,32.573,16,38.000,72.121,29.725,179775.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00188.png,1,1050,1050.000,45.573,255,255,118.811,36.603,36.524,29.185,0.935,0.969,38.275,17,6.000,109.855,36.000,267750.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01296.png,1,569,569.000,30.790,255,255,87.255,27.359,26.480,68.360,0.939,0.960,28.601,13,34.000,53.531,26.000,145095.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01282.png,1,787,787.000,36.401,255,255,105.154,32.908,30.450,15.417,0.894,0.951,35.468,7,29.000,21.501,30.000,200685.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00822.png,1,695,695.000,29.574,255,255,97.740,29.849,29.646,73.893,0.914,0.952,31.145,13,33.000,42.397,30.000,177225.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00611.png,1,1470,1470.000,41.596,255,255,141.539,43.662,42.867,155.813,0.922,0.970,44.944,8,22.000,159.146,43.000,374850.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_01269.png,1,751,751.000,33.467,255,255,100.569,31.120,30.726,33.465,0.933,0.959,32.450,9,37.000,33.690,31.000,191505.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 6 R01_PP2_00177.png,1,1443,1443.000,45.207,255,255,141.782,43.464,42.271,170.830,0.902,0.962,44.944,7,38.000,20.854,42.929,367965.000,255,NaN,NaN
