Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 1 Rev 7 R01_01022.png,1,638,638.000,37.976,255,255,92.083,28.690,28.314,113.545,0.946,0.963,30.017,13.000,8.000,119.982,28.000,162690.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00328.png,1,1238,1238.000,44.953,255,255,130.368,40.400,39.017,89.625,0.915,0.967,42.953,23.000,6.000,102.095,39.000,315690.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01036.png,1,569,569.000,36.474,255,255,87.497,27.245,26.591,174.253,0.934,0.958,28.460,7.000,15.000,161.565,27.000,145095.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00466.png,1,1337,1337.000,41.202,255,255,135.782,41.930,40.599,22.993,0.911,0.963,43.081,8.000,39.000,21.801,41.012,340935.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00300.png,1,1155,1155.000,43.552,255,255,126.125,38.867,37.837,78.332,0.912,0.962,40.311,23.000,46.000,82.875,38.000,294525.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00314.png,1,490,490.000,31.410,255,255,84.083,28.352,22.005,44.409,0.871,0.940,30.232,10.000,33.000,55.784,22.808,124950.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00472.png,1,1386,1386.000,46.667,255,255,138.368,42.889,41.146,171.422,0.910,0.966,44.944,7.000,19.000,159.146,41.000,353430.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00499.png,1,581,581.000,29.433,255,255,88.912,27.922,26.493,23.139,0.924,0.952,28.862,7.000,28.000,14.036,27.000,148155.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_01220.png,1,513,513.000,33.750,255,255,83.497,26.632,24.526,14.901,0.925,0.950,27.659,6.000,17.000,167.471,25.000,130815.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00658.png,1,879,879.000,40.657,255,255,108.811,33.701,33.209,169.066,0.933,0.962,34.670,14.000,9.000,123.232,33.000,224145.000,255,NaN,NaN
2024-10-29 P1444 Group 1 Rev 7 R01_00880.png,2,547,273.500,25.863,255,255,63.042,21.527,15.819,113.465,0.846,0.948,23.964,19.500,13.500,122.130,15.686,69742.500,255,NaN,NaN
