Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00923.png,1,581,581.000,32.278,255,255,88.083,27.521,26.880,151.909,0.941,0.958,28.844,8.000,14,146.310,27.000,148155.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01383.png,1,548,548.000,30.343,255,255,86.669,26.905,25.933,161.067,0.917,0.951,28.320,13.000,10,132.138,26.000,139740.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01397.png,1,656,656.000,35.479,255,255,93.740,29.262,28.544,152.207,0.938,0.958,30.529,9.000,13,148.393,28.991,167280.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00089.png,1,1132,1132.000,35.486,255,255,124.468,38.854,37.096,16.350,0.918,0.964,39.925,10.000,36,22.068,37.000,288660.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00937.png,2,1806,903.000,46.982,255,255,91.619,28.908,26.584,73.114,0.902,0.913,30.058,30.000,26,78.767,26.748,230265.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00704.png,1,1327,1327.000,41.599,255,255,137.782,42.251,39.990,19.164,0.878,0.952,45.541,9.000,34,19.231,40.000,338385.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_02113.png,1,505,505.000,27.962,255,255,82.326,26.082,24.652,132.155,0.936,0.950,26.926,16.000,9,105.068,24.749,128775.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00062.png,1,2375,2375.000,47.806,255,255,180.995,56.567,53.458,37.478,0.911,0.972,57.628,19.000,56,51.340,53.740,605625.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_00076.png,2,3109,1554.500,45.453,255,255,137.225,42.642,39.108,118.535,0.860,0.964,46.116,17.500,69,101.670,38.500,396397.500,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 7 R01_PP2_01368.png,1,1052,1052.000,39.758,255,255,119.640,36.640,36.557,52.457,0.924,0.963,38.013,11.000,33,26.565,36.000,268260.000,255,NaN,NaN
