Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00088.png,1,684,684,33.778,255,255,97.154,29.616,29.407,178.012,0.911,0.951,31.064,9,15,146.821,29.810,174420,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01396.png,1,538,538,33.625,255,255,84.669,26.660,25.694,27.586,0.943,0.957,27.803,9,29,37.694,26.000,137190,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00936.png,1,694,694,36.681,255,255,97.154,30.382,29.084,92.063,0.924,0.958,31.780,18,6,102.724,29.000,176970,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00922.png,1,1584,1584,47.913,255,255,146.610,45.432,44.392,140.873,0.926,0.971,46.615,15,10,125.395,44.548,403920,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01382.png,1,1629,1629,45.250,255,255,149.782,45.957,45.131,92.249,0.912,0.970,47.202,16,11,126.384,45.000,415395,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01355.png,1,653,653,36.197,255,255,94.326,29.071,28.600,104.916,0.922,0.955,30.083,16,7,105.422,29.000,166515,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01433.png,1,921,921,34.886,255,255,112.811,35.258,33.259,19.601,0.909,0.958,37.202,9,36,36.254,33.941,234855,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00739.png,1,942,942,38.480,255,255,113.054,35.740,33.559,6.251,0.926,0.961,36.674,6,29,11.004,34.000,240210,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01427.png,1,736,736,36.364,255,255,99.154,30.894,30.333,2.827,0.941,0.961,32.249,8,16,150.255,30.000,187680,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01341.png,1,869,869,39.357,255,255,109.640,33.662,32.869,172.146,0.908,0.955,34.713,6,26,11.634,33.470,221595,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01369.png,1,902,902,37.568,255,255,111.397,34.066,33.713,78.467,0.913,0.960,35.468,10,36,40.426,34.000,230010,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00077.png,1,865,865,40.009,255,255,109.154,33.456,32.920,110.379,0.912,0.962,35.000,11,10,126.870,33.000,220575,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00711.png,1,1914,1914,42.289,255,255,166.510,55.318,44.054,19.093,0.868,0.958,56.515,9,36,13.299,45.266,488070,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02106.png,1,578,578,36.125,255,255,87.497,27.192,27.065,101.316,0.949,0.959,28.302,13,8,122.005,27.000,147390,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02112.png,1,599,599,34.785,255,255,90.326,27.728,27.505,7.587,0.923,0.950,29.069,7,14,153.435,28.000,152745,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00705.png,1,1022,1022,37.164,255,255,119.054,36.863,35.299,155.020,0.906,0.960,37.802,15,12,127.476,35.410,260610,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00063.png,1,1080,1080,39.187,255,255,121.054,37.427,36.741,137.939,0.926,0.965,38.601,15,11,126.573,37.000,275400,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01194.png,1,656,656,32.395,255,255,93.740,29.246,28.560,45.090,0.938,0.960,30.232,9,31,34.216,28.991,167280,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01180.png,1,1099,1099,43.098,255,255,123.882,37.803,37.015,31.851,0.900,0.959,38.949,10,37,41.878,37.566,280245,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01816.png,1,766,766,39.587,255,255,101.154,33.041,29.518,170.132,0.941,0.966,33.734,6,18,168.024,29.000,195330,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01802.png,1,672,672,36.344,255,255,94.326,29.506,28.998,177.063,0.949,0.963,30.887,8,29,29.055,29.000,171360,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01631.png,1,744,744,38.430,255,255,100.569,31.097,30.462,137.826,0.924,0.956,32.757,12,9,121.264,31.000,189720,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00249.png,1,633,633,34.253,255,255,93.497,28.928,27.861,6.471,0.910,0.950,30.887,8,29,29.055,28.000,161415,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01157.png,1,1011,1011,39.647,255,255,117.397,35.944,35.813,50.424,0.922,0.964,37.802,12,39,52.524,35.000,257805,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01143.png,1,1605,1605,46.121,255,255,146.953,45.628,44.788,171.657,0.934,0.974,46.648,9,18,149.036,44.000,409275,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01625.png,1,803,803,37.967,255,255,104.811,32.047,31.904,25.608,0.919,0.958,33.242,6,21,173.089,32.000,204765,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00513.png,1,1191,1191,41.643,255,255,127.296,39.285,38.601,153.557,0.924,0.966,40.719,8,17,155.323,39.000,303705,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00275.png,1,1044,1044,41.760,255,255,119.640,36.526,36.392,176.819,0.917,0.963,37.802,10,13,142.524,36.000,266220,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00261.png,1,509,509,31.037,255,255,82.669,25.647,25.269,34.623,0.936,0.954,26.926,9,27,31.329,25.000,129795,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01619.png,1,696,696,31.507,255,255,97.740,29.964,29.575,114.264,0.916,0.953,31.241,15,11,129.806,30.000,177480,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00507.png,1,1275,1275,37.324,255,255,133.439,42.208,38.462,98.596,0.900,0.961,45.398,25,8,97.595,39.000,325125,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01786.png,1,930,930,37.200,255,255,112.225,34.533,34.290,22.187,0.928,0.963,35.847,15,40,59.859,34.000,237150,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00498.png,1,512,512,32.821,255,255,82.912,25.868,25.201,49.410,0.936,0.951,26.926,7,22,15.068,25.456,130560,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01792.png,1,729,729,33.016,255,255,99.397,31.576,29.396,168.175,0.927,0.957,32.757,7,21,167.661,30.000,185895,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01962.png,1,838,838,39.603,255,255,105.740,33.109,32.226,49.342,0.942,0.968,34.670,14,38,56.768,32.000,213690,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01976.png,1,664,664,37.642,255,255,94.669,29.603,28.559,14.777,0.931,0.961,31.241,11,32,50.194,28.000,169320,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01745.png,1,614,614,34.886,255,255,91.154,29.211,26.763,20.282,0.929,0.954,30.083,9,27,21.448,27.196,156570,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01023.png,1,1012,1012,38.968,255,255,119.882,36.728,35.082,179.187,0.885,0.947,40.804,7,19,162.897,35.000,258060,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01037.png,1,951,951,33.964,255,255,114.468,35.426,34.180,11.928,0.912,0.957,36.497,7,31,9.462,34.883,242505,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00329.png,1,905,905,40.987,255,255,111.054,34.771,33.139,15.057,0.922,0.960,36.139,6,28,14.421,33.941,230775,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01989.png,1,548,548,34.250,255,255,85.497,27.051,25.794,117.135,0.942,0.956,28.018,9,12,145.176,26.000,139740,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01751.png,1,607,607,34.430,255,255,90.912,28.254,27.354,58.401,0.923,0.951,29.411,13,34,54.689,28.000,154785,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00467.png,1,1635,1635,46.186,255,255,148.953,45.812,45.442,136.353,0.926,0.973,47.202,10,16,143.616,45.000,416925,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01779.png,1,557,557,30.842,255,255,86.669,27.550,25.742,92.281,0.932,0.956,28.302,15,8,122.005,25.000,142035,255,NaN,NaN
