Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00109.png,1,632,632.000,32.712,255,255,92.326,28.502,28.233,4.794,0.932,0.956,29.547,8.000,16.000,156.038,28.000,161160.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00121.png,1,1013,1013.000,39.725,255,255,117.882,36.687,35.157,102.245,0.916,0.960,38.079,16.000,9.000,119.932,36.000,258315.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00135.png,1,1725,1725.000,47.209,255,255,155.439,49.311,44.540,5.853,0.897,0.966,50.448,7.000,17.000,166.239,45.000,439875.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00323.png,1,950,950.000,35.822,255,255,112.811,34.865,34.694,74.426,0.938,0.966,36.056,11.000,16.000,146.310,34.000,242250.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00337.png,1,1092,1092.000,42.824,255,255,121.640,37.338,37.238,52.032,0.927,0.966,38.588,16.000,42.000,58.782,37.000,278460.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00294.png,2,1800,900.000,42.970,255,255,102.690,31.572,30.773,111.574,0.910,0.942,32.995,19.000,49.000,88.479,30.839,229500.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00280.png,1,634,634.000,32.020,255,255,99.154,31.777,25.403,27.387,0.810,0.928,35.000,7.000,33.000,36.870,27.000,161670.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00257.png,1,1235,1235.000,40.826,255,255,141.439,44.131,35.632,132.168,0.776,0.918,47.634,10.000,11.000,129.036,37.477,314925.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00243.png,1,890,890.000,36.416,255,255,111.054,33.929,33.399,45.967,0.907,0.955,35.355,9.000,25.000,8.130,33.941,226950.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00096.png,1,1028,1028.000,41.136,255,255,118.468,36.437,35.922,1.026,0.920,0.962,37.443,9.000,14.000,145.886,36.000,262140.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00082.png,1,2165,2165.000,49.702,255,255,171.924,52.813,52.195,161.105,0.920,0.975,53.935,7.000,29.000,169.315,52.000,552075.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00069.png,1,1736,1736.000,48.222,255,255,154.610,47.436,46.597,56.135,0.913,0.968,48.795,13.000,48.000,44.170,47.000,442680.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00055.png,5,299,59.800,25.887,255,255,30.999,10.200,7.009,141.141,0.714,0.833,12.207,13.800,12.400,141.340,8.190,15249.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00041.png,1,2880,2880.000,51.209,255,255,202.551,61.576,59.551,18.684,0.882,0.968,65.000,7.000,47.000,14.250,60.000,734400.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00040.png,1,857,857.000,35.693,255,255,107.983,33.187,32.880,5.822,0.924,0.961,34.409,16.000,39.000,54.462,33.000,218535.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00054.png,1,1942,1942.000,47.458,255,255,162.267,50.208,49.248,98.723,0.927,0.974,51.264,22.000,10.000,110.556,49.000,495210.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00068.png,1,708,708.000,35.758,255,255,98.326,30.376,29.677,57.915,0.920,0.960,32.016,13.000,35.000,51.340,30.000,180540.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00083.png,2,1599,799.500,42.302,255,255,103.134,34.065,28.122,97.316,0.877,0.965,35.165,14.000,39.000,110.513,27.000,203872.500,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00097.png,1,986,986.000,37.208,255,255,115.640,35.729,35.137,79.086,0.927,0.963,36.892,14.000,42.000,57.171,35.000,251430.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00242.png,1,1133,1133.000,36.810,255,255,123.882,38.315,37.650,35.845,0.928,0.967,39.408,13.000,38.000,35.707,38.000,288915.000,255,NaN,NaN
2024-10-30 P2002 Group 6 Rev 1 R01 PP1_00256.png,1,756,756.000,33.600,255,255,101.983,31.869,30.204,28.257,0.913,0.953,33.541,8.000,33.000,26.565,31.000,192780.000,255,NaN,NaN
